route_id,service_id,direction_id,numtripsperroute_both_dir,hours_of_service,first_departure_sec,last_departure_sec,span_of_service_hrs,route_avg_hdwy,route_stdev_hdwy,trips_per_day,average_speed,average_length_mi,w_avg_num_stops,avg_dist_bw_stops_ft,route_short_name,route_long_name
11-86,SUMR11-System-Saturday-01,0,28,14,25200,74820,14,60.0,0.0,28,12.9,5.0,29.0,949.8553589285714286183,11,Piedmont - Fruitvale Ave.
12-86,SUMR11-System-Saturday-01,0,66,17,21780,82200,17,15.4,3.2,66,13.6,10.1,58.5,925.8240208695652174341,12,Oxford & Addison - 10 WASHINGTON
14-86,SUMR11-System-Saturday-01,0,63,17,23040,81840,16,14.9,8.0,63,16.3,10.7,55.5,1033.2202450495049504425,14,11th Jefferson - Fruitvale Bart
1-86,SUMR11-System-Saturday-01,0,115,21,18120,90720,20,11.8,4.9,115,15.4,22.7,105.0,1154.6567836802942897037,1,Bayfair Bart- Dtn. Berkeley
18-86,SUMR11-System-Saturday-01,0,104,20,21540,89400,19,10.7,4.9,104,16.1,17.3,89.5,1030.7826870056497175271,18,San Pablo & Marin - Moraga & Mountain
1R-86,SUMR11-System-Saturday-01,0,80,13,27360,68580,11,7.7,2.0,80,17.3,15.1,25.0,3316.8380895833333334427,1R,Univ/Calif - BYBA
20-86,SUMR11-System-Saturday-01,0,76,20,18000,87480,19,15.4,6.3,76,15.2,11.8,49.6,1285.3472364619962131978,20,Fruitvale ave - Alameda - 11th Jefferson
210-86,SUMR11-System-Saturday-01,0,52,14,25200,74820,14,15.2,4.5,52,18.3,14.6,44.5,1772.0401179849756960652,210,Union Landing - Frmt. Blvd. - Ohlone
217-86,SUMR11-System-Saturday-01,0,37,13,25200,71940,13,20.3,9.6,37,21.9,20.8,54.5,2048.5399667339727411159,217,Frmt BART - Mission - Milpitas - Alder
21-86,SUMR11-System-Saturday-01,0,58,15,26100,79080,15,15.4,7.2,58,19.8,14.6,45.0,1649.4936941222570531352,21,Fruitvale ave - Alameda - Oakland Airport
22-86,SUMR11-System-Saturday-01,0,36,19,22560,88320,18,30.4,16.2,36,16.2,12.6,36.0,0.00000000000000000000000,22,Hayward Bart -South Hayward Bart - Chabot
242-86,SUMR11-System-Saturday-01,0,25,13,25200,71160,13,15.6,3.1,50,15.1,11.4,30.1,0.00000000000000000000000,242,Fremont BART-Stevenson-Ohlone New. Mowrry
251-86,SUMR11-System-Saturday-01,0,27,14,21600,71580,14,15.7,8.8,54,20.7,18.4,47.0,0.00000000000000000000000,251,Fremont BART-Mowry-Thornton
25-86,SUMR11-System-Saturday-01,0,22,12,28680,68100,11,29.3,13.3,22,13.0,11.7,58.5,541.1881113043478259871,25,El Cerrito BART-Cntr & Shatt-UC Village
26-86,SUMR11-System-Saturday-01,0,66,18,20520,80880,17,15.4,2.6,66,14.4,12.3,54.9,1206.1907536146272855129,26,Emeryville/14th Bdwy/lLakeshore
31-86,SUMR11-System-Saturday-01,0,66,18,20880,81300,17,15.4,3.2,66,18.8,7.2,23.5,1691.4940311111111110382,31,Alameda Point/ W. Oakland/MACA BART
32-86,SUMR11-System-Saturday-01,0,27,15,22320,72060,14,15.6,4.8,54,18.5,15.1,55.1,0.00000000000000000000000,32,Hayward Bart-C.V. Bart-Hwd. Bart-Cherryland
332-86,SUMR11-System-Saturday-01,0,26,13,25560,71700,13,30.6,19.8,26,23.9,19.2,55.5,1860.6460697247706420423,332,Frmt. BART - UC BART - N.Park (SS ONLY)
345-86,SUMR11-System-Saturday-01,0,28,15,21780,75180,15,32.9,21.0,28,21.8,18.0,41.0,2372.6305425000000000000,345,UC BART-Newark Blvd.-Newpark Mall (SS Only)
350-86,SUMR11-System-Saturday-01,0,27,15,25980,75900,14,15.6,7.4,54,18.2,15.8,48.0,0.00000000000000000000000,350,Frmt. BART-Pacific Commons- Stevenson (SS Only)
376-86,SUMR11-System-Saturday-01,0,15,8,72660,99720,8,15.8,8.8,28,22.1,30.7,92.9,172.0886820367751061781,376,North Richmond Shuttle
386-86,SUMR11-System-Saturday-01,0,24,12,32100,69900,11,25.6,20.9,24,15.4,5.2,13.5,2209.4385240000000000000,386,Hayw. BART -  Winton (SS ONLY)
40-86,SUMR11-System-Saturday-01,0,131,20,19320,88200,19,10.8,4.4,131,16.9,12.0,56.0,1149.0511314722222220764,40,Dtn. Oakland - Bayfair Bart
45-86,SUMR11-System-Saturday-01,0,50,17,21600,82680,17,19.6,15.5,50,17.4,12.3,57.0,1159.5874250000000000000,45,Eastmont T. C. - Foothill Sq.
49-86,SUMR11-System-Saturday-01,0,38,14,25200,72300,13,14.0,7.0,76,11.6,11.9,64.0,0.00000000000000000000000,49,Rockridge Bart / Dwight S.P.
51A-86,SUMR11-System-Saturday-01,0,133,20,19380,88320,19,8.4,2.2,133,16.9,11.9,49.0,1310.0523170426065162455,51A,RockRidge to FBBA
51B-86,SUMR11-System-Saturday-01,0,134,20,18000,87480,19,8.4,2.3,134,13.6,6.6,35.2,1024.7916188876772082514,51B,RockRidge - 3RUN
52-86,SUMR11-System-Saturday-01,0,40,13,29100,72960,12,34.0,0.2,40,11.5,5.5,30.5,982.3163979678238779922,52,U.C. Village - U.C. Campus
54-86,SUMR11-System-Saturday-01,0,48,13,27120,71160,12,14.8,7.0,48,18.5,5.5,27.5,1092.0158490566037735230,54,Fruitvale BART - Merritt College
57-86,SUMR11-System-Saturday-01,0,134,21,19620,90300,20,8.9,4.2,134,16.9,14.0,68.0,1102.0217902985074626327,57,40th San Pablo Ave - Eastmont T.C.- Foothill Sq
60-86,SUMR11-System-Saturday-01,0,42,15,21360,71220,14,20.2,11.1,42,18.6,4.8,18.5,1451.1956742857142858549,60,CSUEB / HAYWARD BART SHUTTLE
62-86,SUMR11-System-Saturday-01,0,75,21,19740,90180,20,15.8,10.1,75,14.4,9.3,49.5,1009.8504830354687929136,62,West  Oakland - Fruitvale Bart
65-86,SUMR11-System-Saturday-01,0,24,13,27000,69480,12,30.7,18.3,24,19.7,7.5,35.5,1154.6266956521739131576,65,Spruce St. - Euclid Ave.
67-86,SUMR11-System-Saturday-01,0,30,12,28800,69900,11,23.6,13.6,30,17.4,6.3,26.0,1317.4068060000000000000,67,Berkeley Bart - Grizzly Peak Blvd.
68-86,SUMR11-System-Saturday-01,0,11,11,29100,67860,11,30.7,16.3,22,17.0,13.0,36.0,0.00000000000000000000000,68,South Hwd. BART-Huntwood-Union Landing
70-86,SUMR11-System-Saturday-01,0,29,16,23880,76020,14,30.0,16.1,29,19.6,10.2,36.0,1536.3768993103448277446,70,Richmond Pkwy. TC. - Richmond BART
71-86,SUMR11-System-Saturday-01,0,30,16,22860,77700,15,30.4,16.6,30,18.4,19.0,67.0,1522.2622053030303030999,71,Richmond Pkwy TC - El Cerrito Plaza BART
72-86,SUMR11-System-Saturday-01,0,74,21,18540,91860,20,17.1,9.4,74,16.8,21.8,95.6,1204.1927792945880338344,72,Richmond - Downtown Oakland
72M-86,SUMR11-System-Saturday-01,0,73,21,19860,90600,20,17.4,9.8,72,16.4,19.7,87.5,1188.1298772057658799276,72M,Richmond - Downtown Oakland
73-86,SUMR11-System-Saturday-01,0,138,20,19440,87720,19,13.5,3.3,138,19.4,7.1,21.0,1870.0387600000000000000,73,Eastmont T.C. - Oakland Airport
74-86,SUMR11-System-Saturday-01,0,45,14,25200,73320,13,17.5,12.2,45,19.8,12.7,41.8,1642.2009677208287894563,74,CCC/Richmond BART/Ford Pt.
76-86,SUMR11-System-Saturday-01,0,54,15,23400,73200,14,15.6,5.7,54,17.6,13.9,64.5,1158.5701858267716534038,76,Hilltop Mall - CCC - del Norte BART
7-86,SUMR11-System-Saturday-01,0,30,12,29400,69300,11,22.9,12.7,30,19.6,11.1,53.5,1115.3056428571428572366,7,Del Norte BART - Berkeley BART
800-86,SUMR11-System-Saturday-01,0,26,10,960,88200,24,28.0,0.0,25,26.6,30.9,89.2,1852.1472509376362843541,800,OWL-DTN.OAKLAND/RICHMOND
801-86,SUMR11-System-Saturday-01,0,23,11,2460,91320,25,33.0,9.4,24,22.8,29.1,107.0,1437.9095338624338623054,801,OWL-DTN.OAKLAND/FREMONT BART
802-86,SUMR11-System-Saturday-01,0,11,6,780,20040,5,30.0,24.2,11,18.7,7.1,35.3,1030.2496652519893900266,802,OWL- Berkeley-Emeryville/Dnt-Oak
805-86,SUMR11-System-Saturday-01,0,12,7,180,23460,6,35.0,20.1,11,20.2,16.5,62.8,1355.6061712938005389341,805,OWL-Dtn. Oakland - Oakland  Airport
840-86,SUMR11-System-Saturday-01,0,12,7,840,21720,6,31.6,18.8,12,24.1,8.2,39.5,1125.3233454545454544858,840,OWL-Dtn. Oakland - Eastmont T. C.
851-86,SUMR11-System-Saturday-01,0,10,6,660,18240,5,60.0,0.0,5,17.6,14.8,65.0,1221.9802539062500000000,851,OWL - ALAMEDA/DNT BERK
85-86,SUMR11-System-Saturday-01,0,26,14,27600,73860,13,30.6,16.3,26,19.3,15.6,55.0,1524.8812055555555555191,85,San Leandro BART - Hayward BART
86-86,SUMR11-System-Saturday-01,0,10,3,21600,31740,3,18.7,12.1,10,24.8,4.8,12.0,2282.1890318181818182713,86,Hayward BART - S. Hayward BART
88-86,SUMR11-System-Saturday-01,0,68,18,19200,81840,17,15.0,5.6,68,14.4,8.8,50.0,953.4251204081632651789,88,Berkeley BART - Downtown Oakland
89-86,SUMR11-System-Saturday-01,0,25,14,25200,72060,13,20.7,9.8,50,20.1,19.2,63.7,0.00000000000000000000000,89,San Leandro Bart-S. L. Marina-Bayfair Bart
93-86,SUMR11-System-Saturday-01,0,26,14,26100,73740,13,15.5,3.1,52,20.8,15.2,57.0,0.00000000000000000000000,93,Hayward Bart-Bayfair Bart-San Lorenzo
95-86,SUMR11-System-Saturday-01,0,44,13,23760,66960,12,33.0,0.0,44,19.3,4.3,23.0,1041.3222886363636362145,95,Kelly Hill - Hayward BART
97-86,SUMR11-System-Saturday-01,0,69,18,21900,85680,18,15.1,4.7,67,18.8,16.3,47.9,1840.8265140117537891039,97,Union City BART - Hesperian Blvd.
98-86,SUMR11-System-Saturday-01,0,44,15,25200,78780,15,40.0,0.0,22,19.2,10.7,45.0,1284.7613034090909089716,98,Coliseum Bart - 98th Ave.
99-86,SUMR11-System-Saturday-01,0,56,20,22020,93180,20,21.5,7.8,56,17.9,22.4,70.0,1711.1128260869565217106,99,Bayfair Bart - Hwd.BART- UC  Bart - Fmt Bart
BSN-86,SUMR11-System-Saturday-01,0,57,8,64800,91020,7,7.5,3.6,57,8.3,2.4,12.5,1080.7508807633587786510,BSN,BROADWAY SHUTTLE NIGHT
F-86,SUMR11-System-Saturday-01,0,71,20,18840,89700,20,15.6,4.7,71,24.2,17.8,38.4,2503.6864151993980438028,F,San Francisco - Berkeley
NL-86,SUMR11-System-Saturday-01,0,75,20,18300,89400,20,16.0,3.7,75,26.9,20.1,19.5,5751.2748352559480894075,NL,San Francisco - Eastmont T.C.
O-86,SUMR11-System-Saturday-01,0,34,18,18000,81660,18,32.1,14.6,34,29.9,21.6,31.5,3730.6798754098360656168,O,San Francisco - Alameda - Fruitvale Bart
11-86,SUMR11-System-Sunday-01,0,28,14,25200,74820,14,60.0,0.0,28,12.9,5.0,29.0,949.8553589285714286183,11,Piedmont - Fruitvale Ave.
12-86,SUMR11-System-Sunday-01,0,66,17,21780,82200,17,15.4,3.9,66,13.6,10.1,58.5,925.8240208695652174341,12,Oxford & Addison - 10 WASHINGTON
14-86,SUMR11-System-Sunday-01,0,63,17,23040,81840,16,14.9,8.0,63,16.3,10.7,55.5,1033.2202450495049504425,14,11th Jefferson - Fruitvale Bart
1-86,SUMR11-System-Sunday-01,0,115,21,18120,90720,20,11.8,5.1,115,15.4,22.7,105.0,1154.6567836802942897037,1,Bayfair Bart- Dtn. Berkeley
