route_id,stop_id,service_id,direction_id,avghdwy,stdev_hdwy,stop_name,stop_lat,stop_lon,route_short_name,route_long_name
20-86,0100060,SUMR11-System-Saturday-01,0,29.9,0.3,8th St:Portola Av,37.769154,-122.273026,20,Fruitvale ave - Alameda - 11th Jefferson
20-86,0100070,SUMR11-System-Saturday-01,0,30.0,1.3,8th St:Portola Av,37.769073,-122.272827,20,Fruitvale ave - Alameda - 11th Jefferson
31-86,0100180,SUMR11-System-Saturday-01,0,30.0,0.0,Atlantic Av:Constitution Way,37.779835,-122.275497,31,Alameda Point/ W. Oakland/MACA BART
31-86,0100250,SUMR11-System-Saturday-01,0,30.0,0.0,Atlantic Av:Webster St,37.779617,-122.276115,31,Alameda Point/ W. Oakland/MACA BART
21-86,0100270,SUMR11-System-Saturday-01,0,29.9,0.7,Aughinbaugh Way:Kofman Pkwy,37.741707,-122.250145,21,Fruitvale ave - Alameda - Oakland Airport
21-86,0100280,SUMR11-System-Saturday-01,0,29.9,0.8,Aughinbaugh Way:Mecartney Rd,37.73877,-122.252106,21,Fruitvale ave - Alameda - Oakland Airport
21-86,0100290,SUMR11-System-Saturday-01,0,29.9,0.7,Aughinbaugh Way:Mecartney Rd,37.738441,-122.251976,21,Fruitvale ave - Alameda - Oakland Airport
21-86,0100300,SUMR11-System-Saturday-01,0,29.9,0.8,Aughinbaugh Way:Robert Davey Jr Dr,37.742504,-122.250076,21,Fruitvale ave - Alameda - Oakland Airport
21-86,0100310,SUMR11-System-Saturday-01,0,29.9,0.7,Aughinbaugh Way:Robert Davey Jr Dr,37.742825,-122.249985,21,Fruitvale ave - Alameda - Oakland Airport
21-86,0100320,SUMR11-System-Saturday-01,0,29.9,0.8,Aughinbaugh Way:The Lagoon,37.740948,-122.250984,21,Fruitvale ave - Alameda - Oakland Airport
21-86,0100330,SUMR11-System-Saturday-01,0,29.9,0.8,Aughinbaugh Way:The Lagoon,37.74049,-122.251221,21,Fruitvale ave - Alameda - Oakland Airport
51A-86,0100340,SUMR11-System-Saturday-01,0,16.5,2.3,Blanding Av:Broadway,37.768581,-122.233765,51A,RockRidge to FBBA
851-86,0100340,SUMR11-System-Saturday-01,0,60.0,0.0,Blanding Av:Broadway,37.768581,-122.233765,851,OWL - ALAMEDA/DNT BERK
51A-86,0100350,SUMR11-System-Saturday-01,0,16.6,2.3,Blanding Av:Broadway,37.76873,-122.233711,51A,RockRidge to FBBA
851-86,0100350,SUMR11-System-Saturday-01,0,60.0,0.0,Blanding Av:Broadway,37.76873,-122.233711,851,OWL - ALAMEDA/DNT BERK
51A-86,0100420,SUMR11-System-Saturday-01,0,16.5,2.3,Broadway:Lincoln Av,37.7649,-122.237083,51A,RockRidge to FBBA
851-86,0100420,SUMR11-System-Saturday-01,0,60.0,0.0,Broadway:Lincoln Av,37.7649,-122.237083,851,OWL - ALAMEDA/DNT BERK
51A-86,0100430,SUMR11-System-Saturday-01,0,16.6,2.3,Broadway:Lincoln Av,37.764923,-122.237213,51A,RockRidge to FBBA
851-86,0100430,SUMR11-System-Saturday-01,0,60.0,0.0,Broadway:Lincoln Av,37.764923,-122.237213,851,OWL - ALAMEDA/DNT BERK
