route_id,service_id,direction_id,numtripsperroute_both_dir,hours_of_service,first_departure_sec,last_departure_sec,span_of_service_hrs,route_avg_hdwy,route_stdev_hdwy,trips_per_day,average_speed,average_length_mi,w_avg_num_stops,avg_dist_bw_stops_ft,route_short_name,route_long_name
01,SAT,0,112,21,21420,92100,20,20.1,1.3,56,,,25.9,,"",PITTSBURG/BAY POINT - SFIA/MILLBRAE
01,SAT,1,112,21,21420,92100,20,20.1,0.7,56,,,25.7,,"",PITTSBURG/BAY POINT - SFIA/MILLBRAE
03,SAT,0,112,21,21240,91740,20,20.2,1.4,56,,,18.0,,"",FREMONT - RICHMOND
03,SAT,1,112,21,21240,91740,20,20.0,0.6,56,,,17.9,,"",FREMONT - RICHMOND
05,SAT,0,56,13,31800,72060,11,20.0,0.0,28,,,19.0,,"",FREMONT - DALY CITY
05,SAT,1,56,13,31800,72060,11,20.0,0.0,28,,,19.0,,"",FREMONT - DALY CITY
07,SAT,1,56,12,31560,71160,11,20.0,0.0,28,,,19.0,,"",RICHMOND - DALY CITY/MILLBRAE
07,SAT,0,56,12,31560,71160,11,20.0,0.0,28,,,19.0,,"",RICHMOND - DALY CITY/MILLBRAE
11,SAT,1,112,21,21480,91680,20,20.3,1.6,56,,,17.7,,"",DUBLIN/PLEASANTON - DALY CITY
11,SAT,0,112,21,21480,91680,20,20.3,1.6,55,,,17.7,,"",DUBLIN/PLEASANTON - DALY CITY
01,SUN,1,100,19,28620,92100,18,20.1,0.7,50,,,25.7,,"",PITTSBURG/BAY POINT - SFIA/MILLBRAE
01,SUN,0,100,19,28620,92100,18,20.2,1.5,50,,,25.9,,"",PITTSBURG/BAY POINT - SFIA/MILLBRAE
03,SUN,1,100,19,28440,91740,18,20.1,0.8,50,,,17.9,,"",FREMONT - RICHMOND
03,SUN,0,100,19,28440,91740,18,20.2,1.4,50,,,18.0,,"",FREMONT - RICHMOND
11,SUN,0,100,19,28200,91680,18,20.3,1.6,49,,,17.6,,"",DUBLIN/PLEASANTON - DALY CITY
11,SUN,1,100,19,28200,91680,18,20.3,1.7,50,,,17.7,,"",DUBLIN/PLEASANTON - DALY CITY
01,WKDY,0,182,22,14520,92100,22,13.4,5.1,91,,,23.9,,"",PITTSBURG/BAY POINT - SFIA/MILLBRAE
01,WKDY,1,182,22,14520,92100,22,13.3,5.0,91,,,24.0,,"",PITTSBURG/BAY POINT - SFIA/MILLBRAE
03,WKDY,0,152,22,14400,91740,21,16.1,2.5,76,,,18.0,,"",FREMONT - RICHMOND
03,WKDY,1,152,22,14400,91740,21,16.0,2.2,76,,,18.0,,"",FREMONT - RICHMOND
05,WKDY,0,104,16,18360,72060,15,15.0,0.4,52,,,19.0,,"",FREMONT - DALY CITY
05,WKDY,1,104,16,18360,72060,15,15.0,0.0,52,,,19.0,,"",FREMONT - DALY CITY
07,WKDY,1,110,16,15120,71520,16,15.0,0.0,55,,,23.0,,"",RICHMOND - DALY CITY/MILLBRAE
07,WKDY,0,110,16,15120,71520,16,15.0,0.1,55,,,23.0,,"",RICHMOND - DALY CITY/MILLBRAE
11,WKDY,1,152,22,14760,91680,21,16.2,2.7,76,,,17.8,,"",DUBLIN/PLEASANTON - DALY CITY
11,WKDY,0,152,22,14760,91680,21,16.4,4.2,76,,,17.8,,"",DUBLIN/PLEASANTON - DALY CITY
