stop_id,service_id,direction_id,numroutes,TripsServingStop,stop_name,stop_lat,stop_lon
12TH,SAT,0,3,140,12th St. Oakland City Center,37.803664,-122.271604
12TH,SAT,1,3,140,12th St. Oakland City Center,37.803664,-122.271604
12TH,SUN,0,2,100,12th St. Oakland City Center,37.803664,-122.271604
12TH,SUN,1,2,100,12th St. Oakland City Center,37.803664,-122.271604
12TH,WKDY,0,3,222,12th St. Oakland City Center,37.803664,-122.271604
12TH,WKDY,1,3,222,12th St. Oakland City Center,37.803664,-122.271604
16TH,SAT,0,4,167,16th St. Mission,37.765062,-122.419694
16TH,SAT,1,4,166,16th St. Mission,37.765062,-122.419694
16TH,SUN,0,2,99,16th St. Mission,37.765062,-122.419694
16TH,SUN,1,2,98,16th St. Mission,37.765062,-122.419694
16TH,WKDY,0,4,269,16th St. Mission,37.765062,-122.419694
16TH,WKDY,1,4,269,16th St. Mission,37.765062,-122.419694
19TH,SAT,0,3,140,19th St. Oakland,37.80787,-122.269029
19TH,SUN,0,2,100,19th St. Oakland,37.80787,-122.269029
19TH,WKDY,0,3,222,19th St. Oakland,37.80787,-122.269029
19TH_N,SAT,1,3,140,19th St. Oakland,37.80787,-122.269029
19TH_N,SUN,1,2,100,19th St. Oakland,37.80787,-122.269029
19TH_N,WKDY,1,3,222,19th St. Oakland,37.80787,-122.269029
24TH,SAT,0,4,167,24th St. Mission,37.752254,-122.418466
24TH,SAT,1,4,166,24th St. Mission,37.752254,-122.418466
24TH,SUN,0,2,99,24th St. Mission,37.752254,-122.418466
24TH,SUN,1,2,98,24th St. Mission,37.752254,-122.418466
24TH,WKDY,0,4,269,24th St. Mission,37.752254,-122.418466
24TH,WKDY,1,4,269,24th St. Mission,37.752254,-122.418466
ASHB,SAT,0,2,84,Ashby,37.853024,-122.26978
ASHB,SAT,1,2,84,Ashby,37.853024,-122.26978
ASHB,SUN,0,1,50,Ashby,37.853024,-122.26978
ASHB,SUN,1,1,50,Ashby,37.853024,-122.26978
ASHB,WKDY,0,2,131,Ashby,37.853024,-122.26978
ASHB,WKDY,1,2,131,Ashby,37.853024,-122.26978
BALB,SAT,0,4,167,Balboa Park,37.721981,-122.447414
BALB,SAT,1,4,165,Balboa Park,37.721981,-122.447414
BALB,SUN,0,2,99,Balboa Park,37.721981,-122.447414
BALB,SUN,1,2,98,Balboa Park,37.721981,-122.447414
BALB,WKDY,0,4,267,Balboa Park,37.721981,-122.447414
BALB,WKDY,1,4,267,Balboa Park,37.721981,-122.447414
BAYF,SAT,0,3,139,Bay Fair,37.697185,-122.126871
BAYF,SAT,1,3,139,Bay Fair,37.697185,-122.126871
BAYF,SUN,0,2,99,Bay Fair,37.697185,-122.126871
BAYF,SUN,1,2,99,Bay Fair,37.697185,-122.126871
BAYF,WKDY,0,3,204,Bay Fair,37.697185,-122.126871
BAYF,WKDY,1,3,204,Bay Fair,37.697185,-122.126871
CAST,SAT,0,1,55,Castro Valley,37.690754,-122.075567
CAST,SAT,1,1,56,Castro Valley,37.690754,-122.075567
CAST,SUN,0,1,49,Castro Valley,37.690754,-122.075567
CAST,SUN,1,1,50,Castro Valley,37.690754,-122.075567
CAST,WKDY,0,1,76,Castro Valley,37.690754,-122.075567
CAST,WKDY,1,1,76,Castro Valley,37.690754,-122.075567
