route_id,service_id,direction_id,numtripsperroute_both_dir,hours_of_service,first_departure_sec,last_departure_sec,span_of_service_hrs,route_avg_hdwy,route_stdev_hdwy,trips_per_day,average_speed,average_length_mi,w_avg_num_stops,avg_dist_bw_stops_ft,route_short_name,route_long_name
BCT1,11SEPTa,0,93,20,18900,86400,19,12.3,5.6,93,16.1,16.6,64.6,1375.1851982408660353323,1,""
BCT10,11SEPTa,0,69,19,19200,83460,18,15.9,6.3,67,20.7,20.0,93.9,1133.8345816877242240110,10,""
BCT11,11SEPTa,0,54,19,18000,83700,18,11.8,9.6,104,18.2,25.5,129.2,1042.5312557659208260624,11,""
BCT12,11SEPTa,0,27,15,21600,72660,14,30.2,23.1,27,18.2,22.8,88.4,1375.1966716949152541928,12,""
BCT14,11SEPTa,0,50,18,19800,82200,17,20.9,11.2,50,18.7,16.2,69.2,1251.9361044854881267772,14,""
BCT16,11SEPTa,0,30,15,21600,75000,15,29.8,5.0,30,21.1,17.6,55.0,1716.3457833333333334427,16,""
BCT18,11SEPTa,0,98,20,18000,87900,19,12.4,6.7,196,16.7,30.3,122.2,1307.9662251022964510970,18,""
BCT2,11SEPTa,0,69,20,19200,87600,19,8.5,7.0,136,17.7,28.6,114.6,1319.1133253827660381592,2,""
BCT20,11SEPTa,0,30,15,21600,75000,15,30.6,20.3,30,18.6,15.5,75.2,1100.4286809074573224081,20,""
BCT22,11SEPTa,0,68,19,19500,84900,18,16.4,7.5,68,18.9,18.9,69.5,1459.5264879639562325684,22,""
BCT28,11SEPTa,0,66,18,21600,85200,18,16.2,5.3,63,18.8,23.2,86.3,1438.5328215174129354050,28,""
BCT30,11SEPTa,0,62,17,21600,81300,17,16.3,9.1,62,18.4,11.2,44.7,1351.3200292205393422974,30,""
BCT31,11SEPTa,0,46,18,20100,82500,17,22.6,13.5,46,21.8,20.2,77.8,1389.6454136916548799273,31,""
BCT34,11SEPTa,0,46,17,20400,78300,16,20.5,13.8,46,18.5,14.7,57.0,1388.9381133928571427634,34,""
BCT36,11SEPTa,0,71,20,20400,86400,18,9.7,7.6,141,18.4,22.7,84.7,1414.6777281010974394079,36,""
BCT4,11SEPTa,0,41,16,21600,77700,16,23.3,12.9,41,18.1,17.2,78.2,1177.2226963676563486482,4,""
BCT40,11SEPTa,0,63,19,19800,82800,18,17.0,9.1,63,15.2,15.2,77.9,1044.4713874148958118285,40,""
BCT42,11SEPTa,0,34,18,20400,80100,17,30.0,14.5,33,19.5,14.1,50.9,1490.1542616607773852877,42,""
BCT48,11SEPTa,0,36,16,23400,76200,15,25.1,15.0,36,16.7,10.9,36.4,1628.7117989811912226703,48,""
BCT5,11SEPTa,0,30,15,25200,78600,15,30.6,23.6,30,17.0,15.0,61.0,1316.0173025000000000000,5,""
BCT50,11SEPTa,0,46,19,19800,82800,18,22.6,11.3,46,17.0,16.4,75.8,1153.9712497240778391751,50,""
BCT55,11SEPTa,0,40,16,21600,77400,16,23.8,12.2,40,19.6,18.4,76.2,1288.0567028248587570652,55,""
BCT6,11SEPTa,0,35,18,19200,82500,18,43.0,23.5,35,15.3,19.2,92.9,1102.4133490988191424429,6,""
BCT60,11SEPTa,0,63,19,19800,83460,18,16.7,5.8,63,18.7,18.4,82.8,1185.7183169221812537653,60,""
BCT62,11SEPTa,0,28,15,22800,72600,14,30.7,22.3,28,21.1,26.2,99.4,1407.8513666666666665380,62,""
BCT7,11SEPTa,0,68,19,18000,84600,19,16.6,7.5,68,16.3,17.4,63.8,1465.3649071428571427634,7,""
BCT72,11SEPTa,0,89,20,20100,88500,19,12.4,5.2,88,16.4,17.6,76.5,1230.7725771279761903512,72,""
BCT81,11SEPTa,0,68,19,20400,84900,18,18.4,10.0,68,17.7,21.9,98.8,1181.5125755000751993035,81,""
BCT83,11SEPTa,0,30,16,22800,75900,15,30.3,12.9,30,21.5,16.2,59.8,1453.5934200566572238202,83,""
BCT9,11SEPTa,0,33,18,21000,80400,17,30.7,4.9,32,18.7,22.6,100.1,1205.6238182874617737284,9,""
BCT1,11SEPTmuwtf,0,127,20,18300,86400,19,9.1,4.2,127,15.7,16.5,64.3,1376.7800758208955224860,1,""
BCT10,11SEPTmuwtf,0,69,19,19200,83760,18,24.3,8.0,67,19.3,20.2,94.8,1134.6711399103831890587,10,""
BCT101,11SEPTmuwtf,0,28,9,21600,69780,13,11.2,8.3,46,19.8,23.6,14.6,8707.4737885000000000000,101,""
BCT102,11SEPTmuwtf,0,24,10,19800,69900,14,21.1,8.7,24,24.2,33.2,21.5,8556.7599731707317074051,102,""
BCT107,11SEPTmuwtf,0,21,10,19800,71280,14,19.7,9.2,21,35.1,29.0,7.0,25536.8458539682539682748,107,""
BCT108,11SEPTmuwtf,0,24,11,20700,72600,14,16.8,7.7,24,36.2,23.6,6.4,23221.3766930232558140069,108,""
BCT11,11SEPTmuwtf,0,65,19,18000,83700,18,9.6,7.4,128,16.8,26.1,132.0,1043.2867287728702949287,11,""
BCT12,11SEPTmuwtf,0,37,15,19200,71880,15,23.3,15.9,37,17.7,22.8,88.4,1374.8375821329211747349,12,""
BCT14,11SEPTmuwtf,0,81,18,18000,82260,18,14.1,7.0,81,17.9,16.2,69.4,1252.4489541087231351482,14,""
BCT16,11SEPTmuwtf,0,42,15,21600,75000,15,25.8,8.7,42,20.3,17.6,55.0,1716.3457833333333334427,16,""
BCT18,11SEPTmuwtf,0,132,21,16800,88260,20,13.5,4.4,264,16.1,30.6,123.4,1309.4715715469613259596,18,""
BCT2,11SEPTmuwtf,0,90,20,18000,87900,19,14.2,8.1,174,16.4,28.3,113.1,1319.7519683113819539764,2,""
BCT20,11SEPTmuwtf,0,41,17,20400,78600,16,22.5,14.1,41,16.5,15.4,74.9,1099.6097047886393657651,20,""
BCT22,11SEPTmuwtf,0,124,19,18000,86100,19,9.5,5.9,124,16.7,15.6,58.3,1440.2349977039019578812,22,""
BCT28,11SEPTmuwtf,0,86,19,18600,85200,19,13.5,5.1,81,18.4,23.0,85.3,1438.6642240756070640278,28,""
BCT30,11SEPTmuwtf,0,88,18,19800,81300,17,11.8,6.8,88,16.7,11.3,45.0,1352.6183488636363637855,30,""
BCT31,11SEPTmuwtf,0,85,18,18300,82500,18,12.9,6.3,85,19.8,20.9,79.9,1395.7779538840017892089,31,""
BCT34,11SEPTmuwtf,0,77,18,18000,81900,18,13.6,9.7,77,17.8,14.7,56.9,1388.9341432783840260233,34,""
BCT36,11SEPTmuwtf,0,102,20,18600,86400,19,7.5,5.3,203,17.9,22.7,84.7,1411.8623211153534651884,36,""
BCT4,11SEPTmuwtf,0,44,18,18900,80400,17,23.8,14.3,44,17.8,17.4,79.0,1175.6517057692307693822,4,""
