stop_id,service_id,direction_id,numroutes,TripsServingStop,stop_name,stop_lat,stop_lon
1000,11SEPTa,0,4,89,NW 2 S/NW 4 A,26.124099,-80.147884
1001,11SEPTa,0,1,14,NOB HILL R/WESTWOOD D,26.210591,-80.285159
1005,11SEPTa,0,2,56,SISTRUNK B/NW 8 A,26.129549,-80.15245
1009,11SEPTa,0,1,25,NW 22 R/NW 6 C,26.129646,-80.170635
1013,11SEPTa,0,1,25,NW 27 A/NW 11 C,26.139232,-80.178455
1014,11SEPTa,0,1,25,NW 27 A/NW 14 S,26.142955,-80.178502
1015,11SEPTa,0,1,14,NOB HILL R/NW 77 S,26.218354,-80.287792
1016,11SEPTa,0,1,23,NW 31 A/NW 24 S,26.154686,-80.186773
1017,11SEPTa,0,1,23,NW 31 A/NW 26 S,26.158331,-80.186818
1022,11SEPTa,0,1,45,OAKLAND PARK B/NW 27 A,26.165317,-80.179184
1026,11SEPTa,0,1,27,NW 21 A/NW 27 S,26.160848,-80.170884
1028,11SEPTa,0,1,23,SAMPLE R/TURTLE RUN B,26.273737,-80.211935
103,11SEPTa,0,1,46,US1/SE 13 T,26.035916,-80.143166
1036,11SEPTa,0,1,23,SAMPLE R/#2301 SOCIAL SECURITY,26.274621,-80.154514
1038,11SEPTa,0,1,27,NW 27 A/NW 13 S,26.141766,-80.178584
1039,11SEPTa,0,1,27,NW 27 A/NW 11 P,26.139282,-80.178565
1042,11SEPTa,0,2,59,SISTRUNK B/NW 21T,26.129012,-80.17085
1043,11SEPTa,0,2,59,SISTRUNK B/NW 21 A,26.1291,-80.168399
1046,11SEPTa,0,2,59,SISTRUNK B/NW 15 W,26.129182,-80.163134
1047,11SEPTa,0,2,59,SISTRUNK B/NW 15 A,26.129201,-80.16165
1048,11SEPTa,0,2,59,SISTRUNK B/NW 13 A,26.129267,-80.158882
1049,11SEPTa,0,2,59,SISTRUNK B/NW 7 T,26.129458,-80.151917
1056,11SEPTa,0,1,13,SHERIDAN S/N 24 A,26.033517,-80.155699
1058,11SEPTa,0,1,13,SHERIDAN S/N PARK R,26.033151,-80.175782
1063,11SEPTa,0,1,13,SHERIDAN S/#4905 SHERIDAN PLZ,26.032751,-80.193618
1068,11SEPTa,0,1,13,SHERIDAN S/US 441,26.032279,-80.209228
1069,11SEPTa,0,1,13,SHERIDAN S/N 61 A,26.032366,-80.211067
107,11SEPTa,0,1,46,US1/SE 3 T,26.0461,-80.143366
1073,11SEPTa,0,1,14,SHERIDAN S/US 441,26.032027,-80.207932
1076,11SEPTa,0,1,14,SHERIDAN S/N 56 T,26.032156,-80.201299
1077,11SEPTa,0,1,14,SHERIDAN S/N 52 A SHERDAN TECH CTR,26.032451,-80.198032
1081,11SEPTa,0,1,14,SHERIDAN S/N 40 A,26.032683,-80.18585
1082,11SEPTa,0,1,14,SHERIDAN S/N 40 A,26.032718,-80.183751
1083,11SEPTa,0,1,14,SHERIDAN S/N 37 A,26.032784,-80.180782
1087,11SEPTa,0,1,14,SHERIDAN ST & N 26 AVE,26.033192,-80.158884
1088,11SEPTa,0,1,14,SHERIDAN S/N 23 A,26.033316,-80.153282
1089,11SEPTa,0,2,48,NW 7 A/SISTRUNK B,26.129901,-80.150615
109,11SEPTa,0,1,46,US1/SE 1 S,26.050783,-80.143517
1091,11SEPTa,0,2,58,SUNRISE B/POWERLINE R,26.136691,-80.154349
1093,11SEPTa,0,1,23,NW 15 A/NW 14 C,26.144016,-80.162267
1097,11SEPTa,0,1,25,POWERLINE R/NW 23 S,26.157101,-80.154317
1098,11SEPTa,0,1,25,POWERLINE R/NW 28 S,26.160634,-80.154399
1099,11SEPTa,0,1,25,POWERLINE R/NW 29 S,26.163218,-80.154417
110,11SEPTa,0,1,46,US1/NE 1 S,26.054509,-80.143618
1101,11SEPTa,0,1,25,POWERLINE R/NW 34 S,26.169884,-80.154533
1104,11SEPTa,0,1,25,POWERLINE R/NW 51 P,26.19125,-80.155099
1113,11SEPTa,0,1,25,POWERLINE R/PALM AIRE D,26.224367,-80.1564
1114,11SEPTa,0,1,25,POWERLINE R/POMPANO PARK D,26.22735,-80.156467
1115,11SEPTa,0,1,30,NW 27 A/ATLANTIC B,26.231743,-80.159321
1117,11SEPTa,0,1,30,NW 27 A/NW 6 S,26.236751,-80.159382
1119,11SEPTa,0,1,25,POWERLINE R/NW 10 C,26.241033,-80.151633
1123,11SEPTa,0,1,31,MLK JR B/POWERLINE R,26.242918,-80.150762
1124,11SEPTa,0,1,31,MLK JR B/NW 16 A,26.238933,-80.14455
1125,11SEPTa,0,1,31,MLK JR B/NW 13 A,26.236266,-80.140284
1127,11SEPTa,0,1,31,MLK JR B/NW 7 A,26.234002,-80.131951
1130,11SEPTa,0,1,15,NW 16 S/NW 5 A,26.249166,-80.130185
1132,11SEPTa,0,1,16,ATLANTIC B/SE 15 A,26.231589,-80.10809
1133,11SEPTa,0,1,16,ATLANTIC B/SE 18 A,26.231611,-80.105998
1134,11SEPTa,0,1,16,ATLANTIC B/SE 22 A,26.231675,-80.102065
1136,11SEPTa,0,1,25,A1A/NE 2 S,26.235066,-80.09057
1137,11SEPTa,0,1,25,A1A/NE 3 S,26.236715,-80.090267
1138,11SEPTa,0,1,25,A1A/NE 5 S,26.239584,-80.088414
114,11SEPTa,0,1,46,US1/SE 23 S,26.093618,-80.136451
1142,11SEPTa,0,1,27,A1A/NE 11 S,26.247784,-80.087032
1145,11SEPTa,0,1,27,A1A/NE 5 C,26.240626,-80.08833
1147,11SEPTa,0,1,27,A1A/NE 3 S,26.236551,-80.090399
1148,11SEPTa,0,1,27,A1A/ATLANTIC B,26.233751,-80.090934
1151,11SEPTa,0,1,17,ATLANTIC B/NE 17 A,26.231868,-80.106496
1153,11SEPTa,0,1,15,NW 16 S/NW 6 A,26.249251,-80.130617
1154,11SEPTa,0,1,15,NW 6 A/NW 15 S,26.245249,-80.130784
1155,11SEPTa,0,1,15,NW 6 A/NW 10 S,26.240516,-80.130566
1157,11SEPTa,0,1,15,NW 6 A/MLK JR B,26.234617,-80.130482
1158,11SEPTa,0,1,32,MLK JR B/NW 7 A,26.234259,-80.1318
1160,11SEPTa,0,1,32,MLK JR B/POWERLINE R,26.243367,-80.151
1165,11SEPTa,0,1,25,POWERLINE R/PROSPECT R,26.180632,-80.154916
1168,11SEPTa,0,1,30,NW 27 A/NW 6 S,26.236636,-80.159487
117,11SEPTa,0,2,75,SE 17 S/US 1,26.100317,-80.137882
1171,11SEPTa,0,1,25,POWERLINE R/N COURSE D,26.226218,-80.156701
1173,11SEPTa,0,1,25,POWERLINE R/S COURSE D,26.222266,-80.156583
1174,11SEPTa,0,1,25,POWERLINE R/POMPANO PARK 1,26.219,-80.156451
1176,11SEPTa,0,1,25,POWERLINE R/GATEWAY D,26.211884,-80.156212
1179,11SEPTa,0,1,25,POWERLINE R/NW 62 S,26.202432,-80.155878
