route_id,stop_id,service_id,direction_id,avghdwy,stdev_hdwy,stop_name,stop_lat,stop_lon,route_short_name,route_long_name
BCT1,10,11SEPTa,0,23.4,4.7,SE 17 ST & SE 3 AVE,26.100818,-80.139393,1,""
BCT40,10,11SEPTa,0,32.0,7.6,SE 17 ST & SE 3 AVE,26.100818,-80.139393,40,""
BCT1,100,11SEPTa,0,24.0,5.1,US1/HARDING S,26.029082,-80.143133,1,""
BCT11,1000,11SEPTa,0,40.0,0.0,NW 2 S/NW 4 A,26.124099,-80.147884,11,""
BCT14,1000,11SEPTa,0,40.8,4.0,NW 2 S/NW 4 A,26.124099,-80.147884,14,""
BCT31,1000,11SEPTa,0,45.0,0.0,NW 2 S/NW 4 A,26.124099,-80.147884,31,""
BCT6,1000,11SEPTa,0,60.0,0.0,NW 2 S/NW 4 A,26.124099,-80.147884,6,""
BCT62,1001,11SEPTa,0,59.9,0.6,NOB HILL R/WESTWOOD D,26.210591,-80.285159,62,""
BCT62,1002,11SEPTa,0,59.7,1.3,NOB HILL R/WESTWOOD D,26.210846,-80.285035,62,""
BCT62,1003,11SEPTa,0,59.7,1.3,NOB HILL R/NW 71 P,26.212732,-80.286332,62,""
BCT11,1004,11SEPTa,0,40.0,0.0,NW 7 A/NW 5 S,26.127433,-80.150517,11,""
BCT14,1004,11SEPTa,0,40.8,4.0,NW 7 A/NW 5 S,26.127433,-80.150517,14,""
BCT31,1004,11SEPTa,0,45.0,0.0,NW 7 A/NW 5 S,26.127433,-80.150517,31,""
BCT11,1005,11SEPTa,0,40.0,0.0,SISTRUNK B/NW 8 A,26.129549,-80.15245,11,""
BCT40,1005,11SEPTa,0,31.5,6.5,SISTRUNK B/NW 8 A,26.129549,-80.15245,40,""
BCT11,1006,11SEPTa,0,40.0,0.0,SISTRUNK B/NW 14 T,26.1294,-80.160417,11,""
BCT40,1006,11SEPTa,0,31.5,6.5,SISTRUNK B/NW 14 T,26.1294,-80.160417,40,""
BCT11,1007,11SEPTa,0,40.0,0.2,SISTRUNK B/NW 15 A,26.129367,-80.162301,11,""
BCT40,1007,11SEPTa,0,31.5,6.5,SISTRUNK B/NW 15 A,26.129367,-80.162301,40,""
BCT11,1008,11SEPTa,0,40.0,0.0,SISTRUNK B/NW 19 A,26.129251,-80.167483,11,""
BCT40,1008,11SEPTa,0,31.5,6.5,SISTRUNK B/NW 19 A,26.129251,-80.167483,40,""
BCT11,1009,11SEPTa,0,40.0,0.0,NW 22 R/NW 6 C,26.129646,-80.170635,11,""
BCT1,101,11SEPTa,0,24.0,5.1,US1 & THOMAS ST,26.032505,-80.143154,1,""
BCT11,1010,11SEPTa,0,40.0,0.2,NW 22 RD & NW 22 AVE,26.130668,-80.171816,11,""
BCT11,1011,11SEPTa,0,40.0,0.2,NW 22 R/NW 8 S,26.132349,-80.173734,11,""
BCT11,1012,11SEPTa,0,40.0,0.2,NW 27 A/SUNRISE B,26.137001,-80.178416,11,""
BCT11,1013,11SEPTa,0,40.0,0.2,NW 27 A/NW 11 C,26.139232,-80.178455,11,""
BCT11,1014,11SEPTa,0,40.0,0.5,NW 27 A/NW 14 S,26.142955,-80.178502,11,""
BCT62,1015,11SEPTa,0,59.7,1.3,NOB HILL R/NW 77 S,26.218354,-80.287792,62,""
