route_id,service_id,direction_id,numtripsperroute_both_dir,hours_of_service,first_departure_sec,last_departure_sec,span_of_service_hrs,route_avg_hdwy,route_stdev_hdwy,trips_per_day,average_speed,average_length_mi,w_avg_num_stops,avg_dist_bw_stops_ft,route_short_name,route_long_name
ct_local_20120701,ST_20120701,1,4,6,25200,92220,19,,,2,36.9,59.0,24.0,13554.1533652173913042765,"",Local
ct_local_20120701,ST_20120701,0,4,6,25200,92220,19,,,2,36.9,59.0,24.0,13554.1533652173913042765,"",Local
ct_bullet_20120701,WD_20120701,0,22,9,20700,70740,14,29.0,9.9,11,59.5,59.7,7.0,52522.456790909089716,"",Bullet
ct_bullet_20120701,WD_20120701,1,22,9,20700,70740,14,29.5,12.4,11,59.5,59.7,7.0,52522.456790909089716,"",Bullet
ct_limited_20120701,WD_20120701,0,36,12,21000,73140,14,21.5,8.6,18,44.3,66.6,16.2,23153.1805252747252748731,"",Limited
ct_limited_20120701,WD_20120701,1,36,12,21000,73140,14,22.0,11.7,18,44.7,64.5,15.8,22927.4657932584269663290,"",Limited
ct_local_20120701,WD_20120701,0,28,21,16200,91920,21,55.6,9.0,14,38.6,59.6,22.3,14770.8682228187919461722,"",Local
ct_local_20120701,WD_20120701,1,28,21,16200,91920,21,60.0,12.0,14,38.8,62.3,22.7,15134.5514703947368421398,"",Local
ct_bullet_20120701,WE_20120701,1,4,8,38100,72180,9,,,2,55.4,59.0,9.0,38968.190925000000000,"",Bullet
ct_bullet_20120701,WE_20120701,0,4,8,38100,72180,9,,,2,55.4,59.0,9.0,38968.190925000000000,"",Bullet
ct_local_20120701,WE_20120701,1,28,15,28800,82260,15,60.0,0.0,14,36.9,59.0,24.0,13554.1533652173913042765,"",Local
ct_local_20120701,WE_20120701,0,28,15,28800,82260,15,60.0,0.0,14,36.9,59.0,24.0,13554.1533652173913042765,"",Local
