route_id,service_id,direction_id,numtripsperroute_both_dir,hours_of_service,first_departure_sec,last_departure_sec,span_of_service_hrs,route_avg_hdwy,route_stdev_hdwy,trips_per_day,average_speed,average_length_mi,w_avg_num_stops,avg_dist_bw_stops_ft,route_short_name,route_long_name
10,a1,0,89,21,16140,89520,20,25.6,3.4,46,15.6,22.6,95.6,1258.4606163870374627144,10,SOUTH 1ST/RED RIVER
10,a1,1,89,21,16140,89520,20,26.1,6.3,43,14.8,23.1,99.0,1241.4605931451612904141,10,SOUTH 1ST/RED RIVER
10,a21,1,70,20,19320,88200,19,31.9,3.9,35,16.2,22.7,97.5,1240.1508444609004738870,10,SOUTH 1ST/RED RIVER
10,a21,0,70,20,19320,88200,19,32.0,4.4,35,16.6,22.4,94.9,1258.1025942500760573102,10,SOUTH 1ST/RED RIVER
10,a22,1,59,17,22380,82560,17,33.2,7.1,29,16.5,22.6,97.5,1235.4357578778135048970,10,SOUTH 1ST/RED RIVER
10,a22,0,59,17,22380,82560,17,32.2,4.4,30,16.8,22.2,94.1,1255.5451920873612602560,10,SOUTH 1ST/RED RIVER
10,a4,0,70,20,19320,88200,19,32.0,4.0,35,16.6,22.4,94.9,1258.1025942500760573102,10,SOUTH 1ST/RED RIVER
10,a4,1,70,20,19320,88200,19,31.9,3.9,35,16.2,22.7,97.5,1240.1508444609004738870,10,SOUTH 1ST/RED RIVER
10,a5,0,59,17,22380,82560,17,32.2,4.4,30,16.8,22.2,94.1,1255.5451920873612602560,10,SOUTH 1ST/RED RIVER
10,a5,1,59,17,22380,82560,17,33.2,7.1,29,16.5,22.6,97.5,1235.4357578778135048970,10,SOUTH 1ST/RED RIVER
10,b1000,0,89,21,16140,89400,20,25.7,3.4,46,15.3,22.6,95.6,1258.4606163870374627144,10,SOUTH 1ST/RED RIVER
10,b1000,1,89,21,16140,89400,20,26.0,6.2,43,14.4,23.1,99.0,1241.4605931451612904141,10,SOUTH 1ST/RED RIVER
10,b2100,0,70,20,19380,88260,19,31.9,4.3,35,16.6,22.4,94.9,1258.1025942500760573102,10,SOUTH 1ST/RED RIVER
10,b2100,1,70,20,19380,88260,19,31.8,4.0,35,15.8,22.7,97.5,1240.1508444609004738870,10,SOUTH 1ST/RED RIVER
10,b4000,0,70,20,19380,88260,19,32.0,4.0,35,16.6,22.4,94.9,1258.1025942500760573102,10,SOUTH 1ST/RED RIVER
10,b4000,1,70,20,19380,88260,19,31.8,3.9,35,15.8,22.7,97.5,1240.1508444609004738870,10,SOUTH 1ST/RED RIVER
10,b5000,1,59,17,22560,82320,17,33.1,6.4,29,16.4,22.6,97.5,1235.4357578778135048970,10,SOUTH 1ST/RED RIVER
