stop_id,service_id,direction_id,numroutes,TripsServingStop,stop_name,stop_lat,stop_lon
1005,a1,1,1,44,2507 RIVERSIDE/PLEASANT VALLEY,30.233867,-97.72376
1009,a1,1,1,44,2401 WICKERSHAM/OLTORF,30.226039,-97.723488
1013,a1,1,1,44,4825 RIVERSIDE/KIRKSEY,30.231316,-97.717041
1014,a1,1,1,44,5100 RIVERSIDE/RIVERSIDE FARMS,30.230355,-97.714648
1015,a1,1,1,44,5401 RIVERSIDE/FARO,30.229169,-97.712324
1016,a1,1,1,44,5500 RIVERSIDE/PENICK,30.228277,-97.710766
1017,a1,0,3,123,RUIZ LIBRARY,30.229539,-97.706558
1017,a1,1,1,32,RUIZ LIBRARY,30.229539,-97.706558
1021,a1,0,2,80,4823 RIVERSIDE/CROSSING PLACE,30.231928,-97.717861
1022,a1,0,1,43,2100 WICKERSHAM/RIVERSIDE,30.231526,-97.720884
1028,a1,0,1,43,2209 PLEASANT VALLEY/SHERINGHAM,30.231097,-97.725299
1028,a1,1,1,56,2209 PLEASANT VALLEY/SHERINGHAM,30.231097,-97.725299
1031,a1,0,1,43,2100 RIVERSIDE/TINNIN FORD,30.24014,-97.72678
1038,a1,0,2,27,400 CESAR CHAVEZ/TRINITY,30.26246,-97.74084
1038,a1,1,1,56,400 CESAR CHAVEZ/TRINITY,30.26246,-97.74084
1042,a1,0,2,25,2231 GUADALUPE/WEST MALL UT,30.285736,-97.741599
1042,a1,1,8,260,2231 GUADALUPE/WEST MALL UT,30.285736,-97.741599
1043,a1,1,1,38,2425 GUADALUPE/25TH,30.288664,-97.741399
1046,a1,1,1,38,3005 SPEEDWAY/SAN JACINTO,30.29347,-97.7356
1049,a1,1,1,38,SPEEDWAY/35TH,30.299217,-97.734341
1056,a1,0,1,34,636 45TH/GUADALUPE,30.31125,-97.733468
1056,a1,1,1,38,636 45TH/GUADALUPE,30.31125,-97.733468
1057,a1,1,1,38,918 45TH/LAMAR,30.313397,-97.737245
1058,a1,1,1,38,4701 SUNSHINE/LAMAR,30.316285,-97.73582
1063,a1,1,1,38,5223 WOODROW/NORTH LOOP,30.324061,-97.735824
1066,a1,1,1,38,5701 WOODROW/THECKLA,30.329034,-97.732673
1068,a1,1,1,38,WOODROW/ALGUNO,30.332811,-97.730682
1069,a1,1,1,38,WOODROW/ALEGRIA,30.334573,-97.730128
1074,a1,1,1,38,7115 WOODROW/PIEDMONT,30.342849,-97.724984
1076,a1,1,1,38,WOODROW/MORROW,30.34743,-97.723761
1077,a1,1,1,38,7717 WOODROW/PRINCETON,30.34989,-97.72302
1082,a1,0,2,55,6010 TECHNI CENTER/ED BLUESTEIN,30.2766,-97.66973
1082,a1,1,2,57,6010 TECHNI CENTER/ED BLUESTEIN,30.2766,-97.66973
1083,a1,0,2,55,5600 SAMUEL HUSTON/TANNEHILL,30.279327,-97.673725
1086,a1,0,1,31,1200 DELANO/HUDSON,30.27344,-97.67808
1087,a1,0,1,31,HUDSON/ELEANOR,30.27398,-97.67936
1088,a1,0,1,31,1307 FORT BRANCH/ELEANOR,30.277068,-97.680092
1089,a1,0,1,31,1420 WEBBERVILLE/FORT BRANCH,30.27989,-97.681063
1091,a1,0,1,31,12TH/WEBBERVILLE,30.278301,-97.685341
1093,a1,0,1,31,12TH/COMETA,30.278639,-97.689538
1097,a1,0,1,31,3100 12TH/MCKINLEY,30.276654,-97.702258
1098,a1,0,1,31,12TH/HARVEY,30.276346,-97.70424
1099,a1,0,1,31,2900 12TH/ALEXANDER,30.275723,-97.708093
1101,a1,0,1,31,12TH/CEDAR,30.274879,-97.713399
1104,a1,0,1,31,1900 12TH/CHICON,30.273852,-97.719761
1113,a1,1,1,32,12TH/BRANCH,30.27191,-97.73128
1114,a1,1,1,32,12TH/NAVASOTA,30.272429,-97.727843
1115,a1,1,1,32,1301 12TH/SAN BERNARD,30.27271,-97.72615
