route_id,stop_id,service_id,direction_id,avghdwy,stdev_hdwy,stop_name,stop_lat,stop_lon,route_short_name,route_long_name
100,1002,a1,1,30.0,0.9,RIVERSIDE/BURTON,30.240289,-97.727255,100,AIRPORT FLYER
20,1002,a1,1,27.3,8.8,RIVERSIDE/BURTON,30.240289,-97.727255,20,MANOR RD/RIVERSIDE
7,1002,a1,0,18.9,5.3,RIVERSIDE/BURTON,30.240289,-97.727255,7,DUVAL / DOVE SPRINGS
20,1003,a1,1,27.3,8.8,2237 RIVERSIDE/WILLOW CREEK,30.238275,-97.726015,20,MANOR RD/RIVERSIDE
20,1005,a1,1,27.3,8.8,2507 RIVERSIDE/PLEASANT VALLEY,30.233867,-97.72376,20,MANOR RD/RIVERSIDE
20,1006,a1,1,27.3,8.8,2104 PLEASANT VALLEY/WILLOW HILL,30.232599,-97.724681,20,MANOR RD/RIVERSIDE
300,1006,a1,0,20.3,7.1,2104 PLEASANT VALLEY/WILLOW HILL,30.232599,-97.724681,300,GOVALLE
320,1006,a1,1,30.8,1.8,2104 PLEASANT VALLEY/WILLOW HILL,30.232599,-97.724681,320,ST JOHNS
20,1008,a1,1,27.3,8.8,4411 OLTORF/HUNTWICK,30.226655,-97.726263,20,MANOR RD/RIVERSIDE
331,1008,a1,1,22.4,7.8,4411 OLTORF/HUNTWICK,30.226655,-97.726263,331,OLTORF
20,1009,a1,1,27.3,8.8,2401 WICKERSHAM/OLTORF,30.226039,-97.723488,20,MANOR RD/RIVERSIDE
20,1010,a1,1,27.3,8.8,WICKERSHAM/CROMWELL,30.227021,-97.721847,20,MANOR RD/RIVERSIDE
20,1011,a1,1,27.3,8.8,2207 WICKERSHAM/SHERINGHAM,30.229237,-97.721378,20,MANOR RD/RIVERSIDE
20,1012,a1,1,27.3,8.8,2001 WICKERSHAM/RIVERSIDE,30.232126,-97.720383,20,MANOR RD/RIVERSIDE
20,1013,a1,1,27.3,8.8,4825 RIVERSIDE/KIRKSEY,30.231316,-97.717041,20,MANOR RD/RIVERSIDE
20,1014,a1,1,27.3,8.8,5100 RIVERSIDE/RIVERSIDE FARMS,30.230355,-97.714648,20,MANOR RD/RIVERSIDE
20,1015,a1,1,27.3,8.8,5401 RIVERSIDE/FARO,30.229169,-97.712324,20,MANOR RD/RIVERSIDE
20,1016,a1,1,27.3,8.8,5500 RIVERSIDE/PENICK,30.228277,-97.710766,20,MANOR RD/RIVERSIDE
20,1017,a1,0,26.7,8.9,RUIZ LIBRARY,30.229539,-97.706558,20,MANOR RD/RIVERSIDE
331,1017,a1,0,22.1,9.8,RUIZ LIBRARY,30.229539,-97.706558,331,OLTORF
350,1017,a1,0,30.9,2.9,RUIZ LIBRARY,30.229539,-97.706558,350,AIRPORT BLVD
