stop_id,service_id,direction_id,numroutes,TripsServingStop,stop_name,stop_lat,stop_lon
5534,a1001,0,1,16,DOWNTOWN STATION,30.265012,-97.739296
5534,a1001,1,1,16,DOWNTOWN STATION,30.265012,-97.739296
5535,a1001,0,1,16,PLAZA SALTILLO STATION,30.262242,-97.727578
5535,a1001,1,1,16,PLAZA SALTILLO STATION,30.262242,-97.727578
5536,a1001,0,1,16,M L KING JR STATION,30.279818,-97.709031
5536,a1001,1,1,16,M L KING JR STATION,30.279818,-97.709031
5537,a1001,0,1,16,HIGHLAND STATION,30.328601,-97.716203
5537,a1001,1,1,16,HIGHLAND STATION,30.328601,-97.716203
5538,a1001,0,1,16,CRESTVIEW STATION,30.338448,-97.719656
5538,a1001,1,1,16,CRESTVIEW STATION,30.338448,-97.719656
5539,a1001,0,1,16,KRAMER STATION,30.392786,-97.7164
5539,a1001,1,1,16,KRAMER STATION,30.392786,-97.7164
5540,a1001,0,1,14,HOWARD STATION,30.43999,-97.701734
5540,a1001,1,1,15,HOWARD STATION,30.43999,-97.701734
5541,a1001,0,1,14,LAKELINE STATION,30.48103,-97.786543
5541,a1001,1,1,14,LAKELINE STATION,30.48103,-97.786543
5542,a1001,0,1,6,LEANDER STATION,30.586401,-97.855735
5542,a1001,1,1,6,LEANDER STATION,30.586401,-97.855735
5534,a1101,0,1,22,DOWNTOWN STATION,30.265012,-97.739296
5534,a1101,1,1,22,DOWNTOWN STATION,30.265012,-97.739296
5535,a1101,0,1,22,PLAZA SALTILLO STATION,30.262242,-97.727578
5535,a1101,1,1,22,PLAZA SALTILLO STATION,30.262242,-97.727578
5536,a1101,0,1,22,M L KING JR STATION,30.279818,-97.709031
5536,a1101,1,1,22,M L KING JR STATION,30.279818,-97.709031
5537,a1101,0,1,22,HIGHLAND STATION,30.328601,-97.716203
5537,a1101,1,1,22,HIGHLAND STATION,30.328601,-97.716203
5538,a1101,0,1,22,CRESTVIEW STATION,30.338448,-97.719656
5538,a1101,1,1,22,CRESTVIEW STATION,30.338448,-97.719656
5539,a1101,0,1,22,KRAMER STATION,30.392786,-97.7164
5539,a1101,1,1,22,KRAMER STATION,30.392786,-97.7164
5540,a1101,0,1,20,HOWARD STATION,30.43999,-97.701734
5540,a1101,1,1,21,HOWARD STATION,30.43999,-97.701734
5541,a1101,0,1,20,LAKELINE STATION,30.48103,-97.786543
5541,a1101,1,1,20,LAKELINE STATION,30.48103,-97.786543
5542,a1101,0,1,12,LEANDER STATION,30.586401,-97.855735
5542,a1101,1,1,12,LEANDER STATION,30.586401,-97.855735
5534,a1210,0,1,14,DOWNTOWN STATION,30.265012,-97.739296
5534,a1210,1,1,14,DOWNTOWN STATION,30.265012,-97.739296
5535,a1210,0,1,14,PLAZA SALTILLO STATION,30.262242,-97.727578
5535,a1210,1,1,14,PLAZA SALTILLO STATION,30.262242,-97.727578
5536,a1210,0,1,14,M L KING JR STATION,30.279818,-97.709031
5536,a1210,1,1,14,M L KING JR STATION,30.279818,-97.709031
5537,a1210,0,1,14,HIGHLAND STATION,30.328601,-97.716203
5537,a1210,1,1,14,HIGHLAND STATION,30.328601,-97.716203
5538,a1210,0,1,14,CRESTVIEW STATION,30.338448,-97.719656
5538,a1210,1,1,14,CRESTVIEW STATION,30.338448,-97.719656
5539,a1210,0,1,14,KRAMER STATION,30.392786,-97.7164
5539,a1210,1,1,14,KRAMER STATION,30.392786,-97.7164
5540,a1210,0,1,13,HOWARD STATION,30.43999,-97.701734
5540,a1210,1,1,14,HOWARD STATION,30.43999,-97.701734
5541,a1210,0,1,12,LAKELINE STATION,30.48103,-97.786543
5541,a1210,1,1,14,LAKELINE STATION,30.48103,-97.786543
5534,a1220,0,1,24,DOWNTOWN STATION,30.265012,-97.739296
5534,a1220,1,1,24,DOWNTOWN STATION,30.265012,-97.739296
5535,a1220,0,1,24,PLAZA SALTILLO STATION,30.262242,-97.727578
5535,a1220,1,1,24,PLAZA SALTILLO STATION,30.262242,-97.727578
5536,a1220,0,1,24,M L KING JR STATION,30.279818,-97.709031
5536,a1220,1,1,24,M L KING JR STATION,30.279818,-97.709031
5537,a1220,0,1,24,HIGHLAND STATION,30.328601,-97.716203
5537,a1220,1,1,24,HIGHLAND STATION,30.328601,-97.716203
5538,a1220,0,1,24,CRESTVIEW STATION,30.338448,-97.719656
5538,a1220,1,1,24,CRESTVIEW STATION,30.338448,-97.719656
5539,a1220,0,1,24,KRAMER STATION,30.392786,-97.7164
5539,a1220,1,1,24,KRAMER STATION,30.392786,-97.7164
5540,a1220,0,1,23,HOWARD STATION,30.43999,-97.701734
5540,a1220,1,1,24,HOWARD STATION,30.43999,-97.701734
5541,a1220,0,1,22,LAKELINE STATION,30.48103,-97.786543
5541,a1220,1,1,24,LAKELINE STATION,30.48103,-97.786543
5534,b1133,0,1,18,DOWNTOWN STATION,30.265012,-97.739296
5534,b1133,1,1,18,DOWNTOWN STATION,30.265012,-97.739296
5535,b1133,0,1,18,PLAZA SALTILLO STATION,30.262242,-97.727578
5535,b1133,1,1,18,PLAZA SALTILLO STATION,30.262242,-97.727578
5536,b1133,0,1,19,M L KING JR STATION,30.279818,-97.709031
5536,b1133,1,1,18,M L KING JR STATION,30.279818,-97.709031
5537,b1133,0,1,18,HIGHLAND STATION,30.328601,-97.716203
5537,b1133,1,1,18,HIGHLAND STATION,30.328601,-97.716203
5538,b1133,0,1,18,CRESTVIEW STATION,30.338448,-97.719656
5538,b1133,1,1,18,CRESTVIEW STATION,30.338448,-97.719656
5539,b1133,0,1,18,KRAMER STATION,30.392786,-97.7164
5539,b1133,1,1,19,KRAMER STATION,30.392786,-97.7164
5540,b1133,0,1,18,HOWARD STATION,30.43999,-97.701734
5540,b1133,1,1,18,HOWARD STATION,30.43999,-97.701734
5541,b1133,0,1,15,LAKELINE STATION,30.48103,-97.786543
5541,b1133,1,1,15,LAKELINE STATION,30.48103,-97.786543
5542,b1133,0,1,8,LEANDER STATION,30.586401,-97.855735
5542,b1133,1,1,8,LEANDER STATION,30.586401,-97.855735
5534,b1134,0,1,24,DOWNTOWN STATION,30.265012,-97.739296
5534,b1134,1,1,24,DOWNTOWN STATION,30.265012,-97.739296
