route_id,service_id,direction_id,numtripsperroute_both_dir,hours_of_service,first_departure_sec,last_departure_sec,span_of_service_hrs,route_avg_hdwy,route_stdev_hdwy,trips_per_day,average_speed,average_length_mi,w_avg_num_stops,avg_dist_bw_stops_ft,route_short_name,route_long_name
100-132,MAY12-Albany-Saturday-02,0,59,18,27000,87180,17,17.0,6.9,60,12.0,8.6,49.0,0.00000000000000000000000,100,Mid City Belt
100-132,MAY12-Albany-Saturday-02,1,59,18,27000,87180,17,17.0,7.0,58,12.0,8.6,54.0,0.00000000000000000000000,100,Mid City Belt
10-132,MAY12-Albany-Saturday-02,0,94,19,23400,86880,18,21.9,4.0,47,16.2,10.8,45.0,1299.9172863636363637855,10,Western Avenue
10-132,MAY12-Albany-Saturday-02,1,94,19,23400,86880,18,21.8,3.8,47,15.9,10.8,46.0,1261.5226266666666665573,10,Western Avenue
1-132,MAY12-Albany-Saturday-02,0,78,21,18300,91500,20,30.0,0.0,39,15.4,10.3,39.0,1425.4649868421052632097,1,Central Avenue
1-132,MAY12-Albany-Saturday-02,1,78,21,18300,91500,20,30.0,0.0,39,14.3,8.3,33.0,1371.8988843750000000000,1,Central Avenue
114-132,MAY12-Albany-Saturday-02,0,39,18,27000,86700,17,50.0,0.0,20,19.8,14.9,39.0,2062.9891894736842103709,114,Madison Ave. - Washington Ave.
114-132,MAY12-Albany-Saturday-02,1,39,18,27000,86700,17,50.0,0.0,19,20.1,15.1,34.0,2413.0860181818181817287,114,Madison Ave. - Washington Ave.
12-132,MAY12-Albany-Saturday-02,0,103,20,20400,89520,19,21.8,3.8,52,20.2,12.5,27.0,2530.0674346153846153089,12,Washington Avenue
12-132,MAY12-Albany-Saturday-02,1,103,20,20400,89520,19,21.4,3.5,51,20.2,13.2,29.0,2479.2759321428571427634,12,Washington Avenue
125-132,MAY12-Albany-Saturday-02,0,44,18,23760,84240,17,45.0,0.0,22,15.5,10.1,47.0,1154.0703521739130434212,125,Clinton/Sand Creek
125-132,MAY12-Albany-Saturday-02,1,44,18,23760,84240,17,45.0,0.0,22,17.5,11.0,46.0,1291.7482591919191920617,125,Clinton/Sand Creek
13-132,MAY12-Albany-Saturday-02,0,48,19,22500,86940,18,45.0,0.0,24,16.6,10.5,45.0,1262.8643568181818182713,13,New Scotland Avenue
13-132,MAY12-Albany-Saturday-02,1,48,19,22500,86940,18,45.0,0.0,24,15.4,10.0,41.0,1322.1035575000000000000,13,New Scotland Avenue
138-132,MAY12-Albany-Saturday-02,0,32,13,25200,70440,13,45.0,0.0,17,14.3,8.1,46.0,953.9543955555555555191,138,Allen St. - Livingston Ave.
138-132,MAY12-Albany-Saturday-02,1,32,13,25200,70440,13,45.0,0.0,15,16.9,10.2,59.0,924.5122603448275861277,138,Allen St. - Livingston Ave.
18-132,MAY12-Albany-Saturday-02,0,42,16,25200,81420,16,45.0,0.0,21,19.8,11.9,54.0,1180.6276113207547170678,18,Delaware Avenue
18-132,MAY12-Albany-Saturday-02,1,42,16,25200,81420,16,45.0,0.0,21,19.0,11.7,50.0,1262.7162857142857141451,18,Delaware Avenue
