stop_id,service_id,direction_id,numroutes,TripsServingStop,stop_name,stop_lat,stop_lon
00001,MAY12-Troy-Saturday-02,1,1,36,BROADWAY & BRITISH AMERICAN BLVD,42.70225,-73.71619
00001,MAY12-Troy-Sunday-02,1,1,32,BROADWAY & BRITISH AMERICAN BLVD,42.70225,-73.71619
00001,MAY12-Troy-Weekday-03,1,2,80,BROADWAY & BRITISH AMERICAN BLVD,42.70225,-73.71619
00001,MAY12-Troy-Weekday-04,1,1,79,BROADWAY & BRITISH AMERICAN BLVD,42.70225,-73.71619
00003,MAY12-Albany-Saturday-02,1,1,35,2ND AVE & S BERTHA ST,42.63922,-73.77847
00003,MAY12-Albany-Sunday-02,1,1,24,2ND AVE & S BERTHA ST,42.63922,-73.77847
00003,MAY12-Albany-Weekday-03,1,1,51,2ND AVE & S BERTHA ST,42.63922,-73.77847
00003,MAY12-Albany-Weekday-04,1,1,51,2ND AVE & S BERTHA ST,42.63922,-73.77847
00005,MAY12-Albany-Saturday-02,1,1,35,2ND AVE & JEANETTE ST,42.63931,-73.78055
00005,MAY12-Albany-Sunday-02,1,1,24,2ND AVE & JEANETTE ST,42.63931,-73.78055
00005,MAY12-Albany-Weekday-03,1,1,51,2ND AVE & JEANETTE ST,42.63931,-73.78055
00005,MAY12-Albany-Weekday-04,1,1,51,2ND AVE & JEANETTE ST,42.63931,-73.78055
00006,MAY12-Troy-Saturday-02,1,1,36,3RD AVE & 4TH ST,42.71027,-73.70974
00006,MAY12-Troy-Sunday-02,1,1,32,3RD AVE & 4TH ST,42.71027,-73.70974
00006,MAY12-Troy-Weekday-03,1,2,80,3RD AVE & 4TH ST,42.71027,-73.70974
00006,MAY12-Troy-Weekday-04,1,1,79,3RD AVE & 4TH ST,42.71027,-73.70974
00007,MAY12-Troy-Saturday-02,1,1,36,3RD AVE & 5TH ST,42.71185,-73.70847
00007,MAY12-Troy-Sunday-02,1,1,32,3RD AVE & 5TH ST,42.71185,-73.70847
00007,MAY12-Troy-Weekday-03,1,2,80,3RD AVE & 5TH ST,42.71185,-73.70847
00007,MAY12-Troy-Weekday-04,1,1,79,3RD AVE & 5TH ST,42.71185,-73.70847
00010,MAY12-Troy-Saturday-02,1,1,36,3RD AVE & 7TH ST,42.71447,-73.70626
00010,MAY12-Troy-Sunday-02,1,1,32,3RD AVE & 7TH ST,42.71447,-73.70626
00010,MAY12-Troy-Weekday-03,1,2,80,3RD AVE & 7TH ST,42.71447,-73.70626
00010,MAY12-Troy-Weekday-04,1,1,79,3RD AVE & 7TH ST,42.71447,-73.70626
00011,MAY12-Troy-Saturday-02,0,1,36,BROADWAY & 1ST ST,42.70737,-73.71184
00011,MAY12-Troy-Sunday-02,0,1,32,BROADWAY & 1ST ST,42.70737,-73.71184
00011,MAY12-Troy-Weekday-03,0,2,83,BROADWAY & 1ST ST,42.70737,-73.71184
00011,MAY12-Troy-Weekday-04,0,1,82,BROADWAY & 1ST ST,42.70737,-73.71184
00013,MAY12-Albany-Weekday-03,1,1,1,SOUTHERN BLVD & DELAWARE AVE,42.6392,-73.78548
00014,MAY12-Troy-Saturday-02,1,1,36,BROADWAY & 14TH ST,42.72444,-73.70039
00014,MAY12-Troy-Sunday-02,1,1,32,BROADWAY & 14TH ST,42.72444,-73.70039
00014,MAY12-Troy-Weekday-03,1,2,80,BROADWAY & 14TH ST,42.72444,-73.70039
00014,MAY12-Troy-Weekday-04,1,1,79,BROADWAY & 14TH ST,42.72444,-73.70039
00015,MAY12-Troy-Saturday-02,1,1,36,BROADWAY & SENIOR CITIZEN CENTER,42.72651,-73.70014
00015,MAY12-Troy-Sunday-02,1,1,32,BROADWAY & SENIOR CITIZEN CENTER,42.72651,-73.70014
00015,MAY12-Troy-Weekday-03,1,2,80,BROADWAY & SENIOR CITIZEN CENTER,42.72651,-73.70014
00015,MAY12-Troy-Weekday-04,1,1,79,BROADWAY & SENIOR CITIZEN CENTER,42.72651,-73.70014
00016,MAY12-Albany-Weekday-03,1,1,1,58 SOUTHERN BLVD,42.63784,-73.78448
00017,MAY12-Albany-Weekday-03,1,1,1,MCCARTY AVE & LEIGHTON ST,42.63656,-73.78259
00018,MAY12-Albany-Weekday-03,1,1,1,MCCARTY AVE & SOUTHERN BLVD,42.63633,-73.78079
00020,MAY12-Albany-Weekday-03,0,1,1,MANNING BLVD & CENTRAL AVE,42.67091,-73.78021
00021,MAY12-Troy-Saturday-02,1,1,13,2ND AVE & 25TH ST,42.7351,-73.70071
00021,MAY12-Troy-Weekday-03,0,1,1,2ND AVE & 25TH ST,42.7351,-73.70071
00021,MAY12-Troy-Weekday-03,1,1,30,2ND AVE & 25TH ST,42.7351,-73.70071
00021,MAY12-Troy-Weekday-04,1,1,30,2ND AVE & 25TH ST,42.7351,-73.70071
00025,MAY12-Albany-Saturday-02,1,1,35,2ND AVE & DELAWARE AVE,42.63979,-73.78403
00025,MAY12-Albany-Sunday-02,1,1,24,2ND AVE & DELAWARE AVE,42.63979,-73.78403
00025,MAY12-Albany-Weekday-03,0,1,1,2ND AVE & DELAWARE AVE,42.63979,-73.78403
00025,MAY12-Albany-Weekday-03,1,1,51,2ND AVE & DELAWARE AVE,42.63979,-73.78403
00025,MAY12-Albany-Weekday-04,1,1,51,2ND AVE & DELAWARE AVE,42.63979,-73.78403
00026,MAY12-Albany-Weekday-03,1,1,1,MCCARTY AVE & S BERTHA ST,42.63618,-73.77961
00027,MAY12-Albany-Weekday-03,1,1,2,BROADWAY & WOLFERT AVE,42.67722,-73.73484
00027,MAY12-Troy-Saturday-02,0,1,24,BROADWAY & WOLFERT AVE,42.67722,-73.73484
00027,MAY12-Troy-Sunday-02,0,1,18,BROADWAY & WOLFERT AVE,42.67722,-73.73484
00027,MAY12-Troy-Weekday-03,0,1,69,BROADWAY & WOLFERT AVE,42.67722,-73.73484
00027,MAY12-Troy-Weekday-04,0,1,69,BROADWAY & WOLFERT AVE,42.67722,-73.73484
00028,MAY12-Albany-Saturday-02,0,1,24,1368 NEW SCOTLAND RD,42.63856,-73.85481
00028,MAY12-Albany-Sunday-02,0,1,16,1368 NEW SCOTLAND RD,42.63856,-73.85481
00028,MAY12-Albany-Weekday-03,0,1,45,1368 NEW SCOTLAND RD,42.63856,-73.85481
00028,MAY12-Albany-Weekday-04,0,1,45,1368 NEW SCOTLAND RD,42.63856,-73.85481
