route_id,stop_id,service_id,direction_id,avghdwy,stdev_hdwy,stop_name,stop_lat,stop_lon,route_short_name,route_long_name
6-132,00003,MAY12-Albany-Saturday-02,1,30.0,0.0,2ND AVE & S BERTHA ST,42.63922,-73.77847,6,Second Avenue/Whitehall Road
6-132,00005,MAY12-Albany-Saturday-02,1,30.0,0.0,2ND AVE & JEANETTE ST,42.63931,-73.78055,6,Second Avenue/Whitehall Road
6-132,00025,MAY12-Albany-Saturday-02,1,30.0,0.0,2ND AVE & DELAWARE AVE,42.63979,-73.78403,6,Second Avenue/Whitehall Road
13-132,00028,MAY12-Albany-Saturday-02,0,45.0,0.0,1368 NEW SCOTLAND RD,42.63856,-73.85481,13,New Scotland Avenue
13-132,00029,MAY12-Albany-Saturday-02,0,45.0,0.0,NEW SCOTLAND AVE & LENOX AVE,42.65896,-73.8116,13,New Scotland Avenue
1-132,00031,MAY12-Albany-Saturday-02,0,30.0,0.0,WOLF RD & COLONIE CENTER,42.71143,-73.81786,1,Central Avenue
1-132,00031,MAY12-Albany-Saturday-02,1,30.0,0.0,WOLF RD & COLONIE CENTER,42.71143,-73.81786,1,Central Avenue
125-132,00031,MAY12-Albany-Saturday-02,0,45.0,0.0,WOLF RD & COLONIE CENTER,42.71143,-73.81786,125,Clinton/Sand Creek
125-132,00031,MAY12-Albany-Saturday-02,1,45.0,0.0,WOLF RD & COLONIE CENTER,42.71143,-73.81786,125,Clinton/Sand Creek
1-132,00032,MAY12-Albany-Saturday-02,0,30.0,0.0,WOLF RD & BED BATH AND BEYOND,42.71094,-73.81892,1,Central Avenue
125-132,00032,MAY12-Albany-Saturday-02,1,45.0,0.0,WOLF RD & BED BATH AND BEYOND,42.71094,-73.81892,125,Clinton/Sand Creek
1-132,00136,MAY12-Albany-Saturday-02,1,30.0,0.0,CENTRAL AVE & LEXINGTON AVE,42.66022,-73.76713,1,Central Avenue
1-132,00139,MAY12-Albany-Saturday-02,1,30.0,0.0,CENTRAL AVE & N LAKE AVE,42.66365,-73.77111,1,Central Avenue
1-132,00141,MAY12-Albany-Saturday-02,1,30.0,0.0,CENTRAL AVE & QUAIL ST - QUAIL STATION,42.665762,-73.773555,1,Central Avenue
1-132,00143,MAY12-Albany-Saturday-02,1,30.0,0.0,CENTRAL AVE & PARTRIDGE ST,42.66869,-73.77686,1,Central Avenue
1-132,00145,MAY12-Albany-Saturday-02,1,30.0,0.0,CENTRAL AVE & N MANNING BLVD - N. MANNING STATION,42.671202,-73.779762,1,Central Avenue
1-132,00147,MAY12-Albany-Saturday-02,1,30.0,0.0,CENTRAL AVE & W LAWRENCE ST,42.6732,-73.782,1,Central Avenue
125-132,00147,MAY12-Albany-Saturday-02,1,45.0,0.0,CENTRAL AVE & W LAWRENCE ST,42.6732,-73.782,125,Clinton/Sand Creek
1-132,00148,MAY12-Albany-Saturday-02,1,30.0,0.0,CENTRAL AVE & N ALLEN ST - N. ALLEN STATION,42.673992,-73.782993,1,Central Avenue
125-132,00148,MAY12-Albany-Saturday-02,1,45.0,0.0,CENTRAL AVE & N ALLEN ST - N. ALLEN STATION,42.673992,-73.782993,125,Clinton/Sand Creek
1-132,00152,MAY12-Albany-Saturday-02,1,30.0,0.0,CENTRAL AVE & COLVIN AVE,42.68148,-73.7914,1,Central Avenue
1-132,00156,MAY12-Albany-Saturday-02,1,30.0,0.0,CENTRAL AVE & VATRANO RD,42.68805,-73.79911,1,Central Avenue
1-132,00158,MAY12-Albany-Saturday-02,1,30.0,0.0,CENTRAL AVE & OSBORNE RD,42.69074,-73.80206,1,Central Avenue
1-132,00159,MAY12-Albany-Saturday-02,0,30.0,0.0,1010 CENTRAL AVE,42.68398,-73.79456,1,Central Avenue
1-132,00161,MAY12-Albany-Saturday-02,1,30.0,0.0,CENTRAL AVE & ROONEY AVE,42.69547,-73.8074,1,Central Avenue
1-132,00162,MAY12-Albany-Saturday-02,1,30.0,0.0,CENTRAL AVE & GROUNDS PL,42.69793,-73.81023,1,Central Avenue
1-132,00164,MAY12-Albany-Saturday-02,1,30.0,0.0,CENTRAL AVE & FULLER RD,42.70298,-73.81637,1,Central Avenue
1-132,00165,MAY12-Albany-Saturday-02,1,30.0,0.0,CENTRAL AVE & COLONIE CENTER - COLONIE STATION,42.706813,-73.820343,1,Central Avenue
1-132,00188,MAY12-Albany-Saturday-02,0,30.0,0.0,CENTRAL AVE & INTERSTATE AVE,42.69765,-73.8102,1,Central Avenue
1-132,00189,MAY12-Albany-Saturday-02,0,30.0,0.0,CENTRAL AVE & FULLER RD,42.70293,-73.81631,1,Central Avenue
1-132,00190,MAY12-Albany-Saturday-02,0,30.0,0.0,CENTRAL AVE & VAN BUREN AVE,42.70037,-73.81338,1,Central Avenue
1-132,00192,MAY12-Albany-Saturday-02,0,30.0,0.0,CENTRAL AVE & ARCADIA CT,42.69545,-73.80769,1,Central Avenue
