route_id,service_id,direction_id,numtripsperroute_both_dir,hours_of_service,first_departure_sec,last_departure_sec,span_of_service_hrs,route_avg_hdwy,route_stdev_hdwy,trips_per_day,average_speed,average_length_mi,w_avg_num_stops,avg_dist_bw_stops_ft,route_short_name,route_long_name
11926,2_merged_2421816,0,105,21,16680,89340,20,22.4,11.0,52,15.6,12.6,80.4,835.5397300411522634690,001,WYNNEWOOD/MOCKINGBIRD STATION
11926,2_merged_2421816,1,105,21,16680,89340,20,22.0,9.7,53,15.8,12.2,78.2,826.2240973857806008958,001,WYNNEWOOD/MOCKINGBIRD STATION
11926,3_merged_2421815,0,71,21,16740,89340,20,32.7,7.3,36,15.3,12.8,81.2,838.8426743936243937208,001,WYNNEWOOD/MOCKINGBIRD STATION
11926,3_merged_2421815,1,71,21,16740,89340,20,33.6,7.1,35,16.2,12.2,78.5,826.7756923644411655033,001,WYNNEWOOD/MOCKINGBIRD STATION
11926,4_merged_2421817,0,54,21,19320,90300,20,44.0,7.7,26,15.1,14.9,96.2,827.4070872323232324094,001,WYNNEWOOD/MOCKINGBIRD STATION
11926,4_merged_2421817,1,54,21,19320,90300,20,44.8,2.0,27,15.9,14.5,91.8,837.3265655647382920065,001,WYNNEWOOD/MOCKINGBIRD STATION
11927,2_merged_2421816,0,72,21,16260,89940,20,32.7,11.6,36,14.5,9.7,65.0,800.3333046875000000000,002,HATCHER
11927,2_merged_2421816,1,72,21,16260,89940,20,32.4,11.7,36,14.8,9.7,69.0,750.8809750000000000386,002,HATCHER
11927,3_merged_2421815,1,56,21,16260,89940,20,41.9,3.5,28,14.9,9.7,69.0,750.8809750000000000386,002,HATCHER
11927,3_merged_2421815,0,56,21,16260,89940,20,42.4,4.4,28,15.0,9.7,65.0,800.3333046875000000000,002,HATCHER
11927,4_merged_2421817,1,50,20,18960,89940,20,45.2,1.0,25,14.9,9.7,69.0,750.8809750000000000386,002,HATCHER
11927,4_merged_2421817,0,50,20,18960,89940,20,45.8,4.0,25,15.0,9.7,65.0,800.3333046875000000000,002,HATCHER
11928,2_merged_2421816,0,131,21,16800,89640,20,17.8,5.7,65,15.7,15.9,99.7,846.4920140807734289636,011,JEFFERSON/BEXAR STREET
11928,2_merged_2421816,1,131,21,16800,89640,20,16.6,6.2,130,14.5,16.4,103.4,833.6841686739926738785,011,JEFFERSON/BEXAR STREET
11928,3_merged_2421815,1,78,21,16800,89640,20,29.5,2.8,76,14.9,16.3,102.3,833.5604167167919799803,011,JEFFERSON/BEXAR STREET
11928,3_merged_2421815,0,78,21,16800,89640,20,30.1,3.1,39,16.1,15.8,99.4,847.3835622459614381424,011,JEFFERSON/BEXAR STREET
