route_id,service_id,direction_id,numtripsperroute_both_dir,hours_of_service,first_departure_sec,last_departure_sec,span_of_service_hrs,route_avg_hdwy,route_stdev_hdwy,trips_per_day,average_speed,average_length_mi,w_avg_num_stops,avg_dist_bw_stops_ft,route_short_name,route_long_name
12267,2_merged_2421819,1,142,23,13350,92010,22,18.3,5.5,67,30.7,26.1,19.1,7618.6441872066616200169,BLUE,DART Rail BLUE LINE
12267,2_merged_2421819,0,142,23,13350,92010,22,18.4,5.1,67,29.3,27.4,20.0,7634.1322194954128441270,BLUE,DART Rail BLUE LINE
12268,2_merged_2421819,1,152,23,14310,91920,22,18.3,5.1,69,27.8,30.2,21.6,7703.4237281452658883408,GREEN,DART Rail GREEN LINE
12268,2_merged_2421819,0,152,23,14310,91920,22,18.2,5.5,69,28.0,29.2,20.6,7828.3877256461232604015,GREEN,DART Rail GREEN LINE
12269,2_merged_2421819,1,141,23,12660,91710,22,17.8,5.8,70,27.3,27.6,19.2,7894.6894880094043888289,ORANGE,DART Rail ORANGE LINE
12269,2_merged_2421819,0,141,23,12660,91710,22,17.5,6.2,71,26.8,27.7,19.3,7895.3238318181818182713,ORANGE,DART Rail ORANGE LINE
12270,2_merged_2421819,1,133,22,14820,91260,21,18.7,5.7,66,31.0,30.2,23.9,6963.6217935483870966889,RED,DART Rail RED LINE
12270,2_merged_2421819,0,133,22,14820,91260,21,19.2,4.4,64,30.7,32.1,25.3,6958.7116486521181002105,RED,DART Rail RED LINE
12267,3_merged_2421818,0,111,23,13470,92130,22,23.3,5.8,53,29.3,26.3,19.3,7591.1596647460937500000,BLUE,DART Rail BLUE LINE
12267,3_merged_2421818,1,111,23,13470,92130,22,23.4,7.1,53,30.7,26.8,19.7,7587.9184936647173488313,BLUE,DART Rail BLUE LINE
12268,3_merged_2421818,0,116,23,13620,91980,22,23.2,6.1,55,27.6,30.8,21.8,7765.6123067052980133037,GREEN,DART Rail GREEN LINE
12268,3_merged_2421818,1,116,23,13620,91980,22,23.3,6.6,55,27.7,30.9,22.2,7640.6804991056910567932,GREEN,DART Rail GREEN LINE
12269,3_merged_2421818,0,108,23,13950,91650,22,23.0,6.9,55,25.8,24.1,17.0,7770.9324145620022753248,ORANGE,DART Rail ORANGE LINE
12269,3_merged_2421818,1,108,23,13950,91650,22,24.0,7.5,53,27.0,25.1,17.6,7776.5313906712172925341,ORANGE,DART Rail ORANGE LINE
12270,3_merged_2421818,0,113,23,11550,93180,23,23.0,6.1,53,31.0,30.0,23.7,6963.0159212191358025623,RED,DART Rail RED LINE
12270,3_merged_2421818,1,113,23,11550,93180,23,23.2,5.9,53,31.0,30.6,24.2,6961.2845557781201849868,RED,DART Rail RED LINE
12267,4_merged_2421820,0,111,23,13470,92130,22,23.3,5.8,53,29.3,26.3,19.3,7591.1596647460937500000,BLUE,DART Rail BLUE LINE
12267,4_merged_2421820,1,111,23,13470,92130,22,23.4,7.1,53,30.7,26.8,19.7,7587.9184936647173488313,BLUE,DART Rail BLUE LINE
12268,4_merged_2421820,0,116,23,13620,91980,22,23.2,6.1,55,27.6,30.8,21.8,7765.6123067052980133037,GREEN,DART Rail GREEN LINE
12268,4_merged_2421820,1,116,23,13620,91980,22,23.3,6.6,55,27.7,30.9,22.2,7640.6804991056910567932,GREEN,DART Rail GREEN LINE
12269,4_merged_2421820,0,108,23,13950,91650,22,23.0,6.9,55,25.8,24.1,17.0,7770.9324145620022753248,ORANGE,DART Rail ORANGE LINE
12269,4_merged_2421820,1,108,23,13950,91650,22,24.0,7.6,53,27.0,25.1,17.6,7776.5313906712172925341,ORANGE,DART Rail ORANGE LINE
12270,4_merged_2421820,0,113,23,11550,93180,23,23.0,6.1,53,31.0,30.0,23.7,6963.0159212191358025623,RED,DART Rail RED LINE
12270,4_merged_2421820,1,113,23,11550,93180,23,23.2,5.9,53,31.0,30.6,24.2,6961.2845557781201849868,RED,DART Rail RED LINE
