stop_id,service_id,direction_id,numroutes,TripsServingStop,stop_name,stop_lat,stop_lon
27517,2_merged_2421819,1,1,22,UNION STATION,32.775249,-96.807642
27518,2_merged_2421819,0,1,24,UNION STATION,32.77621,-96.80716
28172,2_merged_2421819,0,1,24,MEDICAL/MARKET CTR STATION,32.810386,-96.841942
28173,2_merged_2421819,1,1,22,MEDICAL/MARKET CTR STATION,32.809188,-96.839882
28174,2_merged_2421819,0,1,24,SOUTH IRVING STATION,32.814655,-96.948204
28175,2_merged_2421819,1,1,22,SOUTH IRVING STATION,32.814773,-96.947281
28176,2_merged_2421819,0,1,24,WEST IRVING STATION,32.816314,-97.007874
28177,2_merged_2421819,1,1,22,WEST IRVING STATION,32.816509,-97.007584
28178,2_merged_2421819,0,1,25,CENTREPORT STATION,32.816982,-97.053509
28179,2_merged_2421819,1,1,22,CENTREPORT STATION,32.816976,-97.05251
28180,2_merged_2421819,0,1,22,HURST/BELL STATION,32.804583,-97.155753
28181,2_merged_2421819,1,1,19,HURST/BELL STATION,32.804497,-97.154775
28182,2_merged_2421819,0,1,22,RICHLAND HILLS STATION,32.799468,-97.223415
28183,2_merged_2421819,1,1,19,RICHLAND HILLS STATION,32.799848,-97.222525
28251,2_merged_2421819,0,1,22,FT WORTH INTERMODAL TRANSIT CTR,32.751748,-97.325531
28251,2_merged_2421819,1,1,17,FT WORTH INTERMODAL TRANSIT CTR,32.751748,-97.325531
28252,2_merged_2421819,0,1,22,T&P STATION,32.745194,-97.328195
28252,2_merged_2421819,1,1,17,T&P STATION,32.745194,-97.328195
28264,2_merged_2421819,0,1,24,VICTORY STATION,32.789903,-96.812363
28264,2_merged_2421819,1,1,22,VICTORY STATION,32.789903,-96.812363
27517,3_merged_2421818,1,1,9,UNION STATION,32.775249,-96.807642
27518,3_merged_2421818,0,1,10,UNION STATION,32.77621,-96.80716
28172,3_merged_2421818,0,1,10,MEDICAL/MARKET CTR STATION,32.810386,-96.841942
28173,3_merged_2421818,1,1,9,MEDICAL/MARKET CTR STATION,32.809188,-96.839882
28174,3_merged_2421818,0,1,10,SOUTH IRVING STATION,32.814655,-96.948204
28175,3_merged_2421818,1,1,9,SOUTH IRVING STATION,32.814773,-96.947281
28176,3_merged_2421818,0,1,10,WEST IRVING STATION,32.816314,-97.007874
28177,3_merged_2421818,1,1,9,WEST IRVING STATION,32.816509,-97.007584
28178,3_merged_2421818,0,1,10,CENTREPORT STATION,32.816982,-97.053509
28179,3_merged_2421818,1,1,9,CENTREPORT STATION,32.816976,-97.05251
28180,3_merged_2421818,0,1,9,HURST/BELL STATION,32.804583,-97.155753
28181,3_merged_2421818,1,1,9,HURST/BELL STATION,32.804497,-97.154775
28182,3_merged_2421818,0,1,9,RICHLAND HILLS STATION,32.799468,-97.223415
28183,3_merged_2421818,1,1,9,RICHLAND HILLS STATION,32.799848,-97.222525
28251,3_merged_2421818,0,1,9,FT WORTH INTERMODAL TRANSIT CTR,32.751748,-97.325531
28251,3_merged_2421818,1,1,9,FT WORTH INTERMODAL TRANSIT CTR,32.751748,-97.325531
28252,3_merged_2421818,0,1,9,T&P STATION,32.745194,-97.328195
28252,3_merged_2421818,1,1,9,T&P STATION,32.745194,-97.328195
28264,3_merged_2421818,0,1,10,VICTORY STATION,32.789903,-96.812363
28264,3_merged_2421818,1,1,9,VICTORY STATION,32.789903,-96.812363
27517,4_merged_2421820,1,1,11,UNION STATION,32.775249,-96.807642
27518,4_merged_2421820,0,1,12,UNION STATION,32.77621,-96.80716
28172,4_merged_2421820,0,1,12,MEDICAL/MARKET CTR STATION,32.810386,-96.841942
28173,4_merged_2421820,1,1,11,MEDICAL/MARKET CTR STATION,32.809188,-96.839882
28174,4_merged_2421820,0,1,12,SOUTH IRVING STATION,32.814655,-96.948204
28175,4_merged_2421820,1,1,11,SOUTH IRVING STATION,32.814773,-96.947281
28176,4_merged_2421820,0,1,12,WEST IRVING STATION,32.816314,-97.007874
28177,4_merged_2421820,1,1,11,WEST IRVING STATION,32.816509,-97.007584
28178,4_merged_2421820,0,1,12,CENTREPORT STATION,32.816982,-97.053509
28179,4_merged_2421820,1,1,11,CENTREPORT STATION,32.816976,-97.05251
28180,4_merged_2421820,0,1,11,HURST/BELL STATION,32.804583,-97.155753
28181,4_merged_2421820,1,1,11,HURST/BELL STATION,32.804497,-97.154775
28182,4_merged_2421820,0,1,11,RICHLAND HILLS STATION,32.799468,-97.223415
28183,4_merged_2421820,1,1,11,RICHLAND HILLS STATION,32.799848,-97.222525
28251,4_merged_2421820,0,1,11,FT WORTH INTERMODAL TRANSIT CTR,32.751748,-97.325531
28251,4_merged_2421820,1,1,11,FT WORTH INTERMODAL TRANSIT CTR,32.751748,-97.325531
28252,4_merged_2421820,0,1,11,T&P STATION,32.745194,-97.328195
28252,4_merged_2421820,1,1,11,T&P STATION,32.745194,-97.328195
28264,4_merged_2421820,0,1,12,VICTORY STATION,32.789903,-96.812363
28264,4_merged_2421820,1,1,11,VICTORY STATION,32.789903,-96.812363
