route_id,service_id,direction_id,numtripsperroute_both_dir,hours_of_service,first_departure_sec,last_departure_sec,span_of_service_hrs,route_avg_hdwy,route_stdev_hdwy,trips_per_day,average_speed,average_length_mi,w_avg_num_stops,avg_dist_bw_stops_ft,route_short_name,route_long_name
10-111,1203-hh1203a1-Weekday-04,0,145,25,11220,100020,25,19.6,9.1,72,16.8,10.4,64.8,862.0585177777777777113,10,East 105
10-111,1203-hh1203a1-Weekday-04,1,145,25,11220,100020,25,19.3,9.0,73,15.6,10.5,68.8,817.0493185619066854809,10,East 105
1-111,1203-hh1203a1-Weekday-04,0,157,25,9480,96780,24,18.3,12.1,79,17.6,13.7,80.7,905.6950519047619048244,1,St. Clair
1-111,1203-hh1203a1-Weekday-04,1,157,25,9480,96780,24,18.1,11.9,78,18.2,13.2,73.3,964.9109299184686282313,1,St. Clair
11-111,1203-hh1203a1-Weekday-04,0,66,22,16800,90000,20,38.2,6.5,32,15.7,10.5,64.0,876.3863476190476189695,11,Quincy - Buckeye
11-111,1203-hh1203a1-Weekday-04,1,66,22,16800,90000,20,35.6,7.7,34,14.6,10.1,67.0,810.7102439393939393144,11,Quincy - Buckeye
14-111,1203-hh1203a1-Weekday-04,0,145,25,11400,97440,24,19.1,10.7,73,16.5,13.4,70.7,1018.5077614462566318367,14,Kinsman
14-111,1203-hh1203a1-Weekday-04,1,145,25,11400,97440,24,19.7,10.6,72,17.3,12.7,67.0,1019.4277586069023570062,14,Kinsman
15-111,1203-hh1203a1-Weekday-04,0,150,23,14460,94200,22,15.7,7.8,77,19.6,22.0,106.4,1103.3665115870609048025,15,Union - Harvard
15-111,1203-hh1203a1-Weekday-04,1,150,23,14460,94200,22,16.5,6.8,75,17.7,19.7,105.1,1000.1044012789768184754,15,Union - Harvard
19-111,1203-hh1203a1-Weekday-04,0,113,25,9600,95640,24,24.6,10.7,57,18.9,14.0,63.8,1175.3647584241408213540,19,Broadway - Miles
19-111,1203-hh1203a1-Weekday-04,1,113,25,9600,95640,24,25.0,10.9,56,18.5,14.2,70.9,1071.8382877300613496852,19,Broadway - Miles
27F-111,1203-hh1203a1-Weekday-04,0,2,2,19500,24720,1,60.0,,2,34.1,15.3,12.0,7359.7900636363636362145,27F,Solon Flyer
28-111,1203-hh1203a1-Weekday-04,0,166,25,13500,99600,24,16.8,9.5,83,18.6,9.4,54.4,926.4768733243060256503,28,Euclid
28-111,1203-hh1203a1-Weekday-04,1,166,25,13500,99600,24,16.8,8.4,83,19.1,9.3,51.6,925.2791433962264149891,28,Euclid
30-111,1203-hh1203a1-Weekday-04,0,112,25,13200,98760,24,24.6,8.8,69,19.1,8.4,62.6,834.9278320754716982494,30,E 140 - Lakeshore
30-111,1203-hh1203a1-Weekday-04,1,112,25,13200,98760,24,25.0,8.9,56,20.0,9.3,55.6,895.9453639188747137882,30,E 140 - Lakeshore
3-111,1203-hh1203a1-Weekday-04,0,134,25,9120,95940,24,20.5,9.7,68,15.3,9.4,53.9,939.1865238731218699462,3,Superior
3-111,1203-hh1203a1-Weekday-04,1,134,25,9120,95940,24,21.1,9.6,66,15.4,9.3,53.3,936.5374844347826085530,3,Superior
32-111,1203-hh1203a1-Weekday-04,0,58,21,15660,87780,20,40.1,11.6,29,17.9,12.0,54.0,1191.8929472348731294952,32,Cedar
