stop_id,service_id,direction_id,numroutes,TripsServingStop,stop_name,stop_lat,stop_lon
00063,1203-hh1203a1-Weekday-04,0,1,36,EUCLID AV & ADELBERT RD,41.505989,-81.608627
00065,1203-hh1203a1-Weekday-04,1,1,34,BUCKEYE RD & MARTIN LUTHER KING DR,41.481773,-81.609535
00107,1203-hh1203a1-Weekday-04,0,1,28,1175 E 152ND ST,41.546398,-81.57531
00124,1203-hh1203a1-Weekday-04,1,1,60,12000 FAIRHILL RD,41.492878,-81.5989
00168,1203-hh1203a1-Weekday-04,0,1,23,12720 LAKE SHORE BLVD,41.562668,-81.593849
00201,1203-hh1203a1-Weekday-04,0,1,72,CORLETT AV & CORLETT LOOP,41.455555,-81.592506
00213,1203-hh1203a1-Weekday-04,1,1,25,13211 LAKE SHORE BLVD,41.565067,-81.59079
00254,1203-hh1203a1-Weekday-04,1,1,3,BARTLETT AV & E 140TH ST,41.457623,-81.584442
00255,1203-hh1203a1-Weekday-04,0,1,73,14012 KINSMAN RD,41.464268,-81.58445
00291,1203-hh1203a1-Weekday-04,0,1,27,14701 TURNEY RD,41.393539,-81.578804
00292,1203-hh1203a1-Weekday-04,1,1,31,14730 TURNEY RD,41.393444,-81.57885
00301,1203-hh1203a1-Weekday-04,1,1,15,1491 CHARDON RD,41.571331,-81.53508
00309,1203-hh1203a1-Weekday-04,1,1,41,1518 WARRENSVILLE CENTER RD,41.518028,-81.536583
00321,1203-hh1203a1-Weekday-04,1,1,35,ST. CLAIR AV & E 153RD LOOP,41.55423,-81.574783
00328,1203-hh1203a1-Weekday-04,0,2,82,15500 LAKE SHORE BLVD,41.57777,-81.573769
00362,1203-hh1203a1-Weekday-04,0,1,72,1602 E 105TH ST,41.513809,-81.615341
00370,1203-hh1203a1-Weekday-04,0,1,56,16151 LAKE SHORE BLVD,41.579971,-81.567101
00383,1203-hh1203a1-Weekday-04,0,1,56,16608 LAKE SHORE BLVD,41.580635,-81.56353
00384,1203-hh1203a1-Weekday-04,1,1,43,16700 ST. CLAIR AV,41.562527,-81.563507
00387,1203-hh1203a1-Weekday-04,0,1,73,16800 CHAGRIN BLVD,41.464439,-81.562424
00393,1203-hh1203a1-Weekday-04,1,1,26,16812 TARKINGTON AV,41.431377,-81.562332
00411,1203-hh1203a1-Weekday-04,0,1,26,17515 SOUTH MILES RD,41.435398,-81.556526
00413,1203-hh1203a1-Weekday-04,1,2,81,17570 LAKE SHORE BLVD,41.582672,-81.558159
00455,1203-hh1203a1-Weekday-04,0,1,21,1851 BELMORE RD,41.526337,-81.583809
00496,1203-hh1203a1-Weekday-04,0,1,27,19500 MILES RD,41.432518,-81.541878
00497,1203-hh1203a1-Weekday-04,0,1,74,19516 HARVARD AV,41.449795,-81.541626
00501,1203-hh1203a1-Weekday-04,0,3,41,19700 LAKE SHORE BLVD,41.599804,-81.542427
00502,1203-hh1203a1-Weekday-04,1,1,73,19707 HARVARD AV,41.449902,-81.540665
00505,1203-hh1203a1-Weekday-04,0,1,48,19750 ST. CLAIR AV,41.578335,-81.540718
00521,1203-hh1203a1-Weekday-04,1,1,73,20115 HARVARD AV,41.449898,-81.538055
00546,1203-hh1203a1-Weekday-04,1,1,34,2064 STEARNS RD,41.502392,-81.609215
00549,1203-hh1203a1-Weekday-04,0,1,72,20667 ELLACOTT PKY,41.441502,-81.534615
00574,1203-hh1203a1-Weekday-04,0,2,71,SOUTHGATE TRANSIT CENTER STOP #3,41.413002,-81.536514
00657,1203-hh1203a1-Weekday-04,0,1,52,22950 EUCLID AV,41.574642,-81.520271
00664,1203-hh1203a1-Weekday-04,1,1,54,23050 EUCLID AV,41.575275,-81.51992
00670,1203-hh1203a1-Weekday-04,1,3,42,LAKESHORE BLVD & E 232ND ST,41.613811,-81.520256
00683,1203-hh1203a1-Weekday-04,0,1,14,23305 CHAGRIN BLVD,41.464565,-81.513695
00684,1203-hh1203a1-Weekday-04,0,1,14,23350 MERCANTILE RD,41.458595,-81.508003
00697,1203-hh1203a1-Weekday-04,1,1,43,23500 ST. CLAIR AV,41.586761,-81.516975
00700,1203-hh1203a1-Weekday-04,0,3,41,23540 LAKE SHORE BLVD,41.614643,-81.518143
00716,1203-hh1203a1-Weekday-04,0,1,14,23800 MERCANTILE RD,41.461311,-81.504784
00718,1203-hh1203a1-Weekday-04,1,1,14,23865 MERCANTILE RD,41.461441,-81.504845
00733,1203-hh1203a1-Weekday-04,1,1,54,24110 EUCLID AV,41.578468,-81.514511
00766,1203-hh1203a1-Weekday-04,0,1,17,LAKESHORE BLVD & E 248TH ST,41.617569,-81.510612
00780,1203-hh1203a1-Weekday-04,0,1,52,25100 EUCLID AV,41.583538,-81.507835
00781,1203-hh1203a1-Weekday-04,1,1,54,25121 EUCLID AV,41.5839,-81.507988
00782,1203-hh1203a1-Weekday-04,0,1,34,2514 CEDAR AV,41.498451,-81.67099
00800,1203-hh1203a1-Weekday-04,1,1,17,MARTIN LUTHER KING DR & FAIRHILL RD,41.492962,-81.601723
00801,1203-hh1203a1-Weekday-04,1,1,17,MARTIN LUTHER KING DR & WOODSTOCK,41.490067,-81.601967
00854,1203-hh1203a1-Weekday-04,0,1,41,WARRENSVILLE CTR RD & NORTH PARK BL,41.487228,-81.536011
00877,1203-hh1203a1-Weekday-04,1,1,10,CEDAR RD & ACACIA PARK DR,41.501347,-81.483528
00910,1203-hh1203a1-Weekday-04,0,1,52,TUNGSTEN RD LOOP,41.597824,-81.49295
00956,1203-hh1203a1-Weekday-04,1,1,73,2880 WOODHILL RD,41.480751,-81.619026
00984,1203-hh1203a1-Weekday-04,0,1,25,29425 CHAGRIN BLVD,41.462318,-81.469788
00997,1203-hh1203a1-Weekday-04,0,1,25,29825 CHAGRIN BLVD,41.462284,-81.466835
01095,1203-hh1203a1-Weekday-04,1,1,41,3290 WARRENSVILLE CENTER RD,41.470139,-81.536476
01149,1203-hh1203a1-Weekday-04,1,1,73,3454 E 93RD ST,41.464813,-81.621475
01161,1203-hh1203a1-Weekday-04,0,1,72,WOODLAND AV & E 34TH ST,41.490623,-81.665123
01168,1203-hh1203a1-Weekday-04,0,1,41,3580 WARRENSVILLE CENTER RD,41.462807,-81.536118
01205,1203-hh1203a1-Weekday-04,0,1,36,MAYFIELD RD & MAPLE RD,41.520531,-81.544685
01214,1203-hh1203a1-Weekday-04,1,1,72,3800 WOODLAND AV,41.490047,-81.661179
01247,1203-hh1203a1-Weekday-04,0,1,40,WARRENSVILLE CTR RD & SOUTHPOINTE HOSPITAL,41.447952,-81.536194
01283,1203-hh1203a1-Weekday-04,0,1,72,4323 CLARKWOOD PKY,41.442558,-81.524216
01305,1203-hh1203a1-Weekday-04,0,1,26,4427 E 143RD ST,41.439377,-81.581787
01327,1203-hh1203a1-Weekday-04,0,1,41,4510 WARRENSVILLE CENTER RD,41.436333,-81.536003
01330,1203-hh1203a1-Weekday-04,0,1,35,4521 GRANADA BLVD,41.436565,-81.521202
01347,1203-hh1203a1-Weekday-04,0,1,7,4600 HARVARD AV,41.446877,-81.658585
01408,1203-hh1203a1-Weekday-04,0,1,26,MONTICELLO BLVD & ELAINE ST,41.538834,-81.503326
01409,1203-hh1203a1-Weekday-04,0,1,34,4840 HENRY ST,41.430126,-81.600563
01424,1203-hh1203a1-Weekday-04,0,1,72,4966 WOODLAND AV,41.4883,-81.653976
01429,1203-hh1203a1-Weekday-04,0,2,47,50 SEVERANCE CIRCLE,41.519356,-81.552299
01443,1203-hh1203a1-Weekday-04,1,1,31,5172 TURNEY RD,41.420464,-81.608665
01532,1203-hh1203a1-Weekday-04,1,1,24,5800 LEXINGTON AV,41.511009,-81.649796
01638,1203-hh1203a1-Weekday-04,0,1,8,6621 WILSON MILLS RD,41.538853,-81.439117
01725,1203-hh1203a1-Weekday-04,0,1,79,7300 ST. CLAIR AV,41.528439,-81.637856
01899,1203-hh1203a1-Weekday-04,0,1,75,9422 UNION AV,41.463467,-81.61998
01929,1203-hh1203a1-Weekday-04,0,2,73,ADELBERT RD & MURRAY HILL RD,41.501785,-81.603264
01930,1203-hh1203a1-Weekday-04,1,2,71,ADELBERT RD & MURRAY HILL RD,41.501499,-81.603249
01961,1203-hh1203a1-Weekday-04,1,1,23,ARLINGTON AV & EDDY RD,41.534306,-81.598763
02042,1203-hh1203a1-Weekday-04,0,1,3,BARTLETT AV & E 131ST ST,41.457466,-81.591019
02149,1203-hh1203a1-Weekday-04,1,2,131,BROADWAY & MC BRIDE AV,41.469978,-81.654236
02357,1203-hh1203a1-Weekday-04,0,2,130,BROADWAY & BARKWILL AV,41.468262,-81.652718
02361,1203-hh1203a1-Weekday-04,0,1,57,BROADWAY & BRUNNER AV,41.449554,-81.628769
02362,1203-hh1203a1-Weekday-04,0,2,132,BROADWAY & CABLE AV,41.465843,-81.650131
02363,1203-hh1203a1-Weekday-04,0,1,27,BROADWAY & ENGLE AV,41.465214,-81.648979
02364,1203-hh1203a1-Weekday-04,1,1,31,BROADWAY & CANTON AV,41.454178,-81.634155
02368,1203-hh1203a1-Weekday-04,0,1,27,BROADWAY & CARNEGIE AV,41.494675,-81.6856
02371,1203-hh1203a1-Weekday-04,0,1,30,BROADWAY & CLEMENT DR,41.410301,-81.562813
02373,1203-hh1203a1-Weekday-04,0,1,30,BROADWAY & DALEWOOD AV,41.409225,-81.561371
02374,1203-hh1203a1-Weekday-04,0,2,130,BROADWAY & DILLE AV,41.477074,-81.661736
02375,1203-hh1203a1-Weekday-04,0,1,27,BROADWAY & DILLE AV,41.477184,-81.661545
02377,1203-hh1203a1-Weekday-04,1,1,30,BROADWAY & E 14TH ST,41.491531,-81.67852
02378,1203-hh1203a1-Weekday-04,0,1,27,BROADWAY & E 14TH ST,41.491459,-81.678024
02381,1203-hh1203a1-Weekday-04,0,2,132,BROADWAY & E 55TH ST,41.467117,-81.651497
02382,1203-hh1203a1-Weekday-04,0,1,27,BROADWAY & E 55TH ST,41.467045,-81.6511
02386,1203-hh1203a1-Weekday-04,0,1,57,BROADWAY & E 9TH ST,41.492584,-81.679749
02392,1203-hh1203a1-Weekday-04,1,1,31,BROADWAY & FLEET AV,41.457012,-81.637497
02398,1203-hh1203a1-Weekday-04,1,1,31,BROADWAY & FORMAN AV,41.458836,-81.639648
02400,1203-hh1203a1-Weekday-04,1,1,56,BROADWAY & FORMAN AV,41.458958,-81.639458
