route_id,service_id,direction_id,numtripsperroute_both_dir,hours_of_service,first_departure_sec,last_departure_sec,span_of_service_hrs,route_avg_hdwy,route_stdev_hdwy,trips_per_day,average_speed,average_length_mi,w_avg_num_stops,avg_dist_bw_stops_ft,route_short_name,route_long_name
66-111,1203-hr1203a1-Weekday-20,0,167,23,11760,92400,22,15.9,4.9,80,33.7,22.1,15.5,8015.2857683656957930098,Red Line,Heavy Rail
66-111,1203-hr1203a1-Weekday-20,1,167,23,11760,92400,22,16.0,5.0,80,31.8,23.0,16.1,8009.4313777777777779236,Red Line,Heavy Rail
66-111,1203-hr1203a6-Saturday-20,1,132,23,13800,92400,22,19.8,1.2,63,32.3,24.6,17.4,7898.6996948453608248133,Red Line,Heavy Rail
66-111,1203-hr1203a6-Saturday-20,0,132,23,13800,92400,22,20.0,0.0,63,34.2,23.7,16.9,7902.8243246472248352293,Red Line,Heavy Rail
66-111,1203-hr1203a7-Sunday-20,0,132,23,13800,92400,22,20.0,0.0,63,34.2,23.7,16.9,7902.8243246472248352293,Red Line,Heavy Rail
66-111,1203-hr1203a7-Sunday-20,1,132,23,13800,92400,22,20.0,0.1,63,32.3,24.6,17.4,7898.6996948453608248133,Red Line,Heavy Rail
66-112,1206-hr1206a1-Weekday-20,1,167,23,11760,92400,22,16.0,5.0,80,31.8,23.0,16.1,8009.4313777777777779236,Red Line,Heavy Rail
66-112,1206-hr1206a1-Weekday-20,0,167,23,11760,92400,22,15.9,4.9,80,33.7,22.1,15.5,8015.2857683656957930098,Red Line,Heavy Rail
66-112,1206-hr1206a6-Saturday-20,0,132,23,13800,92400,22,19.8,1.2,63,34.2,23.7,16.9,7902.8243246472248352293,Red Line,Heavy Rail
66-112,1206-hr1206a6-Saturday-20,1,132,23,13800,92400,22,20.0,0.1,63,32.3,24.6,17.4,7898.6996948453608248133,Red Line,Heavy Rail
66-112,1206-hr1206a7-Sunday-20,0,132,23,13800,92400,22,20.0,0.0,63,34.2,23.7,16.9,7902.8243246472248352293,Red Line,Heavy Rail
66-112,1206-hr1206a7-Sunday-20,1,132,23,13800,92400,22,20.0,0.0,63,32.3,24.6,17.4,7898.6996948453608248133,Red Line,Heavy Rail
