stop_id,service_id,direction_id,numroutes,TripsServingStop,stop_name,stop_lat,stop_lon
20864,1203-hr1203a1-Weekday-20,0,1,80,W 65TH - LORAIN STATION,41.476902,-81.728699
20864,1203-hr1203a1-Weekday-20,1,1,80,W 65TH - LORAIN STATION,41.476902,-81.728699
28887,1203-hr1203a1-Weekday-20,0,1,71,E 34TH STATION,41.486359,-81.665627
28887,1203-hr1203a1-Weekday-20,1,1,71,E 34TH STATION,41.486359,-81.665627
28902,1203-hr1203a1-Weekday-20,0,1,80,W 25TH ST - OHIO CITY STATION,41.484474,-81.701279
28902,1203-hr1203a1-Weekday-20,1,1,80,W 25TH ST - OHIO CITY STATION,41.484474,-81.701279
28908,1203-hr1203a1-Weekday-20,0,1,80,BROOKPARK STATION,41.420334,-81.823059
28908,1203-hr1203a1-Weekday-20,1,1,80,BROOKPARK STATION,41.420334,-81.823059
28909,1203-hr1203a1-Weekday-20,0,1,80,AIRPORT STATION,41.410503,-81.836449
28909,1203-hr1203a1-Weekday-20,1,1,80,AIRPORT STATION,41.410503,-81.836449
28910,1203-hr1203a1-Weekday-20,0,1,80,PURITAS STATION,41.44128,-81.805618
28910,1203-hr1203a1-Weekday-20,1,1,80,PURITAS STATION,41.44128,-81.805618
28911,1203-hr1203a1-Weekday-20,0,1,80,WEST PARK STATION,41.456619,-81.792892
28911,1203-hr1203a1-Weekday-20,1,1,80,WEST PARK STATION,41.456619,-81.792892
28912,1203-hr1203a1-Weekday-20,0,1,80,TRISKETT STATION,41.465851,-81.785233
28912,1203-hr1203a1-Weekday-20,1,1,80,TRISKETT STATION,41.465851,-81.785233
28913,1203-hr1203a1-Weekday-20,0,1,80,W 117TH - MADISON STATION,41.475681,-81.768715
28913,1203-hr1203a1-Weekday-20,1,1,80,W 117TH - MADISON STATION,41.475681,-81.768715
28914,1203-hr1203a1-Weekday-20,0,1,80,WEST BLVD CUDELL STATION,41.480278,-81.753334
28914,1203-hr1203a1-Weekday-20,1,1,80,WEST BLVD CUDELL STATION,41.480278,-81.753334
28915,1203-hr1203a1-Weekday-20,0,1,9,TOWER CITY STATION TRACK 10 WEST,41.497234,-81.694214
28915,1203-hr1203a1-Weekday-20,1,1,9,TOWER CITY STATION TRACK 10 WEST,41.497234,-81.694214
28916,1203-hr1203a1-Weekday-20,0,1,71,TOWER CITY - PUBLIC SQUARE STATION,41.497223,-81.694031
28916,1203-hr1203a1-Weekday-20,1,1,71,TOWER CITY - PUBLIC SQUARE STATION,41.497223,-81.694031
28917,1203-hr1203a1-Weekday-20,0,1,65,E 79TH RED LINE STATION,41.485695,-81.633133
28917,1203-hr1203a1-Weekday-20,1,1,65,E 79TH RED LINE STATION,41.485695,-81.633133
28918,1203-hr1203a1-Weekday-20,0,1,65,E 105TH - QUINCY STATION,41.494091,-81.614716
28918,1203-hr1203a1-Weekday-20,1,1,65,E 105TH - QUINCY STATION,41.494091,-81.614716
28919,1203-hr1203a1-Weekday-20,0,1,65,UNIVERSITY CIRCLE STATION,41.499962,-81.605309
28919,1203-hr1203a1-Weekday-20,1,1,65,UNIVERSITY CIRCLE STATION,41.499962,-81.605309
28920,1203-hr1203a1-Weekday-20,0,1,65,EUCLID - E 120TH STATION,41.512295,-81.600403
28920,1203-hr1203a1-Weekday-20,1,1,65,EUCLID - E 120TH STATION,41.512295,-81.600403
28921,1203-hr1203a1-Weekday-20,0,1,65,SUPERIOR STATION,41.523418,-81.592072
28921,1203-hr1203a1-Weekday-20,1,1,65,SUPERIOR STATION,41.523418,-81.592072
28922,1203-hr1203a1-Weekday-20,0,1,65,STOKES WINDERMERE STATION,41.531406,-81.584511
28922,1203-hr1203a1-Weekday-20,1,1,65,STOKES WINDERMERE STATION,41.531406,-81.584511
29025,1203-hr1203a1-Weekday-20,1,1,63,E 55TH STATION,41.480621,-81.651672
30879,1203-hr1203a1-Weekday-20,0,1,60,E 55TH STATION,41.48056,-81.651772
20864,1203-hr1203a6-Saturday-20,0,1,63,W 65TH - LORAIN STATION,41.476902,-81.728699
20864,1203-hr1203a6-Saturday-20,1,1,63,W 65TH - LORAIN STATION,41.476902,-81.728699
28887,1203-hr1203a6-Saturday-20,0,1,63,E 34TH STATION,41.486359,-81.665627
28887,1203-hr1203a6-Saturday-20,1,1,63,E 34TH STATION,41.486359,-81.665627
28902,1203-hr1203a6-Saturday-20,0,1,63,W 25TH ST - OHIO CITY STATION,41.484474,-81.701279
28902,1203-hr1203a6-Saturday-20,1,1,63,W 25TH ST - OHIO CITY STATION,41.484474,-81.701279
28908,1203-hr1203a6-Saturday-20,0,1,63,BROOKPARK STATION,41.420334,-81.823059
28908,1203-hr1203a6-Saturday-20,1,1,63,BROOKPARK STATION,41.420334,-81.823059
28909,1203-hr1203a6-Saturday-20,0,1,63,AIRPORT STATION,41.410503,-81.836449
28909,1203-hr1203a6-Saturday-20,1,1,63,AIRPORT STATION,41.410503,-81.836449
