route_id,service_id,direction_id,numtripsperroute_both_dir,hours_of_service,first_departure_sec,last_departure_sec,span_of_service_hrs,route_avg_hdwy,route_stdev_hdwy,trips_per_day,average_speed,average_length_mi,w_avg_num_stops,avg_dist_bw_stops_ft,route_short_name,route_long_name
001,FR,0,94,22,16980,91980,21,13.1,14.8,92,,,53.2,,1,GRANBY ST
001,FR,1,94,22,16980,91980,21,12.2,13.2,92,,,57.4,,1,GRANBY ST
002,FR,0,67,22,17580,92520,21,35.5,11.8,35,,,39.0,,2,HAMPTON BLVD
002,FR,1,67,22,17580,92520,21,35.5,12.3,32,,,43.0,,2,HAMPTON BLVD
003,FR,0,89,21,18180,92160,21,15.6,15.6,76,,,57.4,,3,CHESAPEAKE BLVD
003,FR,1,89,21,18180,92160,21,14.4,14.3,80,,,55.8,,3,CHESAPEAKE BLVD
004,FR,0,24,14,21600,68700,13,66.0,5.8,12,,,27.0,,4,CHURCH ST
004,FR,1,24,14,21600,68700,13,65.0,6.4,12,,,27.0,,4,CHURCH ST
005,FR,0,24,13,22620,65520,12,60.2,0.9,12,,,30.0,,5,WILLOUGHBY
005,FR,1,24,13,22620,65520,12,60.0,0.4,12,,,29.0,,5,WILLOUGHBY
006,FR,0,52,20,19260,89100,19,29.4,22.5,40,,,24.1,,6,SOUTH NORFOLK
006,FR,1,52,20,19260,89100,19,29.1,23.0,38,,,24.8,,6,SOUTH NORFOLK
008,FR,0,66,20,19080,88920,19,34.6,11.0,33,,,25.0,,8,TIDEWATER DRIVE
008,FR,1,66,20,19080,88920,19,34.6,10.9,33,,,30.0,,8,TIDEWATER DRIVE
009,FR,0,64,20,20880,87060,18,33.9,10.2,32,,,54.0,,9,CHESTERFIELD
009,FR,1,64,20,20880,87060,18,33.9,10.2,32,,,53.0,,9,CHESTERFIELD
011,FR,0,25,13,22140,66360,12,59.9,0.5,12,,,24.0,,11,COLONIAL AVE
011,FR,1,25,13,22140,66360,12,60.3,1.3,13,,,16.0,,11,COLONIAL AVE
