stop_id,service_id,direction_id,numroutes,TripsServingStop,stop_name,stop_lat,stop_lon
0001,FR,0,1,12,CHARLOTTE & MONTICELLO,36.85192,-76.28732
0001,MR,0,1,12,CHARLOTTE & MONTICELLO,36.85192,-76.28732
0001,SA,0,1,10,CHARLOTTE & MONTICELLO,36.85192,-76.28732
0001,SU,0,1,9,CHARLOTTE & MONTICELLO,36.85192,-76.28732
0003,FR,0,3,94,SAINT PAULS & CHARLOTTE,36.85155,-76.28542
0003,FR,1,1,62,SAINT PAULS & CHARLOTTE,36.85155,-76.28542
0003,MR,0,3,92,SAINT PAULS & CHARLOTTE,36.85155,-76.28542
0003,MR,1,1,59,SAINT PAULS & CHARLOTTE,36.85155,-76.28542
0003,SA,0,3,87,SAINT PAULS & CHARLOTTE,36.85155,-76.28542
0003,SA,1,1,38,SAINT PAULS & CHARLOTTE,36.85155,-76.28542
0003,SU,0,3,43,SAINT PAULS & CHARLOTTE,36.85155,-76.28542
0003,SU,1,1,32,SAINT PAULS & CHARLOTTE,36.85155,-76.28542
0006,FR,0,5,101,SAINT PAULS & PLUME,36.84645,-76.28593
0006,FR,1,3,91,SAINT PAULS & PLUME,36.84645,-76.28593
0006,MR,0,5,99,SAINT PAULS & PLUME,36.84645,-76.28593
0006,MR,1,3,90,SAINT PAULS & PLUME,36.84645,-76.28593
0006,SA,0,4,91,SAINT PAULS & PLUME,36.84645,-76.28593
0006,SA,1,3,85,SAINT PAULS & PLUME,36.84645,-76.28593
0006,SU,0,4,49,SAINT PAULS & PLUME,36.84645,-76.28593
0006,SU,1,3,43,SAINT PAULS & PLUME,36.84645,-76.28593
0006,WE,0,1,8,SAINT PAULS & PLUME,36.84645,-76.28593
0007,FR,0,1,6,SAINT PAULS & MAIN,36.84542,-76.28678
0007,MR,0,1,6,SAINT PAULS & MAIN,36.84542,-76.28678
0007,SA,0,1,6,SAINT PAULS & MAIN,36.84542,-76.28678
0007,SU,0,1,6,SAINT PAULS & MAIN,36.84542,-76.28678
0008,FR,0,5,101,WATERSIDE & COMMERCIAL,36.84463,-76.28958
0008,FR,1,4,100,WATERSIDE & COMMERCIAL,36.84463,-76.28958
0008,MR,0,5,99,WATERSIDE & COMMERCIAL,36.84463,-76.28958
0008,MR,1,4,99,WATERSIDE & COMMERCIAL,36.84463,-76.28958
0008,SA,0,4,91,WATERSIDE & COMMERCIAL,36.84463,-76.28958
0008,SA,1,4,93,WATERSIDE & COMMERCIAL,36.84463,-76.28958
0008,SU,0,4,49,WATERSIDE & COMMERCIAL,36.84463,-76.28958
0008,SU,1,4,50,WATERSIDE & COMMERCIAL,36.84463,-76.28958
0008,WE,0,1,8,WATERSIDE & COMMERCIAL,36.84463,-76.28958
0011,FR,1,1,13,MONTICELLO & BRAMBLETON (Radisson),36.85478,-76.28709
0011,MR,1,1,13,MONTICELLO & BRAMBLETON (Radisson),36.85478,-76.28709
0011,SA,1,1,13,MONTICELLO & BRAMBLETON (Radisson),36.85478,-76.28709
0012,FR,0,3,159,MONTICELLO & VIRGINIA BEACH,36.85853,-76.28707
0012,FR,1,14,338,MONTICELLO & VIRGINIA BEACH,36.85853,-76.28707
0012,MR,0,3,150,MONTICELLO & VIRGINIA BEACH,36.85853,-76.28707
0012,MR,1,14,331,MONTICELLO & VIRGINIA BEACH,36.85853,-76.28707
0012,SA,0,3,129,MONTICELLO & VIRGINIA BEACH,36.85853,-76.28707
0012,SA,1,13,273,MONTICELLO & VIRGINIA BEACH,36.85853,-76.28707
0012,SU,0,3,86,MONTICELLO & VIRGINIA BEACH,36.85853,-76.28707
0012,SU,1,10,141,MONTICELLO & VIRGINIA BEACH,36.85853,-76.28707
0014,FR,0,3,109,MONTICELLO & 15TH,36.86285,-76.28581
0014,FR,1,1,4,MONTICELLO & 15TH,36.86285,-76.28581
0014,MR,0,3,103,MONTICELLO & 15TH,36.86285,-76.28581
0014,MR,1,1,4,MONTICELLO & 15TH,36.86285,-76.28581
0014,SA,0,3,94,MONTICELLO & 15TH,36.86285,-76.28581
0014,SA,1,1,22,MONTICELLO & 15TH,36.86285,-76.28581
0014,SU,0,3,58,MONTICELLO & 15TH,36.86285,-76.28581
0014,SU,1,1,14,MONTICELLO & 15TH,36.86285,-76.28581
0014,WE,1,1,17,MONTICELLO & 15TH,36.86285,-76.28581
0015,FR,0,3,110,MONTICELLO & 18TH,36.86517,-76.28484
0015,FR,1,1,4,MONTICELLO & 18TH,36.86517,-76.28484
0015,MR,0,3,104,MONTICELLO & 18TH,36.86517,-76.28484
0015,MR,1,1,4,MONTICELLO & 18TH,36.86517,-76.28484
0015,SA,0,3,94,MONTICELLO & 18TH,36.86517,-76.28484
0015,SA,1,1,22,MONTICELLO & 18TH,36.86517,-76.28484
0015,SU,0,3,58,MONTICELLO & 18TH,36.86517,-76.28484
0015,SU,1,1,14,MONTICELLO & 18TH,36.86517,-76.28484
0015,WE,1,1,17,MONTICELLO & 18TH,36.86517,-76.28484
0016,FR,0,2,89,MONTICELLO & 21ST,36.86689,-76.28412
0016,MR,0,2,88,MONTICELLO & 21ST,36.86689,-76.28412
0016,SA,0,2,66,MONTICELLO & 21ST,36.86689,-76.28412
0016,SU,0,2,38,MONTICELLO & 21ST,36.86689,-76.28412
0017,FR,0,1,43,26TH & ARMISTEAD,36.87037,-76.28147
0017,MR,0,1,42,26TH & ARMISTEAD,36.87037,-76.28147
0017,SA,0,1,32,26TH & ARMISTEAD,36.87037,-76.28147
0017,SU,0,1,18,26TH & ARMISTEAD,36.87037,-76.28147
0018,FR,0,1,46,MONTICELLO & 29TH,36.87289,-76.28145
0018,MR,0,1,46,MONTICELLO & 29TH,36.87289,-76.28145
0018,SA,0,1,34,MONTICELLO & 29TH,36.87289,-76.28145
0018,SU,0,1,20,MONTICELLO & 29TH,36.87289,-76.28145
0020,FR,0,1,46,GRANBY & 33RD,36.87707,-76.28177
0020,MR,0,1,46,GRANBY & 33RD,36.87707,-76.28177
0020,SA,0,1,34,GRANBY & 33RD,36.87707,-76.28177
0020,SU,0,1,20,GRANBY & 33RD,36.87707,-76.28177
0021,FR,0,1,46,GRANBY & 35TH,36.87846,-76.28198
0021,MR,0,1,46,GRANBY & 35TH,36.87846,-76.28198
0021,SA,0,1,34,GRANBY & 35TH,36.87846,-76.28198
0021,SU,0,1,20,GRANBY & 35TH,36.87846,-76.28198
0023,FR,0,1,46,GRANBY & DELAWARE,36.88299,-76.28159
0023,MR,0,1,46,GRANBY & DELAWARE,36.88299,-76.28159
0023,SA,0,1,34,GRANBY & DELAWARE,36.88299,-76.28159
0023,SU,0,1,20,GRANBY & DELAWARE,36.88299,-76.28159
0024,FR,0,1,46,GRANBY & 42ND,36.88497,-76.28129
0024,MR,0,1,46,GRANBY & 42ND,36.88497,-76.28129
0024,SA,0,1,34,GRANBY & 42ND,36.88497,-76.28129
0024,SU,0,1,20,GRANBY & 42ND,36.88497,-76.28129
0026,FR,0,1,46,GRANBY & WILLOW WOOD,36.89096,-76.27881
0026,MR,0,1,46,GRANBY & WILLOW WOOD,36.89096,-76.27881
0026,SA,0,1,34,GRANBY & WILLOW WOOD,36.89096,-76.27881
0026,SU,0,1,20,GRANBY & WILLOW WOOD,36.89096,-76.27881
0027,FR,0,1,46,GRANBY & ARDEN,36.89272,-76.27871
0027,MR,0,1,46,GRANBY & ARDEN,36.89272,-76.27871
0027,SA,0,1,34,GRANBY & ARDEN,36.89272,-76.27871
0027,SU,0,1,20,GRANBY & ARDEN,36.89272,-76.27871
0028,FR,0,1,46,GRANBY & SEVERN,36.89479,-76.27907
0028,MR,0,1,46,GRANBY & SEVERN,36.89479,-76.27907
0028,SA,0,1,34,GRANBY & SEVERN,36.89479,-76.27907
0028,SU,0,1,20,GRANBY & SEVERN,36.89479,-76.27907
0030,FR,0,1,46,GRANBY & KINGSLEY,36.89768,-76.27959
0030,FR,1,1,4,GRANBY & KINGSLEY,36.89768,-76.27959
0030,MR,0,1,46,GRANBY & KINGSLEY,36.89768,-76.27959
0030,MR,1,1,4,GRANBY & KINGSLEY,36.89768,-76.27959
0030,SA,0,1,34,GRANBY & KINGSLEY,36.89768,-76.27959
0030,SU,0,1,20,GRANBY & KINGSLEY,36.89768,-76.27959
0031,FR,0,1,46,GRANBY & CONWAY,36.89985,-76.27891
0031,MR,0,1,46,GRANBY & CONWAY,36.89985,-76.27891
0031,SA,0,1,34,GRANBY & CONWAY,36.89985,-76.27891
0031,SU,0,1,20,GRANBY & CONWAY,36.89985,-76.27891
0032,FR,0,1,46,GRANBY & SIR OLIVER,36.90239,-76.27782
0032,MR,0,1,46,GRANBY & SIR OLIVER,36.90239,-76.27782
0032,SA,0,1,34,GRANBY & SIR OLIVER,36.90239,-76.27782
0032,SU,0,1,20,GRANBY & SIR OLIVER,36.90239,-76.27782
0033,FR,0,1,46,GRANBY & SEEKEL,36.90583,-76.27633
0033,MR,0,1,46,GRANBY & SEEKEL,36.90583,-76.27633
0033,SA,0,1,34,GRANBY & SEEKEL,36.90583,-76.27633
0033,SU,0,1,20,GRANBY & SEEKEL,36.90583,-76.27633
0034,FR,0,1,46,GRANBY & FORSYTHE,36.90708,-76.27579
