route_id,stop_id,service_id,direction_id,avghdwy,stdev_hdwy,stop_name,stop_lat,stop_lon,route_short_name,route_long_name
004,0001,FR,0,66.0,5.8,CHARLOTTE & MONTICELLO,36.85192,-76.28732,4,CHURCH ST
006,0003,FR,0,43.8,15.3,SAINT PAULS & CHARLOTTE,36.85155,-76.28542,6,SOUTH NORFOLK
008,0003,FR,0,34.6,11.0,SAINT PAULS & CHARLOTTE,36.85155,-76.28542,8,TIDEWATER DRIVE
017,0003,FR,1,17.9,6.0,SAINT PAULS & CHARLOTTE,36.85155,-76.28542,17,THE NET
045,0003,FR,0,32.7,8.8,SAINT PAULS & CHARLOTTE,36.85155,-76.28542,45,PORTSMOUTH BLVD
006,0006,FR,0,44.4,15.3,SAINT PAULS & PLUME,36.84645,-76.28593,6,SOUTH NORFOLK
006,0006,FR,1,45.0,15.2,SAINT PAULS & PLUME,36.84645,-76.28593,6,SOUTH NORFOLK
008,0006,FR,0,34.6,11.0,SAINT PAULS & PLUME,36.84645,-76.28593,8,TIDEWATER DRIVE
008,0006,FR,1,34.6,10.9,SAINT PAULS & PLUME,36.84645,-76.28593,8,TIDEWATER DRIVE
045,0006,FR,0,32.8,8.9,SAINT PAULS & PLUME,36.84645,-76.28593,45,PORTSMOUTH BLVD
045,0006,FR,1,33.4,10.3,SAINT PAULS & PLUME,36.84645,-76.28593,45,PORTSMOUTH BLVD
960,0006,FR,0,59.8,0.4,SAINT PAULS & PLUME,36.84645,-76.28593,960,MAX VIRGINIA BEACH/NORFOLK
961,0006,FR,0,30.0,,SAINT PAULS & PLUME,36.84645,-76.28593,961,MAX NEWPORT NEWS/HAMPTON/NORFOLK
960,0007,FR,0,59.8,0.4,SAINT PAULS & MAIN,36.84542,-76.28678,960,MAX VIRGINIA BEACH/NORFOLK
006,0008,FR,0,44.4,15.3,WATERSIDE & COMMERCIAL,36.84463,-76.28958,6,SOUTH NORFOLK
006,0008,FR,1,45.0,15.2,WATERSIDE & COMMERCIAL,36.84463,-76.28958,6,SOUTH NORFOLK
008,0008,FR,0,34.6,11.0,WATERSIDE & COMMERCIAL,36.84463,-76.28958,8,TIDEWATER DRIVE
008,0008,FR,1,34.6,10.9,WATERSIDE & COMMERCIAL,36.84463,-76.28958,8,TIDEWATER DRIVE
045,0008,FR,0,32.8,8.9,WATERSIDE & COMMERCIAL,36.84463,-76.28958,45,PORTSMOUTH BLVD
045,0008,FR,1,33.4,10.3,WATERSIDE & COMMERCIAL,36.84463,-76.28958,45,PORTSMOUTH BLVD
960,0008,FR,0,59.8,0.4,WATERSIDE & COMMERCIAL,36.84463,-76.28958,960,MAX VIRGINIA BEACH/NORFOLK
960,0008,FR,1,59.8,0.3,WATERSIDE & COMMERCIAL,36.84463,-76.28958,960,MAX VIRGINIA BEACH/NORFOLK
961,0008,FR,0,29.0,,WATERSIDE & COMMERCIAL,36.84463,-76.28958,961,MAX NEWPORT NEWS/HAMPTON/NORFOLK
044,0011,FR,1,59.9,0.9,MONTICELLO & BRAMBLETON (Radisson),36.85478,-76.28709,44,MIDTOWN
002,0012,FR,1,35.5,12.3,MONTICELLO & VIRGINIA BEACH,36.85853,-76.28707,2,HAMPTON BLVD
003,0012,FR,0,27.7,15.0,MONTICELLO & VIRGINIA BEACH,36.85853,-76.28707,3,CHESAPEAKE BLVD
004,0012,FR,1,65.0,6.4,MONTICELLO & VIRGINIA BEACH,36.85853,-76.28707,4,CHURCH ST
006,0012,FR,1,45.0,15.2,MONTICELLO & VIRGINIA BEACH,36.85853,-76.28707,6,SOUTH NORFOLK
008,0012,FR,1,34.6,10.9,MONTICELLO & VIRGINIA BEACH,36.85853,-76.28707,8,TIDEWATER DRIVE
009,0012,FR,1,33.9,10.2,MONTICELLO & VIRGINIA BEACH,36.85853,-76.28707,9,CHESTERFIELD
011,0012,FR,1,60.3,1.3,MONTICELLO & VIRGINIA BEACH,36.85853,-76.28707,11,COLONIAL AVE
013,0012,FR,1,43.8,15.2,MONTICELLO & VIRGINIA BEACH,36.85853,-76.28707,13,CAMPOSTELLA RD
017,0012,FR,0,13.4,5.6,MONTICELLO & VIRGINIA BEACH,36.85853,-76.28707,17,THE NET
018,0012,FR,1,59.9,2.1,MONTICELLO & VIRGINIA BEACH,36.85853,-76.28707,18,BALLENTINE BLVD
020,0012,FR,1,24.4,14.0,MONTICELLO & VIRGINIA BEACH,36.85853,-76.28707,20,VIRGINIA BEACH BLVD
023,0012,FR,0,34.5,11.0,MONTICELLO & VIRGINIA BEACH,36.85853,-76.28707,23,PRINCESS ANNE RD
023,0012,FR,1,35.4,11.7,MONTICELLO & VIRGINIA BEACH,36.85853,-76.28707,23,PRINCESS ANNE RD
044,0012,FR,1,59.9,0.9,MONTICELLO & VIRGINIA BEACH,36.85853,-76.28707,44,MIDTOWN
045,0012,FR,1,33.5,10.1,MONTICELLO & VIRGINIA BEACH,36.85853,-76.28707,45,PORTSMOUTH BLVD
960,0012,FR,1,59.6,0.7,MONTICELLO & VIRGINIA BEACH,36.85853,-76.28707,960,MAX VIRGINIA BEACH/NORFOLK
961,0012,FR,1,30.0,,MONTICELLO & VIRGINIA BEACH,36.85853,-76.28707,961,MAX NEWPORT NEWS/HAMPTON/NORFOLK
001,0014,FR,0,26.5,15.3,MONTICELLO & 15TH,36.86285,-76.28581,1,GRANBY ST
003,0014,FR,0,27.7,15.0,MONTICELLO & 15TH,36.86285,-76.28581,3,CHESAPEAKE BLVD
017,0014,FR,0,30.7,2.9,MONTICELLO & 15TH,36.86285,-76.28581,17,THE NET
961,0014,FR,1,30.0,,MONTICELLO & 15TH,36.86285,-76.28581,961,MAX NEWPORT NEWS/HAMPTON/NORFOLK
001,0015,FR,0,26.6,15.2,MONTICELLO & 18TH,36.86517,-76.28484,1,GRANBY ST
003,0015,FR,0,27.7,15.0,MONTICELLO & 18TH,36.86517,-76.28484,3,CHESAPEAKE BLVD
017,0015,FR,0,30.7,2.9,MONTICELLO & 18TH,36.86517,-76.28484,17,THE NET
961,0015,FR,1,30.0,,MONTICELLO & 18TH,36.86517,-76.28484,961,MAX NEWPORT NEWS/HAMPTON/NORFOLK
001,0016,FR,0,26.6,15.2,MONTICELLO & 21ST,36.86689,-76.28412,1,GRANBY ST
003,0016,FR,0,27.7,15.0,MONTICELLO & 21ST,36.86689,-76.28412,3,CHESAPEAKE BLVD
003,0017,FR,0,27.7,15.0,26TH & ARMISTEAD,36.87037,-76.28147,3,CHESAPEAKE BLVD
001,0018,FR,0,26.6,15.2,MONTICELLO & 29TH,36.87289,-76.28145,1,GRANBY ST
001,0020,FR,0,26.6,15.2,GRANBY & 33RD,36.87707,-76.28177,1,GRANBY ST
001,0021,FR,0,26.6,15.2,GRANBY & 35TH,36.87846,-76.28198,1,GRANBY ST
001,0023,FR,0,26.6,15.2,GRANBY & DELAWARE,36.88299,-76.28159,1,GRANBY ST
001,0024,FR,0,26.6,15.2,GRANBY & 42ND,36.88497,-76.28129,1,GRANBY ST
001,0026,FR,0,26.6,15.2,GRANBY & WILLOW WOOD,36.89096,-76.27881,1,GRANBY ST
001,0027,FR,0,26.6,15.2,GRANBY & ARDEN,36.89272,-76.27871,1,GRANBY ST
001,0028,FR,0,26.6,15.2,GRANBY & SEVERN,36.89479,-76.27907,1,GRANBY ST
001,0030,FR,0,26.6,15.2,GRANBY & KINGSLEY,36.89768,-76.27959,1,GRANBY ST
961,0030,FR,1,30.0,,GRANBY & KINGSLEY,36.89768,-76.27959,961,MAX NEWPORT NEWS/HAMPTON/NORFOLK
001,0031,FR,0,26.6,15.2,GRANBY & CONWAY,36.89985,-76.27891,1,GRANBY ST
001,0032,FR,0,26.6,15.2,GRANBY & SIR OLIVER,36.90239,-76.27782,1,GRANBY ST
001,0033,FR,0,26.6,15.2,GRANBY & SEEKEL,36.90583,-76.27633,1,GRANBY ST
001,0034,FR,0,26.6,15.2,GRANBY & FORSYTHE,36.90708,-76.27579,1,GRANBY ST
001,0036,FR,0,26.6,15.2,GRANBY & GRANBY PARK,36.91018,-76.27447,1,GRANBY ST
001,0037,FR,0,26.6,15.2,GRANBY & SUBURBAN,36.91227,-76.27356,1,GRANBY ST
001,0038,FR,0,26.6,15.2,GRANBY & LITTLE CREEK,36.91421,-76.27274,1,GRANBY ST
001,0039,FR,0,13.1,14.8,WARDS CORNER TRANSFER,36.91801,-76.27216,1,GRANBY ST
001,0039,FR,1,12.2,13.2,WARDS CORNER TRANSFER,36.91801,-76.27216,1,GRANBY ST
021,0039,FR,0,17.3,16.6,WARDS CORNER TRANSFER,36.91801,-76.27216,21,LITTLE CREEK ROAD
021,0039,FR,1,17.0,16.1,WARDS CORNER TRANSFER,36.91801,-76.27216,21,LITTLE CREEK ROAD
961,0039,FR,0,30.0,,WARDS CORNER TRANSFER,36.91801,-76.27216,961,MAX NEWPORT NEWS/HAMPTON/NORFOLK
961,0039,FR,1,30.0,,WARDS CORNER TRANSFER,36.91801,-76.27216,961,MAX NEWPORT NEWS/HAMPTON/NORFOLK
001,0040,FR,0,26.6,15.1,GRANBY & CEMETARY,36.92798,-76.2678,1,GRANBY ST
001,0042,FR,0,26.6,15.1,GRANBY & BAYVIEW,36.93461,-76.26412,1,GRANBY ST
