route_id,service_id,direction_id,numtripsperroute_both_dir,hours_of_service,first_departure_sec,last_departure_sec,span_of_service_hrs,route_avg_hdwy,route_stdev_hdwy,trips_per_day,average_speed,average_length_mi,w_avg_num_stops,avg_dist_bw_stops_ft,route_short_name,route_long_name
97,Fr,0,34,9,64800,96000,9,7.8,2.9,67,6.7,4.4,19.6,8.6843045045045043508,97,In-Town Trolley Green Line
97,Fr2,0,34,9,64800,96000,9,7.8,2.9,67,6.7,4.4,19.6,8.6843045045045043508,97,In-Town Trolley Green Line
1,Sa,0,58,18,22500,83220,17,16.4,13.2,60,14.2,14.0,77.8,940.7366861862527716550,1,Florida Avenue
12,Sa,0,58,17,23700,80640,16,16.6,9.7,58,14.1,12.1,68.6,943.8804911457004338825,12,22nd Street
15,Sa,0,26,14,24900,71880,13,30.2,7.1,26,18.2,18.1,89.0,1085.8599994318181817287,15,Columbus Drive
16,Sa,0,36,14,21900,69840,13,22.8,11.6,36,17.2,9.7,50.0,1038.5603744897959182803,16,Waters Avenue
18,Sa,0,29,16,21300,75540,15,14.8,8.0,58,14.5,15.7,87.9,933.0789579999999998456,18,30th Street
19,Sa,0,30,17,23700,81120,16,21.5,13.9,60,15.7,15.2,91.3,880.7354387143900658392,19,Port Tampa
2,Sa,0,66,19,18900,86160,19,16.8,11.0,66,14.8,11.4,74.8,812.3960220008216927573,2,Nebraska Avenue
30,Sa,0,62,18,23700,83280,17,29.0,0.5,62,19.8,22.0,75.5,1552.7079268456375839829,30,Town 'N Country
32,Sa,0,32,17,25500,82800,16,19.1,18.7,64,20.3,17.7,68.5,1362.5681664233576642695,32,Dr Martin Luther King Jr Blvd
33,Sa,0,44,17,21600,80460,16,22.7,12.6,44,15.6,9.2,47.5,1036.9794537634408603597,33,Fletcher Avenue
34,Sa,0,60,17,23400,80760,16,15.2,10.1,60,17.8,16.5,78.0,1127.0518359090909089716,34,Hillsborough Avenue
36,Sa,0,28,16,22200,75780,15,15.7,14.4,56,13.8,18.9,85.5,1148.5605150289017342387,36,Dale Mabry - Himes Avenue
37,Sa,0,26,14,24000,70140,13,30.6,16.0,26,20.4,16.1,62.0,1392.8571122950819671916,37,Brandon - Netpark
39,Sa,0,57,16,25200,81600,16,28.0,0.0,60,18.6,22.1,83.6,1393.7609487405541560374,39,Busch Boulevard
45,Sa,0,27,15,23700,74880,14,19.3,22.2,54,13.5,16.4,88.0,984.1150985269360267891,45,UATC - Rome - Westshore Plaza
5,Sa,0,28,15,23700,73320,14,30.6,17.3,28,17.7,13.5,76.0,944.0158820000000000000,5,40th Street
572,Sa,0,24,13,24300,66600,12,30.6,15.3,24,18.1,6.0,14.5,2346.7170222222222220764,572,Northdale Flex
6,Sa,0,58,16,22500,78600,16,8.3,6.2,116,16.3,18.0,68.1,1375.2469240384615384363,6,56th Street
7,Sa,0,28,15,23700,73980,14,27.1,23.4,56,18.0,16.6,60.5,1445.4350595041322313209,7,West Tampa - Citrus Park
8,Sa,0,30,16,23400,78300,15,29.7,8.1,30,20.0,21.7,70.5,1649.3468978417266186177,8,Progress Village- Brandon
