stop_id,service_id,direction_id,numroutes,TripsServingStop,stop_name,stop_lat,stop_lon
4184,Fr,0,1,34,Tyler St @ Ashley Dr,27.951505,-82.462171
5798,Fr,0,1,33,Tampa St @ Kennedy Blvd,27.947149,-82.458768
5872,Fr,0,1,33,Tampa St @ Jackson St,27.94647,-82.458454
5876,Fr,0,1,33,Tampa Convention Center,27.941109,-82.455153
5877,Fr,0,1,33,S Harbour Island Bl @ Westin  Hotel,27.938401,-82.453998
5881,Fr,0,1,33,S Harbor Island Bl @ Westin Hotel,27.938989,-82.454029
6981,Fr,0,1,67,Dick Greco Plaza,27.94119,-82.454991
6988,Fr,0,1,34,Macinnes Place @ Fortune St,27.952393,-82.463113
7132,Fr,0,1,33,Channelside,27.943881,-82.447075
7368,Fr,0,1,33,Ashley Dr @ Tyler St,27.951288,-82.461735
7369,Fr,0,1,33,Ashley Dr @ Zack St,27.949604,-82.460996
7372,Fr,0,1,34,Ashley Dr @ Polk St,27.949812,-82.460662
7602,Fr,0,1,33,Times Forum Dr @ Channelside Dr,27.943374,-82.450284
7603,Fr,0,1,33,Channelside Dr @ Times Forum Dr,27.943564,-82.450274
7604,Fr,0,1,33,Madison St @ Tampa St,27.947983,-82.459123
7605,Fr,0,1,34,Ashley Dr @ Twiggs St,27.948526,-82.460014
7606,Fr,0,1,33,Cumberland St @ 11th St,27.944923,-82.447571
7719,Fr,0,1,34,Whiting St @ Franklin St,27.945465,-82.457158
7728,Fr,0,1,34,Ashley Dr @ Jackson St,27.946615,-82.459173
7736,Fr,0,1,33,Whiting St @ Tampa St,27.945166,-82.457492
4184,Fr2,0,1,34,Tyler St @ Ashley Dr,27.951505,-82.462171
5798,Fr2,0,1,33,Tampa St @ Kennedy Blvd,27.947149,-82.458768
5872,Fr2,0,1,33,Tampa St @ Jackson St,27.94647,-82.458454
5873,Fr2,0,1,33,Franklin St @ Whiting St,27.944786,-82.456763
5876,Fr2,0,1,33,Tampa Convention Center,27.941109,-82.455153
5877,Fr2,0,1,33,S Harbour Island Bl @ Westin  Hotel,27.938401,-82.453998
5881,Fr2,0,1,33,S Harbor Island Bl @ Westin Hotel,27.938989,-82.454029
6981,Fr2,0,1,67,Dick Greco Plaza,27.94119,-82.454991
6988,Fr2,0,1,34,Macinnes Place @ Fortune St,27.952393,-82.463113
7132,Fr2,0,1,33,Channelside,27.943881,-82.447075
7368,Fr2,0,1,33,Ashley Dr @ Tyler St,27.951288,-82.461735
7369,Fr2,0,1,33,Ashley Dr @ Zack St,27.949604,-82.460996
7372,Fr2,0,1,34,Ashley Dr @ Polk St,27.949812,-82.460662
7602,Fr2,0,1,33,Times Forum Dr @ Channelside Dr,27.943374,-82.450284
7603,Fr2,0,1,33,Channelside Dr @ Times Forum Dr,27.943564,-82.450274
7604,Fr2,0,1,33,Madison St @ Tampa St,27.947983,-82.459123
7605,Fr2,0,1,34,Ashley Dr @ Twiggs St,27.948526,-82.460014
7606,Fr2,0,1,33,Cumberland St @ 11th St,27.944923,-82.447571
7719,Fr2,0,1,34,Whiting St @ Franklin St,27.945465,-82.457158
7728,Fr2,0,1,34,Ashley Dr @ Jackson St,27.946615,-82.459173
1003,Sa,0,1,13,N Boulevard @ Cliff Circle,28.045318,-82.467791
1004,Sa,0,1,13,N Boulevard @ Newport Circle,28.042221,-82.467811
1006,Sa,0,1,13,N Boulevard @ Linebaugh Av,28.040455,-82.467783
1008,Sa,0,1,13,N Boulevard @ Perdiz St,28.038547,-82.467761
1010,Sa,0,1,13,N Boulevard @ Forest Hills Dr,28.034613,-82.467833
1011,Sa,0,1,13,N Boulevard @ El Portal Dr,28.031997,-82.467804
1012,Sa,0,1,13,N Boulevard @ Humphrey St,28.031034,-82.46778
1013,Sa,0,1,13,N Boulevard @ Yukon St,28.029072,-82.467836
1014,Sa,0,1,13,N Boulevard @ Waters Av,28.025972,-82.467774
1015,Sa,0,1,13,N Boulevard @ Sitka St,28.021873,-82.467854
1017,Sa,0,1,13,N Boulevard @ Kirby St,28.018187,-82.467834
1021,Sa,0,1,13,N Boulevard @ Lowry Park,28.01366,-82.467912
1029,Sa,0,1,14,N Boulevard @ Cypress St,27.952612,-82.468536
1032,Sa,0,1,14,Himes Av @ Beach St,27.962982,-82.501307
1033,Sa,0,1,14,Himes Av @ St John St,27.964612,-82.501322
