route_id,stop_id,service_id,direction_id,avghdwy,stdev_hdwy,stop_name,stop_lat,stop_lon,route_short_name,route_long_name
97,4184,Fr,0,15.4,2.6,Tyler St @ Ashley Dr,27.951505,-82.462171,97,In-Town Trolley Green Line
97,5798,Fr,0,15.0,0.0,Tampa St @ Kennedy Blvd,27.947149,-82.458768,97,In-Town Trolley Green Line
97,5872,Fr,0,15.0,0.0,Tampa St @ Jackson St,27.94647,-82.458454,97,In-Town Trolley Green Line
97,5876,Fr,0,15.0,0.0,Tampa Convention Center,27.941109,-82.455153,97,In-Town Trolley Green Line
97,5877,Fr,0,15.0,0.0,S Harbour Island Bl @ Westin  Hotel,27.938401,-82.453998,97,In-Town Trolley Green Line
97,5881,Fr,0,15.0,0.0,S Harbor Island Bl @ Westin Hotel,27.938989,-82.454029,97,In-Town Trolley Green Line
97,6981,Fr,0,7.8,2.9,Dick Greco Plaza,27.94119,-82.454991,97,In-Town Trolley Green Line
97,6988,Fr,0,15.4,2.6,Macinnes Place @ Fortune St,27.952393,-82.463113,97,In-Town Trolley Green Line
97,7132,Fr,0,15.0,0.0,Channelside,27.943881,-82.447075,97,In-Town Trolley Green Line
97,7368,Fr,0,15.0,0.0,Ashley Dr @ Tyler St,27.951288,-82.461735,97,In-Town Trolley Green Line
97,7369,Fr,0,15.0,0.0,Ashley Dr @ Zack St,27.949604,-82.460996,97,In-Town Trolley Green Line
97,7372,Fr,0,15.4,2.6,Ashley Dr @ Polk St,27.949812,-82.460662,97,In-Town Trolley Green Line
97,7602,Fr,0,15.0,0.0,Times Forum Dr @ Channelside Dr,27.943374,-82.450284,97,In-Town Trolley Green Line
97,7603,Fr,0,15.0,0.0,Channelside Dr @ Times Forum Dr,27.943564,-82.450274,97,In-Town Trolley Green Line
97,7604,Fr,0,15.0,0.0,Madison St @ Tampa St,27.947983,-82.459123,97,In-Town Trolley Green Line
97,7605,Fr,0,15.4,2.6,Ashley Dr @ Twiggs St,27.948526,-82.460014,97,In-Town Trolley Green Line
97,7606,Fr,0,15.0,0.0,Cumberland St @ 11th St,27.944923,-82.447571,97,In-Town Trolley Green Line
97,7719,Fr,0,15.4,2.6,Whiting St @ Franklin St,27.945465,-82.457158,97,In-Town Trolley Green Line
97,7728,Fr,0,15.4,2.6,Ashley Dr @ Jackson St,27.946615,-82.459173,97,In-Town Trolley Green Line
97,7736,Fr,0,15.0,0.0,Whiting St @ Tampa St,27.945166,-82.457492,97,In-Town Trolley Green Line
97,4184,Fr2,0,15.4,2.6,Tyler St @ Ashley Dr,27.951505,-82.462171,97,In-Town Trolley Green Line
97,5798,Fr2,0,15.0,0.0,Tampa St @ Kennedy Blvd,27.947149,-82.458768,97,In-Town Trolley Green Line
97,5872,Fr2,0,15.0,0.0,Tampa St @ Jackson St,27.94647,-82.458454,97,In-Town Trolley Green Line
97,5873,Fr2,0,15.0,0.0,Franklin St @ Whiting St,27.944786,-82.456763,97,In-Town Trolley Green Line
97,5876,Fr2,0,15.0,0.0,Tampa Convention Center,27.941109,-82.455153,97,In-Town Trolley Green Line
97,5877,Fr2,0,15.0,0.0,S Harbour Island Bl @ Westin  Hotel,27.938401,-82.453998,97,In-Town Trolley Green Line
97,5881,Fr2,0,15.0,0.0,S Harbor Island Bl @ Westin Hotel,27.938989,-82.454029,97,In-Town Trolley Green Line
97,6981,Fr2,0,7.8,2.9,Dick Greco Plaza,27.94119,-82.454991,97,In-Town Trolley Green Line
97,6988,Fr2,0,15.4,2.6,Macinnes Place @ Fortune St,27.952393,-82.463113,97,In-Town Trolley Green Line
97,7132,Fr2,0,15.0,0.0,Channelside,27.943881,-82.447075,97,In-Town Trolley Green Line
97,7368,Fr2,0,15.0,0.0,Ashley Dr @ Tyler St,27.951288,-82.461735,97,In-Town Trolley Green Line
97,7369,Fr2,0,15.0,0.0,Ashley Dr @ Zack St,27.949604,-82.460996,97,In-Town Trolley Green Line
97,7372,Fr2,0,15.4,2.6,Ashley Dr @ Polk St,27.949812,-82.460662,97,In-Town Trolley Green Line
97,7602,Fr2,0,15.0,0.0,Times Forum Dr @ Channelside Dr,27.943374,-82.450284,97,In-Town Trolley Green Line
97,7603,Fr2,0,15.0,0.0,Channelside Dr @ Times Forum Dr,27.943564,-82.450274,97,In-Town Trolley Green Line
97,7604,Fr2,0,15.0,0.0,Madison St @ Tampa St,27.947983,-82.459123,97,In-Town Trolley Green Line
97,7605,Fr2,0,15.4,2.6,Ashley Dr @ Twiggs St,27.948526,-82.460014,97,In-Town Trolley Green Line
97,7606,Fr2,0,15.0,0.0,Cumberland St @ 11th St,27.944923,-82.447571,97,In-Town Trolley Green Line
97,7719,Fr2,0,15.4,2.6,Whiting St @ Franklin St,27.945465,-82.457158,97,In-Town Trolley Green Line
97,7728,Fr2,0,15.4,2.6,Ashley Dr @ Jackson St,27.946615,-82.459173,97,In-Town Trolley Green Line
45,1003,Sa,0,60.0,0.0,N Boulevard @ Cliff Circle,28.045318,-82.467791,45,UATC - Rome - Westshore Plaza
45,1004,Sa,0,60.0,0.0,N Boulevard @ Newport Circle,28.042221,-82.467811,45,UATC - Rome - Westshore Plaza
45,1006,Sa,0,60.0,0.0,N Boulevard @ Linebaugh Av,28.040455,-82.467783,45,UATC - Rome - Westshore Plaza
45,1008,Sa,0,60.0,0.0,N Boulevard @ Perdiz St,28.038547,-82.467761,45,UATC - Rome - Westshore Plaza
45,1010,Sa,0,60.0,0.0,N Boulevard @ Forest Hills Dr,28.034613,-82.467833,45,UATC - Rome - Westshore Plaza
45,1011,Sa,0,60.0,0.0,N Boulevard @ El Portal Dr,28.031997,-82.467804,45,UATC - Rome - Westshore Plaza
45,1012,Sa,0,60.0,0.0,N Boulevard @ Humphrey St,28.031034,-82.46778,45,UATC - Rome - Westshore Plaza
45,1013,Sa,0,60.0,0.0,N Boulevard @ Yukon St,28.029072,-82.467836,45,UATC - Rome - Westshore Plaza
45,1014,Sa,0,60.0,0.0,N Boulevard @ Waters Av,28.025972,-82.467774,45,UATC - Rome - Westshore Plaza
45,1015,Sa,0,60.0,0.0,N Boulevard @ Sitka St,28.021873,-82.467854,45,UATC - Rome - Westshore Plaza
45,1017,Sa,0,60.0,0.0,N Boulevard @ Kirby St,28.018187,-82.467834,45,UATC - Rome - Westshore Plaza
45,1021,Sa,0,60.0,0.0,N Boulevard @ Lowry Park,28.01366,-82.467912,45,UATC - Rome - Westshore Plaza
7,1029,Sa,0,60.0,0.0,N Boulevard @ Cypress St,27.952612,-82.468536,7,West Tampa - Citrus Park
45,1032,Sa,0,60.0,0.0,Himes Av @ Beach St,27.962982,-82.501307,45,UATC - Rome - Westshore Plaza
45,1033,Sa,0,60.0,0.0,Himes Av @ St John St,27.964612,-82.501322,45,UATC - Rome - Westshore Plaza
45,1034,Sa,0,60.0,0.0,Himes Av @ Columbus Dr,27.966463,-82.501394,45,UATC - Rome - Westshore Plaza
36,1035,Sa,0,60.0,0.0,Himes Av @ Columbus Dr,27.967159,-82.501354,36,Dale Mabry - Himes Avenue
45,1035,Sa,0,60.0,0.0,Himes Av @ Columbus Dr,27.967159,-82.501354,45,UATC - Rome - Westshore Plaza
36,1036,Sa,0,60.0,0.0,Himes Av @ IVy St,27.969758,-82.501356,36,Dale Mabry - Himes Avenue
45,1036,Sa,0,60.0,0.0,Himes Av @ IVy St,27.969758,-82.501356,45,UATC - Rome - Westshore Plaza
36,1037,Sa,0,60.0,0.0,Himes Av @ Leroy St,27.971757,-82.501397,36,Dale Mabry - Himes Avenue
45,1037,Sa,0,60.0,0.0,Himes Av @ Leroy St,27.971757,-82.501397,45,UATC - Rome - Westshore Plaza
36,1038,Sa,0,60.0,0.0,Himes Av @ Tampa Bay Blvd,27.973689,-82.501372,36,Dale Mabry - Himes Avenue
45,1038,Sa,0,60.0,0.0,Himes Av @ Tampa Bay Blvd,27.973689,-82.501372,45,UATC - Rome - Westshore Plaza
36,1040,Sa,0,60.0,0.0,Himes Av @ Woodlawn Av,27.976126,-82.501372,36,Dale Mabry - Himes Avenue
45,1040,Sa,0,60.0,0.0,Himes Av @ Woodlawn Av,27.976126,-82.501372,45,UATC - Rome - Westshore Plaza
7,1040,Sa,0,60.0,0.0,Himes Av @ Woodlawn Av,27.976126,-82.501372,7,West Tampa - Citrus Park
36,1048,Sa,0,60.0,0.0,Himes Av @ Sunrise Villas Ct,28.005061,-82.500764,36,Dale Mabry - Himes Avenue
36,1049,Sa,0,60.0,0.0,Himes Av @ Lambright St,28.006863,-82.500755,36,Dale Mabry - Himes Avenue
36,1050,Sa,0,60.0,0.0,Himes Av @ Minnehaha St,28.008683,-82.500726,36,Dale Mabry - Himes Avenue
