route_id,service_id,direction_id,numtripsperroute_both_dir,hours_of_service,first_departure_sec,last_departure_sec,span_of_service_hrs,route_avg_hdwy,route_stdev_hdwy,trips_per_day,average_speed,average_length_mi,w_avg_num_stops,avg_dist_bw_stops_ft,route_short_name,route_long_name
101-115,201204-AVLApSa1-Saturday-01,0,24,13,23640,66420,12,60.0,0.0,24,24.8,21.5,59.5,1922.1265813559322035511,101,Minnesota/State Ave
104-115,201204-AVLApSa1-Saturday-01,0,24,13,24360,67440,12,28.9,25.5,24,20.7,9.1,54.0,906.3298207547169811816,104,Argentine
106-115,201204-AVLApSa1-Saturday-01,0,27,15,21900,72060,14,32.1,26.5,27,21.7,14.3,68.4,1119.3137806150466776055,106,Quindaro
107-115,201204-AVLApSa1-Saturday-01,0,26,14,20820,67320,13,31.0,25.4,26,22.1,7.7,32.5,1293.2087539682539682748,107,7th Street/Parallel
108-115,201204-AVLApSa1-Saturday-01,0,66,20,19260,87600,19,18.0,14.8,66,19.3,9.4,66.9,753.4795753276615313992,108,Indiana
109-115,201204-AVLApSa1-Saturday-01,0,42,14,19140,67200,13,20.2,9.9,42,22.1,5.3,39.7,717.6543017857142858549,109,9th Street
110-115,201204-AVLApSa1-Saturday-01,0,17,9,31440,61080,8,29.0,24.2,16,18.5,7.6,53.7,765.9593369419642858549,110,Woodland/Brooklyn
121-115,201204-AVLApSa1-Saturday-01,0,24,13,21540,62700,11,30.0,25.5,23,27.8,22.2,101.5,1168.0870105721393033520,121,Cleveland-Antioch
12-115,201204-AVLApSa1-Saturday-01,0,89,21,16440,86400,19,25.8,11.2,52,17.1,8.0,60.9,705.7482659606373007005,12,12th Street
136-115,201204-AVLApSa1-Saturday-01,0,12,12,27300,66840,11,59.9,1.0,12,36.5,16.4,33.5,2664.7979138461538462548,136,Boardwalk/Antioch
137-115,201204-AVLApSa1-Saturday-01,0,10,10,30960,62760,9,58.8,10.5,10,29.6,9.9,21.0,2600.7092575000000000000,137,Metro North/Antioch
142-115,201204-AVLApSa1-Saturday-01,0,26,14,21960,69060,13,30.6,13.0,26,26.5,22.7,84.5,1435.5848502994011977266,142,North Oak
156-115,201204-AVLApSa1-Saturday-01,0,29,15,19560,71400,14,30.1,18.2,29,25.8,9.2,53.4,922.9636597761685319775,156,Red Bridge
163-115,201204-AVLApSa1-Saturday-01,0,25,13,25800,69780,12,59.5,1.9,25,24.2,9.1,40.8,1211.4575314257028113807,163,63rd Street
173-115,201204-AVLApSa1-Saturday-01,0,36,20,19680,87660,19,60.0,0.0,36,22.7,22.5,45.5,2667.7921595505617976459,173,Casino Cruiser
175-115,201204-AVLApSa1-Saturday-01,0,27,14,21900,70020,13,30.0,21.7,27,28.1,10.8,47.3,1231.4314820000000000000,175,75th Street
183-115,201204-AVLApSa1-Saturday-01,0,17,9,34560,64440,8,30.0,23.7,17,22.4,8.7,23.8,2017.5445506459948318845,183,Green Route
24-115,201204-AVLApSa1-Saturday-01,0,112,21,16440,87420,20,18.0,8.3,95,18.5,9.3,60.7,824.7160153834653907905,24,Independence
243-115,201204-AVLApSa1-Saturday-01,0,12,12,25680,68280,12,59.6,4.1,12,24.8,20.6,44.0,2528.6094732558139534197,243,Antioch-Barry Rd
25-115,201204-AVLApSa1-Saturday-01,0,68,21,17100,88020,20,29.2,4.2,66,19.0,15.0,90.8,876.2945112234910278834,25,Troost
26-115,201204-AVLApSa1-Saturday-01,0,64,20,18840,89760,20,17.8,8.5,64,20.8,12.0,32.2,2022.6412557557557558510,TMAX,Troost MAX
27-115,201204-AVLApSa1-Saturday-01,0,39,20,18600,88320,19,30.0,25.2,39,20.9,7.6,53.6,758.2670948805460749991,27,27th Street
28-115,201204-AVLApSa1-Saturday-01,0,36,18,22080,83520,17,27.5,7.3,36,26.0,30.5,164.3,985.6107812691391630573,28,Blue Ridge
284-115,201204-AVLApSa1-Saturday-01,0,17,9,34200,64560,8,30.0,25.8,17,16.3,7.3,33.6,1182.7815483754512633934,284,Purple Route
285-115,201204-AVLApSa1-Saturday-01,0,17,9,34500,64500,8,30.0,20.6,17,22.7,7.6,32.8,1256.5029190388170055653,285,Blue Route
291-115,201204-AVLApSa1-Saturday-01,0,17,9,34140,64200,8,30.0,16.5,17,17.8,6.1,21.2,1595.1859563953488371330,291,Yellow Route
292-115,201204-AVLApSa1-Saturday-01,0,17,9,34320,64500,8,30.0,22.7,17,15.4,6.0,32.4,1015.4590352720450280521,292,Orange Route
293-115,201204-AVLApSa1-Saturday-01,0,17,9,34260,64620,8,30.0,26.8,17,20.8,9.2,24.6,2045.3182681592039800489,293,Red Route
30-115,201204-AVLApSa1-Saturday-01,0,40,20,18840,87480,19,30.2,16.0,40,19.0,7.0,57.9,651.8622211682037768111,30,Northeast
31-115,201204-AVLApSa1-Saturday-01,0,65,20,18120,87960,19,18.0,13.9,65,16.6,5.9,46.8,675.6933308571428569857,31,31st Street
35-115,201204-AVLApSa1-Saturday-01,0,29,15,19740,70980,14,30.0,19.7,29,18.1,6.4,39.1,883.3504059782608694083,35,35th Street
38-115,201204-AVLApSa1-Saturday-01,0,20,13,24420,66060,12,70.0,0.0,20,21.2,12.2,55.5,1177.7917073394495411640,38,Meadowbrook
39-115,201204-AVLApSa1-Saturday-01,0,120,20,18540,86460,19,10.0,10.6,120,17.9,7.2,55.3,697.1546000000000000386,39,39th Street
47-115,201204-AVLApSa1-Saturday-01,0,25,16,17760,69840,14,35.0,25.5,25,22.6,21.5,102.6,1119.2649683858267717853,47,Roanoke
51-115,201204-AVLApSa1-Saturday-01,0,60,19,24480,87720,18,17.3,15.4,58,18.6,8.7,55.4,841.5077648085758041409,51,Broadway
53-115,201204-AVLApSa1-Saturday-01,0,40,20,18900,88440,19,30.4,5.2,36,21.3,11.6,71.4,870.6927816696269981731,53,Armour Swope Park
54-115,201204-AVLApSa1-Saturday-01,0,38,20,19740,87180,19,29.5,18.2,38,24.7,14.6,92.7,842.0635190243902439288,54,Armour Paseo
57-115,201204-AVLApSa1-Saturday-01,0,62,20,18660,87840,19,21.6,17.2,59,17.0,8.5,56.0,815.7553941296728971472,57,South Oak
58-115,201204-AVLApSa1-Saturday-01,0,129,21,18360,90720,20,9.5,5.0,128,18.6,10.4,37.8,1488.6808734767025088308,MMAX,Main Street MAX
71-115,201204-AVLApSa1-Saturday-01,0,130,21,17760,88980,20,8.2,3.9,108,19.5,12.5,81.4,818.7652047523427040555,71,Prospect
101-115,201204-AVLApSu1-Sunday-01,0,19,11,32700,68400,10,33.0,25.7,19,24.6,21.5,59.4,1923.5799300268096513593,101,Minnesota/State Ave
108-115,201204-AVLApSu1-Sunday-01,0,38,20,20040,87420,19,30.2,24.8,38,20.8,9.0,63.8,754.9300596145789692838,108,Indiana
109-115,201204-AVLApSu1-Sunday-01,0,28,10,32400,65160,9,19.4,10.4,28,21.8,5.3,39.9,716.8828331496786043509,109,9th Street
12-115,201204-AVLApSu1-Sunday-01,0,36,19,21420,86340,18,60.5,2.1,36,19.1,8.5,62.9,724.6261455361148498207,12,12th Street
