route_id,stop_id,service_id,direction_id,avghdwy,stdev_hdwy,stop_name,stop_lat,stop_lon,route_short_name,route_long_name
106-115,1,201204-AVLApSa1-Saturday-01,0,32.1,26.5,10TH & MAIN METROCENTER DIAGONAL LANE SE,39.102116,-94.583244,106,Quindaro
30-115,1,201204-AVLApSa1-Saturday-01,0,60.0,0.0,10TH & MAIN METROCENTER DIAGONAL LANE SE,39.102116,-94.583244,30,Northeast
27-115,10,201204-AVLApSa1-Saturday-01,0,60.5,2.1,ON 23RD AT HOLMES  EASTBOUND,39.085083,-94.575859,27,27th Street
51-115,100,201204-AVLApSa1-Saturday-01,0,35.3,11.7,ON 10TH AT MAIN EB,39.102215,-94.583298,51,Broadway
53-115,100,201204-AVLApSa1-Saturday-01,0,30.4,5.2,ON 10TH AT MAIN EB,39.102215,-94.583298,53,Armour Swope Park
54-115,100,201204-AVLApSa1-Saturday-01,0,30.1,4.5,ON 10TH AT MAIN EB,39.102215,-94.583298,54,Armour Paseo
71-115,100,201204-AVLApSa1-Saturday-01,0,30.0,0.0,ON 10TH AT MAIN EB,39.102215,-94.583298,71,Prospect
106-115,1010001,201204-AVLApSa1-Saturday-01,0,60.0,0.0,ON MAIN AT 11TH/PETTICOAT LANE SB,39.101254,-94.58316,106,Quindaro
108-115,1010001,201204-AVLApSa1-Saturday-01,0,60.0,0.0,ON MAIN AT 11TH/PETTICOAT LANE SB,39.101254,-94.58316,108,Indiana
173-115,1010001,201204-AVLApSa1-Saturday-01,0,59.5,1.6,ON MAIN AT 11TH/PETTICOAT LANE SB,39.101254,-94.58316,173,Casino Cruiser
24-115,1010001,201204-AVLApSa1-Saturday-01,0,54.0,13.4,ON MAIN AT 11TH/PETTICOAT LANE SB,39.101254,-94.58316,24,Independence
28-115,1010001,201204-AVLApSa1-Saturday-01,0,59.5,1.6,ON MAIN AT 11TH/PETTICOAT LANE SB,39.101254,-94.58316,28,Blue Ridge
30-115,1010001,201204-AVLApSa1-Saturday-01,0,60.0,0.0,ON MAIN AT 11TH/PETTICOAT LANE SB,39.101254,-94.58316,30,Northeast
47-115,1010001,201204-AVLApSa1-Saturday-01,0,70.0,0.0,ON MAIN AT 11TH/PETTICOAT LANE SB,39.101254,-94.58316,47,Roanoke
51-115,1010001,201204-AVLApSa1-Saturday-01,0,35.3,11.7,ON MAIN AT 11TH/PETTICOAT LANE SB,39.101254,-94.58316,51,Broadway
57-115,1010001,201204-AVLApSa1-Saturday-01,0,37.5,13.0,ON MAIN AT 11TH/PETTICOAT LANE SB,39.101254,-94.58316,57,South Oak
106-115,1010004,201204-AVLApSa1-Saturday-01,0,60.0,0.0,ON 11TH AT CENTRAL WESTBOUND,39.100937,-94.586792,106,Quindaro
108-115,1010004,201204-AVLApSa1-Saturday-01,0,30.0,0.4,ON 11TH AT CENTRAL WESTBOUND,39.100937,-94.586792,108,Indiana
12-115,1010004,201204-AVLApSa1-Saturday-01,0,25.8,11.8,ON 11TH AT CENTRAL WESTBOUND,39.100937,-94.586792,12,12th Street
25-115,1010004,201204-AVLApSa1-Saturday-01,0,34.2,10.0,ON 11TH AT CENTRAL WESTBOUND,39.100937,-94.586792,25,Troost
106-115,1010007,201204-AVLApSa1-Saturday-01,0,60.0,0.0,ON BROADWAY AT 9TH NORTHBOUND,39.103638,-94.588181,106,Quindaro
101-115,10100120,201204-AVLApSa1-Saturday-01,0,59.9,0.3,ON MAIN AT 8TH NB,39.104595,-94.582893,101,Minnesota/State Ave
107-115,1010015,201204-AVLApSa1-Saturday-01,0,60.0,0.0,ON 6TH AT STATE SOUTHBOUND,39.116432,-94.624138,107,7th Street/Parallel
101-115,1010017,201204-AVLApSa1-Saturday-01,0,60.0,0.0,ON 6TH AT ANN SOUTHBOUND,39.113701,-94.624115,101,Minnesota/State Ave
106-115,1010017,201204-AVLApSa1-Saturday-01,0,60.0,0.0,ON 6TH AT ANN SOUTHBOUND,39.113701,-94.624115,106,Quindaro
107-115,1010017,201204-AVLApSa1-Saturday-01,0,60.0,0.0,ON 6TH AT ANN SOUTHBOUND,39.113701,-94.624115,107,7th Street/Parallel
101-115,1010018,201204-AVLApSa1-Saturday-01,0,60.0,0.0,ON ANN AT 7TH WESTBOUND,39.113667,-94.626602,101,Minnesota/State Ave
106-115,1010018,201204-AVLApSa1-Saturday-01,0,60.0,0.0,ON ANN AT 7TH WESTBOUND,39.113667,-94.626602,106,Quindaro
