route_id,service_id,direction_id,numtripsperroute_both_dir,hours_of_service,first_departure_sec,last_departure_sec,span_of_service_hrs,route_avg_hdwy,route_stdev_hdwy,trips_per_day,average_speed,average_length_mi,w_avg_num_stops,avg_dist_bw_stops_ft,route_short_name,route_long_name
100001,SATURDAY,0,72,19,22215,88219,18,29.5,2.7,36,18.4,5.4,24.0,1234.0268956521739131576,1,""
100001,SATURDAY,1,72,19,22215,88219,18,29.9,0.4,36,16.3,5.4,24.0,1230.5889782608695651318,1,""
100002,SATURDAY,0,122,20,22799,91199,19,18.6,8.4,61,15.7,4.0,18.6,1198.1614345724907064124,10,""
100002,SATURDAY,1,122,20,22799,91199,19,18.3,8.0,61,14.1,4.0,19.7,1058.8249153105861768057,10,""
100003,SATURDAY,0,61,18,24182,85323,17,32.2,7.3,31,30.5,21.6,22.0,5428.9613333333333334427,101,""
100003,SATURDAY,1,61,18,24182,85323,17,32.4,7.6,30,33.8,21.8,22.0,5471.6924523809523810305,101,""
100004,SATURDAY,0,61,18,23286,86287,18,34.1,10.5,30,23.7,7.1,24.0,1638.9308260869565217106,105,""
100004,SATURDAY,1,61,18,23286,86287,18,33.0,9.1,31,23.9,6.7,22.0,1684.0279333333333334427,105,""
100005,SATURDAY,0,73,22,20102,94022,21,31.9,8.7,36,25.1,21.8,65.1,1796.5997970957954051695,106,""
100005,SATURDAY,1,73,22,20102,94022,21,30.1,6.7,37,22.4,21.4,63.0,1822.7506824324324324413,106,""
100006,SATURDAY,0,65,20,19621,89342,19,35.8,12.0,32,23.4,11.7,47.0,1345.6379565217391305917,107,""
100006,SATURDAY,1,65,20,19621,89342,19,34.6,11.0,33,25.8,12.9,45.0,1545.0750977272727272429,107,""
100009,SATURDAY,0,70,22,21267,93953,20,33.0,11.1,35,16.1,5.9,28.0,1145.2673860465116280138,11,""
100009,SATURDAY,1,70,22,21267,93953,20,34.7,13.4,35,15.0,5.8,26.1,1192.2346829157175398992,11,""
100016,SATURDAY,0,15,10,35401,67435,9,70.0,14.4,8,43.7,17.4,8.0,13017.0628357142857141451,118,""
100016,SATURDAY,1,15,10,35401,67435,9,74.0,13.2,7,53.7,17.1,9.6,8907.5486216666666665573,118,""
100018,SATURDAY,0,117,18,22267,85018,17,17.1,6.0,58,13.2,3.9,21.4,987.5907235393734123274,12,""
100018,SATURDAY,1,117,18,22267,85018,17,17.3,7.1,59,11.9,3.9,20.5,1058.9236013066202090901,12,""
100019,SATURDAY,0,110,22,20160,96667,21,22.3,12.3,55,25.7,18.6,38.0,2535.8150880589680588947,120,""
100019,SATURDAY,1,110,22,20160,96667,21,21.9,11.5,55,24.8,18.9,40.0,2519.4418128671328671604,120,""
100023,SATURDAY,0,81,24,19322,101273,23,33.0,9.8,40,26.0,17.0,37.1,2405.7375070588235295094,124,""
100023,SATURDAY,1,81,24,19322,101273,23,31.7,7.0,41,26.1,16.6,39.1,2299.9818407431133888203,124,""
100024,SATURDAY,0,67,20,21004,86824,18,32.5,8.7,33,30.1,15.9,39.4,2111.8374196682464455194,125,""
100024,SATURDAY,1,67,20,21004,86824,18,31.6,6.4,34,28.4,14.9,32.8,2470.5668735185185183970,125,""
100026,SATURDAY,0,55,18,21899,84118,17,34.0,9.8,27,22.3,25.2,89.0,1479.3693443181818182713,128,""
100026,SATURDAY,1,55,18,21899,84118,17,33.1,9.8,28,23.0,25.2,87.0,1477.0451581395348837133,128,""
100028,SATURDAY,0,72,20,19515,87015,19,30.3,1.4,36,16.0,6.0,23.2,1219.3779082500000000000,13,""
100028,SATURDAY,1,72,20,19515,87015,19,30.2,2.5,36,14.5,5.4,24.1,1226.5813437500000000000,13,""
100030,SATURDAY,0,36,20,20580,88561,19,60.0,0.3,18,31.2,38.1,98.3,2065.3675892123287671952,131,""
100030,SATURDAY,1,36,20,20580,88561,19,59.1,3.7,18,28.7,34.8,94.9,1954.0265357396449703579,131,""
100031,SATURDAY,0,38,20,22560,92825,20,60.2,1.4,19,28.8,33.1,98.2,1797.4247557421451788463,132,""
100031,SATURDAY,1,38,20,22560,92825,20,59.5,2.5,19,29.2,33.3,105.5,1682.8581064954682781062,132,""
100038,SATURDAY,0,52,14,25080,70500,13,29.5,2.1,26,22.3,4.1,18.0,1279.3584000000000001544,139,""
100038,SATURDAY,1,52,14,25080,70500,13,29.5,2.1,26,22.7,3.0,13.0,1302.3656083333333334427,139,""
100039,SATURDAY,0,140,21,20836,91437,20,32.4,8.7,35,13.8,4.9,20.2,1281.6491019330855019246,14,""
100039,SATURDAY,1,140,21,20836,91437,20,32.7,8.4,35,14.2,4.8,18.7,1435.8236403069466881506,14,""
100040,SATURDAY,0,60,18,21004,81120,17,32.5,8.1,30,23.6,15.5,31.0,2724.0065033333333334427,140,""
100040,SATURDAY,1,60,18,21004,81120,17,33.0,9.8,30,22.8,15.0,29.0,2806.9107332142857141451,140,""
100042,SATURDAY,0,23,12,28801,71281,12,59.9,0.7,12,25.9,11.2,31.0,1972.0669233333333334427,148,""
