route_id,service_id,direction_id,numtripsperroute_both_dir,hours_of_service,first_departure_sec,last_departure_sec,span_of_service_hrs,route_avg_hdwy,route_stdev_hdwy,trips_per_day,average_speed,average_length_mi,w_avg_num_stops,avg_dist_bw_stops_ft,route_short_name,route_long_name
4732,105,0,16,4,63840,75180,3,21.4,8.0,8,20.0,5.3,10.0,3129.8552666666666665573,EmX,
4732,105,1,16,4,63840,75180,3,21.5,7.3,8,19.9,5.3,11.0,2798.6930000000000000000,EmX,
4733,105,0,9,5,64320,76560,3,47.0,4.0,5,20.0,5.3,10.0,3129.8552666666666665573,EmX,
4733,105,1,9,5,64320,76560,3,45.0,0.0,4,19.9,5.3,11.0,2798.6930000000000000000,EmX,
4732,106,0,17,7,44100,68460,7,30.0,18.8,10,20.0,5.3,10.0,3129.8552666666666665573,EmX,
4732,106,1,17,7,44100,68460,7,28.4,17.9,7,19.9,5.3,11.0,2798.6930000000000000000,EmX,
4733,106,0,20,8,44640,70260,7,30.0,18.8,10,20.0,5.3,10.0,3129.8552666666666665573,EmX,
4733,106,1,20,8,44640,70260,7,30.0,18.8,10,19.9,5.3,11.0,2798.6930000000000000000,EmX,
4732,107,0,6,3,61920,68880,2,38.5,2.1,3,20.0,5.3,10.0,3129.8552666666666665573,EmX,
4732,107,1,6,3,61920,68880,2,39.5,0.7,3,20.3,5.3,11.0,2798.6930000000000000000,EmX,
4733,107,0,5,2,61500,67260,2,40.0,0.0,3,20.0,5.3,10.0,3129.8552666666666665573,EmX,
4733,107,1,5,2,61500,67260,2,40.0,,2,19.9,5.3,11.0,2798.6930000000000000000,EmX,
4731,61,0,22,11,27000,64200,10,,,11,11.8,1.6,6.0,1661.1046800000000000000,01,Campbell Center
4731,61,1,22,11,27000,64200,10,60.0,0.0,11,7.3,1.5,7.0,1286.1520000000000000000,01,Campbell Center
4732,61,0,90,19,21000,82980,17,22.7,7.5,45,19.3,12.2,21.8,3102.5447975427350427070,EmX,
4732,61,1,90,19,21000,82980,17,22.7,7.5,45,16.6,9.0,18.3,2744.6236401544401545605,EmX,
4733,61,0,91,19,20400,84780,18,23.0,9.0,42,18.6,9.1,17.0,3017.5767125000000000000,EmX,
4733,61,1,91,19,20400,84780,18,23.2,9.0,46,18.4,11.6,22.1,2911.3928065891472868624,EmX,
4734,61,0,148,19,18000,84660,19,,,75,23.9,11.9,44.0,1459.4993543282655911759,11,Thurston
4734,61,1,148,19,18000,84660,19,,,73,18.9,6.5,24.0,1471.4714391304347825659,11,Thurston
4735,61,0,62,18,21600,82860,17,33.5,9.3,31,18.4,6.9,19.9,1926.0141877133105801947,12,Gateway
4735,61,1,62,18,21600,82860,17,32.3,9.4,31,15.6,5.3,18.9,1560.0829855855855856181,12,Gateway
4736,61,0,61,18,21600,83040,17,,,31,22.9,8.6,29.0,1620.0523392857142858549,13,Centennial
4736,61,1,61,18,21600,83040,17,,,30,18.8,8.2,25.0,1803.2922833333333334427,13,Centennial
4737,61,0,50,16,22560,78480,16,,,25,22.5,4.6,18.0,1436.2673999999999998842,17,5th Street/Hayden Bridge
4737,61,1,50,16,22560,78480,16,,,25,16.0,3.5,13.0,1511.4746750000000000000,17,5th Street/Hayden Bridge
4738,61,0,50,17,22560,80100,16,38.9,10.3,25,19.9,4.7,17.0,1565.9802875000000000000,18,Mohawk
4738,61,1,50,17,22560,80100,16,38.9,10.3,25,13.8,3.2,10.0,1823.6162555555555555191,18,Mohawk
4739,61,0,12,6,25380,64320,11,,,6,21.6,2.7,11.0,1415.3249700000000000000,19,Fairview
4739,61,1,12,6,25380,64320,11,,,6,15.2,3.9,17.0,1290.9299562500000000000,19,Fairview
4740,61,0,64,18,21840,83280,17,30.0,,32,18.3,5.6,23.8,1301.5339409340659341092,24,Donald
4740,61,1,64,18,21840,83280,17,,,32,17.3,5.5,23.7,1283.5217768595041321365,24,Donald
4741,61,0,26,12,24000,69900,13,37.8,13.2,22,17.6,8.7,28.6,1604.5721632432432431457,27,Fairmount
4741,61,1,26,12,24000,69900,13,,,13,16.3,4.8,20.0,1324.6433105263157896291,27,Fairmount
4742,61,0,56,16,22980,77400,15,,,28,18.8,6.5,26.6,1333.4797395543175486469,28,Hilyard
4742,61,1,56,16,22980,77400,15,32.3,10.6,28,16.9,6.6,25.0,1458.6505750000000000000,28,Hilyard
4743,61,0,3,3,27000,55500,8,,,1,23.0,8.0,28.0,1572.2430481481481481603,32,West 1st Ave
4743,61,1,3,3,27000,55500,8,,,2,20.3,6.5,23.5,1526.1316311111111110382,32,West 1st Ave
4744,61,0,42,15,23400,72480,14,,,21,22.8,4.3,18.0,1335.8687999999999998842,33,Jefferson
4744,61,1,42,15,23400,72480,14,,,21,14.4,3.2,15.0,1223.0864928571428572366,33,Jefferson
4745,61,0,61,18,22020,82800,17,,,30,22.3,8.7,35.9,1319.2145774594078318850,36,West 18th Ave.
4745,61,1,61,18,22020,82800,17,,,31,19.3,8.5,33.8,1375.4145569321533924533,36,West 18th Ave.
4746,61,0,62,19,21480,83340,17,,,31,20.3,8.9,36.0,1339.9885228571428572366,40,Echo Hollow
4746,61,1,62,19,21480,83340,17,,,31,18.0,9.4,33.0,1548.1398500000000000000,40,Echo Hollow
4747,61,0,64,19,21360,83460,17,33.1,9.0,32,20.4,8.6,30.4,1542.9916057324840763349,41,Barger/West 11th Ave.
4747,61,1,64,19,21360,83460,17,,,32,20.1,10.3,35.1,1591.8222186813186811997,41,Barger/West 11th Ave.
4748,61,0,64,19,21180,83460,17,33.2,9.1,32,23.4,11.4,40.8,1513.5188514937106919766,43,West 11th Ave./Barger
4748,61,1,64,19,21180,83460,17,33.1,8.9,32,16.7,8.8,32.2,1489.7318036072144287295,43,West 11th Ave./Barger
4749,61,0,51,19,21120,83580,17,,,25,20.6,8.2,34.0,1308.9002666666666665573,51,River Road
4749,61,1,51,19,21120,83580,17,,,26,17.0,10.9,40.8,1450.7293715667311412519,51,River Road
4750,61,0,36,13,23760,66180,12,,,17,21.2,9.4,34.0,1500.5802636363636362145,52,Irving
4750,61,1,36,13,23760,66180,12,38.5,15.1,19,17.0,10.0,34.2,1587.9284849206349206870,52,Irving
4751,61,0,36,13,22440,66060,12,,,18,21.8,4.8,22.0,1205.2519142857142858549,55,River Road Connector
4751,61,1,36,13,22440,66060,12,,,18,17.8,5.0,18.0,1550.1952999999999999421,55,River Road Connector
4752,61,0,72,17,21600,81300,17,,,36,22.9,9.0,22.2,2234.4135304461942255840,66,VRC/Coburg Road
4752,61,1,72,17,21600,81300,17,,,36,17.4,8.1,29.3,1509.1827999999999999421,66,VRC/Coburg Road
4753,61,0,63,18,23760,83520,17,32.1,10.7,31,21.0,8.5,30.1,1538.7726495016611296891,67,Coburg Road/VRC
4753,61,1,63,18,23760,83520,17,,,32,19.9,8.7,22.5,2126.9570602322206095691,67,Coburg Road/VRC
4754,61,0,36,12,24180,69360,13,,,18,19.5,7.3,29.0,1371.5165892857142858549,73,UO/ Willamette
4754,61,1,36,12,24180,69360,13,,,18,19.7,6.6,27.0,1349.2733923076923078185,73,UO/ Willamette
4755,61,0,24,12,25560,68100,12,60.8,2.3,12,20.3,6.6,25.7,1404.1128175675675675587,76,UO/Warren
4755,61,1,24,12,25560,68100,12,,,12,16.8,8.6,36.0,1298.4885600000000000000,76,UO/Warren
4756,61,0,32,17,23700,81300,16,,,16,21.9,7.3,17.9,2221.8726180811808118287,81,LCC/Harris
4756,61,1,32,17,23700,81300,16,61.1,3.1,16,23.5,7.1,15.5,2569.7187982758620690334,81,LCC/Harris
4757,61,0,43,12,25200,67500,12,32.8,11.0,22,25.1,7.1,13.0,3029.5660333333333334427,82,LCC/Pearl
4757,61,1,43,12,25200,67500,12,31.0,3.0,21,24.0,7.2,12.0,3434.9982090909090910284,82,LCC/Pearl
4758,61,0,50,14,24060,69180,13,,,25,30.7,6.2,11.0,3171.5458400000000000000,85,LCC/Springfield
4758,61,1,50,14,24060,69180,13,,,25,29.0,5.5,10.0,3182.4241777777777779236,85,LCC/Springfield
4759,61,0,8,15,17220,73860,16,,,4,57.6,77.7,49.0,8548.5241713541666665573,91,McKenzie Bridge
4759,61,1,8,15,17220,73860,16,,,4,55.5,77.5,44.0,9521.4734453488372094473,91,McKenzie Bridge
4760,61,0,7,9,23460,68700,13,,,3,42.2,33.2,18.7,9917.2372679245283017506,92,Lowell/LCC
4760,61,1,7,9,23460,68700,13,,,4,38.6,31.3,17.3,10176.5010307692307693822,92,Lowell/LCC
4761,61,0,16,12,24000,70500,13,45.6,22.2,8,34.8,18.3,34.5,2877.1480761194029851187,93,Veneta
4761,61,1,16,12,24000,70500,13,,,8,35.9,20.6,40.0,2782.5403846153846153089,93,Veneta
4762,61,0,12,10,22200,67800,13,,,6,37.2,22.2,25.0,4880.2550958333333334427,95,Junction City
4762,61,1,12,10,22200,67800,13,,,6,32.1,21.7,26.0,4571.6141600000000000000,95,Junction City
4763,61,0,8,7,23400,66300,12,70.0,,4,32.4,10.3,24.0,2375.0873695652173914470,96,Coburg
4763,61,1,8,7,23400,66300,12,,,4,25.6,11.0,27.0,2237.7177153846153846911,96,Coburg
4764,61,0,18,14,20880,78000,16,35.6,11.7,14,33.8,39.2,40.0,4457.5472457865168538736,98,Cottage Grove
4764,61,1,18,14,20880,78000,16,60.2,3.8,9,47.6,32.9,12.0,15806.6748515151515151714,98,Cottage Grove
4731,67,0,22,11,28800,66000,10,60.0,0.0,11,11.8,1.6,6.0,1661.1046800000000000000,01,Campbell Center
4731,67,1,22,11,28800,66000,10,60.0,0.0,11,7.3,1.5,7.0,1286.1520000000000000000,01,Campbell Center
4732,67,0,62,18,24420,83100,16,31.4,6.0,31,20.4,12.0,21.4,3102.0248191153238547184,EmX,
4732,67,1,62,18,24420,83100,16,31.4,6.0,31,17.4,9.2,18.6,2742.1794244972577694913,EmX,
4733,67,0,63,18,25020,84900,17,31.9,7.6,31,20.0,8.8,16.4,3013.3239393305439331752,EmX,
4733,67,1,63,18,25020,84900,17,31.8,7.5,32,18.7,12.0,22.8,2916.2624804878048779970,EmX,
4734,67,0,124,18,23100,84600,17,,,63,25.9,11.9,44.0,1459.4564319911340969421,11,Thurston
4734,67,1,124,18,23100,84600,17,,,61,20.3,6.5,24.0,1471.4714391304347825659,11,Thurston
4735,67,0,52,17,25620,82860,16,36.6,12.3,26,17.8,6.9,19.9,1926.5684521384928717499,12,Gateway
4735,67,1,52,17,25620,82860,16,36.5,12.2,26,15.3,5.3,18.9,1561.4737634408602150079,12,Gateway
4736,67,0,50,17,25380,82920,16,,,25,23.1,8.6,29.0,1620.0523392857142858549,13,Centennial
4736,67,1,50,17,25380,82920,16,,,25,20.2,8.2,25.0,1803.2922833333333334427,13,Centennial
4737,67,0,28,14,29940,77940,13,,,14,23.1,4.6,18.0,1436.2673999999999998842,17,5th Street/Hayden Bridge
4737,67,1,28,14,29940,77940,13,,,14,20.7,3.5,13.0,1511.4746750000000000000,17,5th Street/Hayden Bridge
4738,67,0,30,16,28140,79920,14,60.0,0.4,15,23.4,4.7,17.0,1565.9802875000000000000,18,Mohawk
4738,67,1,30,16,28140,79920,14,60.0,0.4,15,15.7,3.2,10.0,1823.6162555555555555191,18,Mohawk
4740,67,0,48,17,25380,83280,16,,,24,18.1,5.7,24.2,1302.2460131294964028895,24,Donald
4740,67,1,48,17,25380,83280,16,41.7,15.6,24,17.5,5.4,23.3,1280.0741923507462685196,24,Donald
4742,67,0,30,16,24720,77400,15,60.5,6.1,15,19.3,6.3,26.0,1334.8219165333333334427,28,Hilyard
4742,67,1,30,16,24720,77400,15,60.5,6.0,15,16.7,6.6,25.0,1458.6505750000000000000,28,Hilyard
4744,67,0,26,14,27000,72480,13,,,13,23.5,4.3,18.0,1335.8687999999999998842,33,Jefferson
4744,67,1,26,14,27000,72480,13,,,13,14.1,3.2,15.0,1223.0864928571428572366,33,Jefferson
4745,67,0,56,17,25620,82800,16,,,28,25.0,8.7,35.9,1318.9351340839303992171,36,West 18th Ave.
4745,67,1,56,17,25620,82800,16,,,28,21.9,8.6,33.9,1378.7367613463626493801,36,West 18th Ave.
4746,67,0,32,18,25080,83280,16,,,16,21.1,8.9,36.0,1339.9885228571428572366,40,Echo Hollow
4746,67,1,32,18,25080,83280,16,,,16,18.8,9.4,33.0,1548.1398500000000000000,40,Echo Hollow
4747,67,0,52,18,25020,83460,16,38.7,14.6,26,21.7,8.8,31.0,1544.5372615877080664746,41,Barger/West 11th Ave.
4747,67,1,52,18,25020,83460,16,,,26,21.6,10.2,34.9,1591.6599714285714286183,41,Barger/West 11th Ave.
4748,67,0,56,18,24900,83520,16,35.9,12.0,28,24.9,11.6,41.4,1515.0595304424778759465,43,West 11th Ave./Barger
4748,67,1,56,18,24900,83520,16,35.8,11.8,28,18.1,8.8,32.1,1489.5936105747126437649,43,West 11th Ave./Barger
4749,67,0,47,18,25080,83520,16,,,23,23.9,8.2,34.0,1308.9002666666666665573,51,River Road
4749,67,1,47,18,25080,83520,16,,,24,19.5,10.9,40.7,1450.5914464285714284446,51,River Road
4750,67,0,22,11,29700,68100,11,,,11,25.0,9.4,34.0,1500.5802636363636362145,52,Irving
4750,67,1,22,11,29700,68100,11,,,11,18.4,10.2,35.0,1581.7797499999999998842,52,Irving
4752,67,0,52,16,25260,81300,16,,,26,25.3,9.1,22.4,2231.8286806104129263743,66,VRC/Coburg Road
4752,67,1,52,16,25260,81300,16,,,26,20.1,8.1,29.6,1497.8343480484522208204,66,VRC/Coburg Road
