stop_id,service_id,direction_id,numroutes,TripsServingStop,stop_name,stop_lat,stop_lon
1310,105,0,2,13,"Eugene Station, Bay T",44.048747,-123.093362
1310,105,1,2,12,"Eugene Station, Bay T",44.048747,-123.093362
1627,105,0,2,13,"Springfield Station, Bay F",44.045235,-123.021651
1628,105,1,2,12,"Springfield Station, Bay G",44.045528,-123.021877
1647,105,0,2,13,EmX High Street Station outbound,44.048771,-123.0878
1648,105,0,2,13,EmX Hilyard Station,44.04761,-123.082312
1648,105,1,2,12,EmX Hilyard Station,44.04761,-123.082312
1649,105,0,2,13,EmX Dads' Gates Station,44.047765,-123.07772
1649,105,1,2,12,EmX Dads' Gates Station,44.047765,-123.07772
1650,105,0,2,13,EmX Agate Station,44.046365,-123.069282
1650,105,1,2,12,EmX Agate Station,44.046365,-123.069282
1651,105,0,2,13,EmX Walnut Station,44.044828,-123.061326
1651,105,1,2,12,EmX Walnut Station,44.044828,-123.061326
1652,105,1,2,12,EmX Glenwood Station inbound,44.045314,-123.043203
1653,105,0,2,13,EmX Glenwood Station outbound,44.045295,-123.040896
1654,105,1,2,12,EmX Lexington Station inbound,44.044997,-123.036552
1655,105,0,2,13,EmX Lexington Station outbound,44.044582,-123.034941
1656,105,0,2,13,EmX McVay Station,44.044137,-123.030916
1656,105,1,2,12,EmX McVay Station,44.044137,-123.030916
1800,105,1,2,12,High Street Station inbound,44.047789,-123.088637
1801,105,1,2,12,11th & Willamette,44.047794,-123.093202
1310,106,0,2,20,"Eugene Station, Bay T",44.048747,-123.093362
1310,106,1,2,17,"Eugene Station, Bay T",44.048747,-123.093362
1627,106,0,2,20,"Springfield Station, Bay F",44.045235,-123.021651
1628,106,1,2,17,"Springfield Station, Bay G",44.045528,-123.021877
1647,106,0,2,20,EmX High Street Station outbound,44.048771,-123.0878
1648,106,0,2,20,EmX Hilyard Station,44.04761,-123.082312
1648,106,1,2,17,EmX Hilyard Station,44.04761,-123.082312
1649,106,0,2,20,EmX Dads' Gates Station,44.047765,-123.07772
1649,106,1,2,17,EmX Dads' Gates Station,44.047765,-123.07772
1650,106,0,2,20,EmX Agate Station,44.046365,-123.069282
1650,106,1,2,17,EmX Agate Station,44.046365,-123.069282
1651,106,0,2,20,EmX Walnut Station,44.044828,-123.061326
1651,106,1,2,17,EmX Walnut Station,44.044828,-123.061326
1652,106,1,2,17,EmX Glenwood Station inbound,44.045314,-123.043203
1653,106,0,2,20,EmX Glenwood Station outbound,44.045295,-123.040896
1654,106,1,2,17,EmX Lexington Station inbound,44.044997,-123.036552
1655,106,0,2,20,EmX Lexington Station outbound,44.044582,-123.034941
1656,106,0,2,20,EmX McVay Station,44.044137,-123.030916
1656,106,1,2,17,EmX McVay Station,44.044137,-123.030916
1800,106,1,2,17,High Street Station inbound,44.047789,-123.088637
1801,106,1,2,17,11th & Willamette,44.047794,-123.093202
1310,107,0,2,6,"Eugene Station, Bay T",44.048747,-123.093362
1310,107,1,2,5,"Eugene Station, Bay T",44.048747,-123.093362
1627,107,0,2,6,"Springfield Station, Bay F",44.045235,-123.021651
1628,107,1,2,5,"Springfield Station, Bay G",44.045528,-123.021877
1647,107,0,2,6,EmX High Street Station outbound,44.048771,-123.0878
1648,107,0,2,6,EmX Hilyard Station,44.04761,-123.082312
