route_id,stop_id,service_id,direction_id,avghdwy,stdev_hdwy,stop_name,stop_lat,stop_lon,route_short_name,route_long_name
4732,1310,105,0,21.4,8.0,"Eugene Station, Bay T",44.048747,-123.093362,EmX,
4732,1310,105,1,21.5,7.3,"Eugene Station, Bay T",44.048747,-123.093362,EmX,
4733,1310,105,0,47.0,4.0,"Eugene Station, Bay T",44.048747,-123.093362,EmX,
4733,1310,105,1,45.0,0.0,"Eugene Station, Bay T",44.048747,-123.093362,EmX,
4732,1627,105,0,21.4,8.0,"Springfield Station, Bay F",44.045235,-123.021651,EmX,
4733,1627,105,0,47.0,4.0,"Springfield Station, Bay F",44.045235,-123.021651,EmX,
4732,1628,105,1,21.5,7.3,"Springfield Station, Bay G",44.045528,-123.021877,EmX,
4733,1628,105,1,45.0,0.0,"Springfield Station, Bay G",44.045528,-123.021877,EmX,
4732,1647,105,0,21.4,8.0,EmX High Street Station outbound,44.048771,-123.0878,EmX,
4733,1647,105,0,47.0,4.0,EmX High Street Station outbound,44.048771,-123.0878,EmX,
4732,1648,105,0,21.4,8.0,EmX Hilyard Station,44.04761,-123.082312,EmX,
4732,1648,105,1,21.5,7.3,EmX Hilyard Station,44.04761,-123.082312,EmX,
4733,1648,105,0,47.0,4.0,EmX Hilyard Station,44.04761,-123.082312,EmX,
4733,1648,105,1,45.0,0.0,EmX Hilyard Station,44.04761,-123.082312,EmX,
4732,1649,105,0,21.4,8.0,EmX Dads' Gates Station,44.047765,-123.07772,EmX,
4732,1649,105,1,21.5,7.3,EmX Dads' Gates Station,44.047765,-123.07772,EmX,
4733,1649,105,0,47.0,4.0,EmX Dads' Gates Station,44.047765,-123.07772,EmX,
4733,1649,105,1,45.0,0.0,EmX Dads' Gates Station,44.047765,-123.07772,EmX,
4732,1650,105,0,21.4,8.0,EmX Agate Station,44.046365,-123.069282,EmX,
4732,1650,105,1,21.5,7.3,EmX Agate Station,44.046365,-123.069282,EmX,
4733,1650,105,0,47.0,4.0,EmX Agate Station,44.046365,-123.069282,EmX,
4733,1650,105,1,45.0,0.0,EmX Agate Station,44.046365,-123.069282,EmX,
4732,1651,105,0,21.4,8.0,EmX Walnut Station,44.044828,-123.061326,EmX,
4732,1651,105,1,21.5,7.3,EmX Walnut Station,44.044828,-123.061326,EmX,
4733,1651,105,0,47.0,4.0,EmX Walnut Station,44.044828,-123.061326,EmX,
4733,1651,105,1,45.0,0.0,EmX Walnut Station,44.044828,-123.061326,EmX,
4732,1652,105,1,21.5,7.3,EmX Glenwood Station inbound,44.045314,-123.043203,EmX,
4733,1652,105,1,45.0,0.0,EmX Glenwood Station inbound,44.045314,-123.043203,EmX,
4732,1653,105,0,21.4,8.0,EmX Glenwood Station outbound,44.045295,-123.040896,EmX,
4733,1653,105,0,47.0,4.0,EmX Glenwood Station outbound,44.045295,-123.040896,EmX,
4732,1654,105,1,21.5,7.3,EmX Lexington Station inbound,44.044997,-123.036552,EmX,
4733,1654,105,1,45.0,0.0,EmX Lexington Station inbound,44.044997,-123.036552,EmX,
4732,1655,105,0,21.4,8.0,EmX Lexington Station outbound,44.044582,-123.034941,EmX,
4733,1655,105,0,47.0,4.0,EmX Lexington Station outbound,44.044582,-123.034941,EmX,
4732,1656,105,0,21.4,8.0,EmX McVay Station,44.044137,-123.030916,EmX,
4732,1656,105,1,21.5,7.3,EmX McVay Station,44.044137,-123.030916,EmX,
4733,1656,105,0,47.0,4.0,EmX McVay Station,44.044137,-123.030916,EmX,
4733,1656,105,1,45.0,0.0,EmX McVay Station,44.044137,-123.030916,EmX,
4732,1800,105,1,21.5,7.3,High Street Station inbound,44.047789,-123.088637,EmX,
4733,1800,105,1,45.0,0.0,High Street Station inbound,44.047789,-123.088637,EmX,
4732,1801,105,1,21.5,7.3,11th & Willamette,44.047794,-123.093202,EmX,
4733,1801,105,1,45.0,0.0,11th & Willamette,44.047794,-123.093202,EmX,
4732,1310,106,0,30.0,18.8,"Eugene Station, Bay T",44.048747,-123.093362,EmX,
4732,1310,106,1,28.4,17.9,"Eugene Station, Bay T",44.048747,-123.093362,EmX,
4733,1310,106,0,30.0,18.8,"Eugene Station, Bay T",44.048747,-123.093362,EmX,
4733,1310,106,1,30.0,18.8,"Eugene Station, Bay T",44.048747,-123.093362,EmX,
4732,1627,106,0,30.0,18.8,"Springfield Station, Bay F",44.045235,-123.021651,EmX,
4733,1627,106,0,30.0,18.8,"Springfield Station, Bay F",44.045235,-123.021651,EmX,
4732,1628,106,1,28.4,17.9,"Springfield Station, Bay G",44.045528,-123.021877,EmX,
4733,1628,106,1,30.0,18.8,"Springfield Station, Bay G",44.045528,-123.021877,EmX,
4732,1647,106,0,30.0,18.8,EmX High Street Station outbound,44.048771,-123.0878,EmX,
4733,1647,106,0,30.0,18.8,EmX High Street Station outbound,44.048771,-123.0878,EmX,
4732,1648,106,0,30.0,18.8,EmX Hilyard Station,44.04761,-123.082312,EmX,
4732,1648,106,1,28.4,17.9,EmX Hilyard Station,44.04761,-123.082312,EmX,
4733,1648,106,0,30.0,18.8,EmX Hilyard Station,44.04761,-123.082312,EmX,
4733,1648,106,1,30.0,18.8,EmX Hilyard Station,44.04761,-123.082312,EmX,
4732,1649,106,0,30.0,18.8,EmX Dads' Gates Station,44.047765,-123.07772,EmX,
4732,1649,106,1,28.4,17.9,EmX Dads' Gates Station,44.047765,-123.07772,EmX,
4733,1649,106,0,30.0,18.8,EmX Dads' Gates Station,44.047765,-123.07772,EmX,
4733,1649,106,1,30.0,18.8,EmX Dads' Gates Station,44.047765,-123.07772,EmX,
4732,1650,106,0,30.0,18.8,EmX Agate Station,44.046365,-123.069282,EmX,
