route_id,service_id,direction_id,numtripsperroute_both_dir,hours_of_service,first_departure_sec,last_departure_sec,span_of_service_hrs,route_avg_hdwy,route_stdev_hdwy,trips_per_day,average_speed,average_length_mi,w_avg_num_stops,avg_dist_bw_stops_ft,route_short_name,route_long_name
4343,10,0,28,12,34200,73980,11,47.3,5.9,14,19.6,9.6,40.6,1281.1126445848375451915,"",N1 Jamaica-Elmont -Hewlett
4343,10,1,28,12,34200,73980,11,47.3,5.6,14,20.2,10.0,42.4,1263.7267333333333331809,"",N1 Jamaica-Elmont -Hewlett
4345,10,0,75,26,1800,91020,25,38.3,13.5,37,20.5,17.6,76.0,1238.9362226666666665573,"",N4 Freeport-Jamaic (via Merrick Rd)
4345,10,1,75,26,1800,91020,25,37.2,13.1,38,20.6,17.8,73.0,1299.5539736111111110382,"",N4 Freeport-Jamaic (via Merrick Rd)
4346,10,0,142,26,1800,90900,25,20.1,6.0,71,20.7,13.5,56.0,1299.7055127272727272429,"",N6 Hemp.-Jamaica (via Hemp. Tpke.)
4346,10,1,142,26,1800,90900,25,20.1,6.1,71,20.4,13.3,59.0,1214.3433551724137932279,"",N6 Hemp.-Jamaica (via Hemp. Tpke.)
4349,10,0,56,19,24300,86700,17,36.8,12.8,27,22.4,19.3,53.3,1948.6855142250530784462,"",N15 Lng Beach- Hempstead- Roos Fld
4349,10,1,56,19,24300,86700,17,34.1,10.7,29,23.4,18.8,84.1,1193.4770292652552925692,"",N15 Lng Beach- Hempstead- Roos Fld
4351,10,0,18,11,33300,69960,10,60.0,0.0,9,23.5,23.5,84.0,1496.5471132530120481651,"",N19 Freeport-Babylon
4351,10,1,18,11,33300,69960,10,60.0,0.0,9,22.7,22.7,82.0,1473.8373518518518518397,"",N19 Freeport-Babylon
4352,10,0,67,18,21240,81660,17,29.0,10.0,33,24.0,23.6,81.8,1536.2456101199400299004,"",N20/21Hicks-Gln Cove-Roslyn-Flush
4352,10,1,67,18,21240,81660,17,29.0,9.8,34,24.5,23.6,82.1,1532.8084370101596516748,"",N20/21Hicks-Gln Cove-Roslyn-Flush
4353,10,0,63,20,19800,89340,19,33.2,9.0,32,22.2,25.5,108.0,1260.4590102803738317849,"",N22 Jamaica-Mineola- Roos Fld-Hksvl
4353,10,1,63,20,19800,89340,19,33.3,9.2,31,21.7,25.3,106.0,1272.2030628571428572366,"",N22 Jamaica-Mineola- Roos Fld-Hksvl
4354,10,0,26,15,26940,76320,14,60.0,0.0,13,18.5,15.4,57.0,1444.8176446428571427634,"",N23 Mineola-Manorhaven
4354,10,1,26,15,26940,76320,14,60.0,0.0,13,19.3,15.1,56.0,1437.6208563636363637855,"",N23 Mineola-Manorhaven
4355,10,0,34,19,23040,86700,18,59.9,0.2,17,19.9,16.8,75.0,1201.3337162162162160566,"",N24 Jamaica-Mineola- Roos. Field-EM
4355,10,1,34,19,23040,86700,18,59.9,0.2,17,19.8,16.5,68.9,1277.1705820779220779306,"",N24 Jamaica-Mineola- Roos. Field-EM
4356,10,0,27,15,21960,74100,14,60.0,0.0,13,21.5,18.6,73.0,1362.4853763888888889618,"",N25 Great Neck-Lynbrook
4356,10,1,27,15,21960,74100,14,60.0,0.0,14,21.4,18.5,70.0,1416.3981898550724637063,"",N25 Great Neck-Lynbrook
4358,10,0,26,15,27900,78660,14,59.9,0.2,13,24.2,22.3,77.0,1550.3933789473684210699,"",N27 Hempstead-Roos. Field-Glen Cove
4358,10,1,26,15,27900,78660,14,60.0,0.0,13,24.2,22.6,75.0,1610.7404432432432431457,"",N27 Hempstead-Roos. Field-Glen Cove
4359,10,0,56,18,21180,81240,17,33.2,9.7,28,17.9,15.9,76.0,1121.3670560000000000000,"",N31/32 Far Rockaway- Lynbrook-Hemp
4359,10,1,56,18,21180,81240,17,33.0,9.4,28,17.9,15.3,71.0,1151.1997828571428572366,"",N31/32 Far Rockaway- Lynbrook-Hemp
