stop_id,service_id,direction_id,numroutes,TripsServingStop,stop_name,stop_lat,stop_lon
1002,10,1,1,29,Woodfield Rd + Oakford St,40.688459,-73.651824
1004,10,1,1,29,Woodfield Rd + Maple St,40.690167,-73.651293
1006,10,1,1,29,Woodfield Rd + Elm St,40.691957,-73.650608
1007,10,0,1,27,Long Beach Rd @ Hemp.Incinerator,40.618296,-73.641115
1008,10,1,1,29,Woodfield Rd + Walton St,40.693497,-73.649932
101,10,0,2,28,Uniondale Ave + Front St,40.709508,-73.592284
1010,10,0,1,27,Woodfield Rd + Chestnut St,40.695021,-73.648909
1012,10,0,1,27,Woodfield Rd + Linden St,40.697459,-73.647264
1018,10,0,1,27,Hempstead Ave + Woodfield Rd,40.702339,-73.643317
1019,10,0,1,27,Long Beach Rd + Cortland Ave,40.631379,-73.640749
1020,10,0,2,55,Hempstead Ave + Hemp Gardens Dr,40.703381,-73.640738
1023,10,1,1,29,Long Beach Rd + Windsor Pkwy,40.635782,-73.640496
1029,10,0,1,27,Woods Ave  Opp Arnold Ave.,40.644729,-73.643593
1030,10,1,1,29,Woods Ave + Chester Ave,40.64616,-73.644729
1032,10,1,1,29,Woods Ave + Driscoll Ave,40.64793,-73.645808
1033,10,1,1,24,Washington Ave + Chestnut St,40.723631,-73.626884
1034,10,1,1,29,Woods Ave Opp Woodland Ave,40.64923,-73.646502
1035,10,1,1,24,Washington Ave + Stewart Ave,40.727658,-73.628393
104,10,0,1,13,FRONT ST. & MERRICK AVE.,40.714092,-73.573183
1040,10,0,1,27,S Park Ave + Lenox Rd,40.654706,-73.646034
1041,10,1,3,57,Old Country Rd @ Roslyn Rd.,40.740148,-73.633403
105,10,0,2,41,Nassau Univ Med Ctr/3rd,40.724899,-73.557013
1050,10,1,4,81,Old Country Rd & Laurel Dr,40.741919,-73.62351
1051,10,1,4,81,Old Country Rd + #1 Old Country Rd.,40.742252,-73.621483
1053,10,1,2,42,East Gate Blvd & North Ave(DMV),40.742155,-73.606724
1054,10,0,1,24,Washington Ave + Van Cott St,40.715221,-73.623505
1055,10,0,1,13,Clinton St + Jackson St,40.711853,-73.620487
1059,10,0,1,13,Clinton St + Dartmouth St,40.716442,-73.620688
1060,10,0,1,13,Clinton St + Meadow St,40.719764,-73.620566
1061,10,1,1,12,Clinton Rd + Poplar St,40.722629,-73.62075
1062,10,1,1,12,Clinton Rd + Chestnut St,40.72488,-73.620677
1064,10,0,1,13,Stewart Ave + Clinton Rd,40.72977,-73.619556
1075,10,1,1,12,Clinton Rd + Stewart Ave,40.729454,-73.620173
1079,10,0,4,84,Old Country Rd Opp 1 Old Country Rd,40.742144,-73.621542
108,10,0,1,13,Newbridge Rd & Lev Pky (Flamingo Rd,40.743215,-73.535054
1080,10,0,3,60,Old Country Rd  & Linden St.,40.741619,-73.624426
1084,10,0,1,11,Old Country Rd + Prescott St.,40.740773,-73.628812
1085,10,1,1,12,Clinton St + Lent Ave,40.71427,-73.620988
1090,10,1,1,24,Washington Ave + Warton Pl,40.730091,-73.629313
1094,10,1,1,24,Washington Ave + Van Cott Ave,40.715041,-73.623634
1095,10,1,1,24,Washington Ave + Columbia St,40.712546,-73.62269
