route_id,stop_id,service_id,direction_id,avghdwy,stdev_hdwy,stop_name,stop_lat,stop_lon,route_short_name,route_long_name
4349,1002,10,1,34.1,10.7,Woodfield Rd + Oakford St,40.688459,-73.651824,"",N15 Lng Beach- Hempstead- Roos Fld
4349,1004,10,1,34.1,10.7,Woodfield Rd + Maple St,40.690167,-73.651293,"",N15 Lng Beach- Hempstead- Roos Fld
4349,1005,10,1,34.1,10.9,Long Beach Rd + Austin Blvd,40.615918,-73.643272,"",N15 Lng Beach- Hempstead- Roos Fld
4349,1006,10,1,34.1,10.7,Woodfield Rd + Elm St,40.691957,-73.650608,"",N15 Lng Beach- Hempstead- Roos Fld
4349,1007,10,0,36.8,12.8,Long Beach Rd @ Hemp.Incinerator,40.618296,-73.641115,"",N15 Lng Beach- Hempstead- Roos Fld
4349,1008,10,1,34.1,10.7,Woodfield Rd + Walton St,40.693497,-73.649932,"",N15 Lng Beach- Hempstead- Roos Fld
4364,101,10,0,60.0,0.0,Uniondale Ave + Front St,40.709508,-73.592284,"",N43 Freeport - Roosevelt Field
4367,101,10,0,60.0,0.0,Uniondale Ave + Front St,40.709508,-73.592284,"",N48/49 Hemp.- Hicks-Jericho Quad
4349,1010,10,0,36.8,12.4,Woodfield Rd + Chestnut St,40.695021,-73.648909,"",N15 Lng Beach- Hempstead- Roos Fld
4349,1012,10,0,36.8,12.4,Woodfield Rd + Linden St,40.697459,-73.647264,"",N15 Lng Beach- Hempstead- Roos Fld
4349,1014,10,1,34.1,10.7,Woodfield Rd + Bedell Terrace,40.698742,-73.646263,"",N15 Lng Beach- Hempstead- Roos Fld
4349,1015,10,1,34.1,10.9,Long Beach Rd + Henrietta Ave,40.628769,-73.64114,"",N15 Lng Beach- Hempstead- Roos Fld
4349,1016,10,0,36.8,12.4,Woodfield Rd + Cedar St,40.700215,-73.644703,"",N15 Lng Beach- Hempstead- Roos Fld
4349,1017,10,1,34.1,10.9,Long Beach Rd + Waukena Ave,40.630163,-73.641047,"",N15 Lng Beach- Hempstead- Roos Fld
4349,1018,10,0,36.8,12.4,Hempstead Ave + Woodfield Rd,40.702339,-73.643317,"",N15 Lng Beach- Hempstead- Roos Fld
4349,1019,10,0,36.9,12.8,Long Beach Rd + Cortland Ave,40.631379,-73.640749,"",N15 Lng Beach- Hempstead- Roos Fld
4349,1020,10,0,36.8,12.3,Hempstead Ave + Hemp Gardens Dr,40.703381,-73.640738,"",N15 Lng Beach- Hempstead- Roos Fld
4359,1020,10,0,33.2,9.7,Hempstead Ave + Hemp Gardens Dr,40.703381,-73.640738,"",N31/32 Far Rockaway- Lynbrook-Hemp
4349,1021,10,1,34.1,10.9,Long Beach Rd + Montgomery Ave,40.633012,-73.640849,"",N15 Lng Beach- Hempstead- Roos Fld
4349,1022,10,1,34.1,10.9,Long Beach Rd + Weidner Ave,40.634495,-73.640686,"",N15 Lng Beach- Hempstead- Roos Fld
4349,1023,10,1,34.1,10.9,Long Beach Rd + Windsor Pkwy,40.635782,-73.640496,"",N15 Lng Beach- Hempstead- Roos Fld
4349,1028,10,0,36.8,12.7,Woods Ave + Davis St,40.642817,-73.642202,"",N15 Lng Beach- Hempstead- Roos Fld
4349,1029,10,0,36.8,12.7,Woods Ave  Opp Arnold Ave.,40.644729,-73.643593,"",N15 Lng Beach- Hempstead- Roos Fld
4349,1030,10,1,34.1,10.9,Woods Ave + Chester Ave,40.64616,-73.644729,"",N15 Lng Beach- Hempstead- Roos Fld
4349,1031,10,1,33.7,10.4,Washington Ave + Garden St,40.720824,-73.625829,"",N15 Lng Beach- Hempstead- Roos Fld
4349,1032,10,1,34.1,10.9,Woods Ave + Driscoll Ave,40.64793,-73.645808,"",N15 Lng Beach- Hempstead- Roos Fld
