route_id,service_id,direction_id,numtripsperroute_both_dir,hours_of_service,first_departure_sec,last_departure_sec,span_of_service_hrs,route_avg_hdwy,route_stdev_hdwy,trips_per_day,average_speed,average_length_mi,w_avg_num_stops,avg_dist_bw_stops_ft,route_short_name,route_long_name
3,GO401_1273,0,20,19,22800,88800,18,35.7,20.8,20,34.6,31.2,12.0,14958.5413227272727272429,"",Oyster Bay
9,GO401_1299993865,0,1,1,79740,82500,1,,,1,34.2,26.2,14.0,10622.9694153846153846911,"",Port Washington
9,GO401_120000485,0,1,2,85140,87720,1,,,1,36.6,26.2,13.0,11508.2168666666666665573,"",Port Washington
9,GO401_1200006462,0,1,2,55080,57900,1,,,1,33.5,26.2,13.0,11508.1895250000000000000,"",Port Washington
9,GO401_1299996401,0,1,2,2400,5100,1,,,1,35.0,26.2,14.0,10622.9694153846153846911,"",Port Washington
9,GO401_120000420,0,1,2,37140,39900,1,,,1,34.2,26.2,11.0,13809.8274300000000000000,"",Port Washington
9,GO401_120000351,0,1,2,63840,65820,1,,,1,37.6,20.7,7.0,18195.2776500000000000000,"",Port Washington
9,GO401_1299996486,0,1,2,76680,79500,1,,,1,33.5,26.2,14.0,10622.9441769230769231274,"",Port Washington
4,GO401_1222,0,4,10,38400,70500,9,86.0,0.0,4,43.0,60.5,7.0,53215.523300000000000,"",Ronkonkoma
9,GO401_129999443,0,1,1,43800,46500,1,,,1,35.0,26.2,12.0,12554.4184000000000000000,"",Port Washington
9,GO401_1200006489,0,1,2,78000,80700,1,,,1,35.0,26.2,13.0,11508.2168666666666665573,"",Port Washington
9,GO401_120000447,0,1,1,47400,50100,1,,,1,35.0,26.2,11.0,13809.8602400000000000000,"",Port Washington
9,GO401_120000453,0,1,2,52800,55500,1,,,1,35.0,26.2,11.0,13809.8602400000000000000,"",Port Washington
9,GO401_120000481,0,1,1,79740,82320,1,,,1,36.6,26.2,13.0,11508.2168666666666665573,"",Port Washington
9,GO401_1299996477,0,1,2,67200,69900,1,,,1,35.0,26.2,14.0,10622.9694153846153846911,"",Port Washington
9,GO401_129999420,0,1,2,37140,39900,1,,,1,34.2,26.2,12.0,12554.3885727272727272429,"",Port Washington
12,GO401_1273,0,1,1,22800,23940,0,,,1,38.4,12.2,4.0,21407.3219666666666665573,"",City Zone
8,GO401_1265,0,28,20,20220,86460,18,39.9,14.9,28,30.2,16.4,7.3,13856.3904445714285713817,"",West Hempstead
9,GO401_120000368,0,1,2,67320,69420,1,,,1,35.4,20.7,10.0,12130.1851000000000000000,"",Port Washington
9,GO401_120000422,0,1,2,38940,41700,1,,,1,34.2,26.2,11.0,13809.8274300000000000000,"",Port Washington
9,GO401_129999469,0,1,1,68940,71580,1,,,1,35.8,26.2,14.0,10622.9694153846153846911,"",Port Washington
