stop_id,service_id,direction_id,numroutes,TripsServingStop,stop_name,stop_lat,stop_lon
1,GO401_1265,0,3,10,Long Island City,40.74128,-73.95639
10,GO401_1217,0,1,1,Forest Hills,40.71957,-73.84481
10,GO401_1265,0,8,65,Forest Hills,40.71957,-73.84481
10,GO401_1273,0,5,83,Forest Hills,40.71957,-73.84481
10,GO401_128,0,1,1,Forest Hills,40.71957,-73.84481
100,GO401_1265,0,2,104,Lynbrook,40.65605,-73.67607
100,GO401_1273,0,2,82,Lynbrook,40.65605,-73.67607
100,GO401_128,0,1,1,Lynbrook,40.65605,-73.67607
101,GO401_1265,0,1,60,Centre Avenue,40.64831,-73.66397
101,GO401_1273,0,1,42,Centre Avenue,40.64831,-73.66397
102,GO401_1265,0,1,60,East Rockaway,40.6422,-73.65821
102,GO401_1273,0,1,42,East Rockaway,40.6422,-73.65821
103,GO401_1265,0,1,60,Oceanside,40.63471,-73.65466
103,GO401_1273,0,1,42,Oceanside,40.63471,-73.65466
104,GO401_1265,0,1,60,Island Park,40.60129,-73.65474
104,GO401_1273,0,1,42,Island Park,40.60129,-73.65474
105,GO401_1224,0,1,2,Long Beach,40.59017,-73.66482
105,GO401_1265,0,1,60,Long Beach,40.59017,-73.66482
105,GO401_1273,0,1,42,Long Beach,40.59017,-73.66482
106,GO401_1265,0,1,95,Rockville Centre,40.65831,-73.64655
106,GO401_1273,0,1,71,Rockville Centre,40.65831,-73.64655
106,GO401_128,0,1,3,Rockville Centre,40.65831,-73.64655
106,GO401_1295,0,1,2,Rockville Centre,40.65831,-73.64655
107,GO401_1265,0,1,95,Baldwin,40.65672,-73.60716
107,GO401_1273,0,1,71,Baldwin,40.65672,-73.60716
107,GO401_128,0,1,3,Baldwin,40.65672,-73.60716
107,GO401_1295,0,1,2,Baldwin,40.65672,-73.60716
108,GO401_1224,0,1,2,Freeport,40.65745,-73.58232
108,GO401_1265,0,1,114,Freeport,40.65745,-73.58232
108,GO401_1273,0,1,81,Freeport,40.65745,-73.58232
108,GO401_128,0,1,3,Freeport,40.65745,-73.58232
108,GO401_1295,0,1,2,Freeport,40.65745,-73.58232
109,GO401_1265,0,1,96,Merrick,40.66379,-73.55062
109,GO401_1273,0,1,71,Merrick,40.66379,-73.55062
109,GO401_128,0,1,3,Merrick,40.66379,-73.55062
109,GO401_1295,0,1,2,Merrick,40.66379,-73.55062
11,GO401_1217,0,1,1,Kew Gardens,40.70964,-73.83089
11,GO401_1265,0,8,65,Kew Gardens,40.70964,-73.83089
11,GO401_1273,0,5,83,Kew Gardens,40.70964,-73.83089
11,GO401_128,0,1,1,Kew Gardens,40.70964,-73.83089
110,GO401_1265,0,1,95,Bellmore,40.66879,-73.52886
110,GO401_1273,0,1,81,Bellmore,40.66879,-73.52886
110,GO401_128,0,1,3,Bellmore,40.66879,-73.52886
110,GO401_1295,0,1,2,Bellmore,40.66879,-73.52886
111,GO401_1265,0,1,98,Wantagh,40.67298,-73.50896
111,GO401_1273,0,1,71,Wantagh,40.67298,-73.50896
111,GO401_128,0,1,3,Wantagh,40.67298,-73.50896
111,GO401_1295,0,1,2,Wantagh,40.67298,-73.50896
112,GO401_1265,0,1,98,Seaford,40.67572,-73.48657
112,GO401_1273,0,1,71,Seaford,40.67572,-73.48657
112,GO401_128,0,1,3,Seaford,40.67572,-73.48657
112,GO401_1295,0,1,2,Seaford,40.67572,-73.48657
113,GO401_1265,0,1,97,Massapequa,40.67692,-73.46905
113,GO401_1273,0,1,81,Massapequa,40.67692,-73.46905
113,GO401_128,0,1,3,Massapequa,40.67692,-73.46905
113,GO401_1295,0,1,1,Massapequa,40.67692,-73.46905
114,GO401_1265,0,1,98,Massapequa Park,40.67785,-73.45474
114,GO401_1273,0,1,71,Massapequa Park,40.67785,-73.45474
114,GO401_128,0,1,3,Massapequa Park,40.67785,-73.45474
114,GO401_1295,0,1,1,Massapequa Park,40.67785,-73.45474
115,GO401_1265,0,1,102,Amityville,40.68024,-73.42031
115,GO401_1273,0,1,81,Amityville,40.68024,-73.42031
115,GO401_128,0,1,3,Amityville,40.68024,-73.42031
115,GO401_1295,0,1,1,Amityville,40.68024,-73.42031
116,GO401_1265,0,1,97,Copiague,40.68101,-73.39834
116,GO401_1273,0,1,71,Copiague,40.68101,-73.39834
116,GO401_128,0,1,3,Copiague,40.68101,-73.39834
116,GO401_1295,0,1,1,Copiague,40.68101,-73.39834
117,GO401_1265,0,1,97,Lindenhurst,40.68826,-73.36921
117,GO401_1273,0,1,71,Lindenhurst,40.68826,-73.36921
117,GO401_128,0,1,3,Lindenhurst,40.68826,-73.36921
117,GO401_1295,0,1,1,Lindenhurst,40.68826,-73.36921
118,GO401_1211,0,1,1,Babylon,40.70068,-73.32405
118,GO401_1218,0,1,1,Babylon,40.70068,-73.32405
118,GO401_1220,0,1,1,Babylon,40.70068,-73.32405
118,GO401_1223,0,1,1,Babylon,40.70068,-73.32405
118,GO401_1224,0,1,4,Babylon,40.70068,-73.32405
118,GO401_1226,0,1,1,Babylon,40.70068,-73.32405
118,GO401_1265,0,2,158,Babylon,40.70068,-73.32405
118,GO401_1273,0,2,112,Babylon,40.70068,-73.32405
118,GO401_128,0,1,3,Babylon,40.70068,-73.32405
118,GO401_1295,0,1,1,Babylon,40.70068,-73.32405
119,GO401_1211,0,1,1,Bay Shore,40.72443,-73.25408
119,GO401_1212,0,1,1,Bay Shore,40.72443,-73.25408
119,GO401_1218,0,1,1,Bay Shore,40.72443,-73.25408
119,GO401_1220,0,1,1,Bay Shore,40.72443,-73.25408
119,GO401_1223,0,1,1,Bay Shore,40.72443,-73.25408
119,GO401_1224,0,1,4,Bay Shore,40.72443,-73.25408
119,GO401_1226,0,1,1,Bay Shore,40.72443,-73.25408
119,GO401_1265,0,1,41,Bay Shore,40.72443,-73.25408
119,GO401_1273,0,1,28,Bay Shore,40.72443,-73.25408
119,GO401_129,0,1,1,Bay Shore,40.72443,-73.25408
12,GO401_1265,0,8,124,Atlantic Terminal,40.684901,-73.97768
12,GO401_1273,0,3,72,Atlantic Terminal,40.684901,-73.97768
120,GO401_1211,0,1,1,Islip,40.73583,-73.20932
120,GO401_1218,0,1,1,Islip,40.73583,-73.20932
120,GO401_1220,0,1,1,Islip,40.73583,-73.20932
120,GO401_1223,0,1,1,Islip,40.73583,-73.20932
120,GO401_1224,0,1,4,Islip,40.73583,-73.20932
