stop_id,service_id,direction_id,numroutes,TripsServingStop,stop_name,stop_lat,stop_lon
10,1,0,1,4,TAMARIND & SPRING GARDEN N/B,39.348325,-76.654783
10,1,1,1,4,TAMARIND & SPRING GARDEN N/B,39.348325,-76.654783
100,1,1,1,43,FORT AVE & TOWSON W/B,39.268396,-76.592183
1002,1,0,1,60,MADISON ST & AISQUITH W/B,39.299078,-76.601895
1002,1,1,3,174,MADISON ST & AISQUITH W/B,39.299078,-76.601895
10024,1,0,1,41,RIGGS & CALHOUN E/B,39.301088,-76.640277
1003,1,1,4,244,ENSOR ST & MONUMENT ST sb,39.297951,-76.604244
1004,1,0,2,129,HILLEN & COLVIN ST sb,39.295858,-76.606872
1004,1,1,8,293,HILLEN & COLVIN ST sb,39.295858,-76.606872
1006,1,0,1,78,HILLEN ST & HIGH S/B,39.294857,-76.608238
1006,1,1,5,248,HILLEN ST & HIGH S/B,39.294857,-76.608238
1018,1,1,2,139,EUTAW ST & MONUMENT nb,39.297199,-76.621281
1023,1,1,1,77,MCCULLOH & DOLPHIN N/B,39.301736,-76.62666
10237,1,0,1,54,MORAVIA & BELAIR E/B,39.331106,-76.561736
1024,1,1,1,77,MCCULLOH & LANVALE N/B,39.302517,-76.627601
10249,1,0,1,25,DRUID PARK DR & CLIPPER RD eb,39.333107,-76.644791
1025,1,1,1,77,MCCULLOH & LAFAYETTE N/B,39.303316,-76.628636
10251,1,1,1,74,HARFORD RD & CLIFTVIEW AVE sb,39.315843,-76.596352
10256,1,0,2,68,DUNMANWAY & DUNRAN RD eb,39.257097,-76.519467
1027,1,1,1,77,MCCULLOH & MCMECHEN N/B,39.304878,-76.630542
1029,1,1,1,77,MCCULLOH & LAURENS N/B,39.30644,-76.632484
1030,1,1,1,77,MCCULLOH & ROBERT N/B,39.307221,-76.633461
10309,1,0,2,44,REISTERSTOWN PLAZA STAT NB,39.352056,-76.705705
10309,1,1,1,36,REISTERSTOWN PLAZA STAT NB,39.352056,-76.705705
1032,1,1,1,77,MCCULLOH & BLOOM N/B,39.308792,-76.635425
10325,1,0,2,75,WARWICK AVE & GWYNNS FALLS fs,39.315565,-76.656405
1033,1,1,1,77,MCCULLOH & NORTH AVE N/B,39.310191,-76.636901
10347,1,0,1,54,ARGONNE & MCCALLUM DR E/B,39.340295,-76.582087
10350,1,1,1,56,MONTEBELLO HOSPITAL wb stop,39.339782,-76.578904
10354,1,1,2,48,BLOOMSBURY & CATONSVILLE HS nb,39.260034,-76.732271
10380,1,0,1,25,NORTHERN & LAURELTON AVE FS E/B,39.366598,-76.5626
10380,1,1,3,75,NORTHERN & LAURELTON AVE FS E/B,39.366598,-76.5626
10382,1,0,1,80,THE ALAMEDA & ARGONNE AVE sb,39.339959,-76.60043
10397,1,0,1,22,WEST CAMPUS & FINE ARTS BLDG wb,39.047037,-76.516313
10399,1,0,1,63,BALTIMORE ST & ELLAMONT N/S eb,39.285809,-76.670345
10399,1,1,1,45,BALTIMORE ST & ELLAMONT N/S eb,39.285809,-76.670345
1040,1,1,2,184,NORTH AVE & LINDEN AVE E/B,39.310266,-76.632241
10400,1,0,1,63,BALTIMORE ST & MT OLIVET LN fs eb,39.285845,-76.667956
10400,1,1,1,45,BALTIMORE ST & MT OLIVET LN fs eb,39.285845,-76.667956
10401,1,0,1,63,BALTIMORE ST & ELLICOTT DR. F/S eb,39.287405,-76.662328
10401,1,1,1,45,BALTIMORE ST & ELLICOTT DR. F/S eb,39.287405,-76.662328
10402,1,0,1,63,BALTIMORE ST & KINSEY AVE OP eb,39.287571,-76.659507
10402,1,1,1,45,BALTIMORE ST & KINSEY AVE OP eb,39.287571,-76.659507
10407,1,0,1,40,BALTIMORE ST & BERNICE AVE  wb,39.285877,-76.669596
10407,1,1,1,65,BALTIMORE ST & BERNICE AVE  wb,39.285877,-76.669596
10409,1,0,1,53,BOSTON & BROENING fs eb,39.277789,-76.543417
