route_id,stop_id,service_id,direction_id,avghdwy,stdev_hdwy,stop_name,stop_lat,stop_lon,route_short_name,route_long_name
5408,1,1,0,40.3,13.6,CYLBURN & GREENSPRING f/s wb,39.35082,-76.660188,1,SINAI - FORT McHENRY
5408,1,1,1,40.3,14.3,CYLBURN & GREENSPRING f/s wb,39.35082,-76.660188,1,SINAI - FORT McHENRY
5459,1,1,0,21.8,12.0,CYLBURN & GREENSPRING f/s wb,39.35082,-76.660188,91,SINAI HOSPITAL - DOWNTOWN
5408,10,1,0,69.0,,TAMARIND & SPRING GARDEN N/B,39.348325,-76.654783,1,SINAI - FORT McHENRY
5408,10,1,1,,,TAMARIND & SPRING GARDEN N/B,39.348325,-76.654783,1,SINAI - FORT McHENRY
5408,100,1,1,28.4,11.8,FORT AVE & TOWSON W/B,39.268396,-76.592183,1,SINAI - FORT McHENRY
5411,1000,1,1,32.5,12.3,PRESTON ST & EDEN ST wb,39.305103,-76.599505,5,MONDAWMIN - CEDONIA
5426,1000,1,1,33.6,11.5,PRESTON ST & EDEN ST wb,39.305103,-76.599505,21,FELLS POINT - MONDAWMIN
5411,1001,1,1,36.0,10.3,MADISON ST & CENTRAL AVE W/B,39.299135,-76.600176,5,MONDAWMIN - CEDONIA
5420,1001,1,1,16.7,8.5,MADISON ST & CENTRAL AVE W/B,39.299135,-76.600176,15,SECURITY MALL - OVERLEA/PERRY HALL
5434,1001,1,0,19.8,8.0,MADISON ST & CENTRAL AVE W/B,39.299135,-76.600176,35,WHITEMARSH P&R - UMBC / BLIND IND.
5467,1001,1,1,12.5,5.3,MADISON ST & CENTRAL AVE W/B,39.299135,-76.600176,120,WHITE MARSH - MONUMENT & RUTLAND
5411,1002,1,1,17.9,8.2,MADISON ST & AISQUITH W/B,39.299078,-76.601895,5,MONDAWMIN - CEDONIA
5420,1002,1,1,16.7,8.5,MADISON ST & AISQUITH W/B,39.299078,-76.601895,15,SECURITY MALL - OVERLEA/PERRY HALL
5434,1002,1,0,19.8,8.0,MADISON ST & AISQUITH W/B,39.299078,-76.601895,35,WHITEMARSH P&R - UMBC / BLIND IND.
5467,1002,1,1,12.5,5.3,MADISON ST & AISQUITH W/B,39.299078,-76.601895,120,WHITE MARSH - MONUMENT & RUTLAND
