stop_id,service_id,direction_id,numroutes,TripsServingStop,stop_name,stop_lat,stop_lon
7625,1,0,1,51,DORSEY RD LT RAIL nb,39.172005,-76.632984
7626,1,0,1,51,FERNDALE LT RAIL nb,39.18341,-76.640024
7627,1,0,1,50,BWI AIRPORT LT RAIL nb,39.181298,-76.668468
7628,1,0,1,50,BWI BUSINESS PARK STATION,39.190678,-76.674466
7630,1,0,1,101,LINTHICUM LT RAIL nb,39.202261,-76.655047
7631,1,0,1,101,NORTH LINTHICUM LT RAIL nb,39.214389,-76.645586
7632,1,0,1,101,NURSERY RD & LIGHT RAIL nb,39.222291,-76.640943
7634,1,0,1,101,BATIMORE HIGHLANDS & LT RAIL nb,39.234256,-76.633123
7635,1,0,1,101,PATAPSCO & LIGHT RAIL STAT nb,39.242013,-76.629838
7637,1,0,1,101,CHERRY HILL LIGHT RAIL STAT nb,39.257383,-76.633925
7638,1,0,1,101,WESTPORT LIGHT RAIL STAT nb,39.262107,-76.631345
7639,1,0,1,101,HAMBURG & LIGHT RAIL STAT nb,39.278425,-76.620326
7640,1,0,1,146,CAMDEN STA/LT RAIL,39.282038,-76.619426
7641,1,0,1,146,PRATT ST LIGHT RAIL STAT nb,39.286263,-76.619375
7642,1,0,1,146,BALTIMORE ST & LIGHT RAIL STAT nb,39.289155,-76.619511
7643,1,0,1,146,LEXINGTON ST & LIGHT RAIL STAT nb,39.291975,-76.619686
7644,1,0,1,146,CENTRE ST & LT RAIL STAT nb,39.296501,-76.619951
7645,1,0,1,146,CULTURAL CTR & LT RAIL nb,39.303022,-76.620324
7646,1,0,1,146,MT ROYAL & LT RAIL STAT nb,39.307181,-76.619973
7647,1,0,1,39,PENN STATION LIGHT RAIL,39.307791,-76.616141
7648,1,0,1,111,NORTH AVE LIGHT RAIL  nb,39.311261,-76.621466
7649,1,0,1,93,RELIEF PT/DIVISION,39.312388,-76.622754
7649,1,1,1,94,RELIEF PT/DIVISION,39.312388,-76.622754
7650,1,0,1,93,WOODBERRY/LT RAIL  sb,39.330979,-76.643242
7651,1,0,1,93,COLDSPRING & LIGHT RAIL STAT nb,39.344154,-76.647801
7652,1,0,1,93,MT WASHINGTON & LT RAIL STAT nb,39.367908,-76.651504
7654,1,0,1,93,FALLS RD & LT RAIL STAT nb,39.376072,-76.650423
7655,1,0,1,93,LUTHERVILLE & LT RAIL STAT nb,39.429551,-76.627089
7656,1,0,1,93,TIMONIUM BUSINESS PARK,39.434124,-76.628174
7657,1,0,1,93,FAIRGROUNDS & LT RAIL STAT nb,39.44888,-76.635128
7658,1,0,1,75,WARREN RD LIT RAIL nb,39.475424,-76.653683
7659,1,0,1,75,GILROY RD LIGHT RAIL  nb,39.481591,-76.661789
7660,1,0,1,75,McCORMICK RD LIGHT RAIL nb,39.48995,-76.658265
7661,1,0,1,75,PEPPER RD & LT RAIL STAT nb,39.492211,-76.654874
7662,1,0,1,76,HUNT VALLEY & LT RAIL STAT nb,39.496267,-76.653746
7663,1,1,1,76,HUNT VALLEY & LT RAIL STAT sb,39.496233,-76.654095
7664,1,1,1,76,PEPPER RD & LT RAIL STAT sb,39.492158,-76.655177
7665,1,1,1,76,McCORMICK RD LIGHT RAIL,39.490058,-76.65831
7666,1,1,1,76,GILROY RD LIGHT RAIL,39.481844,-76.661915
7667,1,1,1,76,WARREN RD LIGHT RAIL sb,39.475471,-76.652311
7668,1,1,1,94,FAIRGROUNDS & LT RAIL STAT sb,39.448529,-76.635212
7669,1,1,1,94,TIMONIUM BUSINESS PARK sb,39.434422,-76.628334
7670,1,1,1,94,LUTHERVILLE & LT RAIL STAT sb,39.428688,-76.627341
7671,1,1,1,94,FALLS RD & LT RAIL STAT sb,39.375948,-76.650749
7673,1,1,1,94,MT WASHINGTON & LT RAIL STAT sb,39.367728,-76.651459
7674,1,1,1,94,COLDSPRING & LT RAIL sb,39.343712,-76.64777
7675,1,1,1,94,WOODBERRY/LT RAIL nb,39.331258,-76.643251
7676,1,1,1,114,NORTH AVE LT RAIL sb,39.311233,-76.621362
