route_id,service_id,direction_id,numtripsperroute_both_dir,hours_of_service,first_departure_sec,last_departure_sec,span_of_service_hrs,route_avg_hdwy,route_stdev_hdwy,trips_per_day,average_speed,average_length_mi,w_avg_num_stops,avg_dist_bw_stops_ft,route_short_name,route_long_name
5487,1,0,7,7,20700,67320,13,20.7,28.8,5,30.3,42.6,15.2,15824.3045901408450705242,901,LAUREL PK - WASHINGTON DC
5478,1,0,19,14,18000,76440,16,20.6,5.8,9,44.6,73.3,11.4,37040.989117021275409,MARC,BRUNSWICK - WASHINGTON
5499,1,0,3,4,16500,69720,15,10.0,,2,53.4,50.3,3.0,132902.400675000000000,991,HAGERSTOWN - ROCK SPRINGS
5480,1,0,18,11,18600,75000,16,40.0,11.5,9,40.5,47.6,9.0,31417.6256250000000000000,MARC,CAMDEN - WASHINGTON
5497,1,0,1,3,27840,33960,2,,,1,23.5,40.0,24.0,9182.0639478260869565788,929,COLUNBIA - WASHINGTON DC
5491,1,1,4,8,19260,69180,14,,,2,31.4,48.7,13.0,21441.3623416666666665573,905,CHARLOTTE HALL/WALDORF WASHINGTON D
5479,1,0,56,20,16200,84540,19,34.8,15.6,28,57.4,60.3,8.6,42057.221472169811816,MARC,PENN - WASHINGTON
5496,1,0,9,8,19200,67440,13,43.0,33.4,4,38.4,58.2,22.5,14300.3872895348837208463,922,KENT ISLAND - WASHINGTON
5500,1,0,1,2,25980,30720,1,,,1,38.9,51.3,13.0,22560.1013166666666665573,995,CLARKSVILLE - WASHINGTON
5489,1,1,2,4,18600,60720,12,,,1,32.9,50.5,14.0,20511.1462615384615384363,903,CHARLOTTE HALL - WASHINGTON DC
5489,1,0,2,4,18600,60720,12,,,1,36.3,50.2,13.0,22091.4651500000000000000,903,CHARLOTTE HALL - WASHINGTON DC
5496,1,1,9,8,19200,67440,13,26.2,20.9,5,34.5,57.1,20.6,15387.7862132653061224155,922,KENT ISLAND - WASHINGTON
5491,1,0,4,8,19260,69180,14,,,2,32.2,48.2,14.0,19591.6586307692307693822,905,CHARLOTTE HALL/WALDORF WASHINGTON D
5479,1,1,56,20,16200,84540,19,37.0,23.5,28,55.1,63.7,8.6,44039.179571028035850,MARC,PENN - WASHINGTON
5478,1,1,19,14,18000,76440,16,27.5,9.9,10,45.0,75.4,12.5,34634.732429565217106,MARC,BRUNSWICK - WASHINGTON
5487,1,1,7,7,20700,67320,13,50.0,,2,32.5,52.5,15.0,19797.0149785714285713817,901,LAUREL PK - WASHINGTON DC
5480,1,1,18,11,18600,75000,16,41.1,13.5,9,39.3,47.6,8.8,32323.6245600000000000000,MARC,CAMDEN - WASHINGTON
5499,1,1,3,4,16500,69720,15,,,1,54.0,33.3,3.0,87965.250500000000000,991,HAGERSTOWN - ROCK SPRINGS
