stop_id,service_id,direction_id,numroutes,TripsServingStop,stop_name,stop_lat,stop_lon
11548,1,0,2,3,CHARLOTTE HALL in ST MARY'S CO,38.490544,-76.774173
11548,1,1,2,3,CHARLOTTE HALL in ST MARY'S CO,38.490544,-76.774173
11549,1,0,2,3,MATTAWOMAN-BEANTOWN P&R nb,38.626015,-76.8743
11550,1,0,1,1,SUITLAND FEDERAL CTR at GATE 7,38.844723,-76.930622
11550,1,1,1,1,SUITLAND FEDERAL CTR at GATE 7,38.844723,-76.930622
11551,1,0,1,1,SUITLAND METRO STATION in PG CO,38.845781,-76.93208
11551,1,1,1,1,SUITLAND METRO STATION in PG CO,38.845781,-76.93208
11552,1,0,1,1,M ST & 9TH ST S E wb,38.876487,-76.993706
11553,1,0,1,1,M ST & ISAAC HALL AVE SE opp wb,38.876505,-76.997681
11554,1,0,1,1,M ST & 3RD ST SE wb,38.876569,-77.00183
11555,1,0,1,1,M ST & 4TH ST SW wb,38.876567,-77.017307
11556,1,0,1,1,4TH ST & E ST SW nb,38.883224,-77.017307
11557,1,0,1,1,4TH ST & C ST SW nb,38.886016,-77.01732
11558,1,0,1,1,CONSTITUTION AVE & 3RD ST NW eb,38.892002,-77.015247
11559,1,0,1,1,N CAPITOL ST & MASS AVE opp F nb,38.897329,-77.008877
11560,1,0,2,5,N CAPITOL ST & H ST nb,38.900203,-77.008878
11561,1,1,2,6,N CAPITOL ST & H ST NW sb,38.900302,-77.009096
11562,1,1,1,1,MASS AVE & COLUMBUS CIR NE eb,38.896678,-77.007761
11563,1,1,1,1,LOUISANA AVE & D ST NW wb,38.894889,-77.0093
11564,1,1,1,1,3RD ST & CONSTITUTION AVE NW fs sb,38.891857,-77.015155
11565,1,1,1,1,4TH ST & C ST SW sb,38.886097,-77.017423
11566,1,1,1,1,4TH ST & E ST SW sb,38.883305,-77.017399
11567,1,1,1,1,M ST & 4TH ST SW eb,38.876378,-77.017434
11568,1,1,1,1,M ST & 3RD ST SE eb,38.876425,-77.001934
11569,1,1,1,1,M ST & ISAAC HALL AVE SE eb,38.876361,-76.997786
11570,1,1,1,1,M ST & 9TH ST SE eb,38.876325,-76.99381
11576,1,0,1,1,INDEPENDENCE AVE & 4TH ST SW wb,38.887655,-77.017314
11578,1,0,2,7,PENNSYLVANIA AVE & 7TH ST NW fs wb,38.893628,-77.022065
11579,1,0,2,7,PENNSYLVANIA AVE & 10TH ST NW wb,38.894564,-77.025774
11580,1,0,2,7,PENNSYLVANIA AVE & 12TH ST NW wb,38.89519,-77.02787
11580,1,1,1,5,PENNSYLVANIA AVE & 12TH ST NW wb,38.89519,-77.02787
11581,1,0,2,7,12TH ST & G ST NW nb,38.89828,-77.027894
11582,1,0,1,2,K ST & 13TH ST NW wb,38.902624,-77.029401
11583,1,0,1,2,K ST & 15TH ST NW wb,38.902634,-77.03437
11584,1,0,1,2,K ST & 17TH ST/CONNECTICUT NW wb,38.902626,-77.039246
11587,1,0,2,3,19TH ST & PENN AVE/H ST NW sb,38.899896,-77.043313
11588,1,0,2,3,19TH ST & E ST NW sb,38.896049,-77.043325
11590,1,1,1,2,20TH ST & E ST NW nb,38.89598,-77.044709
11591,1,1,1,2,20TH ST & PENNSYLVANIA AVE NW nb,38.90061,-77.044694
11592,1,1,1,2,K ST & 19TH ST NW eb,38.902508,-77.043328
11593,1,1,1,2,K ST & 17TH ST NW eb,38.902554,-77.039339
11594,1,1,1,2,K ST & 15TH ST NW eb,38.902562,-77.034462
11595,1,1,1,2,K ST & 13TH ST NW eb,38.902552,-77.029505
11596,1,1,2,4,11TH ST & H ST NW sb,38.899863,-77.026909
11598,1,1,2,4,PENNSYLVANIA AVE & 10TH ST NW eb,38.894348,-77.025913
11599,1,1,2,4,PENNSYLVANIA AVE & 7TH ST NW eb,38.893412,-77.021893
11601,1,0,1,1,INDEPENDENCE & 4TH/3RD ST SW eb,38.887582,-77.016807
11601,1,1,1,5,INDEPENDENCE & 4TH/3RD ST SW eb,38.887582,-77.016807
11602,1,0,1,1,INDEPENDENCE AVE & 1ST ST SE eb,38.887621,-77.005777
11602,1,1,1,5,INDEPENDENCE AVE & 1ST ST SE eb,38.887621,-77.005777
11610,1,1,2,3,MATTAWOMAN-BEANTOWN P&R sb,38.626006,-76.874518
11618,1,0,2,7,7TH ST & E/D STS SW mid nb,38.884052,-77.021637
11619,1,0,2,3,19TH ST & K ST fs sb,38.90222,-77.043329
11620,1,0,2,7,7TH ST & MARYLAND AVE SW nb,38.886287,-77.021699
11621,1,1,2,4,7TH ST & MARYLAND AVE SW sb,38.886368,-77.021802
11622,1,1,2,4,7TH ST & D/E STS SW MID sb,38.884134,-77.021798
11634,1,0,2,5,INDEPENDENCE AVE & 7TH ST SW wb,38.887647,-77.021694
11635,1,0,1,4,INDEPENDENCE AVE & L'ENFANT PL opp,38.887601,-77.025844
11636,1,0,1,4,INDEPENDENCE AVE & 12TH ST SW wb,38.887605,-77.027722
11640,1,0,1,5,23RD ST & I ST (eye) NW sb,38.900755,-77.050008
11641,1,0,1,5,VIRGINIA AVE & E ST NW eb,38.896013,-77.048121
11642,1,1,1,2,VIRGINIA AVE & E ST NW fs nb,38.896067,-77.047878
11643,1,1,1,2,23RD ST & I ST (eye) NW nb,38.900674,-77.049916
11647,1,1,1,5,INDEPENDENCE AVE & 14TH ST SW fs eb,38.887541,-77.031492
11648,1,1,1,5,INDEPENDENCE AVE & 12TH ST eb,38.887525,-77.028126
11649,1,1,1,5,INDEPENDENCE AVE & L'ENFANT PL SW e,38.887529,-77.025948
11650,1,0,1,1,INDEPENDENCE AVE & 7/6 ST mid eb,38.887573,-77.020726
11650,1,1,1,5,INDEPENDENCE AVE & 7/6 ST mid eb,38.887573,-77.020726
11678,1,1,1,5,14TH ST & CONSTITUTION NW fs sb,38.891901,-77.031846
11684,1,0,1,1,LA PLATA P&R & CHARLES CO,38.548065,-76.978304
11684,1,1,1,2,LA PLATA P&R & CHARLES CO,38.548065,-76.978304
11689,1,0,1,1,SOUTH POTOMAC CHURCH & US 301,38.581147,-76.961965
11689,1,1,1,2,SOUTH POTOMAC CHURCH & US 301,38.581147,-76.961965
11690,1,0,1,4,US 301 P & R & SMALLWOOD DR,38.613352,-76.926601
11692,1,0,1,2,KENT ISLAND P & R,38.975862,-76.322971
11692,1,1,1,3,KENT ISLAND P & R,38.975862,-76.322971
11693,1,0,1,1,ROWE BLVD & TAYLOR AVE sb,38.986949,-76.502887
11694,1,0,1,1,WEST ST & CALVERT ST fs wb,38.978274,-76.495848
11695,1,0,1,1,WEST ST & LAFAYETTE AVE opp wb,38.977915,-76.497433
11696,1,0,1,1,WEST ST & MADISON PL wb,38.977064,-76.50087
11697,1,0,1,1,WEST ST & AMOS GARRETT BLVD wb,38.976368,-76.503358
11698,1,0,1,1,WEST ST & RUSSELL ST opp wb,38.977062,-76.511649
11699,1,0,1,1,West St & Cherry Grove Av (Lib) wb,38.977855,-76.514618
11700,1,0,1,1,WEST ST & LEGION AVE opp wb,38.979412,-76.518618
11701,1,0,1,1,WEST ST & ADMIRAL DR wb,38.979983,-76.521878
11702,1,0,1,1,WEST ST & PAROLE ST opp wb,38.981193,-76.528086
11703,1,0,1,1,WEST ST & HUDSON ST wb,38.982825,-76.53399
11704,1,0,1,1,RIVA RD & FOREST DR opp wb,38.98128,-76.544936
11705,1,0,1,4,HARRY S TRUMAN P & R,38.980512,-76.559197
11705,1,1,1,3,HARRY S TRUMAN P & R,38.980512,-76.559197
11710,1,0,1,5,K ST & 14TH ST NW wb,38.902629,-77.031799
11711,1,0,1,5,K ST & 16TH ST NW wb,38.902638,-77.03633
11712,1,0,1,5,K ST & 18TH ST NW wb,38.902594,-77.041518
11713,1,0,1,5,K ST & 20TH ST NW wb,38.902573,-77.044676
11714,1,0,1,5,K ST & 22ND ST NW wb,38.902635,-77.048515
11715,1,1,1,2,K ST & 22ND ST NW eb,38.9025,-77.048689
11716,1,1,1,2,K ST & 20TH ST NW eb,38.902493,-77.04478
11717,1,1,1,2,K ST & 18TH ST NW eb,38.902522,-77.041622
11718,1,1,1,2,K ST & 16TH ST NW fs eb,38.902566,-77.03633
11719,1,1,1,2,K ST & 14TH ST NW eb,38.902548,-77.031903
11724,1,1,1,1,RIVA RD & FOREST DR eb,38.981181,-76.544971
11725,1,1,1,1,WEST ST & HUDSON ST opp eb,38.982673,-76.534211
11726,1,1,1,1,WEST ST & PAROLE ST eb,38.981149,-76.528214
11727,1,1,1,1,WEST ST & CHINQUAPIN ROUND RD eb,38.979992,-76.523401
11728,1,1,1,1,WEST ST & LEGION AVE eb,38.979368,-76.518745
11729,1,1,1,1,West St & Cherry Grove (Library) eb,38.977829,-76.514745
11730,1,1,1,1,WEST ST & RUSSELL ST eb,38.977017,-76.511776
11731,1,1,1,1,WEST ST & AMOS GARRETT BLVD eb,38.97627,-76.50344
11732,1,1,1,1,WEST ST & MADISON PL eb,38.976965,-76.500951
11733,1,1,1,1,West St & Lafayette Ave eb,38.977816,-76.497515
11734,1,1,1,1,CALVERT ST & WEST ST fs nb,38.978291,-76.495744
11735,1,1,1,1,ROWE BLVD & TAYLOR AVE nb,38.98711,-76.502712
11738,1,0,1,4,INDEPENDENCE AVE & 14TH ST SW wb,38.887613,-77.031653
11749,1,0,1,2,ST CHARLES MALL & JC PENNEY,38.617172,-76.92981
11750,1,0,1,2,ST CHARLES MALL & DICKS SPORTS,38.618122,-76.9221
11751,1,0,1,1,SMALLWOOD VILLAGE CTR,38.60159,-76.90077
11751,1,1,1,2,SMALLWOOD VILLAGE CTR,38.60159,-76.90077
11752,1,0,1,4,E CAPITOL ST & 2ND ST wb,38.889913,-77.003359
11753,1,0,1,4,1ST ST & INDEPENDENCE AVE SE sb,38.887702,-77.005788
