stop_id,service_id,direction_id,numroutes,TripsServingStop,stop_name,stop_lat,stop_lon
10419,1,0,1,117,ROGERS STATION (METRO) S/B,39.345918,-76.693708
10420,1,1,1,117,ROGERS STATION (METRO) N/B,39.346336,-76.694382
10906,1,0,1,116,OLD COURT STAT (METRO) sb,39.370794,-76.743423
11422,1,0,1,116,MILFORD MILL METRO STAT s/b,39.36247,-76.72138
4819,1,0,1,121,REISTERSTOWN PLAZA STN (METRO) S/B,39.352199,-76.705507
5584,1,1,1,116,WEST COLDSPRING STATION (METRO) N/B,39.336464,-76.672632
5585,1,0,1,117,WEST COLDSPRING STATION (METRO) S/B,39.336192,-76.672379
7500,1,0,1,118,OWINGS MILLS STATION (METRO),39.407642,-76.780768
7500,1,1,1,126,OWINGS MILLS STATION (METRO),39.407642,-76.780768
7503,1,0,1,117,MONDAWMIN STATION (METRO) S/B,39.318103,-76.65269
7504,1,0,1,117,PENN/NORTH STATION (METRO) S/B,39.310057,-76.642497
7505,1,0,1,117,UPTON STATION (METRO) S/B,39.305148,-76.636603
7506,1,0,1,117,STATE CENTER (METRO) S/B,39.301425,-76.623155
7507,1,0,1,117,LEXINGTON MARKET (METRO) S/B,39.291541,-76.620996
7508,1,0,1,117,CHARLES CENTER (METRO) S/B,39.289394,-76.615475
7509,1,0,1,117,SHOT TOWER STATION (METRO) S/B,39.289915,-76.605583
7510,1,0,1,119,JOHNS HOPKINS STATION (METRO),39.298289,-76.594107
7510,1,1,1,118,JOHNS HOPKINS STATION (METRO),39.298289,-76.594107
7511,1,1,1,116,SHOT TOWER STATION (METRO) N/B,39.289952,-76.605814
7512,1,1,1,116,CHARLES CENTER (METRO) N/B,39.289452,-76.616275
7513,1,1,1,116,LEXINGTON MARKET (METRO) nb,39.29173,-76.620914
7514,1,1,1,116,STATE CENTER (METRO) N/B,39.301515,-76.623166
7515,1,1,1,116,UPTON STATION (METRO) N/B,39.305318,-76.63672
7516,1,1,1,116,PENN NORTH STAT (METRO) N/B,39.310195,-76.64259
7517,1,1,1,116,MONDAWMIN STATION (METRO) nb,39.318211,-76.652759
7519,1,1,1,127,REIST PLAZA STATION (METRO) N/B,39.352589,-76.706095
7520,1,1,1,124,MILFORD MILL STATION (METRO) N/B,39.362777,-76.721459
7522,1,1,1,124,OLD COURT STATION (METRO) N/B,39.371003,-76.743665
10419,2,0,1,73,ROGERS STATION (METRO) S/B,39.345918,-76.693708
10420,2,1,1,73,ROGERS STATION (METRO) N/B,39.346336,-76.694382
10906,2,0,1,72,OLD COURT STAT (METRO) sb,39.370794,-76.743423
11422,2,0,1,72,MILFORD MILL METRO STAT s/b,39.36247,-76.72138
4819,2,0,1,75,REISTERSTOWN PLAZA STN (METRO) S/B,39.352199,-76.705507
5584,2,1,1,72,WEST COLDSPRING STATION (METRO) N/B,39.336464,-76.672632
5585,2,0,1,73,WEST COLDSPRING STATION (METRO) S/B,39.336192,-76.672379
7500,2,0,1,74,OWINGS MILLS STATION (METRO),39.407642,-76.780768
7500,2,1,1,76,OWINGS MILLS STATION (METRO),39.407642,-76.780768
7503,2,0,1,73,MONDAWMIN STATION (METRO) S/B,39.318103,-76.65269
7504,2,0,1,73,PENN/NORTH STATION (METRO) S/B,39.310057,-76.642497
7505,2,0,1,73,UPTON STATION (METRO) S/B,39.305148,-76.636603
7506,2,0,1,73,STATE CENTER (METRO) S/B,39.301425,-76.623155
7507,2,0,1,73,LEXINGTON MARKET (METRO) S/B,39.291541,-76.620996
7508,2,0,1,73,CHARLES CENTER (METRO) S/B,39.289394,-76.615475
7509,2,0,1,73,SHOT TOWER STATION (METRO) S/B,39.289915,-76.605583
7510,2,0,1,75,JOHNS HOPKINS STATION (METRO),39.298289,-76.594107
7510,2,1,1,74,JOHNS HOPKINS STATION (METRO),39.298289,-76.594107
7511,2,1,1,72,SHOT TOWER STATION (METRO) N/B,39.289952,-76.605814
7512,2,1,1,72,CHARLES CENTER (METRO) N/B,39.289452,-76.616275
7513,2,1,1,72,LEXINGTON MARKET (METRO) nb,39.29173,-76.620914
7514,2,1,1,72,STATE CENTER (METRO) N/B,39.301515,-76.623166
7515,2,1,1,72,UPTON STATION (METRO) N/B,39.305318,-76.63672
7516,2,1,1,72,PENN NORTH STAT (METRO) N/B,39.310195,-76.64259
7517,2,1,1,72,MONDAWMIN STATION (METRO) nb,39.318211,-76.652759
7519,2,1,1,77,REIST PLAZA STATION (METRO) N/B,39.352589,-76.706095
7520,2,1,1,74,MILFORD MILL STATION (METRO) N/B,39.362777,-76.721459
7522,2,1,1,74,OLD COURT STATION (METRO) N/B,39.371003,-76.743665
10419,3,0,1,73,ROGERS STATION (METRO) S/B,39.345918,-76.693708
