route_id,service_id,direction_id,numtripsperroute_both_dir,hours_of_service,first_departure_sec,last_departure_sec,span_of_service_hrs,route_avg_hdwy,route_stdev_hdwy,trips_per_day,average_speed,average_length_mi,w_avg_num_stops,avg_dist_bw_stops_ft,route_short_name,route_long_name
100,BUSN22-hbf22011-Weekday-02,0,59,14,22200,70200,13,26.6,8.3,30,21.2,4.7,18.7,1395.6922088679245282276,100,
100,BUSN22-hbf22011-Weekday-02,1,59,14,22200,70200,13,27.8,8.3,29,22.3,4.7,16.7,1586.8297473684210525107,100,
101,BUSN22-hbf22011-Weekday-02,0,4,3,25200,33360,2,,,1,22.3,8.2,42.0,1023.6880048780487804718,101,
101,BUSN22-hbf22011-Weekday-02,1,4,3,25200,33360,2,34.0,16.9,3,15.0,6.3,38.7,881.2766000000000000000,101,
105,BUSN22-hbf22011-Weekday-02,0,34,14,21600,70800,14,47.8,16.0,17,19.0,8.7,43.0,1092.3152071428571427634,105,
105,BUSN22-hbf22011-Weekday-02,1,34,14,21600,70800,14,47.1,17.2,17,16.7,8.2,42.0,1059.4108926829268292923,105,
106,BUSN22-hbf22011-Weekday-02,0,8,7,24000,64860,11,67.5,31.8,4,17.2,5.1,28.0,1000.0275342592592591985,106,
106,BUSN22-hbf22011-Weekday-02,1,8,7,24000,64860,11,36.6,9.8,4,19.6,4.9,27.0,995.8844538461538462548,106,
108,BUSN22-hbf22011-Weekday-02,0,9,5,26100,53640,8,33.0,4.2,4,18.8,6.4,34.3,1020.8991849624060150968,108,
108,BUSN22-hbf22011-Weekday-02,1,9,5,26100,53640,8,48.0,23.0,5,16.0,5.4,27.8,1060.8403432835820896159,108,
131,BUSN22-hbf22011-Weekday-02,0,48,14,21900,70320,13,28.3,16.1,24,21.9,7.0,34.2,1114.5927967336683417646,131,
131,BUSN22-hbf22011-Weekday-02,1,48,14,21900,70320,13,28.2,15.8,24,20.8,5.6,32.0,957.2112712751677853450,131,
132,BUSN22-hbf22011-Weekday-02,0,35,14,21600,69780,13,48.8,11.2,17,22.3,8.5,30.0,1540.4973827586206896778,132,
132,BUSN22-hbf22011-Weekday-02,1,35,14,21600,69780,13,44.0,15.7,18,20.0,8.5,31.0,1452.6736866666666665573,132,
134,BUSN22-hbf22011-Weekday-02,0,63,14,21000,68160,13,25.7,8.7,30,16.6,10.3,44.3,1259.9707322033898306475,134,
134,BUSN22-hbf22011-Weekday-02,1,63,14,21000,68160,13,20.3,10.9,39,18.2,10.0,40.7,1299.4646202723146748514,134,
136,BUSN22-hbf22011-Weekday-02,0,34,14,22800,70200,13,49.5,20.2,15,21.1,14.3,59.3,1293.3027051428571427634,136,
136,BUSN22-hbf22011-Weekday-02,1,34,14,22800,70200,13,37.4,24.5,19,21.7,13.8,58.8,1259.9604248407643313314,136,
137,BUSN22-hbf22011-Weekday-02,0,31,14,21600,70620,14,52.2,20.0,16,20.7,14.0,51.0,1476.2400160000000000000,137,
137,BUSN22-hbf22011-Weekday-02,1,31,14,21600,70620,14,52.0,18.4,15,20.3,14.0,50.0,1509.3068714285714286183,137,
354,BUSN22-hbf22011-Weekday-02,0,43,16,20100,73620,15,30.1,22.7,23,30.8,23.8,40.1,3203.9635782222222220764,354,
354,BUSN22-hbf22011-Weekday-02,1,43,16,20100,73620,15,39.2,28.8,20,28.9,22.8,37.0,3346.6824301388888889618,354,
411,BUSN22-hbf22011-Weekday-02,0,31,15,22320,72900,14,59.2,14.2,15,19.6,11.3,53.7,1131.0520696202531646068,411,
411,BUSN22-hbf22011-Weekday-02,1,31,15,22320,72900,14,52.6,17.0,16,18.0,11.5,50.8,1219.1986048933500626274,411,
430,BUSN22-hbf22011-Weekday-02,0,35,15,21300,70020,14,43.4,18.4,18,23.9,11.4,46.8,1308.5228522424242424143,430,
430,BUSN22-hbf22011-Weekday-02,1,35,15,21300,70020,14,47.1,16.3,17,22.5,12.6,52.8,1284.2863040909090910284,430,
94,BUSN22-hbf22011-Weekday-02,0,52,14,22980,70380,13,30.9,12.2,26,18.8,5.9,31.3,1020.6721097591888465411,94,
94,BUSN22-hbf22011-Weekday-02,1,52,14,22980,70380,13,29.8,12.3,26,15.1,6.2,34.0,998.1299121212121213712,94,
95,BUSN22-hbf22011-Weekday-02,0,71,15,19620,69720,14,23.6,7.7,35,22.7,7.6,38.7,1060.4781982549317148298,95,
95,BUSN22-hbf22011-Weekday-02,1,71,15,19620,69720,14,23.0,7.5,36,20.7,6.6,31.6,1137.5477549090909089716,95,
96,BUSN22-hbf22011-Weekday-02,0,50,13,21600,68280,13,30.4,13.1,25,15.1,6.6,33.0,1039.6053562500000000000,96,
96,BUSN22-hbf22011-Weekday-02,1,50,13,21600,68280,13,29.5,12.3,25,14.3,6.4,33.0,1031.7309562500000000000,96,
97,BUSN22-hbf22011-Weekday-02,0,38,14,22200,68700,13,40.5,14.2,19,16.1,6.5,23.0,1558.7434454545454544858,97,
97,BUSN22-hbf22011-Weekday-02,1,38,14,22200,68700,13,40.0,14.5,19,17.7,6.7,25.0,1479.5806208333333334427,97,
99,BUSN22-hbf22011-Weekday-02,0,50,14,21600,68580,13,31.6,10.4,24,20.4,9.7,41.0,1274.0615150000000000000,99,
99,BUSN22-hbf22011-Weekday-02,1,50,14,21600,68580,13,30.4,10.4,26,22.8,9.0,37.5,1290.6670013684210525107,99,
100,BUSN22-hbf22ns1-Weekday-02,0,59,14,22200,70200,13,26.6,8.3,30,21.2,4.7,18.7,1395.6922088679245282276,100,
100,BUSN22-hbf22ns1-Weekday-02,1,59,14,22200,70200,13,27.8,8.2,29,22.3,4.7,16.7,1586.8297473684210525107,100,
101,BUSN22-hbf22ns1-Weekday-02,0,4,3,25200,33360,2,,,1,22.3,8.2,42.0,1023.6880048780487804718,101,
101,BUSN22-hbf22ns1-Weekday-02,1,4,3,25200,33360,2,34.0,16.9,3,15.0,6.3,38.7,881.2766000000000000000,101,
105,BUSN22-hbf22ns1-Weekday-02,0,34,14,21600,70800,14,47.8,16.1,17,19.0,8.7,43.0,1092.3152071428571427634,105,
105,BUSN22-hbf22ns1-Weekday-02,1,34,14,21600,70800,14,47.1,17.2,17,16.7,8.2,42.0,1059.4108926829268292923,105,
106,BUSN22-hbf22ns1-Weekday-02,0,8,7,24000,64860,11,67.5,31.8,4,17.2,5.1,28.0,1000.0275342592592591985,106,
106,BUSN22-hbf22ns1-Weekday-02,1,8,7,24000,64860,11,36.6,9.0,4,19.6,4.9,27.0,995.8844538461538462548,106,
108,BUSN22-hbf22ns1-Weekday-02,0,7,4,26100,36420,3,33.0,4.2,3,20.1,7.3,38.3,1037.0567223214285713817,108,
108,BUSN22-hbf22ns1-Weekday-02,1,7,4,26100,36420,3,48.0,23.0,4,15.9,5.8,29.5,1068.2763315789473685592,108,
131,BUSN22-hbf22ns1-Weekday-02,0,48,14,21900,70320,13,28.3,16.1,24,21.9,7.0,34.2,1114.5927967336683417646,131,
131,BUSN22-hbf22ns1-Weekday-02,1,48,14,21900,70320,13,28.2,16.0,24,20.8,5.6,32.0,957.2112712751677853450,131,
132,BUSN22-hbf22ns1-Weekday-02,0,35,14,21600,69780,13,48.8,11.2,17,22.3,8.5,30.0,1540.4973827586206896778,132,
132,BUSN22-hbf22ns1-Weekday-02,1,35,14,21600,69780,13,44.1,15.7,18,20.0,8.5,31.0,1452.6736866666666665573,132,
134,BUSN22-hbf22ns1-Weekday-02,0,58,14,21000,68160,13,27.6,7.9,28,16.6,10.8,45.6,1274.5860812800000000000,134,
134,BUSN22-hbf22ns1-Weekday-02,1,58,14,21000,68160,13,22.0,10.6,36,19.2,10.6,42.5,1317.5054031847133756687,134,
136,BUSN22-hbf22ns1-Weekday-02,0,32,14,22800,70200,13,53.3,20.7,14,21.3,14.8,61.5,1295.0877860684769776748,136,
136,BUSN22-hbf22ns1-Weekday-02,1,32,14,22800,70200,13,39.7,25.7,18,21.8,14.0,59.8,1259.1833573182247401615,136,
137,BUSN22-hbf22ns1-Weekday-02,0,31,14,21600,70620,14,52.2,20.0,16,20.7,14.0,51.0,1476.2400160000000000000,137,
137,BUSN22-hbf22ns1-Weekday-02,1,31,14,21600,70620,14,52.0,18.4,15,20.3,14.0,50.0,1509.3068714285714286183,137,
354,BUSN22-hbf22ns1-Weekday-02,0,43,16,20100,73620,15,30.1,22.7,23,30.8,23.8,40.1,3203.9635782222222220764,354,
354,BUSN22-hbf22ns1-Weekday-02,1,43,16,20100,73620,15,39.2,28.8,20,28.9,22.8,37.0,3346.6824301388888889618,354,
411,BUSN22-hbf22ns1-Weekday-02,0,31,15,22320,72900,14,59.4,14.7,15,19.6,11.3,53.7,1131.0520696202531646068,411,
411,BUSN22-hbf22ns1-Weekday-02,1,31,15,22320,72900,14,52.6,17.0,16,18.0,11.5,50.8,1219.1986048933500626274,411,
430,BUSN22-hbf22ns1-Weekday-02,0,34,15,21300,70020,14,46.6,17.5,17,24.2,11.6,47.8,1312.2605059119496853757,430,
430,BUSN22-hbf22ns1-Weekday-02,1,34,15,21300,70020,14,47.1,16.3,17,22.5,12.6,52.8,1284.2863040909090910284,430,
94,BUSN22-hbf22ns1-Weekday-02,0,52,14,22980,70380,13,30.9,12.2,26,18.8,5.9,31.3,1020.6721097591888465411,94,
94,BUSN22-hbf22ns1-Weekday-02,1,52,14,22980,70380,13,29.8,12.3,26,15.1,6.2,34.0,998.1299121212121213712,94,
95,BUSN22-hbf22ns1-Weekday-02,0,67,15,19620,69720,14,25.1,7.5,33,23.1,7.9,40.0,1060.8815458850931677630,95,
95,BUSN22-hbf22ns1-Weekday-02,1,67,15,19620,69720,14,24.3,6.2,34,21.5,6.8,32.5,1136.6144456074766353699,95,
96,BUSN22-hbf22ns1-Weekday-02,0,50,13,21600,68280,13,30.4,13.2,25,15.1,6.6,33.0,1039.6053562500000000000,96,
96,BUSN22-hbf22ns1-Weekday-02,1,50,13,21600,68280,13,29.5,12.3,25,14.3,6.4,33.0,1031.7309562500000000000,96,
97,BUSN22-hbf22ns1-Weekday-02,0,38,14,22200,68700,13,40.5,14.2,19,16.1,6.5,23.0,1558.7434454545454544858,97,
97,BUSN22-hbf22ns1-Weekday-02,1,38,14,22200,68700,13,40.0,14.5,19,17.7,6.7,25.0,1479.5806208333333334427,97,
99,BUSN22-hbf22ns1-Weekday-02,0,50,14,21600,68580,13,31.6,10.3,24,20.2,9.7,41.0,1274.0615150000000000000,99,
99,BUSN22-hbf22ns1-Weekday-02,1,50,14,21600,68580,13,30.4,10.4,26,22.8,9.0,37.5,1290.6670013684210525107,99,
100,BUSN22-hbg22011-Weekday-02,0,17,8,18120,89640,20,54.0,12.0,8,25.7,4.8,19.0,1397.2685333333333334427,100,
