route_id,service_id,direction_id,numtripsperroute_both_dir,hours_of_service,first_departure_sec,last_departure_sec,span_of_service_hrs,route_avg_hdwy,route_stdev_hdwy,trips_per_day,average_speed,average_length_mi,w_avg_num_stops,avg_dist_bw_stops_ft,route_short_name,route_long_name
812_,LRV212-hlb22011-Weekday-01,0,297,21,18060,91860,21,7.7,2.2,150,12.3,8.7,25.0,1908.2979541666666665573,"",Green Line
812_,LRV212-hlb22011-Weekday-01,1,297,21,18060,91860,21,7.8,2.0,147,11.9,8.7,25.0,1912.7136333333333334427,"",Green Line
822_,LRV212-hlb22011-Weekday-01,1,3,3,23580,31080,2,41.0,24.0,3,11.5,7.7,23.0,1848.2618681818181817287,"",Green Line
830_,LRV212-hlb22011-Weekday-01,0,6,6,18060,76020,16,11.0,,3,16.8,8.9,24.0,2043.0787000000000000000,"",Green Line
830_,LRV212-hlb22011-Weekday-01,1,6,6,18060,76020,16,9.0,,3,14.4,8.9,24.0,2043.0216391304347825659,"",Green Line
831_,LRV212-hlb22011-Weekday-01,0,260,21,19200,90960,20,8.7,2.7,130,13.3,7.6,22.0,1910.6981619047619048244,"",Green Line
831_,LRV212-hlb22011-Weekday-01,1,260,21,19200,90960,20,8.7,2.5,130,12.2,7.6,22.0,1910.6200428571428572366,"",Green Line
840_,LRV212-hlb22011-Weekday-01,0,9,7,20760,73260,15,18.8,9.9,8,15.8,9.7,17.0,3169.0358750000000000000,"",Green Line
840_,LRV212-hlb22011-Weekday-01,1,9,7,20760,73260,15,,,1,19.3,9.7,17.0,3169.0153687500000000000,"",Green Line
842_,LRV212-hlb22011-Weekday-01,1,7,4,20100,60540,11,20.0,17.0,7,19.0,7.6,13.0,3358.7597000000000000000,"",Green Line
852_,LRV212-hlb22011-Weekday-01,0,286,22,17760,91380,20,8.1,3.0,143,23.2,16.1,20.0,4457.7565526315789474893,"",Green Line
852_,LRV212-hlb22011-Weekday-01,1,286,22,17760,91380,20,8.0,2.9,143,23.9,16.1,20.0,4459.0171473684210525107,"",Green Line
880_,LRV212-hlb22011-Weekday-01,0,304,21,18060,90780,20,7.9,2.6,149,14.6,7.1,20.0,1956.4948368421052632097,"",Green Line
880_,LRV212-hlb22011-Weekday-01,1,304,21,18060,90780,20,7.4,2.5,155,13.1,7.1,20.0,1956.4948368421052632097,"",Green Line
882_,LRV212-hlb22011-Weekday-01,0,7,6,21480,62160,11,20.8,17.6,7,12.7,5.1,16.0,1783.7047133333333334427,"",Green Line
810_,LRV212-hlb22016-Saturday-01,0,2,3,17100,22200,1,,,1,16.9,10.7,29.0,2008.0891785714285713817,"",Green Line
810_,LRV212-hlb22016-Saturday-01,1,2,3,17100,22200,1,,,1,16.5,10.7,29.0,2010.9952071428571427634,"",Green Line
812_,LRV212-hlb22016-Saturday-01,0,314,21,18000,91800,21,7.4,1.8,157,12.5,8.7,25.0,1908.2979541666666665573,"",Green Line
812_,LRV212-hlb22016-Saturday-01,1,314,21,18000,91800,21,7.3,1.5,157,14.0,8.7,25.0,1912.7136333333333334427,"",Green Line
830_,LRV212-hlb22016-Saturday-01,0,3,4,18300,36540,5,,,1,16.3,8.9,24.0,2043.0787000000000000000,"",Green Line
830_,LRV212-hlb22016-Saturday-01,1,3,4,18300,36540,5,,,2,15.1,8.9,24.0,2043.0216391304347825659,"",Green Line
831_,LRV212-hlb22016-Saturday-01,0,271,22,17400,91440,21,8.5,2.0,136,13.2,7.6,22.0,1910.6981619047619048244,"",Green Line
831_,LRV212-hlb22016-Saturday-01,1,271,22,17400,91440,21,8.6,2.3,135,13.5,7.6,22.0,1910.6200428571428572366,"",Green Line
852_,LRV212-hlb22016-Saturday-01,0,274,22,17700,91440,20,8.4,1.9,137,24.6,16.1,20.0,4457.7565526315789474893,"",Green Line
852_,LRV212-hlb22016-Saturday-01,1,274,22,17700,91440,20,8.4,1.7,137,25.7,16.1,20.0,4459.0171473684210525107,"",Green Line
880_,LRV212-hlb22016-Saturday-01,0,274,21,18060,90780,20,8.5,1.7,138,16.0,7.1,20.0,1956.4948368421052632097,"",Green Line
880_,LRV212-hlb22016-Saturday-01,1,274,21,18060,90780,20,8.5,1.7,136,15.3,7.1,20.0,1956.4948368421052632097,"",Green Line
881_,LRV212-hlb22016-Saturday-01,1,1,1,65640,67080,0,,,1,14.5,5.8,18.0,1783.1849000000000001351,"",Green Line
810_,LRV212-hlb22017-Sunday-01,0,2,2,19200,24660,2,,,1,14.9,10.7,29.0,2008.0891785714285713817,"",Green Line
810_,LRV212-hlb22017-Sunday-01,1,2,2,19200,24660,2,,,1,15.7,10.7,29.0,2010.9952071428571427634,"",Green Line
812_,LRV212-hlb22017-Sunday-01,0,254,21,19920,91620,20,8.9,1.6,127,13.6,8.7,25.0,1908.2979541666666665573,"",Green Line
812_,LRV212-hlb22017-Sunday-01,1,254,21,19920,91620,20,8.8,1.4,127,14.8,8.7,25.0,1912.7136333333333334427,"",Green Line
830_,LRV212-hlb22017-Sunday-01,0,2,2,20520,25140,1,,,1,14.5,8.9,24.0,2043.0787000000000000000,"",Green Line
830_,LRV212-hlb22017-Sunday-01,1,2,2,20520,25140,1,,,1,14.9,8.9,24.0,2043.0216391304347825659,"",Green Line
831_,LRV212-hlb22017-Sunday-01,0,232,21,19800,91260,20,9.7,1.6,116,13.4,7.6,22.0,1910.6981619047619048244,"",Green Line
831_,LRV212-hlb22017-Sunday-01,1,232,21,19800,91260,20,9.7,1.6,116,14.0,7.6,22.0,1910.6200428571428572366,"",Green Line
852_,LRV212-hlb22017-Sunday-01,0,228,21,19500,91320,20,9.9,1.5,114,24.8,16.1,20.0,4457.7565526315789474893,"",Green Line
852_,LRV212-hlb22017-Sunday-01,1,228,21,19500,91320,20,9.8,1.2,114,25.6,16.1,20.0,4459.0171473684210525107,"",Green Line
880_,LRV212-hlb22017-Sunday-01,0,235,21,20100,91020,20,9.7,1.7,118,14.3,7.1,20.0,1956.4948368421052632097,"",Green Line
880_,LRV212-hlb22017-Sunday-01,1,235,21,20100,91020,20,9.5,1.7,117,14.3,7.1,20.0,1956.4948368421052632097,"",Green Line
812_,LRV212-hlb22bk1-Weekday-01,0,297,21,18060,91860,21,7.7,2.2,150,12.3,8.7,25.0,1908.2979541666666665573,"",Green Line
812_,LRV212-hlb22bk1-Weekday-01,1,297,21,18060,91860,21,7.8,2.0,147,11.9,8.7,25.0,1912.7136333333333334427,"",Green Line
822_,LRV212-hlb22bk1-Weekday-01,1,3,3,23580,31080,2,41.0,24.0,3,11.5,7.7,23.0,1848.2618681818181817287,"",Green Line
830_,LRV212-hlb22bk1-Weekday-01,0,6,6,18060,76020,16,11.0,,3,16.8,8.9,24.0,2043.0787000000000000000,"",Green Line
830_,LRV212-hlb22bk1-Weekday-01,1,6,6,18060,76020,16,9.0,,3,14.4,8.9,24.0,2043.0216391304347825659,"",Green Line
831_,LRV212-hlb22bk1-Weekday-01,0,260,21,19200,90960,20,8.7,2.7,130,13.3,7.6,22.0,1910.6981619047619048244,"",Green Line
831_,LRV212-hlb22bk1-Weekday-01,1,260,21,19200,90960,20,8.7,2.5,130,12.2,7.6,22.0,1910.6200428571428572366,"",Green Line
840_,LRV212-hlb22bk1-Weekday-01,0,9,7,20760,73260,15,18.8,9.9,8,15.8,9.7,17.0,3169.0358750000000000000,"",Green Line
840_,LRV212-hlb22bk1-Weekday-01,1,9,7,20760,73260,15,,,1,19.3,9.7,17.0,3169.0153687500000000000,"",Green Line
842_,LRV212-hlb22bk1-Weekday-01,1,7,4,20100,60540,11,20.0,17.0,7,19.0,7.6,13.0,3358.7597000000000000000,"",Green Line
852_,LRV212-hlb22bk1-Weekday-01,0,286,22,17760,91380,20,8.1,3.0,143,23.2,16.1,20.0,4457.7565526315789474893,"",Green Line
852_,LRV212-hlb22bk1-Weekday-01,1,286,22,17760,91380,20,8.0,2.9,143,23.9,16.1,20.0,4459.0171473684210525107,"",Green Line
880_,LRV212-hlb22bk1-Weekday-01,0,304,21,18060,90780,20,7.9,2.6,149,14.6,7.1,20.0,1956.4948368421052632097,"",Green Line
880_,LRV212-hlb22bk1-Weekday-01,1,304,21,18060,90780,20,7.4,2.5,155,13.1,7.1,20.0,1956.4948368421052632097,"",Green Line
882_,LRV212-hlb22bk1-Weekday-01,0,7,6,21480,62160,11,20.8,17.6,7,12.7,5.1,16.0,1783.7047133333333334427,"",Green Line
899_,LRV212-hlm22011-Weekday-01,0,326,21,18300,90840,20,7.3,3.1,163,24.0,3.4,8.0,2578.5847714285714286183,"",Mattapan High-Speed Line
899_,LRV212-hlm22011-Weekday-01,1,326,21,18300,90840,20,7.3,3.1,163,25.0,3.4,8.0,2575.5850000000000000000,"",Mattapan High-Speed Line
899_,LRV212-hlm22016-Saturday-01,0,204,21,18300,90780,20,11.7,1.8,102,25.6,3.4,8.0,2578.5847714285714286183,"",Mattapan High-Speed Line
899_,LRV212-hlm22016-Saturday-01,1,204,21,18300,90780,20,11.7,1.5,102,23.9,3.4,8.0,2575.5850000000000000000,"",Mattapan High-Speed Line
899_,LRV212-hlm22017-Sunday-01,0,164,21,21060,90780,19,14.1,2.5,82,27.6,3.4,8.0,2578.5847714285714286183,"",Mattapan High-Speed Line
899_,LRV212-hlm22017-Sunday-01,1,164,21,21060,90780,19,14.0,2.4,82,27.6,3.4,8.0,2575.5850000000000000000,"",Mattapan High-Speed Line
899_,LRV212-hlm22bk1-Weekday-01,0,326,21,18300,90840,20,7.3,3.1,163,24.0,3.4,8.0,2578.5847714285714286183,"",Mattapan High-Speed Line
899_,LRV212-hlm22bk1-Weekday-01,1,326,21,18300,90840,20,7.3,3.1,163,25.0,3.4,8.0,2575.5850000000000000000,"",Mattapan High-Speed Line
812_,LRV312-hlb32011-Weekday-01,0,293,21,18060,91860,21,7.8,2.2,148,12.3,8.7,25.0,1908.2979541666666665573,"",Green Line
812_,LRV312-hlb32011-Weekday-01,1,293,21,18060,91860,21,7.9,2.0,145,11.9,8.7,25.0,1912.7136333333333334427,"",Green Line
822_,LRV312-hlb32011-Weekday-01,1,3,3,23580,31080,2,41.0,24.0,3,11.5,7.7,23.0,1848.2618681818181817287,"",Green Line
830_,LRV312-hlb32011-Weekday-01,0,6,6,18060,76020,16,11.0,,3,16.8,8.9,24.0,2043.0787000000000000000,"",Green Line
830_,LRV312-hlb32011-Weekday-01,1,6,6,18060,76020,16,9.0,,3,14.4,8.9,24.0,2043.0216391304347825659,"",Green Line
831_,LRV312-hlb32011-Weekday-01,0,260,21,19200,90960,20,8.7,2.7,130,13.3,7.6,22.0,1910.6981619047619048244,"",Green Line
831_,LRV312-hlb32011-Weekday-01,1,260,21,19200,90960,20,8.7,2.5,130,12.2,7.6,22.0,1910.6200428571428572366,"",Green Line
840_,LRV312-hlb32011-Weekday-01,0,11,10,20760,73260,15,18.8,9.9,8,15.8,9.7,17.0,3169.0358750000000000000,"",Green Line
840_,LRV312-hlb32011-Weekday-01,1,11,10,20760,73260,15,59.0,,3,16.9,9.7,17.0,3169.0153687500000000000,"",Green Line
842_,LRV312-hlb32011-Weekday-01,1,5,2,20100,24480,1,12.5,3.3,5,20.0,7.6,13.0,3358.7597000000000000000,"",Green Line
852_,LRV312-hlb32011-Weekday-01,0,286,22,17760,91380,20,8.1,3.0,143,23.2,16.1,20.0,4457.7565526315789474893,"",Green Line
852_,LRV312-hlb32011-Weekday-01,1,286,22,17760,91380,20,8.0,2.9,143,23.9,16.1,20.0,4459.0171473684210525107,"",Green Line
880_,LRV312-hlb32011-Weekday-01,0,306,21,18060,90780,20,7.8,2.6,151,14.6,7.1,20.0,1956.4948368421052632097,"",Green Line
880_,LRV312-hlb32011-Weekday-01,1,306,21,18060,90780,20,7.4,2.5,155,13.1,7.1,20.0,1956.4948368421052632097,"",Green Line
882_,LRV312-hlb32011-Weekday-01,0,5,3,21480,26100,1,13.0,3.1,5,12.7,5.1,16.0,1783.7047133333333334427,"",Green Line
810_,LRV312-hlb32017-Sunday-01,0,2,2,19200,24660,2,,,1,14.9,10.7,29.0,2008.0891785714285713817,"",Green Line
810_,LRV312-hlb32017-Sunday-01,1,2,2,19200,24660,2,,,1,15.7,10.7,29.0,2010.9952071428571427634,"",Green Line
812_,LRV312-hlb32017-Sunday-01,0,254,21,19920,91620,20,8.9,1.6,127,13.6,8.7,25.0,1908.2979541666666665573,"",Green Line
812_,LRV312-hlb32017-Sunday-01,1,254,21,19920,91620,20,8.8,1.4,127,14.8,8.7,25.0,1912.7136333333333334427,"",Green Line
830_,LRV312-hlb32017-Sunday-01,0,2,2,20520,25140,1,,,1,14.5,8.9,24.0,2043.0787000000000000000,"",Green Line
830_,LRV312-hlb32017-Sunday-01,1,2,2,20520,25140,1,,,1,14.9,8.9,24.0,2043.0216391304347825659,"",Green Line
831_,LRV312-hlb32017-Sunday-01,0,232,21,19800,91260,20,9.7,1.6,116,13.4,7.6,22.0,1910.6981619047619048244,"",Green Line
831_,LRV312-hlb32017-Sunday-01,1,232,21,19800,91260,20,9.7,1.6,116,14.0,7.6,22.0,1910.6200428571428572366,"",Green Line
852_,LRV312-hlb32017-Sunday-01,0,228,21,19500,91320,20,9.9,1.5,114,24.8,16.1,20.0,4457.7565526315789474893,"",Green Line
852_,LRV312-hlb32017-Sunday-01,1,228,21,19500,91320,20,9.8,1.2,114,25.6,16.1,20.0,4459.0171473684210525107,"",Green Line
870_,LRV312-hlb32017-Sunday-01,0,211,21,20100,90780,20,10.8,1.1,106,14.3,6.2,15.0,2317.6046571428571427634,"",Green Line
870_,LRV312-hlb32017-Sunday-01,1,211,21,20100,90780,20,10.6,0.9,105,14.3,6.2,15.0,2317.6046571428571427634,"",Green Line
