stop_id,service_id,direction_id,numroutes,TripsServingStop,stop_name,stop_lat,stop_lon
70106,LRV212-hlb22011-Weekday-01,1,1,147,Boston College Station - Inbound,42.340081,-71.166769
70107,LRV212-hlb22011-Weekday-01,0,1,150,Boston College Station - Green Line,42.340081,-71.166769
70110,LRV212-hlb22011-Weekday-01,1,1,147,South St - Inbound,42.3396,-71.157661
70111,LRV212-hlb22011-Weekday-01,0,1,150,South St -  Outbound,42.3396,-71.157661
70112,LRV212-hlb22011-Weekday-01,1,2,150,Chestnut Hill Ave - Inbound,42.338169,-71.15316
70113,LRV212-hlb22011-Weekday-01,0,1,150,Chestnut Hill Ave - Outbound,42.338169,-71.15316
70114,LRV212-hlb22011-Weekday-01,1,2,150,Chiswick Rd - Inbound,42.340805,-71.150711
70115,LRV212-hlb22011-Weekday-01,0,1,150,Chiswick Rd - Green Line B Outbound,42.340805,-71.150711
70116,LRV212-hlb22011-Weekday-01,1,2,150,Sutherland Rd - Inbound,42.341614,-71.146202
70117,LRV212-hlb22011-Weekday-01,0,1,150,Sutherland Rd - Outbound,42.341614,-71.146202
70120,LRV212-hlb22011-Weekday-01,1,2,150,Washington St - Inbound,42.343864,-71.142853
70121,LRV212-hlb22011-Weekday-01,0,1,150,Washington St - Outbound,42.343864,-71.142853
70124,LRV212-hlb22011-Weekday-01,1,2,150,Warren St - Inbound,42.348343,-71.140457
70125,LRV212-hlb22011-Weekday-01,0,1,150,Warren St - Outbound,42.348343,-71.140457
70126,LRV212-hlb22011-Weekday-01,1,2,150,Allston St - Inbound,42.348701,-71.137955
70127,LRV212-hlb22011-Weekday-01,0,1,150,Allston St - Outbound,42.348701,-71.137955
70128,LRV212-hlb22011-Weekday-01,1,2,150,Griggs St - Inbound,42.348545,-71.134949
70129,LRV212-hlb22011-Weekday-01,0,1,150,Griggs St - Outbound,42.348545,-71.134949
70130,LRV212-hlb22011-Weekday-01,1,2,150,Harvard Ave - Inbound,42.350243,-71.131355
70131,LRV212-hlb22011-Weekday-01,0,1,150,Harvard Ave - Westbound,42.350243,-71.131355
70134,LRV212-hlb22011-Weekday-01,1,2,150,Packards Corner - Inbound,42.351967,-71.125031
70135,LRV212-hlb22011-Weekday-01,0,1,150,Packards Corner - Outbound,42.351967,-71.125031
70136,LRV212-hlb22011-Weekday-01,1,2,150,Babcock St - Inbound,42.35182,-71.12165
70137,LRV212-hlb22011-Weekday-01,0,1,150,Babcock St - Outbound,42.35182,-71.12165
70138,LRV212-hlb22011-Weekday-01,1,2,150,Pleasant St - Inbound,42.351521,-71.118889
70139,LRV212-hlb22011-Weekday-01,0,1,150,Pleasant St - Outbound,42.351521,-71.118889
70140,LRV212-hlb22011-Weekday-01,1,2,150,Saint Paul St - Inbound,42.3512,-71.116104
70141,LRV212-hlb22011-Weekday-01,0,1,150,Saint Paul St - Outbound,42.3512,-71.116104
70142,LRV212-hlb22011-Weekday-01,1,2,150,Boston Univ West - Inbound,42.350941,-71.113876
70143,LRV212-hlb22011-Weekday-01,0,1,150,Boston Univ West - Green Line B Outbound,42.350941,-71.113876
70144,LRV212-hlb22011-Weekday-01,1,2,150,Boston Univ Central - Inbound,42.350082,-71.106865
70145,LRV212-hlb22011-Weekday-01,0,1,150,Boston Univ Central - Outbound,42.350082,-71.106865
70146,LRV212-hlb22011-Weekday-01,1,2,150,Boston Univ East - Inbound,42.349735,-71.103889
70147,LRV212-hlb22011-Weekday-01,0,1,150,Boston Univ East - Outbound,42.349735,-71.103889
70148,LRV212-hlb22011-Weekday-01,1,2,150,Blanford St - Inbound,42.349293,-71.100258
70149,LRV212-hlb22011-Weekday-01,0,1,150,Blandford St - Outbound,42.349293,-71.100258
70150,LRV212-hlb22011-Weekday-01,1,7,434,Kenmore Station - Inbound,42.348949,-71.095169
70151,LRV212-hlb22011-Weekday-01,0,5,434,Kenmore Station - Outbound,42.348949,-71.095169
70152,LRV212-hlb22011-Weekday-01,1,7,434,Hynes Station - Inbound,42.347888,-71.087903
70153,LRV212-hlb22011-Weekday-01,0,5,434,Hynes Station - Outbound,42.347888,-71.087903
70154,LRV212-hlb22011-Weekday-01,1,8,589,Copley Station - Inbound,42.349974,-71.077447
70155,LRV212-hlb22011-Weekday-01,0,7,590,Copley Station - Outbound,42.349974,-71.077447
70156,LRV212-hlb22011-Weekday-01,1,8,589,Arlington Station - Inbound,42.351902,-71.070893
70157,LRV212-hlb22011-Weekday-01,0,7,590,Arlington Station - Outbound,42.351902,-71.070893
70158,LRV212-hlb22011-Weekday-01,1,8,589,Boylston Station - Inbound,42.35302,-71.06459
70159,LRV212-hlb22011-Weekday-01,0,7,590,Boylston Station - Outbound,42.35302,-71.06459
70160,LRV212-hlb22011-Weekday-01,1,1,143,Riverside Station - Inbound,42.337059,-71.251742
70161,LRV212-hlb22011-Weekday-01,0,1,143,Riverside Station - Green Line,42.337059,-71.251742
70162,LRV212-hlb22011-Weekday-01,1,1,143,Woodland Station - Inbound,42.333374,-71.244301
70163,LRV212-hlb22011-Weekday-01,0,1,143,Woodland Station - Outbound,42.333374,-71.244301
70164,LRV212-hlb22011-Weekday-01,1,1,143,Waban Station - Inbound,42.325943,-71.230728
70165,LRV212-hlb22011-Weekday-01,0,1,143,Waban Station - Outbound,42.325943,-71.230728
70166,LRV212-hlb22011-Weekday-01,1,1,143,Eliot Station - Inbound,42.319023,-71.216713
70167,LRV212-hlb22011-Weekday-01,0,1,143,Eliot Station - Outbound,42.319023,-71.216713
70168,LRV212-hlb22011-Weekday-01,1,1,143,Newton Highlands Station - Inbound,42.321735,-71.206116
70169,LRV212-hlb22011-Weekday-01,0,1,143,Newton Highlands Station - Outbound,42.321735,-71.206116
70170,LRV212-hlb22011-Weekday-01,1,1,143,Newton Centre Station - Inbound,42.329391,-71.192429
70171,LRV212-hlb22011-Weekday-01,0,1,143,Newton Centre Station - Outbound,42.329391,-71.192429
70172,LRV212-hlb22011-Weekday-01,1,1,143,Chestnut Hill Station - Inbound,42.326653,-71.165314
70173,LRV212-hlb22011-Weekday-01,0,1,143,Chestnut Hill Station - Outbound,42.326653,-71.165314
70174,LRV212-hlb22011-Weekday-01,1,3,151,Reservoir Station - Inbound,42.335027,-71.148952
70175,LRV212-hlb22011-Weekday-01,0,2,151,Reservoir Station - Outbound,42.335027,-71.148952
70176,LRV212-hlb22011-Weekday-01,1,3,151,Beaconsfield Station - Inbound,42.335846,-71.140823
70177,LRV212-hlb22011-Weekday-01,0,2,151,Beaconsfield Station - Outbound,42.335846,-71.140823
70178,LRV212-hlb22011-Weekday-01,1,3,151,Brookline Hills Station - Inbound,42.331333,-71.126999
70179,LRV212-hlb22011-Weekday-01,0,2,151,Brookline Hills Station - Outbound,42.331333,-71.126999
70180,LRV212-hlb22011-Weekday-01,1,3,151,Brookline Village Station - Inbound,42.332774,-71.116296
70181,LRV212-hlb22011-Weekday-01,0,2,151,Brookline Village Station - Outbound,42.332774,-71.116296
70182,LRV212-hlb22011-Weekday-01,1,3,151,Longwood Station - Inbound,42.341145,-71.110451
70183,LRV212-hlb22011-Weekday-01,0,2,151,Longwood Station - Outbound,42.341145,-71.110451
70186,LRV212-hlb22011-Weekday-01,1,3,151,Fenway Station - Inbound,42.345394,-71.104187
70187,LRV212-hlb22011-Weekday-01,0,2,151,Fenway Station - Outbound,42.345394,-71.104187
70196,LRV212-hlb22011-Weekday-01,0,1,150,Park St Station - Green Line - B Berth,42.356395,-71.062424
70197,LRV212-hlb22011-Weekday-01,0,2,133,Park St Station - Green Line - C Branch Berth,42.356395,-71.062424
70198,LRV212-hlb22011-Weekday-01,0,2,151,Park St Station - Green Line - D Branch Berth,42.356395,-71.062424
70199,LRV212-hlb22011-Weekday-01,0,2,156,Park St Station - Green Line - E Line Berth,42.356395,-71.062424
70200,LRV212-hlb22011-Weekday-01,1,8,589,Park St Station - Green Line Eastbound,42.356395,-71.062424
70201,LRV212-hlb22011-Weekday-01,1,8,589,Government Center Station - Green Line Eastbound,42.359705,-71.059215
70202,LRV212-hlb22011-Weekday-01,0,7,590,Government Center Station - Green Line Westbound,42.359705,-71.059215
70203,LRV212-hlb22011-Weekday-01,1,4,289,Haymarket - Green Line Outbound,42.363021,-71.05829
70204,LRV212-hlb22011-Weekday-01,0,4,290,Haymarket - Green Line Inbound,42.363021,-71.05829
70205,LRV212-hlb22011-Weekday-01,1,4,289,North Station - Green Line Outbound,42.365577,-71.06129
70206,LRV212-hlb22011-Weekday-01,0,4,290,North Station - Green Line Inbound,42.365577,-71.06129
70207,LRV212-hlb22011-Weekday-01,1,3,159,Science Park - Green Line Outbound,42.366664,-71.067666
70208,LRV212-hlb22011-Weekday-01,0,3,160,Science Park - Green Line Inbound,42.366664,-71.067666
70209,LRV212-hlb22011-Weekday-01,1,3,159,Lechmere - Green Line,42.370772,-71.076536
70210,LRV212-hlb22011-Weekday-01,0,3,160,Lechmere - Green Line Inbound,42.370772,-71.076536
70211,LRV212-hlb22011-Weekday-01,0,2,133,Saint Mary St - Outbound,42.345974,-71.107353
