route_id,stop_id,service_id,direction_id,avghdwy,stdev_hdwy,stop_name,stop_lat,stop_lon,route_short_name,route_long_name
812_,70106,LRV212-hlb22011-Weekday-01,1,7.8,2.0,Boston College Station - Inbound,42.340081,-71.166769,"",Green Line
812_,70107,LRV212-hlb22011-Weekday-01,0,7.7,2.2,Boston College Station - Green Line,42.340081,-71.166769,"",Green Line
812_,70110,LRV212-hlb22011-Weekday-01,1,7.8,2.0,South St - Inbound,42.3396,-71.157661,"",Green Line
812_,70111,LRV212-hlb22011-Weekday-01,0,7.7,2.2,South St -  Outbound,42.3396,-71.157661,"",Green Line
812_,70112,LRV212-hlb22011-Weekday-01,1,7.8,2.0,Chestnut Hill Ave - Inbound,42.338169,-71.15316,"",Green Line
822_,70112,LRV212-hlb22011-Weekday-01,1,41.0,24.0,Chestnut Hill Ave - Inbound,42.338169,-71.15316,"",Green Line
812_,70113,LRV212-hlb22011-Weekday-01,0,7.7,2.2,Chestnut Hill Ave - Outbound,42.338169,-71.15316,"",Green Line
812_,70114,LRV212-hlb22011-Weekday-01,1,7.8,2.0,Chiswick Rd - Inbound,42.340805,-71.150711,"",Green Line
822_,70114,LRV212-hlb22011-Weekday-01,1,41.5,23.3,Chiswick Rd - Inbound,42.340805,-71.150711,"",Green Line
812_,70115,LRV212-hlb22011-Weekday-01,0,7.7,2.2,Chiswick Rd - Green Line B Outbound,42.340805,-71.150711,"",Green Line
812_,70116,LRV212-hlb22011-Weekday-01,1,7.8,2.1,Sutherland Rd - Inbound,42.341614,-71.146202,"",Green Line
822_,70116,LRV212-hlb22011-Weekday-01,1,41.5,24.7,Sutherland Rd - Inbound,42.341614,-71.146202,"",Green Line
812_,70117,LRV212-hlb22011-Weekday-01,0,7.7,2.2,Sutherland Rd - Outbound,42.341614,-71.146202,"",Green Line
812_,70120,LRV212-hlb22011-Weekday-01,1,7.8,2.0,Washington St - Inbound,42.343864,-71.142853,"",Green Line
822_,70120,LRV212-hlb22011-Weekday-01,1,41.5,23.3,Washington St - Inbound,42.343864,-71.142853,"",Green Line
812_,70121,LRV212-hlb22011-Weekday-01,0,7.7,2.1,Washington St - Outbound,42.343864,-71.142853,"",Green Line
812_,70124,LRV212-hlb22011-Weekday-01,1,7.8,2.1,Warren St - Inbound,42.348343,-71.140457,"",Green Line
822_,70124,LRV212-hlb22011-Weekday-01,1,42.0,22.6,Warren St - Inbound,42.348343,-71.140457,"",Green Line
812_,70125,LRV212-hlb22011-Weekday-01,0,7.7,2.1,Warren St - Outbound,42.348343,-71.140457,"",Green Line
812_,70126,LRV212-hlb22011-Weekday-01,1,7.8,2.1,Allston St - Inbound,42.348701,-71.137955,"",Green Line
822_,70126,LRV212-hlb22011-Weekday-01,1,42.0,22.6,Allston St - Inbound,42.348701,-71.137955,"",Green Line
812_,70127,LRV212-hlb22011-Weekday-01,0,7.7,2.1,Allston St - Outbound,42.348701,-71.137955,"",Green Line
812_,70128,LRV212-hlb22011-Weekday-01,1,7.8,2.1,Griggs St - Inbound,42.348545,-71.134949,"",Green Line
822_,70128,LRV212-hlb22011-Weekday-01,1,42.5,23.3,Griggs St - Inbound,42.348545,-71.134949,"",Green Line
812_,70129,LRV212-hlb22011-Weekday-01,0,7.7,2.1,Griggs St - Outbound,42.348545,-71.134949,"",Green Line
812_,70130,LRV212-hlb22011-Weekday-01,1,7.8,2.1,Harvard Ave - Inbound,42.350243,-71.131355,"",Green Line
822_,70130,LRV212-hlb22011-Weekday-01,1,42.5,23.3,Harvard Ave - Inbound,42.350243,-71.131355,"",Green Line
812_,70131,LRV212-hlb22011-Weekday-01,0,7.7,2.1,Harvard Ave - Westbound,42.350243,-71.131355,"",Green Line
812_,70134,LRV212-hlb22011-Weekday-01,1,7.8,2.1,Packards Corner - Inbound,42.351967,-71.125031,"",Green Line
822_,70134,LRV212-hlb22011-Weekday-01,1,43.0,22.6,Packards Corner - Inbound,42.351967,-71.125031,"",Green Line
812_,70135,LRV212-hlb22011-Weekday-01,0,7.7,2.1,Packards Corner - Outbound,42.351967,-71.125031,"",Green Line
812_,70136,LRV212-hlb22011-Weekday-01,1,7.8,2.1,Babcock St - Inbound,42.35182,-71.12165,"",Green Line
822_,70136,LRV212-hlb22011-Weekday-01,1,43.0,22.6,Babcock St - Inbound,42.35182,-71.12165,"",Green Line
812_,70137,LRV212-hlb22011-Weekday-01,0,7.7,2.1,Babcock St - Outbound,42.35182,-71.12165,"",Green Line
812_,70138,LRV212-hlb22011-Weekday-01,1,7.8,2.1,Pleasant St - Inbound,42.351521,-71.118889,"",Green Line
822_,70138,LRV212-hlb22011-Weekday-01,1,43.5,21.9,Pleasant St - Inbound,42.351521,-71.118889,"",Green Line
812_,70139,LRV212-hlb22011-Weekday-01,0,7.7,2.1,Pleasant St - Outbound,42.351521,-71.118889,"",Green Line
812_,70140,LRV212-hlb22011-Weekday-01,1,7.8,2.1,Saint Paul St - Inbound,42.3512,-71.116104,"",Green Line
822_,70140,LRV212-hlb22011-Weekday-01,1,43.5,21.9,Saint Paul St - Inbound,42.3512,-71.116104,"",Green Line
