stop_id,service_id,direction_id,numroutes,TripsServingStop,stop_name,stop_lat,stop_lon
Abington,CR-SatSuspended,0,1,8,Abington,42.108034,-70.935296
Abington,CR-SatSuspended,1,1,8,Abington,42.108034,-70.935296
Abington,CR-SunSuspended,0,1,8,Abington,42.108034,-70.935296
Abington,CR-SunSuspended,1,1,8,Abington,42.108034,-70.935296
Abington,CR-Weekday,0,1,12,Abington,42.108034,-70.935296
Abington,CR-Weekday,1,1,12,Abington,42.108034,-70.935296
Anderson/ Woburn,CR-Saturday,0,1,8,Anderson/ Woburn,42.518082,-71.13865
Anderson/ Woburn,CR-Saturday,1,1,8,Anderson/ Woburn,42.518082,-71.13865
Anderson/ Woburn,CR-Sunday,0,1,8,Anderson/ Woburn,42.518082,-71.13865
Anderson/ Woburn,CR-Sunday,1,1,8,Anderson/ Woburn,42.518082,-71.13865
Anderson/ Woburn,CR-Weekday,0,2,27,Anderson/ Woburn,42.518082,-71.13865
Anderson/ Woburn,CR-Weekday,1,2,30,Anderson/ Woburn,42.518082,-71.13865
Andover,CR-Saturday,0,1,6,Andover,42.657798,-71.144513
Andover,CR-Saturday,1,1,6,Andover,42.657798,-71.144513
Andover,CR-Sunday,0,1,6,Andover,42.657798,-71.144513
Andover,CR-Sunday,1,1,6,Andover,42.657798,-71.144513
Andover,CR-Weekday,0,1,14,Andover,42.657798,-71.144513
Andover,CR-Weekday,1,1,14,Andover,42.657798,-71.144513
Ashland,CR-Saturday,0,1,5,Ashland,42.261694,-71.478813
Ashland,CR-Saturday,1,1,5,Ashland,42.261694,-71.478813
Ashland,CR-Sunday,0,1,5,Ashland,42.261694,-71.478813
Ashland,CR-Sunday,1,1,5,Ashland,42.261694,-71.478813
Ashland,CR-Weekday,0,1,11,Ashland,42.261694,-71.478813
Ashland,CR-Weekday,1,1,13,Ashland,42.261694,-71.478813
Attleboro,CR-Saturday,0,1,9,Attleboro,41.942097,-71.284897
Attleboro,CR-Saturday,1,1,9,Attleboro,41.942097,-71.284897
Attleboro,CR-Sunday,0,1,7,Attleboro,41.942097,-71.284897
Attleboro,CR-Sunday,1,1,7,Attleboro,41.942097,-71.284897
Attleboro,CR-Weekday,0,1,17,Attleboro,41.942097,-71.284897
Attleboro,CR-Weekday,1,1,17,Attleboro,41.942097,-71.284897
Auburndale,CR-Saturday,0,1,9,Auburndale,42.346087,-71.246658
Auburndale,CR-Saturday,1,1,9,Auburndale,42.346087,-71.246658
Auburndale,CR-Sunday,0,1,8,Auburndale,42.346087,-71.246658
Auburndale,CR-Sunday,1,1,8,Auburndale,42.346087,-71.246658
Auburndale,CR-Weekday,0,1,11,Auburndale,42.346087,-71.246658
Auburndale,CR-Weekday,1,1,9,Auburndale,42.346087,-71.246658
Ayer,CR-Saturday,0,1,6,Ayer,42.560047,-71.590117
Ayer,CR-Saturday,1,1,6,Ayer,42.560047,-71.590117
Ayer,CR-Sunday,0,1,6,Ayer,42.560047,-71.590117
Ayer,CR-Sunday,1,1,6,Ayer,42.560047,-71.590117
Ayer,CR-Weekday,0,1,13,Ayer,42.560047,-71.590117
Ayer,CR-Weekday,1,1,13,Ayer,42.560047,-71.590117
Back Bay,CR-SatSuspended,0,1,9,Back Bay,42.347158,-71.075769
Back Bay,CR-SatSuspended,1,1,8,Back Bay,42.347158,-71.075769
Back Bay,CR-Saturday,0,3,27,Back Bay,42.347158,-71.075769
Back Bay,CR-Saturday,1,3,27,Back Bay,42.347158,-71.075769
Back Bay,CR-Sunday,0,3,22,Back Bay,42.347158,-71.075769
Back Bay,CR-Sunday,1,3,22,Back Bay,42.347158,-71.075769
Back Bay,CR-Weekday,0,4,84,Back Bay,42.347158,-71.075769
Back Bay,CR-Weekday,1,4,86,Back Bay,42.347158,-71.075769
Ballardvale,CR-Saturday,0,1,6,Ballardvale,42.626449,-71.159653
Ballardvale,CR-Saturday,1,1,6,Ballardvale,42.626449,-71.159653
Ballardvale,CR-Sunday,0,1,6,Ballardvale,42.626449,-71.159653
Ballardvale,CR-Sunday,1,1,6,Ballardvale,42.626449,-71.159653
Ballardvale,CR-Weekday,0,1,14,Ballardvale,42.626449,-71.159653
Ballardvale,CR-Weekday,1,1,14,Ballardvale,42.626449,-71.159653
Bellevue,CR-SatSuspended,0,1,9,Bellevue,42.287138,-71.14606
Bellevue,CR-SatSuspended,1,1,8,Bellevue,42.287138,-71.14606
Bellevue,CR-Weekday,0,1,15,Bellevue,42.287138,-71.14606
Bellevue,CR-Weekday,1,1,14,Bellevue,42.287138,-71.14606
Belmont,CR-Saturday,0,1,8,Belmont,42.395896,-71.17619
Belmont,CR-Saturday,1,1,8,Belmont,42.395896,-71.17619
Belmont,CR-Sunday,0,1,8,Belmont,42.395896,-71.17619
Belmont,CR-Sunday,1,1,8,Belmont,42.395896,-71.17619
Belmont,CR-Weekday,0,1,13,Belmont,42.395896,-71.17619
Belmont,CR-Weekday,1,1,13,Belmont,42.395896,-71.17619
Beverly,CR-Saturday,0,1,13,Beverly,42.546907,-70.885168
Beverly,CR-Saturday,1,1,13,Beverly,42.546907,-70.885168
Beverly,CR-Sunday,0,1,13,Beverly,42.546907,-70.885168
Beverly,CR-Sunday,1,1,13,Beverly,42.546907,-70.885168
Beverly,CR-Weekday,0,1,30,Beverly,42.546907,-70.885168
Beverly,CR-Weekday,1,1,31,Beverly,42.546907,-70.885168
Beverly Farms,CR-Saturday,0,1,7,Beverly Farms,42.561403,-70.812745
Beverly Farms,CR-Saturday,1,1,7,Beverly Farms,42.561403,-70.812745
Beverly Farms,CR-Sunday,0,1,7,Beverly Farms,42.561403,-70.812745
Beverly Farms,CR-Sunday,1,1,7,Beverly Farms,42.561403,-70.812745
Beverly Farms,CR-Weekday,0,1,13,Beverly Farms,42.561403,-70.812745
Beverly Farms,CR-Weekday,1,1,12,Beverly Farms,42.561403,-70.812745
Bradford,CR-Saturday,0,1,6,Bradford,42.768899,-71.085998
Bradford,CR-Saturday,1,1,6,Bradford,42.768899,-71.085998
Bradford,CR-Sunday,0,1,6,Bradford,42.768899,-71.085998
Bradford,CR-Sunday,1,1,6,Bradford,42.768899,-71.085998
Bradford,CR-Weekday,0,1,13,Bradford,42.768899,-71.085998
Bradford,CR-Weekday,1,1,13,Bradford,42.768899,-71.085998
Braintree,CR-SatSuspended,0,1,8,Braintree,42.20855,-71.00085
Braintree,CR-SatSuspended,1,1,8,Braintree,42.20855,-71.00085
Braintree,CR-Saturday,0,1,4,Braintree,42.20855,-71.00085
Braintree,CR-Saturday,1,1,3,Braintree,42.20855,-71.00085
Braintree,CR-Sunday,0,1,4,Braintree,42.20855,-71.00085
Braintree,CR-Sunday,1,1,3,Braintree,42.20855,-71.00085
Braintree,CR-SunSuspended,0,1,8,Braintree,42.20855,-71.00085
Braintree,CR-SunSuspended,1,1,8,Braintree,42.20855,-71.00085
Braintree,CR-Weekday,0,2,14,Braintree,42.20855,-71.00085
Braintree,CR-Weekday,1,2,18,Braintree,42.20855,-71.00085
Brandeis/ Roberts,CR-Saturday,0,1,8,Brandeis/ Roberts,42.361728,-71.260854
Brandeis/ Roberts,CR-Saturday,1,1,8,Brandeis/ Roberts,42.361728,-71.260854
Brandeis/ Roberts,CR-Sunday,0,1,8,Brandeis/ Roberts,42.361728,-71.260854
Brandeis/ Roberts,CR-Sunday,1,1,8,Brandeis/ Roberts,42.361728,-71.260854
Brandeis/ Roberts,CR-Weekday,0,1,15,Brandeis/ Roberts,42.361728,-71.260854
Brandeis/ Roberts,CR-Weekday,1,1,15,Brandeis/ Roberts,42.361728,-71.260854
Bridgewater,CR-Saturday,0,1,8,Bridgewater,41.986355,-70.966625
Bridgewater,CR-Saturday,1,1,8,Bridgewater,41.986355,-70.966625
Bridgewater,CR-Sunday,0,1,8,Bridgewater,41.986355,-70.966625
Bridgewater,CR-Sunday,1,1,8,Bridgewater,41.986355,-70.966625
Bridgewater,CR-Weekday,0,1,12,Bridgewater,41.986355,-70.966625
Bridgewater,CR-Weekday,1,1,12,Bridgewater,41.986355,-70.966625
Brockton,CR-Saturday,0,1,8,Brockton,42.08572,-71.01686
Brockton,CR-Saturday,1,1,8,Brockton,42.08572,-71.01686
Brockton,CR-Sunday,0,1,8,Brockton,42.08572,-71.01686
Brockton,CR-Sunday,1,1,8,Brockton,42.08572,-71.01686
Brockton,CR-Weekday,0,1,12,Brockton,42.08572,-71.01686
Brockton,CR-Weekday,1,1,12,Brockton,42.08572,-71.01686
Campello,CR-Saturday,0,1,8,Campello,42.060038,-71.01246
Campello,CR-Saturday,1,1,8,Campello,42.060038,-71.01246
Campello,CR-Sunday,0,1,8,Campello,42.060038,-71.01246
Campello,CR-Sunday,1,1,8,Campello,42.060038,-71.01246
Campello,CR-Weekday,0,1,12,Campello,42.060038,-71.01246
Campello,CR-Weekday,1,1,12,Campello,42.060038,-71.01246
Canton Center,CR-Weekday,0,1,16,Canton Center,42.156769,-71.14553
Canton Center,CR-Weekday,1,1,9,Canton Center,42.156769,-71.14553
Canton Junction,CR-Saturday,0,1,9,Canton Junction,42.163423,-71.153374
Canton Junction,CR-Saturday,1,1,9,Canton Junction,42.163423,-71.153374
Canton Junction,CR-Sunday,0,1,7,Canton Junction,42.163423,-71.153374
Canton Junction,CR-Sunday,1,1,7,Canton Junction,42.163423,-71.153374
Canton Junction,CR-Weekday,0,1,25,Canton Junction,42.163423,-71.153374
Canton Junction,CR-Weekday,1,1,24,Canton Junction,42.163423,-71.153374
Chelsea,CR-Saturday,0,1,13,Chelsea,42.395661,-71.034826
Chelsea,CR-Saturday,1,1,13,Chelsea,42.395661,-71.034826
Chelsea,CR-Sunday,0,1,13,Chelsea,42.395661,-71.034826
Chelsea,CR-Sunday,1,1,13,Chelsea,42.395661,-71.034826
Chelsea,CR-Weekday,0,1,24,Chelsea,42.395661,-71.034826
Chelsea,CR-Weekday,1,1,26,Chelsea,42.395661,-71.034826
Cohasset,CR-SatSuspended,0,1,8,Cohasset,42.2424,-70.837
Cohasset,CR-SatSuspended,1,1,8,Cohasset,42.2424,-70.837
Cohasset,CR-SunSuspended,0,1,8,Cohasset,42.2424,-70.837
Cohasset,CR-SunSuspended,1,1,8,Cohasset,42.2424,-70.837
Cohasset,CR-Weekday,0,1,12,Cohasset,42.2424,-70.837
Cohasset,CR-Weekday,1,1,12,Cohasset,42.2424,-70.837
Concord,CR-Saturday,0,1,8,Concord,42.457147,-71.358051
Concord,CR-Saturday,1,1,8,Concord,42.457147,-71.358051
Concord,CR-Sunday,0,1,8,Concord,42.457147,-71.358051
Concord,CR-Sunday,1,1,8,Concord,42.457147,-71.358051
Concord,CR-Weekday,0,1,16,Concord,42.457147,-71.358051
Concord,CR-Weekday,1,1,16,Concord,42.457147,-71.358051
Dedham Corp Center,CR-Saturday,0,1,9,Dedham Corp Center,42.225896,-71.173806
Dedham Corp Center,CR-Saturday,1,1,9,Dedham Corp Center,42.225896,-71.173806
Dedham Corp Center,CR-Sunday,0,1,7,Dedham Corp Center,42.225896,-71.173806
Dedham Corp Center,CR-Sunday,1,1,7,Dedham Corp Center,42.225896,-71.173806
Dedham Corp Center,CR-Weekday,0,1,16,Dedham Corp Center,42.225896,-71.173806
Dedham Corp Center,CR-Weekday,1,1,19,Dedham Corp Center,42.225896,-71.173806
East Weymouth,CR-SatSuspended,0,1,8,East Weymouth,42.2191,-70.9214
East Weymouth,CR-SatSuspended,1,1,8,East Weymouth,42.2191,-70.9214
East Weymouth,CR-SunSuspended,0,1,8,East Weymouth,42.2191,-70.9214
East Weymouth,CR-SunSuspended,1,1,8,East Weymouth,42.2191,-70.9214
East Weymouth,CR-Weekday,0,1,12,East Weymouth,42.2191,-70.9214
East Weymouth,CR-Weekday,1,1,12,East Weymouth,42.2191,-70.9214
Endicott,CR-Saturday,0,1,9,Endicott,42.232881,-71.160413
Endicott,CR-Saturday,1,1,9,Endicott,42.232881,-71.160413
Endicott,CR-Sunday,0,1,7,Endicott,42.232881,-71.160413
Endicott,CR-Sunday,1,1,7,Endicott,42.232881,-71.160413
Endicott,CR-Weekday,0,1,14,Endicott,42.232881,-71.160413
Endicott,CR-Weekday,1,1,14,Endicott,42.232881,-71.160413
Fairmount,CR-Weekday,0,1,14,Fairmount,42.253638,-71.11927
Fairmount,CR-Weekday,1,2,15,Fairmount,42.253638,-71.11927
Fitchburg,CR-Saturday,0,1,6,Fitchburg,42.581739,-71.79275
