route_id,stop_id,service_id,direction_id,avghdwy,stdev_hdwy,stop_name,stop_lat,stop_lon,route_short_name,route_long_name
CR-Kingston,Abington,CR-Weekday,1,57.4,17.7,Abington,42.108034,-70.935296,"",Kingston/Plymouth Line
CR-Kingston,Abington,CR-Weekday,0,51.6,19.1,Abington,42.108034,-70.935296,"",Kingston/Plymouth Line
CR-Kingston,Abington,CR-SunSuspended,1,79.0,8.4,Abington,42.108034,-70.935296,"",Kingston/Plymouth Line
CR-Kingston,Abington,CR-SunSuspended,0,71.0,,Abington,42.108034,-70.935296,"",Kingston/Plymouth Line
CR-Kingston,Abington,CR-SatSuspended,1,79.0,8.4,Abington,42.108034,-70.935296,"",Kingston/Plymouth Line
CR-Kingston,Abington,CR-SatSuspended,0,71.0,,Abington,42.108034,-70.935296,"",Kingston/Plymouth Line
CR-Lowell,Anderson/ Woburn,CR-Weekday,1,40.8,18.2,Anderson/ Woburn,42.518082,-71.13865,"",Lowell Line
CR-Lowell,Anderson/ Woburn,CR-Weekday,0,44.2,21.2,Anderson/ Woburn,42.518082,-71.13865,"",Lowell Line
CR-Haverhill,Anderson/ Woburn,CR-Weekday,1,,,Anderson/ Woburn,42.518082,-71.13865,"",Haverhill Line
CR-Haverhill,Anderson/ Woburn,CR-Weekday,0,,,Anderson/ Woburn,42.518082,-71.13865,"",Haverhill Line
CR-Lowell,Anderson/ Woburn,CR-Sunday,1,,,Anderson/ Woburn,42.518082,-71.13865,"",Lowell Line
CR-Lowell,Anderson/ Woburn,CR-Sunday,0,,,Anderson/ Woburn,42.518082,-71.13865,"",Lowell Line
CR-Lowell,Anderson/ Woburn,CR-Saturday,1,,,Anderson/ Woburn,42.518082,-71.13865,"",Lowell Line
CR-Lowell,Anderson/ Woburn,CR-Saturday,0,,,Anderson/ Woburn,42.518082,-71.13865,"",Lowell Line
CR-Haverhill,Andover,CR-Weekday,1,44.6,13.5,Andover,42.657798,-71.144513,"",Haverhill Line
CR-Haverhill,Andover,CR-Weekday,0,36.5,10.4,Andover,42.657798,-71.144513,"",Haverhill Line
CR-Haverhill,Andover,CR-Sunday,1,,,Andover,42.657798,-71.144513,"",Haverhill Line
CR-Haverhill,Andover,CR-Sunday,0,,,Andover,42.657798,-71.144513,"",Haverhill Line
CR-Haverhill,Andover,CR-Saturday,1,,,Andover,42.657798,-71.144513,"",Haverhill Line
CR-Haverhill,Andover,CR-Saturday,0,,,Andover,42.657798,-71.144513,"",Haverhill Line
CR-Worcester,Ashland,CR-Weekday,1,42.4,19.9,Ashland,42.261694,-71.478813,"",Framingham/Worcester Line
CR-Worcester,Ashland,CR-Weekday,0,55.5,18.8,Ashland,42.261694,-71.478813,"",Framingham/Worcester Line
CR-Worcester,Ashland,CR-Sunday,1,,,Ashland,42.261694,-71.478813,"",Framingham/Worcester Line
CR-Worcester,Ashland,CR-Sunday,0,89.0,,Ashland,42.261694,-71.478813,"",Framingham/Worcester Line
CR-Worcester,Ashland,CR-Saturday,1,,,Ashland,42.261694,-71.478813,"",Framingham/Worcester Line
CR-Worcester,Ashland,CR-Saturday,0,89.0,,Ashland,42.261694,-71.478813,"",Framingham/Worcester Line
CR-Providence,Attleboro,CR-Weekday,1,43.9,21.1,Attleboro,41.942097,-71.284897,"",Providence/Stoughton Line
CR-Providence,Attleboro,CR-Weekday,0,49.0,23.2,Attleboro,41.942097,-71.284897,"",Providence/Stoughton Line
CR-Providence,Attleboro,CR-Sunday,1,68.0,,Attleboro,41.942097,-71.284897,"",Providence/Stoughton Line
CR-Providence,Attleboro,CR-Sunday,0,75.0,,Attleboro,41.942097,-71.284897,"",Providence/Stoughton Line
CR-Providence,Attleboro,CR-Saturday,1,68.0,,Attleboro,41.942097,-71.284897,"",Providence/Stoughton Line
CR-Providence,Attleboro,CR-Saturday,0,70.0,7.0,Attleboro,41.942097,-71.284897,"",Providence/Stoughton Line
CR-Worcester,Auburndale,CR-Weekday,1,43.6,14.3,Auburndale,42.346087,-71.246658,"",Framingham/Worcester Line
CR-Worcester,Auburndale,CR-Weekday,0,56.8,19.1,Auburndale,42.346087,-71.246658,"",Framingham/Worcester Line
CR-Worcester,Auburndale,CR-Sunday,1,42.5,31.8,Auburndale,42.346087,-71.246658,"",Framingham/Worcester Line
CR-Worcester,Auburndale,CR-Sunday,0,89.0,,Auburndale,42.346087,-71.246658,"",Framingham/Worcester Line
CR-Worcester,Auburndale,CR-Saturday,1,42.5,31.8,Auburndale,42.346087,-71.246658,"",Framingham/Worcester Line
CR-Worcester,Auburndale,CR-Saturday,0,57.0,45.2,Auburndale,42.346087,-71.246658,"",Framingham/Worcester Line
CR-Fitchburg,Ayer,CR-Weekday,1,41.2,14.1,Ayer,42.560047,-71.590117,"",Fitchburg/South Acton Line
CR-Fitchburg,Ayer,CR-Weekday,0,50.3,23.9,Ayer,42.560047,-71.590117,"",Fitchburg/South Acton Line
CR-Fitchburg,Ayer,CR-Sunday,1,,,Ayer,42.560047,-71.590117,"",Fitchburg/South Acton Line
CR-Fitchburg,Ayer,CR-Sunday,0,,,Ayer,42.560047,-71.590117,"",Fitchburg/South Acton Line
CR-Fitchburg,Ayer,CR-Saturday,1,,,Ayer,42.560047,-71.590117,"",Fitchburg/South Acton Line
CR-Fitchburg,Ayer,CR-Saturday,0,,,Ayer,42.560047,-71.590117,"",Fitchburg/South Acton Line
CR-Worcester,Back Bay,CR-Weekday,1,28.3,13.7,Back Bay,42.347158,-71.075769,"",Framingham/Worcester Line
CR-Worcester,Back Bay,CR-Weekday,0,40.5,23.9,Back Bay,42.347158,-71.075769,"",Framingham/Worcester Line
CR-Providence,Back Bay,CR-Weekday,1,29.3,21.3,Back Bay,42.347158,-71.075769,"",Providence/Stoughton Line
CR-Providence,Back Bay,CR-Weekday,0,31.7,21.6,Back Bay,42.347158,-71.075769,"",Providence/Stoughton Line
CR-Needham,Back Bay,CR-Weekday,1,49.6,18.1,Back Bay,42.347158,-71.075769,"",Needham Line
CR-Needham,Back Bay,CR-Weekday,0,52.6,18.9,Back Bay,42.347158,-71.075769,"",Needham Line
CR-Franklin,Back Bay,CR-Weekday,1,39.6,24.8,Back Bay,42.347158,-71.075769,"",Franklin Line
