route_id,service_id,direction_id,numtripsperroute_both_dir,hours_of_service,first_departure_sec,last_departure_sec,span_of_service_hrs,route_avg_hdwy,route_stdev_hdwy,trips_per_day,average_speed,average_length_mi,w_avg_num_stops,avg_dist_bw_stops_ft,route_short_name,route_long_name
946_,RTL212-hmb22011-Weekday-01,1,267,14,18780,67260,13,5.6,1.7,137,22.0,8.1,12.0,3869.9395000000000000000,"",Blue Line
946_,RTL212-hmb22011-Weekday-01,0,267,14,18780,67260,13,5.8,1.9,130,25.0,8.1,12.0,3869.9096727272727272429,"",Blue Line
9462,RTL212-hmb22011-Weekday-01,1,80,8,65100,90540,7,9.8,1.8,40,22.9,7.8,11.0,4117.8518600000000000000,"",Blue Line
9462,RTL212-hmb22011-Weekday-01,0,80,8,65100,90540,7,9.7,1.9,40,28.5,7.8,11.0,4120.9031900000000000000,"",Blue Line
948_,RTL212-hmb22011-Weekday-01,0,7,4,18780,55260,10,16.0,6.2,7,23.6,5.2,8.0,3885.6414285714285713817,"",Blue Line
9462,RTL212-hmb22016-Saturday-01,1,251,21,19500,90540,20,9.2,1.6,126,23.5,7.8,11.0,4117.8518600000000000000,"",Blue Line
9462,RTL212-hmb22016-Saturday-01,0,251,21,19500,90540,20,9.2,1.3,125,29.3,7.8,11.0,4120.9031900000000000000,"",Blue Line
9482,RTL212-hmb22016-Saturday-01,0,1,1,18780,19440,0,,,1,26.7,4.9,7.0,4306.1484500000000000000,"",Blue Line
9462,RTL212-hmb22017-Sunday-01,1,226,21,21480,90540,19,9.8,2.0,113,23.5,7.8,11.0,4117.8518600000000000000,"",Blue Line
9462,RTL212-hmb22017-Sunday-01,0,226,21,21480,90540,19,9.8,2.0,113,29.3,7.8,11.0,4120.9031900000000000000,"",Blue Line
946_,RTL212-hmb22bk1-Weekday-01,1,267,14,18780,67260,13,5.6,1.7,137,22.0,8.1,12.0,3869.9395000000000000000,"",Blue Line
946_,RTL212-hmb22bk1-Weekday-01,0,267,14,18780,67260,13,5.8,1.9,130,25.0,8.1,12.0,3869.9096727272727272429,"",Blue Line
9462,RTL212-hmb22bk1-Weekday-01,1,80,8,65100,90540,7,9.8,1.8,40,22.9,7.8,11.0,4117.8518600000000000000,"",Blue Line
9462,RTL212-hmb22bk1-Weekday-01,0,80,8,65100,90540,7,9.7,1.9,40,28.5,7.8,11.0,4120.9031900000000000000,"",Blue Line
948_,RTL212-hmb22bk1-Weekday-01,0,7,4,18780,55260,10,16.0,6.2,7,23.6,5.2,8.0,3885.6414285714285713817,"",Blue Line
946_,RTL212-hmb22no1-Weekday-01,1,267,14,18780,67260,13,5.6,1.7,137,22.0,8.1,12.0,3869.9395000000000000000,"",Blue Line
946_,RTL212-hmb22no1-Weekday-01,0,267,14,18780,67260,13,5.8,1.9,130,25.0,8.1,12.0,3869.9096727272727272429,"",Blue Line
9462,RTL212-hmb22no1-Weekday-01,1,80,8,65100,90540,7,9.8,1.8,40,22.9,7.8,11.0,4117.8518600000000000000,"",Blue Line
9462,RTL212-hmb22no1-Weekday-01,0,80,8,65100,90540,7,9.7,1.9,40,28.5,7.8,11.0,4120.9031900000000000000,"",Blue Line
948_,RTL212-hmb22no1-Weekday-01,0,7,4,18780,55260,10,16.0,6.2,7,23.6,5.2,8.0,3885.6414285714285713817,"",Blue Line
