route_id,stop_id,service_id,direction_id,avghdwy,stdev_hdwy,stop_name,stop_lat,stop_lon,route_short_name,route_long_name
946_,70038,RTL212-hmb22011-Weekday-01,0,5.8,1.9,Bowdoin Station Blue Line,42.361365,-71.062037,"",Blue Line
946_,70038,RTL212-hmb22011-Weekday-01,1,5.6,1.7,Bowdoin Station Blue Line,42.361365,-71.062037,"",Blue Line
948_,70038,RTL212-hmb22011-Weekday-01,0,16.0,6.2,Bowdoin Station Blue Line,42.361365,-71.062037,"",Blue Line
946_,70039,RTL212-hmb22011-Weekday-01,0,5.8,1.9,Government Center Station - to Bowdoin Staion,42.359705,-71.059215,"",Blue Line
9462,70039,RTL212-hmb22011-Weekday-01,0,9.7,1.9,Government Center Station - to Bowdoin Staion,42.359705,-71.059215,"",Blue Line
948_,70039,RTL212-hmb22011-Weekday-01,0,16.0,6.2,Government Center Station - to Bowdoin Staion,42.359705,-71.059215,"",Blue Line
946_,70040,RTL212-hmb22011-Weekday-01,1,5.6,1.7,Government Ctr Station - to Wonderland,42.359705,-71.059215,"",Blue Line
9462,70040,RTL212-hmb22011-Weekday-01,1,9.8,1.8,Government Ctr Station - to Wonderland,42.359705,-71.059215,"",Blue Line
946_,70041,RTL212-hmb22011-Weekday-01,0,5.8,1.9,State St Station - to Bowdoin,42.358978,-71.057598,"",Blue Line
9462,70041,RTL212-hmb22011-Weekday-01,0,9.7,1.9,State St Station - to Bowdoin,42.358978,-71.057598,"",Blue Line
948_,70041,RTL212-hmb22011-Weekday-01,0,16.0,6.2,State St Station - to Bowdoin,42.358978,-71.057598,"",Blue Line
946_,70042,RTL212-hmb22011-Weekday-01,1,5.6,1.7,State St Station - Blue Line Eastbound,42.358978,-71.057598,"",Blue Line
9462,70042,RTL212-hmb22011-Weekday-01,1,9.8,1.8,State St Station - Blue Line Eastbound,42.358978,-71.057598,"",Blue Line
946_,70043,RTL212-hmb22011-Weekday-01,0,5.8,2.0,Aquarium Station - Inbound,42.359784,-71.051652,"",Blue Line
9462,70043,RTL212-hmb22011-Weekday-01,0,9.7,1.9,Aquarium Station - Inbound,42.359784,-71.051652,"",Blue Line
948_,70043,RTL212-hmb22011-Weekday-01,0,16.0,6.2,Aquarium Station - Inbound,42.359784,-71.051652,"",Blue Line
946_,70044,RTL212-hmb22011-Weekday-01,1,5.6,1.7,Aquarium Station - Outbound,42.359784,-71.051652,"",Blue Line
