route_id,service_id,direction_id,numtripsperroute_both_dir,hours_of_service,first_departure_sec,last_departure_sec,span_of_service_hrs,route_avg_hdwy,route_stdev_hdwy,trips_per_day,average_speed,average_length_mi,w_avg_num_stops,avg_dist_bw_stops_ft,route_short_name,route_long_name
MD-W,S2,0,24,21,2400,85980,23,47.2,21.6,24,43.9,53.9,17.0,16441.3575812500000000000,MD-W,Milwaukee West
SWS,S2,0,6,12,22500,86100,18,,,6,38.3,54.1,13.0,23821.7278416666666665573,SWS,Southwest Service
BNSF,S3,0,18,21,2400,88140,24,25.6,19.1,18,38.5,49.9,20.4,13549.4620297994269342516,BNSF,Burlington Northern
MD-N,S1,0,60,23,1500,86820,24,19.2,14.5,60,52.9,67.2,17.0,18729.7199448491155046676,MD-N,Milwaukee North
UP-NW,S2,0,24,22,1800,87600,24,45.2,21.0,24,50.5,85.3,20.5,21279.0222474358974359395,UP-NW,Union Pacific Northwest
UP-W,S1,0,59,25,2400,90360,24,18.8,19.1,59,52.9,58.8,14.0,21388.9075326370757179300,UP-W,Union Pacific West
MD-N,S3,0,20,22,1500,86940,24,50.4,20.1,20,43.4,67.2,21.0,17734.6908700000000000000,MD-N,Milwaukee North
BNSF,S1,0,94,23,2400,89700,24,14.8,17.5,94,58.1,49.9,12.0,20307.7158649903288200894,BNSF,Burlington Northern
UP-W,S3,0,18,22,2400,86760,23,13.8,0.3,18,42.3,58.8,17.1,19342.0058823529411763616,UP-W,Union Pacific West
ME,S2,0,124,24,540,89220,25,12.5,11.4,99,43.5,28.1,19.2,7349.6583938359201773203,ME,Metra Electric
UP-N,S2,0,28,23,2100,86100,23,40.7,23.0,28,54.8,69.9,22.0,14254.0482589134125635263,UP-N,Union Pacific North
RI,S2,0,20,21,1800,88800,24,40.0,21.1,20,38.9,54.8,24.0,12570.8091347826086957235,RI,Rock Island
MD-W,S1,0,58,22,2400,86340,23,20.6,15.2,58,44.8,53.9,16.1,17451.2682507411630559112,MD-W,Milwaukee West
HC,S1,0,6,8,20700,69240,13,40.5,4.9,6,47.0,49.7,6.0,52428.969170000000000,HC,Heritage Corridor
RI,S3,0,16,18,21900,88800,19,4.0,0.0,16,38.9,54.8,24.0,12570.8091347826086957235,RI,Rock Island
UP-N,S3,0,20,21,2100,85800,23,46.2,21.0,20,56.6,69.9,22.3,13315.6636680000000001351,UP-N,Union Pacific North
MD-N,S2,0,24,22,1500,86940,24,40.5,20.2,24,45.4,67.2,19.8,18196.1314391111111110382,MD-N,Milwaukee North
SWS,S1,0,30,20,18600,89040,20,34.1,20.7,30,48.3,54.1,11.2,21464.6268938110749185796,SWS,Southwest Service
UP-NW,S1,0,65,24,600,89700,25,18.6,19.1,65,62.3,83.7,15.4,23496.9179945454545453984,UP-NW,Union Pacific Northwest
UP-W,S2,0,20,22,2400,86760,23,33.5,12.5,20,42.3,58.8,17.1,19348.7009345794392524867,UP-W,Union Pacific West
ME,S3,0,40,23,3300,89760,24,30.5,15.0,40,32.6,29.4,26.5,6072.6066833333333331725,ME,Metra Electric
UP-N,S1,0,70,25,2100,90600,25,19.0,17.4,70,66.0,69.9,18.9,14577.5369414205905824779,UP-N,Union Pacific North
NCS,S1,0,22,18,19200,79440,17,26.6,22.1,22,46.7,71.4,14.9,26896.9614277777777777306,NCS,North Central Service
BNSF,S2,0,28,22,2400,88140,24,38.8,20.7,28,39.5,49.9,19.3,14338.8935407407407408015,BNSF,Burlington Northern
ME,S1,0,170,24,540,89220,25,10.4,10.5,144,46.0,30.1,16.9,8654.7209817442719881349,ME,Metra Electric
UP-NW,S3,0,15,20,1800,89700,24,60.0,13.5,15,49.7,85.3,20.6,21529.0805462585034013784,UP-NW,Union Pacific Northwest
MD-W,S3,0,18,21,2400,85980,23,53.6,28.3,18,43.9,53.9,17.0,16441.3575812500000000000,MD-W,Milwaukee West
RI,S1,0,69,22,1800,88620,24,17.1,14.8,69,53.6,54.4,16.7,14461.2069630073800736833,RI,Rock Island
