stop_id,service_id,direction_id,numroutes,TripsServingStop,stop_name,stop_lat,stop_lon
103RD-BEV,S1,0,1,44,103rd St. - Beverly Hills Metra,41.706111,-87.668889
103RD-BEV,S2,0,1,20,103rd St. - Beverly Hills Metra,41.706111,-87.668889
103RD-BEV,S3,0,1,16,103rd St. - Beverly Hills Metra,41.706111,-87.668889
103RD-UP,S1,0,1,38,103rd St. (Rosemoor) Metra,41.706944,-87.607222
103RD-UP,S2,0,1,35,103rd St. (Rosemoor) Metra,41.706944,-87.607222
103RD-UP,S3,0,1,20,103rd St. (Rosemoor) Metra,41.706944,-87.607222
107TH-BEV,S1,0,1,44,107th St. - Beverly Hills Metra,41.698889,-87.67
107TH-BEV,S2,0,1,20,107th St. - Beverly Hills Metra,41.698889,-87.67
107TH-BEV,S3,0,1,16,107th St. - Beverly Hills Metra,41.698889,-87.67
107TH-UP,S1,0,1,37,107th St. Metra,41.699722,-87.608889
107TH-UP,S2,0,1,35,107th St. Metra,41.699722,-87.608889
107TH-UP,S3,0,1,20,107th St. Metra,41.699722,-87.608889
111TH-BEV,S1,0,1,44,111th St. - Morgan Park Metra,41.692778,-87.670556
111TH-BEV,S2,0,1,20,111th St. - Morgan Park Metra,41.692778,-87.670556
111TH-BEV,S3,0,1,16,111th St. - Morgan Park Metra,41.692778,-87.670556
111TH-UP,S1,0,1,39,111th St. (Pullman) Metra,41.692778,-87.610556
111TH-UP,S2,0,1,35,111th St. (Pullman) Metra,41.692778,-87.610556
111TH-UP,S3,0,1,20,111th St. (Pullman) Metra,41.692778,-87.610556
115TH-BEV,S1,0,1,44,115th St. - Morgan Park Metra,41.685,-87.671667
115TH-BEV,S2,0,1,20,115th St. - Morgan Park Metra,41.685,-87.671667
115TH-BEV,S3,0,1,16,115th St. - Morgan Park Metra,41.685,-87.671667
119TH-BEV,S1,0,1,44,119th St. Metra,41.676389,-87.6725
119TH-BEV,S2,0,1,20,119th St. Metra,41.676389,-87.6725
119TH-BEV,S3,0,1,16,119th St. Metra,41.676389,-87.6725
123RD-BEV,S1,0,1,44,123rd St. Metra,41.67,-87.673611
123RD-BEV,S2,0,1,20,123rd St. Metra,41.67,-87.673611
123RD-BEV,S3,0,1,16,123rd St. Metra,41.67,-87.673611
143RD-SWS,S1,0,1,30,Orland Park 143rd Metra,41.630556,-87.859167
143RD-SWS,S2,0,1,6,Orland Park 143rd Metra,41.630556,-87.859167
147TH-UP,S1,0,1,54,147th St. Metra,41.622778,-87.636111
147TH-UP,S2,0,1,46,147th St. Metra,41.622778,-87.636111
147TH-UP,S3,0,1,20,147th St. Metra,41.622778,-87.636111
153RD-SWS,S1,0,1,30,Orland Park 153rd Metra,41.609444,-87.873333
153RD-SWS,S2,0,1,6,Orland Park 153rd Metra,41.609444,-87.873333
179TH-SWS,S1,0,1,28,Orland Park 179th Metra,41.563889,-87.9025
179TH-SWS,S2,0,1,6,Orland Park 179th Metra,41.563889,-87.9025
18TH-UP,S1,0,1,53,18th St. Metra,41.858333,-87.618056
18TH-UP,S2,0,1,52,18th St. Metra,41.858333,-87.618056
18TH-UP,S3,0,1,40,18th St. Metra,41.858333,-87.618056
211TH-UP,S1,0,1,54,211th St. Metra,41.506111,-87.698333
