route_id,stop_id,service_id,direction_id,avghdwy,stdev_hdwy,stop_name,stop_lat,stop_lon,route_short_name,route_long_name
RI,103RD-BEV,S1,0,26.4,14.6,103rd St. - Beverly Hills Metra,41.706111,-87.668889,RI,Rock Island
ME,103RD-UP,S1,0,24.6,17.4,103rd St. (Rosemoor) Metra,41.706944,-87.607222,ME,Metra Electric
RI,107TH-BEV,S1,0,25.9,15.3,107th St. - Beverly Hills Metra,41.698889,-87.67,RI,Rock Island
ME,107TH-UP,S1,0,27.3,18.5,107th St. Metra,41.699722,-87.608889,ME,Metra Electric
RI,111TH-BEV,S1,0,27.2,15.6,111th St. - Morgan Park Metra,41.692778,-87.670556,RI,Rock Island
ME,111TH-UP,S1,0,25.7,18.3,111th St. (Pullman) Metra,41.692778,-87.610556,ME,Metra Electric
RI,115TH-BEV,S1,0,28.0,16.3,115th St. - Morgan Park Metra,41.685,-87.671667,RI,Rock Island
RI,119TH-BEV,S1,0,26.8,17.7,119th St. Metra,41.676389,-87.6725,RI,Rock Island
RI,123RD-BEV,S1,0,26.3,18.6,123rd St. Metra,41.67,-87.673611,RI,Rock Island
SWS,143RD-SWS,S1,0,38.5,21.2,Orland Park 143rd Metra,41.630556,-87.859167,SWS,Southwest Service
ME,147TH-UP,S1,0,24.0,16.0,147th St. Metra,41.622778,-87.636111,ME,Metra Electric
SWS,153RD-SWS,S1,0,37.5,22.4,Orland Park 153rd Metra,41.609444,-87.873333,SWS,Southwest Service
SWS,179TH-SWS,S1,0,32.1,17.8,Orland Park 179th Metra,41.563889,-87.9025,SWS,Southwest Service
ME,18TH-UP,S1,0,24.0,14.4,18th St. Metra,41.858333,-87.618056,ME,Metra Electric
ME,211TH-UP,S1,0,22.9,13.3,211th St. Metra,41.506111,-87.698333,ME,Metra Electric
ME,27TH-UP,S1,0,18.5,14.8,27th St. Metra,41.844167,-87.613333,ME,Metra Electric
RI,35TH,S1,0,22.4,17.9,"35th St. / ""Lou"" Jones Metra",41.831389,-87.629167,RI,Rock Island
ME,47TH-UP,S1,0,23.3,16.4,47th St. (Kenwood) Metra,41.809722,-87.591389,ME,Metra Electric
ME,51ST/53RD,S1,0,18.4,16.9,51st/53rd St. (Hyde Park) Metra,41.8,-87.586944,ME,Metra Electric
ME,55-56-57TH,S1,0,13.4,14.8,55th - 56th - 57th St. Metra,41.793333,-87.5875,ME,Metra Electric
ME,59TH-UP,S1,0,17.1,17.0,59th St. (U. of Chicago) Metra,41.788056,-87.588611,ME,Metra Electric
