stop_id,service_id,direction_id,numroutes,TripsServingStop,stop_name,stop_lat,stop_lon
100,1151,0,1,12,Irvine Metrolink Station,33.657056,-117.732932
100,1151,1,1,13,Irvine Metrolink Station,33.657056,-117.732932
100,1152,0,1,2,Irvine Metrolink Station,33.657056,-117.732932
100,1152,1,1,2,Irvine Metrolink Station,33.657056,-117.732932
100,1153,0,1,7,Irvine Metrolink Station,33.657056,-117.732932
100,1153,1,1,7,Irvine Metrolink Station,33.657056,-117.732932
100,1154,0,1,1,Irvine Metrolink Station,33.657056,-117.732932
100,1154,1,1,1,Irvine Metrolink Station,33.657056,-117.732932
101,1151,0,1,11,Laguna Niguel/ Mission Viejo Metrolink Station,33.5539,-117.675
101,1151,1,1,11,Laguna Niguel/ Mission Viejo Metrolink Station,33.5539,-117.675
101,1152,0,1,2,Laguna Niguel/ Mission Viejo Metrolink Station,33.5539,-117.675
101,1152,1,1,2,Laguna Niguel/ Mission Viejo Metrolink Station,33.5539,-117.675
101,1153,0,1,5,Laguna Niguel/ Mission Viejo Metrolink Station,33.5539,-117.675
101,1153,1,1,6,Laguna Niguel/ Mission Viejo Metrolink Station,33.5539,-117.675
101,1154,0,1,1,Laguna Niguel/ Mission Viejo Metrolink Station,33.5539,-117.675
101,1154,1,1,1,Laguna Niguel/ Mission Viejo Metrolink Station,33.5539,-117.675
102,1142,0,1,9,Lancaster Metrolink Station,34.696578,-118.136131
102,1142,1,1,9,Lancaster Metrolink Station,34.696578,-118.136131
102,1143,0,1,6,Lancaster Metrolink Station,34.696578,-118.136131
102,1143,1,1,6,Lancaster Metrolink Station,34.696578,-118.136131
102,1144,0,1,3,Lancaster Metrolink Station,34.696578,-118.136131
102,1144,1,1,3,Lancaster Metrolink Station,34.696578,-118.136131
103,1141,0,1,3,East Ventura Metrolink Station,34.250794,-119.205021
103,1141,1,1,3,East Ventura Metrolink Station,34.250794,-119.205021
104,1146,0,1,20,Montclair Metrolink Station,34.094085,-117.695576
104,1146,1,1,20,Montclair Metrolink Station,34.094085,-117.695576
104,1147,0,1,10,Montclair Metrolink Station,34.094085,-117.695576
104,1147,1,1,10,Montclair Metrolink Station,34.094085,-117.695576
104,1148,0,1,7,Montclair Metrolink Station,34.094085,-117.695576
104,1148,1,1,7,Montclair Metrolink Station,34.094085,-117.695576
105,1149,0,1,6,Montebello/ Commerce Metrolink Station,34.00696,-118.125608
105,1149,1,1,6,Montebello/ Commerce Metrolink Station,34.00696,-118.125608
106,1141,0,1,8,Moorpark Metrolink Station,34.285323,-118.877873
106,1141,1,1,8,Moorpark Metrolink Station,34.285323,-118.877873
107,1142,0,1,14,Newhall Metrolink Station,34.379915,-118.527306
107,1142,1,1,14,Newhall Metrolink Station,34.379915,-118.527306
107,1143,0,1,6,Newhall Metrolink Station,34.379915,-118.527306
107,1143,1,1,6,Newhall Metrolink Station,34.379915,-118.527306
107,1144,0,1,3,Newhall Metrolink Station,34.379915,-118.527306
107,1144,1,1,3,Newhall Metrolink Station,34.379915,-118.527306
108,1150,0,1,5,North Main Corona Metrolink Station,33.882193,-117.563452
108,1150,1,1,4,North Main Corona Metrolink Station,33.882193,-117.563452
108,1153,0,1,7,North Main Corona Metrolink Station,33.882193,-117.563452
108,1153,1,1,7,North Main Corona Metrolink Station,33.882193,-117.563452
108,1154,0,1,1,North Main Corona Metrolink Station,33.882193,-117.563452
108,1154,1,1,1,North Main Corona Metrolink Station,33.882193,-117.563452
109,1141,0,1,11,Northridge Metrolink Station,34.230612,-118.545098
109,1141,1,1,11,Northridge Metrolink Station,34.230612,-118.545098
110,1150,0,1,5,Norwalk/ Santa Fe Springs Metrolink Station,33.916203,-118.060168
110,1150,1,1,4,Norwalk/ Santa Fe Springs Metrolink Station,33.916203,-118.060168
110,1151,0,1,9,Norwalk/ Santa Fe Springs Metrolink Station,33.916203,-118.060168
110,1151,1,1,10,Norwalk/ Santa Fe Springs Metrolink Station,33.916203,-118.060168
110,1152,0,1,2,Norwalk/ Santa Fe Springs Metrolink Station,33.916203,-118.060168
110,1152,1,1,2,Norwalk/ Santa Fe Springs Metrolink Station,33.916203,-118.060168
111,1151,0,1,6,Oceanside Metrolink Station,33.192553,-117.379876
111,1151,1,1,6,Oceanside Metrolink Station,33.192553,-117.379876
111,1152,0,1,1,Oceanside Metrolink Station,33.192553,-117.379876
111,1152,1,1,1,Oceanside Metrolink Station,33.192553,-117.379876
111,1153,0,1,2,Oceanside Metrolink Station,33.192553,-117.379876
111,1153,1,1,2,Oceanside Metrolink Station,33.192553,-117.379876
111,1154,0,1,1,Oceanside Metrolink Station,33.192553,-117.379876
111,1154,1,1,1,Oceanside Metrolink Station,33.192553,-117.379876
112,1151,0,1,12,Orange Metrolink Station,33.788779,-117.857298
112,1151,1,1,13,Orange Metrolink Station,33.788779,-117.857298
112,1152,0,1,2,Orange Metrolink Station,33.788779,-117.857298
112,1152,1,1,2,Orange Metrolink Station,33.788779,-117.857298
112,1153,0,1,7,Orange Metrolink Station,33.788779,-117.857298
112,1153,1,1,7,Orange Metrolink Station,33.788779,-117.857298
112,1154,0,1,1,Orange Metrolink Station,33.788779,-117.857298
112,1154,1,1,1,Orange Metrolink Station,33.788779,-117.857298
113,1141,0,1,4,Oxnard Metrolink Station,34.199275,-119.176308
113,1141,1,1,4,Oxnard Metrolink Station,34.199275,-119.176308
114,1142,0,1,10,Palmdale Metrolink Station,34.59077,-118.11929
114,1142,1,1,10,Palmdale Metrolink Station,34.59077,-118.11929
114,1143,0,1,6,Palmdale Metrolink Station,34.59077,-118.11929
114,1143,1,1,6,Palmdale Metrolink Station,34.59077,-118.11929
114,1144,0,1,3,Palmdale Metrolink Station,34.59077,-118.11929
114,1144,1,1,3,Palmdale Metrolink Station,34.59077,-118.11929
115,1149,0,1,6,Pedley Metrolink Station,33.97812,-117.47627
115,1149,1,1,6,Pedley Metrolink Station,33.97812,-117.47627
116,1146,0,1,20,Pomona (North) Metrolink Station,34.093638,-117.753048
116,1146,1,1,20,Pomona (North) Metrolink Station,34.093638,-117.753048
116,1147,0,1,10,Pomona (North) Metrolink Station,34.093638,-117.753048
116,1147,1,1,10,Pomona (North) Metrolink Station,34.093638,-117.753048
116,1148,0,1,7,Pomona (North) Metrolink Station,34.093638,-117.753048
116,1148,1,1,7,Pomona (North) Metrolink Station,34.093638,-117.753048
117,1142,0,1,11,Via Princessa Metrolink Station,34.408818,-118.469404
117,1142,1,1,11,Via Princessa Metrolink Station,34.408818,-118.469404
117,1143,0,1,6,Via Princessa Metrolink Station,34.408818,-118.469404
117,1143,1,1,6,Via Princessa Metrolink Station,34.408818,-118.469404
117,1144,0,1,3,Via Princessa Metrolink Station,34.408818,-118.469404
117,1144,1,1,3,Via Princessa Metrolink Station,34.408818,-118.469404
118,1146,0,1,21,Rancho Cucamonga Metrolink Station,34.091853,-117.559936
118,1146,1,1,21,Rancho Cucamonga Metrolink Station,34.091853,-117.559936
118,1147,0,1,10,Rancho Cucamonga Metrolink Station,34.091853,-117.559936
118,1147,1,1,10,Rancho Cucamonga Metrolink Station,34.091853,-117.559936
118,1148,0,1,7,Rancho Cucamonga Metrolink Station,34.091853,-117.559936
118,1148,1,1,7,Rancho Cucamonga Metrolink Station,34.091853,-117.559936
119,1146,0,1,20,Rialto Metrolink Station,34.096788,-117.371884
119,1146,1,1,20,Rialto Metrolink Station,34.096788,-117.371884
119,1147,0,1,10,Rialto Metrolink Station,34.096788,-117.371884
119,1147,1,1,10,Rialto Metrolink Station,34.096788,-117.371884
119,1148,0,1,7,Rialto Metrolink Station,34.096788,-117.371884
119,1148,1,1,7,Rialto Metrolink Station,34.096788,-117.371884
120,1147,0,1,2,Riverside-Downtown Metrolink Station,33.975553,-117.369892
120,1147,1,1,2,Riverside-Downtown Metrolink Station,33.975553,-117.369892
120,1148,0,1,2,Riverside-Downtown Metrolink Station,33.975553,-117.369892
120,1148,1,1,2,Riverside-Downtown Metrolink Station,33.975553,-117.369892
120,1149,0,1,6,Riverside-Downtown Metrolink Station,33.975553,-117.369892
120,1149,1,1,6,Riverside-Downtown Metrolink Station,33.975553,-117.369892
120,1150,0,1,5,Riverside-Downtown Metrolink Station,33.975553,-117.369892
120,1150,1,1,4,Riverside-Downtown Metrolink Station,33.975553,-117.369892
120,1153,0,1,7,Riverside-Downtown Metrolink Station,33.975553,-117.369892
120,1153,1,1,7,Riverside-Downtown Metrolink Station,33.975553,-117.369892
120,1154,0,1,1,Riverside-Downtown Metrolink Station,33.975553,-117.369892
120,1154,1,1,1,Riverside-Downtown Metrolink Station,33.975553,-117.369892
121,1150,0,1,5,Riverside-La Sierra Metrolink Station,33.899926,-117.470201
121,1150,1,1,4,Riverside-La Sierra Metrolink Station,33.899926,-117.470201
121,1153,0,1,7,Riverside-La Sierra Metrolink Station,33.899926,-117.470201
121,1153,1,1,7,Riverside-La Sierra Metrolink Station,33.899926,-117.470201
121,1154,0,1,1,Riverside-La Sierra Metrolink Station,33.899926,-117.470201
121,1154,1,1,1,Riverside-La Sierra Metrolink Station,33.899926,-117.470201
122,1146,0,1,21,San Bernardino Metrolink Station,34.104529,-117.310086
122,1146,1,1,21,San Bernardino Metrolink Station,34.104529,-117.310086
122,1147,0,1,10,San Bernardino Metrolink Station,34.104529,-117.310086
122,1147,1,1,10,San Bernardino Metrolink Station,34.104529,-117.310086
122,1148,0,1,7,San Bernardino Metrolink Station,34.104529,-117.310086
122,1148,1,1,7,San Bernardino Metrolink Station,34.104529,-117.310086
122,1153,0,1,4,San Bernardino Metrolink Station,34.104529,-117.310086
122,1153,1,1,4,San Bernardino Metrolink Station,34.104529,-117.310086
122,1154,0,1,1,San Bernardino Metrolink Station,34.104529,-117.310086
122,1154,1,1,1,San Bernardino Metrolink Station,34.104529,-117.310086
123,1151,0,1,6,San Clemente Metrolink Station,33.432074,-117.632735
123,1151,1,1,6,San Clemente Metrolink Station,33.432074,-117.632735
123,1152,0,1,1,San Clemente Metrolink Station,33.432074,-117.632735
123,1152,1,1,1,San Clemente Metrolink Station,33.432074,-117.632735
123,1153,0,1,2,San Clemente Metrolink Station,33.432074,-117.632735
123,1153,1,1,2,San Clemente Metrolink Station,33.432074,-117.632735
123,1154,0,1,1,San Clemente Metrolink Station,33.432074,-117.632735
123,1154,1,1,1,San Clemente Metrolink Station,33.432074,-117.632735
124,1151,0,1,6,San Juan Capistrano Metrolink Station,33.5014,-117.6637
124,1151,1,1,6,San Juan Capistrano Metrolink Station,33.5014,-117.6637
124,1152,0,1,1,San Juan Capistrano Metrolink Station,33.5014,-117.6637
124,1152,1,1,1,San Juan Capistrano Metrolink Station,33.5014,-117.6637
124,1153,0,1,3,San Juan Capistrano Metrolink Station,33.5014,-117.6637
124,1153,1,1,3,San Juan Capistrano Metrolink Station,33.5014,-117.6637
124,1154,0,1,1,San Juan Capistrano Metrolink Station,33.5014,-117.6637
124,1154,1,1,1,San Juan Capistrano Metrolink Station,33.5014,-117.6637
125,1151,0,1,12,Santa Ana Metrolink Station,33.751522,-117.85598
125,1151,1,1,13,Santa Ana Metrolink Station,33.751522,-117.85598
125,1152,0,1,2,Santa Ana Metrolink Station,33.751522,-117.85598
125,1152,1,1,2,Santa Ana Metrolink Station,33.751522,-117.85598
125,1153,0,1,7,Santa Ana Metrolink Station,33.751522,-117.85598
125,1153,1,1,7,Santa Ana Metrolink Station,33.751522,-117.85598
125,1154,0,1,1,Santa Ana Metrolink Station,33.751522,-117.85598
125,1154,1,1,1,Santa Ana Metrolink Station,33.751522,-117.85598
126,1142,0,1,15,Santa Clarita Metrolink Station,34.413438,-118.524819
126,1142,1,1,15,Santa Clarita Metrolink Station,34.413438,-118.524819
126,1143,0,1,6,Santa Clarita Metrolink Station,34.413438,-118.524819
126,1143,1,1,6,Santa Clarita Metrolink Station,34.413438,-118.524819
