route_id,stop_id,service_id,direction_id,avghdwy,stdev_hdwy,stop_name,stop_lat,stop_lon,route_short_name,route_long_name
Inland Emp.-Orange Co. Line,100,1154,1,,,Irvine Metrolink Station,33.657056,-117.732932,"",Inland Emp.-Orange Co. Line
Inland Emp.-Orange Co. Line,100,1154,0,,,Irvine Metrolink Station,33.657056,-117.732932,"",Inland Emp.-Orange Co. Line
Inland Emp.-Orange Co. Line,100,1153,1,50.0,15.0,Irvine Metrolink Station,33.657056,-117.732932,"",Inland Emp.-Orange Co. Line
Inland Emp.-Orange Co. Line,100,1153,0,49.5,18.5,Irvine Metrolink Station,33.657056,-117.732932,"",Inland Emp.-Orange Co. Line
Orange County Line,100,1152,1,,,Irvine Metrolink Station,33.657056,-117.732932,"",Orange County Line
Orange County Line,100,1152,0,,,Irvine Metrolink Station,33.657056,-117.732932,"",Orange County Line
Orange County Line,100,1151,1,41.7,14.4,Irvine Metrolink Station,33.657056,-117.732932,"",Orange County Line
Orange County Line,100,1151,0,39.7,19.7,Irvine Metrolink Station,33.657056,-117.732932,"",Orange County Line
Inland Emp.-Orange Co. Line,101,1154,1,,,Laguna Niguel/ Mission Viejo Metrolink Station,33.5539,-117.675,"",Inland Emp.-Orange Co. Line
Inland Emp.-Orange Co. Line,101,1154,0,,,Laguna Niguel/ Mission Viejo Metrolink Station,33.5539,-117.675,"",Inland Emp.-Orange Co. Line
Inland Emp.-Orange Co. Line,101,1153,1,67.0,14.7,Laguna Niguel/ Mission Viejo Metrolink Station,33.5539,-117.675,"",Inland Emp.-Orange Co. Line
Inland Emp.-Orange Co. Line,101,1153,0,67.6,7.7,Laguna Niguel/ Mission Viejo Metrolink Station,33.5539,-117.675,"",Inland Emp.-Orange Co. Line
Orange County Line,101,1152,1,,,Laguna Niguel/ Mission Viejo Metrolink Station,33.5539,-117.675,"",Orange County Line
Orange County Line,101,1152,0,,,Laguna Niguel/ Mission Viejo Metrolink Station,33.5539,-117.675,"",Orange County Line
Orange County Line,101,1151,1,45.2,13.3,Laguna Niguel/ Mission Viejo Metrolink Station,33.5539,-117.675,"",Orange County Line
Orange County Line,101,1151,0,44.6,17.9,Laguna Niguel/ Mission Viejo Metrolink Station,33.5539,-117.675,"",Orange County Line
Antelope Valley Line,102,1144,1,,,Lancaster Metrolink Station,34.696578,-118.136131,"",Antelope Valley Line
Antelope Valley Line,102,1144,0,,,Lancaster Metrolink Station,34.696578,-118.136131,"",Antelope Valley Line
Antelope Valley Line,102,1143,1,90.0,,Lancaster Metrolink Station,34.696578,-118.136131,"",Antelope Valley Line
Antelope Valley Line,102,1143,0,,,Lancaster Metrolink Station,34.696578,-118.136131,"",Antelope Valley Line
Antelope Valley Line,102,1142,1,43.5,15.2,Lancaster Metrolink Station,34.696578,-118.136131,"",Antelope Valley Line
Antelope Valley Line,102,1142,0,57.5,14.6,Lancaster Metrolink Station,34.696578,-118.136131,"",Antelope Valley Line
Ventura County Line,103,1141,1,38.5,0.7,East Ventura Metrolink Station,34.250794,-119.205021,"",Ventura County Line
