route_id,service_id,direction_id,numtripsperroute_both_dir,hours_of_service,first_departure_sec,last_departure_sec,span_of_service_hrs,route_avg_hdwy,route_stdev_hdwy,trips_per_day,average_speed,average_length_mi,w_avg_num_stops,avg_dist_bw_stops_ft,route_short_name,route_long_name
9-13046,JUNE10-009-1_Weekday-01,0,42,7,38400,58560,6,11.3,6.2,42,8.7,3.8,3.0,9141.1980059523809524122,Dodger Stadium Express,
9-13046,JUNE10-009-1_Weekday-02,0,42,7,42000,62160,6,11.3,6.2,42,8.7,3.8,3.0,9141.1980059523809524122,Dodger Stadium Express,
9-13046,JUNE10-009-1_Weekday-03,0,42,7,63600,83760,6,11.3,6.2,42,8.7,3.8,3.0,9141.1980059523809524122,Dodger Stadium Express,
9-13046,JUNE10-009-1_Weekday-05,0,42,7,60000,80160,6,11.3,6.2,42,8.7,3.8,3.0,9141.1980059523809524122,Dodger Stadium Express,
9-13046,JUNE10-009-2_Saturday-01,0,42,7,38400,58560,6,11.3,6.2,42,8.7,3.8,3.0,9141.1980059523809524122,Dodger Stadium Express,
9-13046,JUNE10-009-2_Saturday-02,0,42,7,42000,62160,6,11.3,6.2,42,8.7,3.8,3.0,9141.1980059523809524122,Dodger Stadium Express,
9-13046,JUNE10-009-2_Saturday-03,0,42,7,63600,83760,6,11.3,6.2,42,8.7,3.8,3.0,9141.1980059523809524122,Dodger Stadium Express,
9-13046,JUNE10-009-2_Saturday-04,0,42,7,52800,72960,6,11.3,6.2,42,8.7,3.8,3.0,9141.1980059523809524122,Dodger Stadium Express,
9-13046,JUNE10-009-3_Sunday-01,0,42,7,38400,58560,6,11.3,6.2,42,8.7,3.8,3.0,9141.1980059523809524122,Dodger Stadium Express,
9-13046,JUNE10-009-3_Sunday-02,0,42,7,42000,62160,6,11.3,6.2,42,8.7,3.8,3.0,9141.1980059523809524122,Dodger Stadium Express,
9-13046,JUNE10-009-3_Sunday-03,0,42,7,56100,76260,6,11.3,6.2,42,8.7,3.8,3.0,9141.1980059523809524122,Dodger Stadium Express,
16-13065,JUNE12-D01CAR-1_Weekday-90,0,76,20,14940,85860,20,18.2,20.9,54,12.6,12.5,55.0,1224.8034573726541556332,16/316,Metro Local Line
18-13065,JUNE12-D01CAR-1_Weekday-90,0,256,25,14940,101040,24,7.1,4.5,215,13.2,13.6,62.9,1153.2824580718479702564,18,Metro Local Line
28-13065,JUNE12-D01CAR-1_Weekday-90,0,50,16,16200,70620,15,18.5,13.3,41,13.2,11.1,53.8,1106.4612829231351760406,28,Metro Local Line
33-13065,JUNE12-D01CAR-1_Weekday-90,0,40,19,20100,83640,18,25.8,21.7,37,14.5,19.0,81.3,1234.1063453582554515611,33,Metro Local Line
