route_id,service_id,direction_id,numtripsperroute_both_dir,hours_of_service,first_departure_sec,last_departure_sec,span_of_service_hrs,route_avg_hdwy,route_stdev_hdwy,trips_per_day,average_speed,average_length_mi,w_avg_num_stops,avg_dist_bw_stops_ft,route_short_name,route_long_name
801,APR12-801-1_Weekday,0,299,24,13800,93840,22,5.3,2.6,281,34.5,25.8,18.2,7064.7501047822706065477,"",Metro Blue Line  (801)
801,APR12-801-2_Saturday,0,233,24,13800,93840,22,6.6,3.1,227,34.3,25.8,18.7,6921.4827291028446389468,"",Metro Blue Line  (801)
801,APR12-801-3_Sunday,0,233,24,13800,93840,22,6.6,3.1,227,34.3,25.8,18.7,6921.4827291028446389468,"",Metro Blue Line  (801)
804,FEB12-804-1_Weekday,0,280,23,13200,90540,21,6.4,4.7,280,31.2,23.6,19.2,6195.7588888606108066848,"",Metro Gold Line  (804)
804,FEB12-804-2_Saturday,0,181,23,13200,90540,21,8.3,4.7,181,29.9,23.6,19.7,6162.4847005035545022546,"",Metro Gold Line  (804)
804,FEB12-804-3_Sunday,0,181,23,13200,90540,21,8.3,4.7,181,29.9,23.6,19.7,6162.4847005035545022546,"",Metro Gold Line  (804)
806,JUN12-806-1_Weekday,0,174,22,17640,90060,20,7.6,4.8,174,22.0,10.6,12.0,5051.3828590909090910284,"",Metro Expo Line  (806)
806,JUN12-806-2_Saturday,0,170,22,17640,90060,20,9.3,3.8,170,22.0,10.6,12.0,5051.3828590909090910284,"",Metro Expo Line  (806)
806,JUN12-806-3_Sunday,0,170,22,17640,90060,20,9.4,3.1,170,22.0,10.6,12.0,5051.3828590909090910284,"",Metro Expo Line  (806)
803,NOV11-803-1_Weekday,0,216,23,12960,91500,22,7.4,4.4,216,41.2,23.7,13.9,9591.2820327956989246324,"",Metro Green Line  (803)
803,NOV11-803-2_Saturday,0,153,23,12960,91500,22,8.8,5.5,153,41.1,23.7,13.9,9589.0725065250379364244,"",Metro Green Line  (803)
803,NOV11-803-3_Sunday,0,153,23,12960,91500,22,8.8,5.5,153,41.1,23.7,13.9,9589.0725065250379364244,"",Metro Green Line  (803)
