stop_id,service_id,direction_id,numroutes,TripsServingStop,stop_name,stop_lat,stop_lon
80101,APR12-801-1_Weekday,0,1,230,Long Beach Transit Mall,33.768071,-118.192921
80101,APR12-801-2_Saturday,0,1,220,Long Beach Transit Mall,33.768071,-118.192921
80101,APR12-801-3_Sunday,0,1,220,Long Beach Transit Mall,33.768071,-118.192921
80102,APR12-801-1_Weekday,0,1,115,Pacific Station,33.772258,-118.1937
80102,APR12-801-2_Saturday,0,1,110,Pacific Station,33.772258,-118.1937
80102,APR12-801-3_Sunday,0,1,110,Pacific Station,33.772258,-118.1937
80105,APR12-801-1_Weekday,0,1,230,Anaheim Station,33.78183,-118.189384
80105,APR12-801-2_Saturday,0,1,220,Anaheim Station,33.78183,-118.189384
80105,APR12-801-3_Sunday,0,1,220,Anaheim Station,33.78183,-118.189384
80106,APR12-801-1_Weekday,0,1,230,PCH Station,33.78909,-118.189382
80106,APR12-801-2_Saturday,0,1,220,PCH Station,33.78909,-118.189382
80106,APR12-801-3_Sunday,0,1,220,PCH Station,33.78909,-118.189382
80107,APR12-801-1_Weekday,0,1,281,Willow Station,33.807079,-118.189834
80107,APR12-801-2_Saturday,0,1,227,Willow Station,33.807079,-118.189834
80107,APR12-801-3_Sunday,0,1,227,Willow Station,33.807079,-118.189834
80108,APR12-801-1_Weekday,0,1,277,Wardlow Station,33.819865,-118.19609
80108,APR12-801-2_Saturday,0,1,223,Wardlow Station,33.819865,-118.19609
80108,APR12-801-3_Sunday,0,1,223,Wardlow Station,33.819865,-118.19609
80109,APR12-801-1_Weekday,0,1,277,Del Amo Station,33.848222,-118.211017
80109,APR12-801-2_Saturday,0,1,209,Del Amo Station,33.848222,-118.211017
80109,APR12-801-3_Sunday,0,1,209,Del Amo Station,33.848222,-118.211017
80110,APR12-801-1_Weekday,0,1,277,Artesia Station,33.876082,-118.222503
80110,APR12-801-2_Saturday,0,1,209,Artesia Station,33.876082,-118.222503
80110,APR12-801-3_Sunday,0,1,209,Artesia Station,33.876082,-118.222503
80111,APR12-801-1_Weekday,0,1,277,Compton Station,33.89749,-118.224249
80111,APR12-801-2_Saturday,0,1,209,Compton Station,33.89749,-118.224249
80111,APR12-801-3_Sunday,0,1,209,Compton Station,33.89749,-118.224249
80112,APR12-801-1_Weekday,0,1,277,Willowbrook (Rosa Parks) Station - Metro Blue Line,33.928048,-118.237555
80112,APR12-801-2_Saturday,0,1,209,Willowbrook (Rosa Parks) Station - Metro Blue Line,33.928048,-118.237555
80112,APR12-801-3_Sunday,0,1,209,Willowbrook (Rosa Parks) Station - Metro Blue Line,33.928048,-118.237555
80113,APR12-801-1_Weekday,0,1,275,103rd Street / Watts Towers  Station,33.94222,-118.243159
80113,APR12-801-2_Saturday,0,1,207,103rd Street / Watts Towers  Station,33.94222,-118.243159
80113,APR12-801-3_Sunday,0,1,207,103rd Street / Watts Towers  Station,33.94222,-118.243159
80114,APR12-801-1_Weekday,0,1,275,Firestone Station,33.959611,-118.243205
80114,APR12-801-2_Saturday,0,1,207,Firestone Station,33.959611,-118.243205
80114,APR12-801-3_Sunday,0,1,207,Firestone Station,33.959611,-118.243205
80115,APR12-801-1_Weekday,0,1,275,Florence Station,33.97374,-118.243271
80115,APR12-801-2_Saturday,0,1,207,Florence Station,33.97374,-118.243271
80115,APR12-801-3_Sunday,0,1,207,Florence Station,33.97374,-118.243271
80116,APR12-801-1_Weekday,0,1,275,Slauson Station,33.98876,-118.243398
80116,APR12-801-2_Saturday,0,1,207,Slauson Station,33.98876,-118.243398
80116,APR12-801-3_Sunday,0,1,207,Slauson Station,33.98876,-118.243398
80117,APR12-801-1_Weekday,0,1,275,Vernon Station,34.00292,-118.243303
80117,APR12-801-2_Saturday,0,1,207,Vernon Station,34.00292,-118.243303
80117,APR12-801-3_Sunday,0,1,207,Vernon Station,34.00292,-118.243303
80118,APR12-801-1_Weekday,0,1,275,Washington Station,34.01965,-118.243084
