route_id,stop_id,service_id,direction_id,avghdwy,stdev_hdwy,stop_name,stop_lat,stop_lon,route_short_name,route_long_name
801,80101,APR12-801-1_Weekday,0,7.0,2.8,Long Beach Transit Mall,33.768071,-118.192921,"",Metro Blue Line  (801)
801,80102,APR12-801-1_Weekday,0,11.0,2.1,Pacific Station,33.772258,-118.1937,"",Metro Blue Line  (801)
801,80105,APR12-801-1_Weekday,0,7.1,2.6,Anaheim Station,33.78183,-118.189384,"",Metro Blue Line  (801)
801,80106,APR12-801-1_Weekday,0,6.8,2.9,PCH Station,33.78909,-118.189382,"",Metro Blue Line  (801)
801,80107,APR12-801-1_Weekday,0,5.3,2.6,Willow Station,33.807079,-118.189834,"",Metro Blue Line  (801)
801,80108,APR12-801-1_Weekday,0,6.6,2.6,Wardlow Station,33.819865,-118.19609,"",Metro Blue Line  (801)
801,80109,APR12-801-1_Weekday,0,5.7,2.7,Del Amo Station,33.848222,-118.211017,"",Metro Blue Line  (801)
801,80110,APR12-801-1_Weekday,0,5.5,3.1,Artesia Station,33.876082,-118.222503,"",Metro Blue Line  (801)
801,80111,APR12-801-1_Weekday,0,5.0,2.5,Compton Station,33.89749,-118.224249,"",Metro Blue Line  (801)
801,80112,APR12-801-1_Weekday,0,5.5,1.8,Willowbrook (Rosa Parks) Station - Metro Blue Line,33.928048,-118.237555,"",Metro Blue Line  (801)
801,80113,APR12-801-1_Weekday,0,5.1,2.7,103rd Street / Watts Towers  Station,33.94222,-118.243159,"",Metro Blue Line  (801)
801,80114,APR12-801-1_Weekday,0,6.3,2.6,Firestone Station,33.959611,-118.243205,"",Metro Blue Line  (801)
801,80115,APR12-801-1_Weekday,0,5.8,1.4,Florence Station,33.97374,-118.243271,"",Metro Blue Line  (801)
801,80116,APR12-801-1_Weekday,0,6.5,2.6,Slauson Station,33.98876,-118.243398,"",Metro Blue Line  (801)
801,80117,APR12-801-1_Weekday,0,4.8,2.3,Vernon Station,34.00292,-118.243303,"",Metro Blue Line  (801)
801,80118,APR12-801-1_Weekday,0,5.0,2.6,Washington Station,34.01965,-118.243084,"",Metro Blue Line  (801)
801,80119,APR12-801-1_Weekday,0,4.9,2.5,San Pedro Station,34.026807,-118.255505,"",Metro Blue Line  (801)
801,80120,APR12-801-1_Weekday,0,6.4,2.6,Grand Station,34.033155,-118.269333,"",Metro Blue Line  (801)
801,80121,APR12-801-1_Weekday,0,5.9,1.7,Pico Station,34.040735,-118.266118,"",Metro Blue Line  (801)
801,80122,APR12-801-1_Weekday,0,4.6,2.2,7th Street / Metro Center Station - Metro Blue & Expo Lines,34.04861,-118.258822,"",Metro Blue Line  (801)
801,80153,APR12-801-1_Weekday,0,11.0,2.2,1st Street Station,33.76874,-118.189362,"",Metro Blue Line  (801)
801,80154,APR12-801-1_Weekday,0,11.0,2.2,5th Street Station,33.773598,-118.189412,"",Metro Blue Line  (801)
801,80101,APR12-801-2_Saturday,0,8.1,3.4,Long Beach Transit Mall,33.768071,-118.192921,"",Metro Blue Line  (801)
801,80102,APR12-801-2_Saturday,0,11.5,2.3,Pacific Station,33.772258,-118.1937,"",Metro Blue Line  (801)
801,80105,APR12-801-2_Saturday,0,6.7,2.5,Anaheim Station,33.78183,-118.189384,"",Metro Blue Line  (801)
801,80106,APR12-801-2_Saturday,0,7.6,3.3,PCH Station,33.78909,-118.189382,"",Metro Blue Line  (801)
801,80107,APR12-801-2_Saturday,0,6.6,3.1,Willow Station,33.807079,-118.189834,"",Metro Blue Line  (801)
801,80108,APR12-801-2_Saturday,0,7.9,2.9,Wardlow Station,33.819865,-118.19609,"",Metro Blue Line  (801)
801,80109,APR12-801-2_Saturday,0,7.1,3.4,Del Amo Station,33.848222,-118.211017,"",Metro Blue Line  (801)
801,80110,APR12-801-2_Saturday,0,7.2,3.2,Artesia Station,33.876082,-118.222503,"",Metro Blue Line  (801)
801,80111,APR12-801-2_Saturday,0,6.6,3.2,Compton Station,33.89749,-118.224249,"",Metro Blue Line  (801)
801,80112,APR12-801-2_Saturday,0,6.4,2.1,Willowbrook (Rosa Parks) Station - Metro Blue Line,33.928048,-118.237555,"",Metro Blue Line  (801)
801,80113,APR12-801-2_Saturday,0,6.8,3.0,103rd Street / Watts Towers  Station,33.94222,-118.243159,"",Metro Blue Line  (801)
801,80114,APR12-801-2_Saturday,0,8.2,3.2,Firestone Station,33.959611,-118.243205,"",Metro Blue Line  (801)
801,80115,APR12-801-2_Saturday,0,6.5,2.2,Florence Station,33.97374,-118.243271,"",Metro Blue Line  (801)
801,80116,APR12-801-2_Saturday,0,8.3,2.2,Slauson Station,33.98876,-118.243398,"",Metro Blue Line  (801)
801,80117,APR12-801-2_Saturday,0,6.3,2.9,Vernon Station,34.00292,-118.243303,"",Metro Blue Line  (801)
801,80118,APR12-801-2_Saturday,0,6.8,3.1,Washington Station,34.01965,-118.243084,"",Metro Blue Line  (801)
801,80119,APR12-801-2_Saturday,0,6.5,2.6,San Pedro Station,34.026807,-118.255505,"",Metro Blue Line  (801)
801,80120,APR12-801-2_Saturday,0,8.0,3.3,Grand Station,34.033155,-118.269333,"",Metro Blue Line  (801)
801,80121,APR12-801-2_Saturday,0,6.5,1.8,Pico Station,34.040735,-118.266118,"",Metro Blue Line  (801)
801,80122,APR12-801-2_Saturday,0,6.1,2.9,7th Street / Metro Center Station - Metro Blue & Expo Lines,34.04861,-118.258822,"",Metro Blue Line  (801)
801,80153,APR12-801-2_Saturday,0,11.5,2.6,1st Street Station,33.76874,-118.189362,"",Metro Blue Line  (801)
801,80154,APR12-801-2_Saturday,0,11.5,2.6,5th Street Station,33.773598,-118.189412,"",Metro Blue Line  (801)
801,80101,APR12-801-3_Sunday,0,8.1,3.4,Long Beach Transit Mall,33.768071,-118.192921,"",Metro Blue Line  (801)
801,80102,APR12-801-3_Sunday,0,11.5,2.3,Pacific Station,33.772258,-118.1937,"",Metro Blue Line  (801)
801,80105,APR12-801-3_Sunday,0,6.7,2.5,Anaheim Station,33.78183,-118.189384,"",Metro Blue Line  (801)
801,80106,APR12-801-3_Sunday,0,7.6,3.3,PCH Station,33.78909,-118.189382,"",Metro Blue Line  (801)
801,80107,APR12-801-3_Sunday,0,6.6,3.1,Willow Station,33.807079,-118.189834,"",Metro Blue Line  (801)
801,80108,APR12-801-3_Sunday,0,7.9,2.9,Wardlow Station,33.819865,-118.19609,"",Metro Blue Line  (801)
801,80109,APR12-801-3_Sunday,0,7.1,3.4,Del Amo Station,33.848222,-118.211017,"",Metro Blue Line  (801)
801,80110,APR12-801-3_Sunday,0,7.2,3.2,Artesia Station,33.876082,-118.222503,"",Metro Blue Line  (801)
801,80111,APR12-801-3_Sunday,0,6.6,3.2,Compton Station,33.89749,-118.224249,"",Metro Blue Line  (801)
801,80112,APR12-801-3_Sunday,0,6.4,2.1,Willowbrook (Rosa Parks) Station - Metro Blue Line,33.928048,-118.237555,"",Metro Blue Line  (801)
801,80113,APR12-801-3_Sunday,0,6.8,3.0,103rd Street / Watts Towers  Station,33.94222,-118.243159,"",Metro Blue Line  (801)
801,80114,APR12-801-3_Sunday,0,8.2,3.2,Firestone Station,33.959611,-118.243205,"",Metro Blue Line  (801)
801,80115,APR12-801-3_Sunday,0,6.5,2.2,Florence Station,33.97374,-118.243271,"",Metro Blue Line  (801)
801,80116,APR12-801-3_Sunday,0,8.3,2.2,Slauson Station,33.98876,-118.243398,"",Metro Blue Line  (801)
801,80117,APR12-801-3_Sunday,0,6.3,2.9,Vernon Station,34.00292,-118.243303,"",Metro Blue Line  (801)
801,80118,APR12-801-3_Sunday,0,6.8,3.1,Washington Station,34.01965,-118.243084,"",Metro Blue Line  (801)
801,80119,APR12-801-3_Sunday,0,6.5,2.6,San Pedro Station,34.026807,-118.255505,"",Metro Blue Line  (801)
801,80120,APR12-801-3_Sunday,0,8.0,3.3,Grand Station,34.033155,-118.269333,"",Metro Blue Line  (801)
801,80121,APR12-801-3_Sunday,0,6.5,1.8,Pico Station,34.040735,-118.266118,"",Metro Blue Line  (801)
801,80122,APR12-801-3_Sunday,0,6.1,2.9,7th Street / Metro Center Station - Metro Blue & Expo Lines,34.04861,-118.258822,"",Metro Blue Line  (801)
801,80153,APR12-801-3_Sunday,0,11.5,2.6,1st Street Station,33.76874,-118.189362,"",Metro Blue Line  (801)
801,80154,APR12-801-3_Sunday,0,11.5,2.6,5th Street Station,33.773598,-118.189412,"",Metro Blue Line  (801)
804,80401,FEB12-804-1_Weekday,0,6.2,2.9,Atlantic Station,34.033398,-118.154469,"",Metro Gold Line  (804)
804,80402,FEB12-804-1_Weekday,0,5.9,3.5,East LA Civic Center Station,34.033364,-118.161206,"",Metro Gold Line  (804)
804,80403,FEB12-804-1_Weekday,0,6.0,4.1,Maravilla Station,34.033319,-118.16814,"",Metro Gold Line  (804)
804,80404,FEB12-804-1_Weekday,0,6.8,3.1,Indiana Station,34.0343,-118.192182,"",Metro Gold Line  (804)
804,80405,FEB12-804-1_Weekday,0,7.5,3.7,Soto Station,34.043747,-118.210061,"",Metro Gold Line  (804)
804,80406,FEB12-804-1_Weekday,0,6.8,4.3,Mariachi Plaza / Boyle Heights Station,34.047215,-118.219648,"",Metro Gold Line  (804)
804,80407,FEB12-804-1_Weekday,0,7.3,4.3,Pico / Aliso Station,34.047634,-118.22594,"",Metro Gold Line  (804)
804,80408,FEB12-804-1_Weekday,0,6.7,4.0,Little Tokyo / Arts District Station,34.0501,-118.237901,"",Metro Gold Line  (804)
804,80409,FEB12-804-1_Weekday,0,6.4,4.7,Union Station - Metro Gold Line,34.056061,-118.234759,"",Metro Gold Line  (804)
804,80410,FEB12-804-1_Weekday,0,6.9,4.0,Chinatown Station,34.063861,-118.23584,"",Metro Gold Line  (804)
804,80411,FEB12-804-1_Weekday,0,6.6,3.4,Lincoln Heights / Cypress Park Station,34.080949,-118.220429,"",Metro Gold Line  (804)
804,80412,FEB12-804-1_Weekday,0,7.4,4.5,Heritage Square / Arroyo Station,34.087227,-118.213213,"",Metro Gold Line  (804)
804,80413,FEB12-804-1_Weekday,0,5.9,4.6,Southwest Museum Station,34.098243,-118.206712,"",Metro Gold Line  (804)
804,80414,FEB12-804-1_Weekday,0,5.2,3.3,Highland Park Station,34.111179,-118.192606,"",Metro Gold Line  (804)
804,80415,FEB12-804-1_Weekday,0,5.5,3.8,South Pasadena Station,34.115186,-118.157886,"",Metro Gold Line  (804)
804,80416,FEB12-804-1_Weekday,0,5.3,4.3,Fillmore Station,34.133521,-118.148126,"",Metro Gold Line  (804)
804,80417,FEB12-804-1_Weekday,0,7.6,4.1,Del Mar Station,34.14191,-118.148214,"",Metro Gold Line  (804)
804,80418,FEB12-804-1_Weekday,0,6.3,2.7,Memorial Park Station,34.148356,-118.147512,"",Metro Gold Line  (804)
804,80419,FEB12-804-1_Weekday,0,5.0,2.9,Lake Station,34.151806,-118.13139,"",Metro Gold Line  (804)
804,80420,FEB12-804-1_Weekday,0,7.6,4.1,Allen Station,34.152417,-118.114348,"",Metro Gold Line  (804)
804,80421,FEB12-804-1_Weekday,0,6.0,3.3,Sierra Madre Villa Station,34.147752,-118.081212,"",Metro Gold Line  (804)
804,80401,FEB12-804-2_Saturday,0,7.6,3.2,Atlantic Station,34.033398,-118.154469,"",Metro Gold Line  (804)
804,80402,FEB12-804-2_Saturday,0,9.3,3.2,East LA Civic Center Station,34.033364,-118.161206,"",Metro Gold Line  (804)
804,80403,FEB12-804-2_Saturday,0,7.9,4.4,Maravilla Station,34.033319,-118.16814,"",Metro Gold Line  (804)
804,80404,FEB12-804-2_Saturday,0,7.6,4.0,Indiana Station,34.0343,-118.192182,"",Metro Gold Line  (804)
804,80405,FEB12-804-2_Saturday,0,10.1,3.5,Soto Station,34.043747,-118.210061,"",Metro Gold Line  (804)
804,80406,FEB12-804-2_Saturday,0,10.1,4.2,Mariachi Plaza / Boyle Heights Station,34.047215,-118.219648,"",Metro Gold Line  (804)
804,80407,FEB12-804-2_Saturday,0,8.0,4.8,Pico / Aliso Station,34.047634,-118.22594,"",Metro Gold Line  (804)
804,80408,FEB12-804-2_Saturday,0,11.1,4.0,Little Tokyo / Arts District Station,34.0501,-118.237901,"",Metro Gold Line  (804)
804,80409,FEB12-804-2_Saturday,0,8.3,4.7,Union Station - Metro Gold Line,34.056061,-118.234759,"",Metro Gold Line  (804)
804,80410,FEB12-804-2_Saturday,0,11.5,3.5,Chinatown Station,34.063861,-118.23584,"",Metro Gold Line  (804)
804,80411,FEB12-804-2_Saturday,0,8.0,4.5,Lincoln Heights / Cypress Park Station,34.080949,-118.220429,"",Metro Gold Line  (804)
804,80412,FEB12-804-2_Saturday,0,8.3,5.0,Heritage Square / Arroyo Station,34.087227,-118.213213,"",Metro Gold Line  (804)
804,80413,FEB12-804-2_Saturday,0,10.8,4.4,Southwest Museum Station,34.098243,-118.206712,"",Metro Gold Line  (804)
804,80414,FEB12-804-2_Saturday,0,8.1,3.6,Highland Park Station,34.111179,-118.192606,"",Metro Gold Line  (804)
804,80415,FEB12-804-2_Saturday,0,10.3,3.9,South Pasadena Station,34.115186,-118.157886,"",Metro Gold Line  (804)
804,80416,FEB12-804-2_Saturday,0,8.8,4.9,Fillmore Station,34.133521,-118.148126,"",Metro Gold Line  (804)
804,80417,FEB12-804-2_Saturday,0,9.8,4.1,Del Mar Station,34.14191,-118.148214,"",Metro Gold Line  (804)
804,80418,FEB12-804-2_Saturday,0,7.6,3.6,Memorial Park Station,34.148356,-118.147512,"",Metro Gold Line  (804)
804,80419,FEB12-804-2_Saturday,0,7.7,3.7,Lake Station,34.151806,-118.13139,"",Metro Gold Line  (804)
804,80420,FEB12-804-2_Saturday,0,10.9,4.5,Allen Station,34.152417,-118.114348,"",Metro Gold Line  (804)
804,80421,FEB12-804-2_Saturday,0,7.4,3.5,Sierra Madre Villa Station,34.147752,-118.081212,"",Metro Gold Line  (804)
804,80401,FEB12-804-3_Sunday,0,7.6,3.2,Atlantic Station,34.033398,-118.154469,"",Metro Gold Line  (804)
804,80402,FEB12-804-3_Sunday,0,9.3,3.2,East LA Civic Center Station,34.033364,-118.161206,"",Metro Gold Line  (804)
804,80403,FEB12-804-3_Sunday,0,7.9,4.4,Maravilla Station,34.033319,-118.16814,"",Metro Gold Line  (804)
804,80404,FEB12-804-3_Sunday,0,7.6,4.0,Indiana Station,34.0343,-118.192182,"",Metro Gold Line  (804)
804,80405,FEB12-804-3_Sunday,0,10.1,3.5,Soto Station,34.043747,-118.210061,"",Metro Gold Line  (804)
804,80406,FEB12-804-3_Sunday,0,10.1,4.2,Mariachi Plaza / Boyle Heights Station,34.047215,-118.219648,"",Metro Gold Line  (804)
804,80407,FEB12-804-3_Sunday,0,8.0,4.8,Pico / Aliso Station,34.047634,-118.22594,"",Metro Gold Line  (804)
804,80408,FEB12-804-3_Sunday,0,11.1,4.0,Little Tokyo / Arts District Station,34.0501,-118.237901,"",Metro Gold Line  (804)
804,80409,FEB12-804-3_Sunday,0,8.3,4.7,Union Station - Metro Gold Line,34.056061,-118.234759,"",Metro Gold Line  (804)
804,80410,FEB12-804-3_Sunday,0,11.5,3.5,Chinatown Station,34.063861,-118.23584,"",Metro Gold Line  (804)
804,80411,FEB12-804-3_Sunday,0,8.0,4.5,Lincoln Heights / Cypress Park Station,34.080949,-118.220429,"",Metro Gold Line  (804)
804,80412,FEB12-804-3_Sunday,0,8.3,5.0,Heritage Square / Arroyo Station,34.087227,-118.213213,"",Metro Gold Line  (804)
804,80413,FEB12-804-3_Sunday,0,10.8,4.4,Southwest Museum Station,34.098243,-118.206712,"",Metro Gold Line  (804)
804,80414,FEB12-804-3_Sunday,0,8.1,3.6,Highland Park Station,34.111179,-118.192606,"",Metro Gold Line  (804)
804,80415,FEB12-804-3_Sunday,0,10.3,3.9,South Pasadena Station,34.115186,-118.157886,"",Metro Gold Line  (804)
804,80416,FEB12-804-3_Sunday,0,8.8,4.9,Fillmore Station,34.133521,-118.148126,"",Metro Gold Line  (804)
804,80417,FEB12-804-3_Sunday,0,9.8,4.1,Del Mar Station,34.14191,-118.148214,"",Metro Gold Line  (804)
804,80418,FEB12-804-3_Sunday,0,7.6,3.6,Memorial Park Station,34.148356,-118.147512,"",Metro Gold Line  (804)
804,80419,FEB12-804-3_Sunday,0,7.7,3.7,Lake Station,34.151806,-118.13139,"",Metro Gold Line  (804)
804,80420,FEB12-804-3_Sunday,0,10.9,4.5,Allen Station,34.152417,-118.114348,"",Metro Gold Line  (804)
804,80421,FEB12-804-3_Sunday,0,7.4,3.5,Sierra Madre Villa Station,34.147752,-118.081212,"",Metro Gold Line  (804)
806,80121,JUN12-806-1_Weekday,0,7.2,3.8,Pico Station,34.040735,-118.266118,"",Metro Expo Line  (806)
806,80122,JUN12-806-1_Weekday,0,7.0,3.6,7th Street / Metro Center Station - Metro Blue & Expo Lines,34.04861,-118.258822,"",Metro Expo Line  (806)
806,80123,JUN12-806-1_Weekday,0,9.8,3.2,23rd Street Station,34.029112,-118.273603,"",Metro Expo Line  (806)
806,80124,JUN12-806-1_Weekday,0,7.0,3.2,Jefferson / USC Station,34.022123,-118.278118,"",Metro Expo Line  (806)
806,80125,JUN12-806-1_Weekday,0,10.3,3.3,Expo Park / USC Station,34.018227,-118.285734,"",Metro Expo Line  (806)
806,80126,JUN12-806-1_Weekday,0,7.4,4.2,Expo / Vermont Station,34.018245,-118.29154,"",Metro Expo Line  (806)
806,80127,JUN12-806-1_Weekday,0,10.5,2.8,Expo / Western Station,34.018331,-118.30891,"",Metro Expo Line  (806)
806,80128,JUN12-806-1_Weekday,0,6.8,2.4,Expo / Crenshaw Station,34.022526,-118.335078,"",Metro Expo Line  (806)
806,80129,JUN12-806-1_Weekday,0,11.2,3.6,Farmdale Station,34.023981,-118.346095,"",Metro Expo Line  (806)
806,80130,JUN12-806-1_Weekday,0,7.6,4.8,Expo / La Brea Station,34.024803,-118.355159,"",Metro Expo Line  (806)
806,80131,JUN12-806-1_Weekday,0,6.8,3.0,La Cienega / Jefferson Station,34.026355,-118.37212,"",Metro Expo Line  (806)
806,80132,JUN12-806-1_Weekday,0,10.5,1.9,Culver City Station,34.027896,-118.388986,"",Metro Expo Line  (806)
806,80121,JUN12-806-2_Saturday,0,7.5,3.8,Pico Station,34.040735,-118.266118,"",Metro Expo Line  (806)
806,80122,JUN12-806-2_Saturday,0,7.3,3.7,7th Street / Metro Center Station - Metro Blue & Expo Lines,34.04861,-118.258822,"",Metro Expo Line  (806)
806,80123,JUN12-806-2_Saturday,0,10.0,3.7,23rd Street Station,34.029112,-118.273603,"",Metro Expo Line  (806)
806,80124,JUN12-806-2_Saturday,0,7.3,2.9,Jefferson / USC Station,34.022123,-118.278118,"",Metro Expo Line  (806)
806,80125,JUN12-806-2_Saturday,0,9.3,3.8,Expo Park / USC Station,34.018227,-118.285734,"",Metro Expo Line  (806)
806,80126,JUN12-806-2_Saturday,0,8.4,4.8,Expo / Vermont Station,34.018245,-118.29154,"",Metro Expo Line  (806)
806,80127,JUN12-806-2_Saturday,0,9.4,3.1,Expo / Western Station,34.018331,-118.30891,"",Metro Expo Line  (806)
806,80128,JUN12-806-2_Saturday,0,7.6,3.1,Expo / Crenshaw Station,34.022526,-118.335078,"",Metro Expo Line  (806)
806,80129,JUN12-806-2_Saturday,0,9.8,4.5,Farmdale Station,34.023981,-118.346095,"",Metro Expo Line  (806)
806,80130,JUN12-806-2_Saturday,0,8.0,4.6,Expo / La Brea Station,34.024803,-118.355159,"",Metro Expo Line  (806)
806,80131,JUN12-806-2_Saturday,0,7.2,3.2,La Cienega / Jefferson Station,34.026355,-118.37212,"",Metro Expo Line  (806)
806,80132,JUN12-806-2_Saturday,0,10.4,2.3,Culver City Station,34.027896,-118.388986,"",Metro Expo Line  (806)
806,80121,JUN12-806-3_Sunday,0,7.5,3.8,Pico Station,34.040735,-118.266118,"",Metro Expo Line  (806)
806,80122,JUN12-806-3_Sunday,0,7.3,3.7,7th Street / Metro Center Station - Metro Blue & Expo Lines,34.04861,-118.258822,"",Metro Expo Line  (806)
806,80123,JUN12-806-3_Sunday,0,10.0,3.7,23rd Street Station,34.029112,-118.273603,"",Metro Expo Line  (806)
806,80124,JUN12-806-3_Sunday,0,7.3,2.9,Jefferson / USC Station,34.022123,-118.278118,"",Metro Expo Line  (806)
806,80125,JUN12-806-3_Sunday,0,9.3,3.8,Expo Park / USC Station,34.018227,-118.285734,"",Metro Expo Line  (806)
806,80126,JUN12-806-3_Sunday,0,8.4,4.8,Expo / Vermont Station,34.018245,-118.29154,"",Metro Expo Line  (806)
806,80127,JUN12-806-3_Sunday,0,9.4,3.1,Expo / Western Station,34.018331,-118.30891,"",Metro Expo Line  (806)
806,80128,JUN12-806-3_Sunday,0,7.6,3.1,Expo / Crenshaw Station,34.022526,-118.335078,"",Metro Expo Line  (806)
806,80129,JUN12-806-3_Sunday,0,9.8,4.5,Farmdale Station,34.023981,-118.346095,"",Metro Expo Line  (806)
806,80130,JUN12-806-3_Sunday,0,8.0,4.6,Expo / La Brea Station,34.024803,-118.355159,"",Metro Expo Line  (806)
806,80131,JUN12-806-3_Sunday,0,7.2,3.2,La Cienega / Jefferson Station,34.026355,-118.37212,"",Metro Expo Line  (806)
806,80132,JUN12-806-3_Sunday,0,10.4,2.3,Culver City Station,34.027896,-118.388986,"",Metro Expo Line  (806)
803,80301,NOV11-803-1_Weekday,0,7.0,3.9,Redondo Beach Station,33.89464,-118.369196,"",Metro Green Line  (803)
803,80302,NOV11-803-1_Weekday,0,7.8,3.6,Douglas Station,33.905299,-118.383113,"",Metro Green Line  (803)
803,80303,NOV11-803-1_Weekday,0,7.7,5.2,El Segundo Station,33.916063,-118.386539,"",Metro Green Line  (803)
803,80304,NOV11-803-1_Weekday,0,8.5,4.3,Mariposa Station,33.9232,-118.387572,"",Metro Green Line  (803)
803,80305,NOV11-803-1_Weekday,0,7.1,3.1,Aviation / LAX Station,33.929621,-118.377134,"",Metro Green Line  (803)
803,80306,NOV11-803-1_Weekday,0,6.4,3.5,Hawthorne / Lennox Station,33.933408,-118.351602,"",Metro Green Line  (803)
803,80307,NOV11-803-1_Weekday,0,9.4,4.6,Crenshaw Station,33.925201,-118.32655,"",Metro Green Line  (803)
803,80308,NOV11-803-1_Weekday,0,7.8,3.4,Vermont / Athens Station,33.928683,-118.291733,"",Metro Green Line  (803)
803,80309,NOV11-803-1_Weekday,0,6.3,3.3,Harbor Freeway Station,33.928714,-118.2811,"",Metro Green Line  (803)
803,80310,NOV11-803-1_Weekday,0,8.8,3.5,Avalon Station,33.927465,-118.265217,"",Metro Green Line  (803)
803,80311,NOV11-803-1_Weekday,0,6.2,4.7,Willowbrook (Rosa Parks) Station - Metro Green Line,33.928258,-118.238052,"",Metro Green Line  (803)
803,80312,NOV11-803-1_Weekday,0,7.4,4.4,Long Beach Station,33.92488,-118.209945,"",Metro Green Line  (803)
803,80313,NOV11-803-1_Weekday,0,6.1,3.3,Lakewood Station,33.91307,-118.1406,"",Metro Green Line  (803)
803,80314,NOV11-803-1_Weekday,0,6.2,4.6,Norwalk Station,33.914033,-118.104717,"",Metro Green Line  (803)
803,80301,NOV11-803-2_Saturday,0,8.4,4.3,Redondo Beach Station,33.89464,-118.369196,"",Metro Green Line  (803)
803,80302,NOV11-803-2_Saturday,0,8.7,4.2,Douglas Station,33.905299,-118.383113,"",Metro Green Line  (803)
803,80303,NOV11-803-2_Saturday,0,14.0,4.0,El Segundo Station,33.916063,-118.386539,"",Metro Green Line  (803)
803,80304,NOV11-803-2_Saturday,0,11.3,4.8,Mariposa Station,33.9232,-118.387572,"",Metro Green Line  (803)
803,80305,NOV11-803-2_Saturday,0,8.5,3.2,Aviation / LAX Station,33.929621,-118.377134,"",Metro Green Line  (803)
803,80306,NOV11-803-2_Saturday,0,8.5,4.2,Hawthorne / Lennox Station,33.933408,-118.351602,"",Metro Green Line  (803)
803,80307,NOV11-803-2_Saturday,0,13.7,3.7,Crenshaw Station,33.925201,-118.32655,"",Metro Green Line  (803)
803,80308,NOV11-803-2_Saturday,0,8.5,3.4,Vermont / Athens Station,33.928683,-118.291733,"",Metro Green Line  (803)
803,80309,NOV11-803-2_Saturday,0,8.4,3.7,Harbor Freeway Station,33.928714,-118.2811,"",Metro Green Line  (803)
803,80310,NOV11-803-2_Saturday,0,12.4,3.8,Avalon Station,33.927465,-118.265217,"",Metro Green Line  (803)
803,80311,NOV11-803-2_Saturday,0,8.8,5.5,Willowbrook (Rosa Parks) Station - Metro Green Line,33.928258,-118.238052,"",Metro Green Line  (803)
803,80312,NOV11-803-2_Saturday,0,9.1,4.4,Long Beach Station,33.92488,-118.209945,"",Metro Green Line  (803)
803,80313,NOV11-803-2_Saturday,0,8.8,3.5,Lakewood Station,33.91307,-118.1406,"",Metro Green Line  (803)
803,80314,NOV11-803-2_Saturday,0,9.1,5.2,Norwalk Station,33.914033,-118.104717,"",Metro Green Line  (803)
803,80301,NOV11-803-3_Sunday,0,8.4,4.3,Redondo Beach Station,33.89464,-118.369196,"",Metro Green Line  (803)
803,80302,NOV11-803-3_Sunday,0,8.7,4.2,Douglas Station,33.905299,-118.383113,"",Metro Green Line  (803)
803,80303,NOV11-803-3_Sunday,0,14.0,4.0,El Segundo Station,33.916063,-118.386539,"",Metro Green Line  (803)
803,80304,NOV11-803-3_Sunday,0,11.3,4.8,Mariposa Station,33.9232,-118.387572,"",Metro Green Line  (803)
803,80305,NOV11-803-3_Sunday,0,8.5,3.2,Aviation / LAX Station,33.929621,-118.377134,"",Metro Green Line  (803)
803,80306,NOV11-803-3_Sunday,0,8.5,4.2,Hawthorne / Lennox Station,33.933408,-118.351602,"",Metro Green Line  (803)
803,80307,NOV11-803-3_Sunday,0,13.7,3.7,Crenshaw Station,33.925201,-118.32655,"",Metro Green Line  (803)
803,80308,NOV11-803-3_Sunday,0,8.5,3.4,Vermont / Athens Station,33.928683,-118.291733,"",Metro Green Line  (803)
803,80309,NOV11-803-3_Sunday,0,8.4,3.7,Harbor Freeway Station,33.928714,-118.2811,"",Metro Green Line  (803)
803,80310,NOV11-803-3_Sunday,0,12.4,3.8,Avalon Station,33.927465,-118.265217,"",Metro Green Line  (803)
