table_name,column_name,active_field
DBNAME,metronorthrailroad_rail,0
agency,agency_id,2
agency,agency_name,2
agency,agency_url,2
agency,agency_timezone,2
agency,agency_lang,2
agency,agency_phone,2
agency,agency_fare_url,0
stops,stop_id,111
stops,stop_code,0
stops,stop_name,111
stops,stop_desc,0
stops,stop_lat,111
stops,stop_lon,111
stops,zone_id,0
stops,stop_url,111
stops,location_type,0
stops,parent_station,0
stops,stop_timezone,0
stops,wheelchair_boarding,0
routes,route_id,7
routes,agency_id,7
routes,route_short_name,7
routes,route_long_name,7
routes,route_desc,0
routes,route_type,7
routes,route_url,0
routes,route_color,7
routes,route_text_color,7
trips,route_id,10263
trips,service_id,10263
trips,trip_id,10263
trips,trip_headsign,10263
trips,trip_short_name,10263
trips,direction_id,10263
trips,block_id,0
trips,shape_id,10263
stop_times,trip_id,129644
stop_times,arrival_time,129644
stop_times,departure_time,129644
stop_times,stop_id,129644
stop_times,stop_sequence,129644
stop_times,stop_headsign,0
stop_times,pickup_type,4240
stop_times,drop_off_type,3898
stop_times,shape_dist_traveled,0
calendar,service_id,24
calendar,monday,24
calendar,tuesday,24
calendar,wednesday,24
calendar,thursday,24
calendar,friday,24
calendar,saturday,24
calendar,sunday,24
calendar,start_date,24
calendar,end_date,24
calendar_dates,service_id,90
calendar_dates,date,90
calendar_dates,exception_type,90
fare_attributes,fare_id,0
fare_attributes,price,0
fare_attributes,currency_type,0
fare_attributes,payment_method,0
fare_attributes,transfers,0
fare_attributes,transfer_duration,0
fare_rules,fare_id,0
fare_rules,route_id,0
fare_rules,origin_id,0
fare_rules,destination_id,0
fare_rules,contains_id,0
shapes,shape_id,520
shapes,shape_pt_lat,520
shapes,shape_pt_lon,520
shapes,shape_pt_sequence,520
shapes,shape_dist_traveled,0
frequencies,trip_id,0
frequencies,start_time,0
frequencies,end_time,0
frequencies,headway_secs,0
frequencies,exact_times,0
transfers,from_stop_id,0
transfers,to_stop_id,0
transfers,transfer_type,0
transfers,min_transfer_time,0
feed_info,feed_publisher_name,0
feed_info,feed_publisher_url,0
feed_info,feed_lang,0
feed_info,feed_start_date,0
feed_info,feed_end_date,0
feed_info,feed_version,0
