route_id,service_id,direction_id,numtripsperroute_both_dir,hours_of_service,first_departure_sec,last_departure_sec,span_of_service_hrs,route_avg_hdwy,route_stdev_hdwy,trips_per_day,average_speed,average_length_mi,w_avg_num_stops,avg_dist_bw_stops_ft,route_short_name,route_long_name
1,1,0,105,26,480,90240,25,22.2,15.3,54,75.9,92.5,14.4,23453.5102147790055247223,"",Hudson
1,1,1,105,26,480,90240,25,24.1,13.3,50,75.7,92.5,14.9,23195.3132995780590715666,"",Hudson
2,1,1,102,25,360,89760,25,29.1,24.5,43,102.1,106.9,15.5,18561.7759849655172412888,"",Harlem
2,1,0,102,25,360,89760,25,29.8,9.8,44,98.6,106.9,15.8,18434.6308665799739921631,"",Harlem
3,1,1,89,26,900,91380,25,27.2,10.0,44,66.1,92.6,15.5,25114.3814836477987421590,"",New Haven
3,1,0,89,26,900,91380,25,28.2,19.8,45,64.8,92.6,16.0,23914.1602431314623339551,"",New Haven
4,1,0,37,20,600,86160,24,60.5,3.8,19,183.4,52.4,5.0,12065.5494000000000000000,"",New Canaan
4,1,1,37,20,600,86160,24,60.5,3.2,18,196.5,52.4,5.0,12065.4673750000000000000,"",New Canaan
5,1,1,11,17,27780,87060,16,,,6,101.6,81.2,8.0,19743.5581142857142858549,"",Danbury
5,1,0,11,17,27780,87060,16,,,5,95.6,81.2,8.0,19743.5581142857142858549,"",Danbury
6,1,0,10,17,25200,85140,17,,,5,60.2,65.2,7.0,30428.8142500000000000000,"",Waterbury
6,1,1,10,17,25200,85140,17,,,5,57.5,65.2,7.0,30428.8689333333333334427,"",Waterbury
5,2,0,1,2,1560,4620,1,,,1,95.6,81.2,8.0,19743.5581142857142858549,"",Danbury
2,3,1,2,6,30360,75900,13,,,2,104.8,106.9,12.0,34473.914409090910284,"",Harlem
1,3160,1,107,26,480,90240,25,23.1,13.2,52,75.1,92.5,14.6,24228.5922815533980582365,"",Hudson
1,3160,0,107,26,480,90240,25,22.2,15.3,54,75.9,92.5,14.4,23453.5102147790055247223,"",Hudson
2,3160,0,133,25,360,89760,25,21.2,13.9,59,105.1,106.9,15.1,17955.4226179405520168904,"",Harlem
2,3160,1,133,25,360,89760,25,21.3,15.5,58,108.4,106.9,14.9,18084.2605246455834243618,"",Harlem
3,3160,0,120,26,900,91380,25,20.3,14.4,60,68.8,92.6,16.0,21929.3791879866518353376,"",New Haven
3,3160,1,120,26,900,91380,25,19.7,11.1,60,70.4,92.6,15.5,22608.3983641055045870476,"",New Haven
4,3160,1,37,20,600,86160,24,60.5,3.2,18,196.5,52.4,5.0,12065.4673750000000000000,"",New Canaan
4,3160,0,37,20,600,86160,24,60.3,3.7,19,183.4,52.4,5.0,12065.5494000000000000000,"",New Canaan
5,3160,0,11,17,27780,87060,16,,,5,95.6,81.2,8.0,19743.5581142857142858549,"",Danbury
5,3160,1,11,17,27780,87060,16,,,6,101.6,81.2,8.0,19743.5581142857142858549,"",Danbury
6,3160,1,10,17,26100,84900,16,,,5,80.9,65.2,7.0,26330.2437333333333334427,"",Waterbury
